item,logged_relative_abundance_diff,qmd_diff_pvalue,qmd_density_diff,qmd_diff_qvalue,differentially_abundant_taxa
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Blautia,-0.5294267623641341,0.0634865258319135,-1.449426762364134,0.6031219954031782,No
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae;D_5__Odoribacter,-0.41262393749126497,0.1360371298662142,-1.332623937491265,0.6325317093535063,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes,-0.32419318498395355,0.14385187264021315,-1.2441931849839536,0.6325317093535063,No
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Parasutterella,-0.08233103247036778,0.219302664178312,-1.0023310324703678,0.6325317093535063,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Roseburia,0.2908651601053485,0.37675912088629593,-0.6291348398946515,0.7158423296839623,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Coprococcus 3,0.4669692419144859,0.550984941146613,-0.453030758085514,0.8052856832142805,No
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides,0.48031905338070113,0.2878384381525265,-0.4396809466192988,0.6656385419768114,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Faecalibacterium,0.5760229729245999,0.5958830436454492,-0.3439770270754,0.8086984163759668,No
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Sutterella,0.7903186369449923,0.6985353477196166,-0.12968136305500766,0.8295107254170447,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Subdoligranulum,0.9210598424607535,0.6513784131994456,0.001059842460753524,0.8250793233859643,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Agathobacter,0.9921472304259397,0.9151059860100397,0.07214723042593973,0.9151059860100397,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;__,1.0244462761204192,0.7594628880510146,0.10444627612041923,0.8488114631158398,No
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes,1.2103566044788514,0.8101812719308747,0.2903566044788515,0.8551913425937012,No
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium,1.3321809662281399,0.4436570379008493,0.41218096622813993,0.7612591899449768,No
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae;D_5__Parabacteroides,1.3453401649487997,0.4807952778599853,0.4253401649487998,0.7612591899449768,No
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Barnesiellaceae;D_5__Barnesiella,1.7265074889852137,0.23303799818287074,0.8065074889852137,0.6325317093535063,No
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacteriales;D_4__Enterobacteriaceae;D_5__Escherichia-Shigella,2.688073091726229,0.3153024672521738,1.768073091726229,0.6656385419768114,No
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae;D_5__Streptococcus,2.7589107007934004,0.21592495304126214,1.8389107007934005,0.6325317093535063,No
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Prevotella 9,6.589541418104427,0.00811311701277817,5.669541418104427,0.15414922324278524,No
