i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
1.0,60.0,0.5714285714285714,4.991672125256006,4.91,0.08002311691662456,0.16734110512696432,0.0,0.1702127659574468,0.0,1.0,0.0,1.0,0.0,0.06382978723404255,0.06382978723404255,0.0,0.0,0.03636363636363636,0.006102032808018418,4.910936636395929,0.17585407994954563,79.0,2.578274292411825
2.0,47.0,0.44761904761904764,3.822231856789223,4.279999999999999,-0.4558104391773057,-0.149081419450739,0.0,0.017241379310344827,0.0,1.0,0.0,1.0,0.0,0.06896551724137931,0.06896551724137931,0.0,0.0,0.024390243902439025,0.012550919399596053,4.27995716726188,0.2144464797797162,11.0,2.423628996190457
3.0,18.0,0.17307692307692307,1.9742313954719108,1.9299999999999997,0.04039222641363693,-2.1172312427956492,0.0625,0.047058823529411764,0.0,1.0,0.0,1.0,0.0,0.08235294117647059,0.023529411764705882,0.0,0.011764705882352941,0.125,0.0072497176922832595,1.9351890392302236,0.13347333089880384,50.0,0.9017427641454067
4.0,58.0,0.5523809523809524,4.224388231915427,3.8599999999999994,0.3609512417604464,0.41555244723285867,0.02,0.10204081632653061,0.0,1.0,0.0,1.0,0.0,0.14285714285714285,0.12244897959183673,0.0,0.061224489795918366,0.02,0.008242560034481572,3.864282421237887,0.049575251177433236,16.0,2.5025782503732117
5.0,87.0,0.8365384615384616,7.186511455988772,7.059999999999999,0.1113516755056594,0.2519606988436319,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.05952380952380952,0.014853437261474619,7.073598396499982,0.2478666551126634,52.0,3.8791857653286455
6.0,55.0,0.5238095238095238,2.046941699713976,2.289999999999999,-0.23750423706687585,-1.8733888059912613,0.0,0.019230769230769232,0.02,1.0,0.02,1.0,0.0,0.23076923076923078,0.11538461538461539,0.0,0.0,0.06,0.0067815996554767615,2.284606111601827,0.20816567545520298,83.0,2.280399951092237
7.0,76.0,0.7238095238095238,4.797171966228682,4.699999999999999,0.09354079002349992,0.6711429328854055,0.0136986301369863,0.10344827586206896,0.0,1.0,0.0,1.0,0.0,0.3103448275862069,0.2413793103448276,0.0,0.0,0.0821917808219178,0.005669608704113206,4.702203309835878,0.16217912583780797,79.0,3.144054682186224
8.0,10.0,0.09523809523809523,4.994564111240114,5.01,-0.015721586886538574,-0.21917355386486637,0.0,0.011111111111111112,0.0,1.0,0.0,1.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.01057041790712679,5.01186268216183,0.1600538224096029,15.0,0.8469201090053214
9.0,74.0,0.7047619047619048,5.324777174752839,5.789999999999999,-0.4644453007139155,-0.10476616167640639,0.01639344262295082,0.275,0.0,1.0,0.0,1.0,0.0,0.275,0.275,0.0,0.075,0.03278688524590164,0.009374339684659252,5.791176566063899,0.19914941176215376,22.0,3.5505296621648106
10.0,14.0,0.13333333333333333,3.0594612601972706,3.01,0.05169696970828142,0.4621333158770366,0.0,0.0449438202247191,0.0,1.0,0.0,1.0,0.0,0.10112359550561797,0.02247191011235955,0.0,0.011235955056179775,0.07692307692307693,0.006722638509133325,3.0074267329219477,0.17408212353063776,53.0,0.7871913371241334
11.0,45.0,0.4326923076923077,4.523762107100783,4.529999999999999,-0.008421967914976847,-0.40253266372221996,0.024390243902439025,0.03389830508474576,0.0,1.0,0.0,1.0,0.0,0.15254237288135594,0.1016949152542373,0.0,0.0,0.0,0.007946512040767325,4.534428682010441,0.09558750008902289,27.0,2.1742572195243577
