i,treat_shannon,control_shannon,type,qmd_MAE
1,1.55915267,2.81582878,1,0.685187423
2,2.254183711,3.221212277,1,0.919702458
3,1.389038675,2.813764989,1,0.657516622
4,2.333483803,2.852248669,1,0.806406362
5,2.005115273,2.826208535,1,0.636241348
6,2.376794344,2.909773423,1,0.524592295
7,2.187376317,2.690854293,1,0.729009069
8,2.209768936,3.035630988,1,0.905077895
9,1.320266376,2.802882217,1,0.886776746
10,2.880615409,2.690820326,0,0.485017262
11,0.805549438,2.767237377,1,1.097518271
12,2.018664981,2.809714619,1,0.907549158
13,1.651163362,2.875089816,1,0.930467575
14,1.401153728,2.902184552,1,0.742911426
15,1.667689169,2.863440643,1,0.408695599
16,1.811895727,2.840274157,1,0.76153782
17,2.243647436,2.838171928,1,0.765389084
18,1.593140443,2.843281966,1,0.575901639
19,1.437903092,2.900937957,1,0.752480466
20,1.914630544,2.880982662,1,0.736993713
21,0.763831105,2.694470074,1,0.578749933
22,2.24221261,3.013689109,1,0.846765575
23,1.803160616,2.821500227,1,0.744508425
24,2.112361044,2.823308553,1,0.573819053
25,1.540987079,2.86564457,1,0.639813227
26,2.086184387,2.730012236,1,0.5931294
27,1.044663737,2.768103286,1,0.644597899
28,1.434926347,2.838217704,1,0.454399982
29,1.724511007,2.929187448,1,0.851674499
30,1.575924241,2.801109718,1,0.539610559
31,1.366172948,2.838537545,1,0.728967805
32,1.136543157,2.806956322,1,0.801550663
33,1.032803898,2.715240187,1,0.689306506
34,1.137010587,2.808691618,1,0.536077993
35,1.839030753,2.717143045,1,1.059918187
36,1.195289292,2.920890539,1,0.571026437
37,0.42934092,2.830059615,1,0.836837476
38,1.408866661,2.855414043,1,0.514885916
39,1.342230889,2.799094675,1,0.452578517
40,1.392829461,2.981158615,1,1.001206721
41,1.46927239,2.765621115,1,0.53674006
42,2.894468213,2.732187308,0,0.627853122
43,0.714502217,2.921630477,1,0.827995059
44,2.050743732,2.5949089,1,1.00691433
45,1.335132191,2.812073126,1,0.799759841
46,1.74308955,2.739833711,1,0.867522753
47,1.911625528,3.01875249,1,0.885990193
48,1.125860382,2.753501149,1,0.528454982
49,1.105820436,2.774683538,1,0.638709192
50,1.274932335,2.827859937,1,0.639036843
51,1.643279103,2.727478978,1,0.83438758
52,1.400988014,2.899210048,1,0.711853679
53,1.998691903,2.944792009,1,1.070615368
54,2.746450355,2.977428281,1,0.75241594
55,2.000628652,2.766861395,1,0.710631889
56,1.499539076,2.72947007,1,1.386034354
57,1.794824567,2.888240435,1,0.678276991
58,2.699171249,2.743069432,1,0.808171492
59,2.042427156,2.844731039,1,0.649008878
60,0.876138661,2.845181805,1,0.815262433
61,2.871566912,2.823172369,0,0.515830276
62,1.585114048,2.827357468,1,0.666015768
63,1.826994053,3.013197265,1,0.719895237
64,1.680249697,2.838906614,1,0.714675322
65,1.477412407,2.788391829,1,0.762376331
66,1.216779549,2.75622664,1,0.671379666
67,1.689905242,2.76409432,1,0.6451052
68,1.919961136,2.889418313,1,0.659609146
69,1.609030372,2.876588613,1,0.961626074
70,1.696731196,2.763566192,1,0.548595078
71,1.441638714,2.861118884,1,0.7463666
72,1.739783486,2.811705564,1,0.639650125
73,2.261504173,2.861696366,1,0.466444853
74,2.410795695,2.786109923,1,0.68843794
75,1.813850954,2.572306789,1,1.768306622
76,1.247979975,2.871937486,1,0.670634426
77,1.983274796,2.823382967,1,1.044605567
78,1.179537686,2.910578057,1,0.564662097
79,2.57898267,2.972024451,1,0.80181925
80,1.372782418,2.461982581,1,0.74094299
81,1.461612095,2.843769822,1,1.488935035
82,3.016529749,2.861155067,0,0.541305651
83,0.444894668,2.863345254,1,0.658291985
84,1.080152373,2.883956304,1,0.783383701
85,2.338867793,2.869582787,1,0.538105219
86,0.994111199,2.82691661,1,0.596412796
87,0.373566505,2.779605179,1,0.639560548
88,1.89008974,2.952997412,1,0.752433113
89,1.600951554,2.887820288,1,0.808606594
90,0.504953482,2.841952243,1,0.796053235
91,1.505919228,2.894432276,1,0.53965676
92,1.272001652,2.691437843,1,0.701935104
93,1.729381254,2.520193625,1,0.888467029
94,1.101175201,2.760804631,1,1.328683645
95,1.128360964,2.913107299,1,1.078371991
96,2.393736595,2.891352587,1,0.582997675
97,1.448728852,2.831030058,1,0.77979633
98,2.346902133,3.046349542,1,0.749349318
99,2.658037918,2.736256494,1,0.653394415
100,1.266107282,2.718946965,1,0.584717756
101,1.11447633,2.908285766,1,0.633805269
102,0.6680427,2.814477797,1,0.752256045
103,2.386559272,2.769859916,1,0.698206621
104,2.552705566,2.724416037,1,0.495497429
105,1.212474535,2.802241797,1,2.273655934
106,2.124252151,2.809976277,1,0.880476443
107,2.124937351,2.998648709,1,0.77327603
108,1.69642227,2.719677045,1,0.708031201
109,0.546899327,2.83760054,1,0.682131681
110,0.450309101,2.810517744,1,0.961135051
111,1.929344081,2.855866293,1,0.728523952
112,2.077538987,2.755178016,1,0.6208884
113,0.51430822,2.881627339,1,1.613050695
114,1.468730099,2.828804821,1,0.857310724
115,2.110416516,2.822349787,1,0.790473911
116,1.51098474,2.813587893,1,0.850034296
117,1.859355002,2.904262559,1,0.63644984
118,0.4929049,2.859704669,1,0.557541458
119,2.709635388,2.862184647,1,0.487202232
120,1.871195655,2.753783846,1,0.531873747
121,1.346557002,2.843343027,1,0.661672845
122,1.251569541,2.835434366,1,0.600993346
123,2.134218835,2.824478113,1,0.581563867
124,2.409581146,2.793010749,1,0.557653833
125,1.946974359,2.785806047,1,0.519607239
126,1.62866668,2.63516713,1,0.620358732
127,1.688476403,2.644301393,1,0.677623902
