i,treat_shannon,control_shannon,type,qmd_MAE
1,2.578906347,2.707471983,1,0.627895412
2,0.553857285,3.02579588,1,1.444573709
3,2.549189447,2.699448865,1,0.788681785
4,1.524234408,3.009185458,1,0.927412053
5,0.667710675,2.864419498,1,1.985526772
6,1.250288891,2.755817571,1,0.719256645
7,1.875249685,2.736999933,1,0.722833865
8,2.054391179,2.768337138,1,1.212452164
9,1.365285985,2.90228742,1,1.096829438
10,1.692342929,2.754374662,1,0.713570392
11,1.613802776,2.793179266,1,0.781982649
12,1.275446447,2.973682607,1,0.605751268
13,1.606944683,2.537812789,1,1.393254486
14,0.910792537,2.724630135,1,0.703912004
15,0.495321985,2.796071648,1,0.682102123
16,2.600691554,2.797952673,1,0.813287877
17,1.914704325,2.733392696,1,1.809220805
18,1.247769016,2.709052948,1,0.623720335
19,1.594064794,2.68637893,1,0.753928626
20,1.269251102,2.753138186,1,0.610600425
21,0.581412437,2.754280267,1,1.364692158
22,1.153827786,2.689142214,1,0.615979703
23,0.162057612,2.783297304,1,0.646831357
24,2.469983798,3.018673908,1,0.975812873
25,2.398014761,2.711889191,1,0.67270495
26,1.932399887,2.734878282,1,0.62703478
27,0.751434288,2.639385199,1,1.027820727
28,0.314548908,2.779844371,1,0.658395788
29,1.932090853,2.629169858,1,0.864166345
30,1.639815488,2.707329307,1,0.679925659
31,1.451194763,2.896967798,1,1.001780998
32,1.569005815,2.623596555,1,0.97596123
33,1.162321369,2.738395705,1,0.771083907
34,0.443627509,2.683233902,1,0.620045715
35,1.638005076,2.627371971,1,0.787769515
36,1.669536805,2.734636602,1,0.854679535
37,2.496268465,2.716109493,1,0.643245656
38,0.419149724,2.619378265,1,0.511355813
39,0.717203547,2.739673236,1,0.660997447
40,0.957523967,2.850255629,1,0.797422195
41,2.427945665,2.749754676,1,0.892703421
42,2.777734502,2.714735737,0,0.741403701
43,1.55927725,2.740454186,1,0.989675022
44,1.538865345,2.695956558,1,1.166782653
45,1.598363123,2.761065633,1,0.669670811
46,1.764306996,2.866136837,1,1.109265159
47,0.874231903,2.717762686,1,0.983712159
48,2.089877153,2.704669722,1,0.827736741
49,0.552219386,2.787384833,1,0.642984934
50,1.847428252,2.695647319,1,0.756431895
51,1.624499134,2.993845519,1,0.985258984
52,1.44722831,2.753555244,1,1.05755183
53,0.994992208,2.515937665,1,1.029348126
54,2.546888902,2.657700302,1,0.771386919
55,0.803041175,2.800428282,1,0.731999232
56,0.975870549,2.788247406,1,1.171191918
57,1.080971807,2.616165127,1,1.047577514
58,0.862767414,2.282282249,1,0.902277427
59,1.730827521,2.869039778,1,0.982639745
60,1.270913947,2.745063166,1,0.632391288
61,2.718752065,2.634576369,0,0.647095298
62,1.573776573,2.686552851,1,0.572803266
63,1.408617474,2.753750892,1,1.308798412
64,1.639224955,2.819367815,1,1.008546271
65,1.740027397,2.824088788,1,1.095801498
66,1.613124422,2.788732189,1,0.723309368
67,0.788403321,2.788765057,1,0.841633745
68,2.166344621,2.814642028,1,0.569865165
69,1.559918383,2.826657386,1,0.776498686
70,1.480187035,2.73999355,1,1.037351722
71,0.309653958,2.579407031,1,1.080202561
72,0.839122672,2.761505905,1,0.734355428
73,1.128198532,2.768336589,1,0.838366918
74,2.189784231,2.753812376,1,0.783418272
75,1.076512551,2.9861871,1,4.313542129
76,0.983314425,2.675912733,1,0.770503046
77,1.075026683,2.891534161,1,0.834583412
78,1.76554631,2.700144501,1,1.057098539
79,0.332976463,2.807615902,1,0.54436579
80,2.725071554,2.617588165,0,0.71121031
81,1.511257431,2.726895234,1,0.953735442
82,0.71112877,2.674258789,1,0.598793231
83,0.970192884,2.653529781,1,0.567963732
84,2.468624657,2.685202931,1,0.685434909
85,2.727751229,2.763681302,1,0.500465006
86,1.320466937,2.906909725,1,0.775597168
87,1.140970073,2.72956574,1,0.71581742
88,1.298092071,2.520222774,1,1.186401854
89,1.077065173,2.803567506,1,0.713232196
90,1.478132766,2.770504035,1,0.511458827
91,2.667730325,2.85689055,1,0.6609808
92,1.087542723,2.757297571,1,0.812404842
93,2.188849277,2.808091733,1,0.726706771
94,1.433490963,2.798764369,1,1.236529347
95,1.714595638,2.762267525,1,3.664694629
96,1.954146615,2.756525374,1,1.041892088
97,1.665547572,2.689556388,1,1.147125787
98,2.777529798,2.762569841,0,0.568692909
99,2.306339096,2.796235493,1,0.51351146
100,1.082067552,2.669625431,1,0.615345526
101,2.433966981,2.560411179,1,0.59389699
102,2.256469851,2.643742559,1,0.778127999
103,2.305429615,2.913886436,1,0.750711952
104,2.820136524,2.708758715,0,0.646045968
105,1.612765616,2.627279873,1,1.202343497
106,2.556338864,2.651193054,1,0.558484583
107,0.526851975,2.716325702,1,0.787582724
108,1.499528578,2.727237864,1,0.570452689
109,2.418548934,2.88502255,1,0.582322341
110,0.845654386,2.747278455,1,0.876810958
111,1.77041146,2.869302205,1,0.896572805
112,1.459143624,2.767352437,1,0.766627984
113,2.069509385,2.822222622,1,0.572422379
114,1.090580256,2.887646664,1,0.877535202
115,2.499222577,2.782047887,1,0.514109067
116,1.663110442,2.831144291,1,0.603815706
117,2.318771756,2.526145386,1,0.893175915
118,1.434343166,2.732537976,1,0.947226292
119,1.519983273,2.803028165,1,0.765376034
120,0.439859963,2.693919485,1,0.645237618
121,0.649250378,2.637626676,1,0.881006563
122,1.363751564,2.821855744,1,0.667516524
123,2.856804781,2.754476158,0,0.747015007
124,2.291731135,2.820373747,1,0.571752005
125,1.138654833,2.653997052,1,0.632943651
126,1.254067661,2.741264682,1,0.62572939
127,0.84876564,2.601592897,1,0.618665344
128,1.353938229,2.73886001,1,0.76375143
129,1.901576618,2.806077645,1,0.712896375
130,1.250905263,2.766534288,1,0.672376084
131,1.100485173,2.890775027,1,1.108792567
132,1.400688916,2.768197207,1,0.613941599
133,2.803927311,2.592466653,0,0.680193588
134,1.608056441,2.852010017,1,0.692325363
135,1.55349469,2.782637578,1,0.77380413
136,1.33003816,2.748699829,1,1.202126822
137,2.508063181,2.800735207,1,0.715313401
138,1.999321766,2.644173869,1,1.295574049
139,2.32576292,2.64234335,1,0.663384725
140,1.451342385,2.819028676,1,0.992875642
141,1.757158698,2.767342932,1,1.121986654
142,1.181539724,2.759643946,1,0.681507936
143,1.511664856,2.794382859,1,0.664736518
144,1.718928316,3.077688444,1,0.752336156
145,2.422573804,2.702476852,1,0.605414499
146,1.387830609,2.873215201,1,1.007820222
147,0.824093491,2.625493366,1,0.864349677
148,1.891569465,2.753415409,1,0.747699708
149,2.505531421,2.487137787,0,0.608557819
150,1.368652389,2.720920437,1,0.726960255
151,1.927817329,2.841678757,1,0.636766772
152,0.847951664,2.709072002,1,1.183365689
153,0.621535335,2.722679379,1,0.588535597
154,1.082680099,2.849697867,1,0.553123382
155,1.944499387,2.93305046,1,1.104434106
156,1.848251138,2.776731433,1,0.937800512
157,1.117458037,2.54826119,1,0.710033941
158,1.193061574,2.864354029,1,1.043414109
159,2.32344359,2.729324132,1,0.543065915
160,1.505876552,2.680984517,1,0.577483727
161,1.333438721,2.561983723,1,0.703438443
162,2.362626162,2.7785097,1,#N/A
163,1.739540774,2.702153857,1,0.783051689
164,2.07665194,2.729298199,1,0.7617389
165,1.07517132,2.746245627,1,0.899150624
166,1.74015391,2.731347441,1,0.841545183
167,1.503116096,2.854317375,1,0.950468116
168,0.572968861,2.844569151,1,0.702258006
169,1.307660187,2.726113079,1,0.781199005
170,1.890006865,2.802445519,1,1.375667907
171,1.695136466,2.656844834,1,0.660334812
172,2.438494822,2.703868889,1,0.739310311
173,1.373183421,2.676163032,1,0.914580351
174,1.497639895,2.705475113,1,0.79236082
175,1.547812764,2.712236549,1,0.697559704
176,1.729975795,2.640392238,1,1.13640438
