i,treat_shannon,control_shannon,
1,2.692128919,5.272428026,1
2,3.544908211,5.273828511,1
3,2.85729582,5.270905987,1
4,3.280809888,5.270929904,1
5,1.9901732,5.274679463,1
6,3.798795557,5.273030402,1
7,3.312331157,5.27333341,1
8,0.780265364,5.275220454,1
9,2.634850414,5.272184433,1
10,1.550599867,5.272682421,1
11,2.830678319,5.275463285,1
12,2.92988276,5.275199372,1
13,3.4318718,5.270082787,1
14,3.425678381,5.272979842,1
15,2.826818444,5.272690918,1
16,2.813377041,5.273887017,1
17,3.533183347,5.273427414,1
18,3.689248964,5.274195365,1
19,2.701725177,5.270629047,1
20,3.076510085,5.272183439,1
21,2.903390691,5.274296274,1
22,2.678226166,5.274047406,1
23,1.147447768,5.272701031,1
24,4.823723989,5.276905532,1
25,2.960718182,5.273759444,1
26,2.815515359,5.272413793,1
27,2.677130744,5.27181804,1
28,1.773884173,5.271710474,1
29,3.035506856,5.273879846,1
30,2.87692752,5.271808156,1
31,3.692908827,5.275140026,1
32,4.207530567,5.274008467,1
33,3.510647591,5.273354645,1
34,3.290244815,5.272172035,1
35,4.102163246,5.273782673,1
36,2.465663315,5.271964416,1
37,3.447139641,5.271590239,1
38,2.70346039,5.272360962,1
39,3.098697989,5.272544852,1
40,3.181055602,5.273379832,1
41,0.090391483,5.273207978,1
42,3.315408315,5.272620076,1
43,3.608062031,5.274286386,1
44,3.638471102,5.271787207,1
45,2.813678804,5.274465146,1
46,3.396982642,5.273990134,1
47,2.563075236,5.271842254,1
48,2.550180635,5.273948288,1
49,2.863348877,5.2742626,1
50,3.015814863,5.273009571,1
51,3.795545241,5.271988898,1
52,3.635146678,5.274127114,1
53,1.984147175,5.271738534,1
54,2.373773144,5.27660649,1
55,3.163683605,5.272551188,1
56,3.296052986,5.277825744,1
57,2.675650447,5.272102391,1
58,0.736703878,5.271359579,1
59,2.587799211,5.272186658,1
60,3.083512947,5.273447068,1
61,2.355611619,5.272050473,1
62,3.778261129,5.27311509,1
63,4.133368788,5.274314876,1
64,3.370311649,5.274211124,1
65,2.466948067,5.271770054,1
66,2.867896802,5.273555011,1
