taxa326977,taxa469873,taxa357591,taxa190872,taxa263681,taxa361480,taxa347862,taxa517293,taxa2000,taxa322235,taxa158660,taxa331820,taxa244304,taxa361496,taxa127309,taxa248140,taxa348374,taxa470812,taxa268540,taxa291090,taxa541301,taxa171772,taxa259569,taxa104780,taxa138006,taxa181095,taxa278234,taxa177339,taxa510994,taxa193066,taxa405524,taxa346780,taxa549871,taxa544358,taxa302160,taxa192573,taxa175497,taxa263461,taxa302974,taxa194648,taxa195173,taxa287978,taxa199487,taxa190108,taxa191306,taxa299892,taxa174348,taxa192127,taxa183200,taxa182980,taxa181843,taxa194053,taxa109014,taxa518438,taxa193343,taxa357795,taxa352304,taxa179460,taxa469991,taxa175537,taxa288134,taxa190464,taxa178915,taxa363692,taxa366612,taxa261912,taxa185281,taxa511008,taxa470973,taxa162162,taxa181028,taxa204044,taxa470172,taxa328422,taxa21698,taxa213747,taxa262724,taxa82283,taxa316732,taxa293896,taxa196731,taxa167602,taxa470114,taxa170206,taxa365676,taxa223059,taxa187524,taxa191541,taxa212619,taxa357470,taxa326792,taxa325407,taxa188646,taxa171551,taxa290260,taxa367433,taxa310301,taxa193761,taxa327476,taxa189047,taxa180658,taxa269833,taxa367055,taxa203708,taxa181892,taxa589024,condition
12640814.517097123,1262800.6246298878,4999969.415326435,517074.63593034557,19228535.131009728,6006604.623990831,1639458.6621791478,4410788.9586058175,989083.1338667597,15323910.05913571,32704259.15199439,82067334.80854464,20221887.68847589,9802596.584279472,4556423.741386199,3817813.4586857003,7462952.451794653,547909.3619261902,1604828.8929838142,8471485.182058776,953504.6038715527,1017545.9578629233,10358096.032604659,679312.7327084906,1584430.5357865575,870488.0338827336,528459.765528812,1244299.789032378,0.0,1355779.183017361,1042213.738659603,567358.9583235686,2159853.960909043,668876.3639098927,1351509.759417938,16242310.513411978,796484.6914927043,0.0,537947.3735275315,1836326.5281526262,1381395.7246139091,3568763.748719247,2688313.7264378546,794587.1698929623,0.0,808818.5818910442,565935.8171237608,1412704.831009693,1342496.5318191526,0.0,871436.7946826069,1972948.0833342231,888040.1086803699,3039829.602790501,1206823.7374374291,4598169.216580575,1281301.4602273926,901797.1402785173,590129.2175205013,1101036.9082516772,1868584.3953482837,1874276.9601475142,0.0,0.0,800754.1150921275,1147526.187445416,551704.405125679,533677.9499281085,2742867.472430506,813562.3858904063,0.0,0.0,2895143.5808099923,1155590.6542443277,0.0,536049.8519277896,701134.23110555,707301.1763047199,9054498.693580277,1389934.5718127603,6744266.145891452,555499.4483251678,770868.1498961562,778932.616695068,2387556.5528783714,4118096.25184525,3334419.8311508195,2694006.2912370907,1553121.4293907785,3584418.301917142,1139936.1010464386,9871856.122670129,623335.845516032,19315821.124597967,6120930.300375439,3460605.017533819,847717.7746858055,5615240.794043546,3046945.3087895443,28127911.43381085,13702952.232554043,1961088.5733358222,844397.111886251,1183579.097840557,497150.65913302806,1748091.773764515,Control
4664182.544255383,487098.5801072856,1819640.7776171525,202530.4622551342,7105372.504208273,2197925.522870064,589645.6496035567,1651577.5248316047,355781.3605578947,5616730.878687406,12041874.48857041,30282149.622248817,7449474.892962416,3619341.8472767123,1674935.4684390882,1403755.4402156172,2786431.7605903335,208227.52167159374,577112.1188873452,3182377.390034271,367745.1853324591,361763.27294517786,3834120.98727724,256937.37968232218,609015.6516195183,319889.88623419957,203669.87413842647,461176.9597623956,0.0,501910.9345900799,374581.65663221106,204524.43305089523,799012.5831584426,250955.46729504078,496783.5811152673,5902153.55545202,309350.3263137491,0.0,195409.13798456054,678234.9235295024,528117.4079057933,1327984.5499767067,983027.6023100842,292828.8540060173,0.0,311914.0030511572,196833.40283867458,490801.6687279841,462031.5186748644,184869.5780641101,322168.71000078414,732641.8409566903,335841.6526002861,1166188.0625492565,457473.87114169705,1663826.2025769926,479407.54989506496,332708.2699212346,205094.13899254223,399933.57103545574,684501.6888876072,667125.6576674049,180881.636472588,0.0,317326.2094967933,415030.77848907356,198542.52066361386,195978.8439262058,981888.1904267918,299095.61936412216,180596.7835017663,0.0,1039713.3435038566,432976.51565092104,0.0,184015.01915164135,281149.8822022764,259216.20344890672,3383483.587435291,517577.84798534465,2478505.6991306916,193130.31421797597,270610.32228182594,289695.471326964,871934.9436891236,1489211.3314625092,1238825.570109114,962803.0413816519,581954.6193913361,1316875.2841146092,431267.3978259836,3685712.589478463,224464.14100850385,7175446.335030726,2252617.293268075,1257910.7191542538,324447.53376736684,2063474.9206416286,1128872.3233714476,10305125.925462736,5114535.091126498,736629.7825482105,299950.1782765927,449782.8409294764,197118.25580949808,665701.3928132908,Control
9829966.392593982,995046.0247149303,3836368.85310015,393548.4765718222,15021891.109441478,4892633.529726245,1302111.0089043034,3492378.33283736,728793.4751330059,11862814.325898279,25583566.15106899,64837354.446366005,15851743.946459603,7533781.083608243,3508897.651607041,3143529.189407026,5880877.482006607,421728.49094363267,1305026.1828048339,6723362.739260332,717132.7795308764,783210.0546096013,8046851.690101899,532505.0991638491,1226316.4874904708,656885.8522532163,481003.693587784,920223.2279346067,0.0,1097077.111233548,804587.9965468382,424643.66484416305,1578080.804821332,546109.2440329998,1047519.1549245043,12564399.511292992,640366.5334835352,0.0,447965.0560484215,1341951.7188782392,1081529.5170973793,2788849.69817563,2049367.252074008,593723.751075022,0.0,676320.3449234279,423671.9402106542,1070840.5461287627,1009621.89421759,394520.20120533486,674376.8956564064,1544070.4426484606,717132.7795308764,2383640.5260016792,934799.0974372663,3464198.318465549,980470.1552122708,663687.9246877899,447965.0560484215,828881.1123846055,1468275.9212346282,1476049.7183027104,395491.9258388438,0.0,699641.7361276865,877467.3440601366,454767.12848299503,422700.2155771415,2068801.7447442238,620932.0408133197,384802.95487022714,0.0,2201928.019535186,889128.0396622658,0.0,419785.04167661106,571374.0845042762,558741.6642686381,7312227.867167817,1106794.3575686556,5196783.340015077,391605.02730480063,563600.28743619,602469.272776617,1908467.1802149634,3191143.696449051,2566324.757101689,2027989.3101367748,1230203.3860245103,2916145.6251655277,927025.3003691839,7746588.778347096,490720.9399228917,15169593.253735108,4837245.225616149,2732489.6694320133,661744.4754207683,4385393.271033649,2379753.6274676397,22096046.4413992,10720066.15688975,1576137.3555543101,596638.9249755524,930912.1989032233,388689.8534042702,1318630.3276739847,Control
15541492.954185868,1604669.5745791718,6175014.3820673125,626877.9518436103,23730732.991426524,7325910.871945274,1992273.951006735,5468796.699450093,1166889.8743422076,18761494.35965369,40445701.3312046,101047771.0239641,25022433.983744603,12016049.265028318,5575419.262545055,4748780.802785299,9241981.049916476,673290.1263673033,1937394.690590213,10496991.336698925,1158109.1926755686,1225845.8798182479,12726343.692705043,832283.1836883182,1976280.5665424892,1001311.305771212,678307.6587482397,1529406.588865076,0.0,1652022.536424283,1311771.1218418367,674230.9136887274,2684066.228028752,831969.5879145081,1650768.1533290485,19981695.51554336,1020127.052199736,0.0,691165.0854743972,2186389.7349943295,1716309.6700550695,4430481.092369453,3280838.9855867256,978732.4100569856,0.0,995352.9860688454,699004.979819612,1727285.5221383728,1550103.9099364541,0.0,1078455.8661281562,2395871.7118985434,1093508.4632709718,3805798.310942507,1477349.6904128324,5624026.607485405,1598084.0633291851,1143056.5955327472,706844.8741648328,1385152.5329130725,2306183.3205892523,2310573.661422575,0.0,0.0,1065284.8436281888,1443794.942615303,674230.9136887274,694614.6389862956,3274567.0701105488,1010405.583211661,608689.3969627065,602103.8857127257,3494397.7075504577,1454770.794698606,0.0,645380.1024983242,892179.9764857825,907546.1694024081,11297914.943006404,1724149.5644002904,8192689.590752557,666704.6151173167,937337.7679142352,954899.1312475251,3002365.938444592,5083073.897665378,4143227.3635606747,3200244.8717178884,1957151.2243401613,4455568.754274153,1426233.579282013,12183509.408242168,792142.9246408019,23988508.717497267,7449154.0110521,4310373.911000721,1043960.3310091966,6937679.303970108,3675342.469038079,34625363.769314915,16960513.830670267,2455454.9089221978,1010091.9874378568,1472645.7538057,655728.7630340134,2169769.158982464,Control
14812027.55949455,1480265.5301017137,5787645.264434935,589349.6654296969,22228240.561702486,6997217.917337402,1871143.839540123,5184512.865950294,1103169.9537182648,17813906.818862796,38184786.27408013,95374858.81229319,23642348.973140385,11399422.855088705,5280991.9973349525,4467810.747092855,8658312.905120123,636762.2671387268,1857361.1064851684,9977044.80381781,1129632.8011837706,1165467.907126641,11901114.338288913,778448.7629436202,1852399.3225853883,947700.724858417,603683.7078068473,1470341.9623021532,0.0,1566269.7843646107,1251472.1613895318,643929.2883273019,2496328.6109126904,761358.1739554845,1584462.9919971437,18598419.984350614,936674.538414459,0.0,636762.2671387268,2091667.5684193324,1677634.26744861,4171206.331750309,3095601.8441419536,934469.301125664,0.0,921237.8773929111,644480.5976494978,1562961.9284314238,1537050.3902881136,0.0,1019370.9367441632,2223430.496424665,1009998.6782667931,3611627.36971931,1376068.0682062898,5219796.662570968,1477508.9834907288,1062373.0638756086,659917.2586710457,1234932.8817235923,2108206.8480852772,2217366.093880488,599273.2332292631,0.0,993459.3986008533,1344092.1275188022,632903.1018833384,616363.8222173986,3146322.3017841703,962034.7672355673,0.0,572810.3857637572,3340934.492520075,1333617.2503970403,0.0,626287.3900169648,818143.0341418788,867209.563817502,10699260.015897233,1586668.2292859387,7692970.281951329,654404.1654490639,924545.733326098,904147.2884047756,2840345.6279642596,4668487.340372938,3851998.234197652,3077408.6365094143,1827039.09376428,4225234.645325718,1301641.3097095527,11536698.876316043,715048.1908908465,22578321.981298197,7066682.891934381,4092920.40799819,989048.924023269,6550106.057034805,3445683.2637377004,32746119.810596537,15934493.339489743,2291792.852377219,995113.3265674467,1354567.0046405643,618017.750183992,2097731.9709635098,Control
9886604.3114156,961520.7330317922,3865766.6692177784,406200.7563242233,14861817.980285425,4685922.381326152,1242461.3442340093,3400514.70162174,725315.8879445774,11885994.818315452,25278093.76250268,63385808.76990643,15477382.122027881,7415400.591222868,3534125.523085215,2921543.765750445,5889612.728260492,433042.2159932275,1220391.6996172736,6627454.630717261,715175.7809585095,771841.0847041791,7943282.631379894,498058.19608036504,1267513.3732584098,639423.2170037733,434235.1697562927,977029.1319516597,0.0,1007449.4529098632,836260.5879097858,434831.6466378273,1664170.4994780994,516548.9794078973,1037273.2969865287,12599381.16862936,616160.6186239725,0.0,433042.2159932275,1408281.9173002872,1093938.6007322017,2757512.6233287673,2062020.5794608588,600652.2197041016,0.0,602441.6503487051,458690.72189916257,1073061.9098785315,981204.4701223938,0.0,676404.7836588415,1528173.7704884945,651352.7546344409,2433029.1997746136,933486.319599723,3531739.6155590843,1000888.2072129949,724122.9341815122,443182.32297929534,858330.2325265175,1502525.2645825597,1451824.7296522202,390095.88052282546,0.0,657914.0003313054,895311.7991815895,431849.26223015843,444375.2767423606,2094826.807945193,628686.6331361709,399639.51062735874,391885.3111674252,2223665.814356403,889347.0303662557,0.0,405007.80256115814,539215.1009061673,542197.4853138324,7207826.636449242,1053974.649669465,5161314.455908261,405604.27944269264,557705.8842336995,602441.6503487051,1865183.2085548462,3153573.2726669265,2590499.0964994235,2056652.2875270594,1197725.5781190074,2744390.131935034,890539.9841293208,7618799.2078257445,508198.3030664292,14889852.393717518,4696658.965193764,2663269.276046495,631072.5406623052,4339965.7900368115,2344750.6213076753,21589480.727100328,10539150.019813128,1496560.4957672257,607809.9422825044,920960.3050875246,397253.6031012245,1390387.610854286,Control
11285677.142818708,1095018.923016814,4499284.595039537,439369.95666926587,17261449.15038636,5296281.260625661,1416882.9610419744,3910052.0174908345,820838.4461805668,13468903.051539643,29112517.090159323,72169069.85941927,17741690.73093185,8749933.478165451,3978171.3906178554,3457058.1861961666,6794907.469420068,514301.2671089884,1464566.5222308876,7540814.605160891,824244.4148369174,846383.2111032007,9087124.375144199,626698.2327685679,1376011.3371657627,759531.0103662511,473429.64323277643,1030305.5185461477,447884.8783101424,1149514.4215184285,894066.7722921139,519410.2200935143,1806866.372194152,623292.2641122171,1238069.6065835536,14226731.077577721,681193.7312701822,435963.9880129152,495568.4394990556,1597399.2998285752,1188683.061066465,3164144.88174999,2338197.4825848932,728877.2924590909,430855.03502838925,732283.261115446,512598.28278080875,1270426.3088188886,1180168.1394255883,0.0,745907.1357408485,1675736.578924644,745907.1357408485,2559585.445247702,1105236.828985866,4000310.186884135,1181871.1237537637,796996.6655861123,527925.1417343909,926423.4745274448,1718311.1871290312,1631458.9863920815,452993.8312946684,0.0,786778.7596170604,975810.0200445332,517707.23576533893,0.0,2368851.2004920533,705035.5118646366,435963.9880129152,0.0,2576615.288529459,1071177.1424223597,0.0,509192.3141244581,648837.0290348468,711847.4491773378,8102799.433458789,1161435.3118156556,5887216.822502526,493865.4551708803,631807.1857530937,648837.0290348468,2195146.799018158,3596702.9011065545,2930836.0287899505,2338197.4825848932,1459457.5692463617,3222046.348907955,1059256.2521251324,8717576.775930123,524519.1730780402,17210359.6205411,5347370.790470921,3150521.0071245832,771451.9006634783,4844990.413659139,2671982.410907281,24812481.661516327,11961761.92110438,1788133.5445842233,820838.4461805668,1047335.3618279007,483647.5492018284,1515656.0520761514,Control
18145598.858396374,1854280.0379870422,7132467.4732806245,740399.7865342915,27991351.438976415,8660709.159460466,2353431.6323172497,6408218.193337372,1387934.1601699411,22045946.200139355,47401736.84478584,118877317.87355204,29117344.570372492,14163489.577036059,6511682.376186403,5611291.633734336,10980830.371933619,811058.2528702173,2286810.7926290943,12263786.239261592,1367746.0269311105,1467172.583132372,14614189.65159302,976600.9454286697,2350908.1156624,1152237.7046065414,782290.1630048744,1737693.5685327705,0.0,1925443.2076539393,1518147.6195604312,836798.1227497323,3063549.2189932913,992751.4520197373,1910806.8110557857,23575197.2929812,1149209.4846207136,0.0,823675.8361444927,2648683.0809352207,2028907.3905029714,5250428.752090152,3849372.3053149646,1125488.4280650837,0.0,1156275.3312543049,795917.1529410923,2012252.1805809324,1835101.3114101472,0.0,1238541.9742025635,2756689.5937629943,1268319.4707298419,4474699.7323878985,1749806.4484760677,6531365.806094264,1839138.9380579174,1317780.3971649872,832760.496101969,1554486.2593903365,2677451.170800564,2735996.7571931854,728791.6099219657,0.0,1244093.7108432406,1627163.5390501476,790365.4163004081,792384.2296242932,3824137.1387664205,1177472.8711550853,0.0,0.0,4175915.360453128,1674605.6521614075,0.0,766139.6564138068,1032623.0151664349,1046250.0051026529,13280763.451167986,2040515.5671153043,9719576.747837352,788346.6029765297,1112870.8447908082,1147190.6712968284,3509202.26024059,5959032.228773281,4780045.247625281,3878645.098511279,2222713.4695957955,5239829.9821397625,1688737.3454285897,14374960.272712864,906447.1824237155,28071094.565269824,8887320.955066342,5056622.672997328,1224410.280935374,8234234.84479007,4293006.533238378,40512031.673702225,19915593.440111235,2819777.5101343505,1233999.6442238216,1747282.9318212182,741409.1931962343,2568939.954641819,Control
16867065.03318261,1744003.500827459,6526839.000938443,703456.5679596615,25453668.360637873,7893184.189716197,2154701.687353254,5810417.418943858,1259279.2664248177,20228767.70456177,43266761.19211109,108305544.98519976,26787391.90119876,12834109.215801476,5953450.799587263,5042135.780809559,9955876.100047437,713493.998180252,2059764.326516845,11118963.32685822,1262625.0764983434,1304447.7024174682,13579806.635939464,902950.4935938823,2125844.075469058,1085297.1426012604,695928.4952942219,1609752.8716270698,0.0,1761987.229972683,1403985.5521049849,739005.7999909157,2779113.4923257735,893749.5158916733,1761987.229972683,21451243.06017777,1082369.5587869221,0.0,717258.0345129718,2374270.473428656,1821793.5850370317,4764433.544706578,3509754.767132862,1017962.7148714722,0.0,1039710.4803494159,729804.8222887068,1848978.2918844586,1681269.5619487718,642813.7603769314,1122937.5059284717,2538215.1670316225,1145521.7239247968,4019572.5770869856,1587586.8798899385,5950941.442032119,1733129.618088487,1215365.509209736,730641.2748070946,1376800.8452575516,2460006.856562855,2476735.9069305104,689655.1014063513,0.0,1109972.4918935427,1490140.1614983787,706802.378033194,756153.0766177583,3530247.8538332367,1071913.9023071444,657869.9057078171,645741.3441912698,3750653.09242702,1568766.698226333,0.0,702201.8891820861,947700.7033273453,981158.8040626426,12215552.578457678,1816356.6436675424,8807845.018567445,728968.3697703253,1013362.226020371,1035528.2177575022,3219923.9695133334,5381317.277013651,4393048.626544758,3488425.227914112,2118316.0028036186,4780744.368815032,1513979.0582722793,13033184.91517651,816795.8842004885,25584991.406023934,7998158.980773235,4621400.164063174,1148867.533998329,7516362.330184893,4018317.8983094105,36910976.731181875,18039353.23769566,2556198.896176846,1143848.8188880337,1551201.1953402965,703038.3417004676,2321155.738511365,Control
5530974.356461661,559999.7916887923,2152370.490246938,230220.5585410933,8441467.821102396,2597757.0859192656,707846.5538364053,1906243.2675746826,422662.7897706933,6672561.555445816,14268703.797006834,35761021.44257456,8846519.661299309,4260003.487625,1976260.994509143,1660258.0686893184,3255895.3143458264,233913.17700011146,683986.5576396707,3705826.6711984947,413005.1722624931,425787.313082171,4427733.579936554,292711.0247706328,695916.5557380391,360172.3235411559,240304.24740995147,543809.0799838675,0.0,596925.9762789739,454902.18939366046,245843.17509847763,927557.3521479844,285041.7402788252,582581.573803557,7049776.733413206,359178.1570329596,0.0,248257.5794755282,773319.5195905336,610560.2598199635,1553456.180951563,1191721.5957546683,345401.8497050833,0.0,353071.13419689087,243996.86586896962,611270.3787543906,551904.4358363288,0.0,387156.8430493661,833963.6765905631,386020.65275428304,1348799.9040498259,527618.3682789407,1963052.7823288096,574344.1941642091,389571.24742641667,248825.6746230708,462429.4500985813,807973.3235905513,820755.4644102292,221983.17890174527,0.0,368409.703180504,500917.89634450176,238741.98575421266,236895.6765247025,1157067.7917546527,356053.6337214819,215308.0609181361,0.0,1239015.5167874794,516540.51290188613,0.0,235617.4624427349,319411.4967050716,318843.40155752905,4002372.3382150326,616383.235082263,2894018.705362043,240446.27119683602,342561.3739673769,338584.7079345875,1067308.7584431341,1790777.9288369238,1456027.8631482387,1160902.4340005554,681146.0819019664,1561267.4892302554,509297.2997707364,4304172.885346312,291858.882049319,8452687.700266344,2661809.8138045464,1526897.732804009,360740.4186886964,2440110.6824765764,1308323.1247875106,12225691.622661592,5998800.7104618875,864498.7907709046,367273.51288542093,522931.5833117261,225107.702213223,791640.5880987397,Control
