taxa326977,taxa469873,taxa357591,taxa190872,taxa263681,taxa361480,taxa347862,taxa517293,taxa2000,taxa322235,taxa158660,taxa331820,taxa244304,taxa361496,taxa127309,taxa248140,taxa348374,taxa470812,taxa268540,taxa291090,taxa541301,taxa171772,taxa259569,taxa104780,taxa138006,taxa181095,taxa278234,taxa177339,taxa510994,taxa193066,taxa405524,taxa346780,taxa549871,taxa544358,taxa302160,taxa192573,taxa175497,taxa263461,taxa302974,taxa194648,taxa195173,taxa287978,taxa199487,taxa190108,taxa191306,taxa299892,taxa174348,taxa192127,taxa183200,taxa182980,taxa181843,taxa194053,taxa109014,taxa518438,taxa193343,taxa357795,taxa352304,taxa179460,taxa469991,taxa175537,taxa288134,taxa190464,taxa178915,taxa366612,taxa261912,taxa185281,taxa511008,taxa470973,taxa162162,taxa181028,taxa204044,taxa470172,taxa328422,taxa21698,taxa213747,taxa262724,taxa82283,taxa316732,taxa293896,taxa196731,taxa167602,taxa470114,taxa170206,taxa365676,taxa223059,taxa187524,taxa191541,taxa212619,taxa357470,taxa326792,taxa325407,taxa188646,taxa171551,taxa290260,taxa367433,taxa310301,taxa193761,taxa327476,taxa189047,taxa180658,taxa269833,taxa367055,taxa203708,taxa181892,taxa589024,condition
6875010.520185701,682705.6122947495,2734174.100598877,284374.7320094827,10519029.07161092,3223515.2079007667,869108.9951078536,2373227.0246122214,502489.89364141395,8379128.549690083,17859661.319819417,44402678.01051775,10983877.34161373,5312367.500503514,2445674.2591495416,2137580.1478609373,4092366.383668628,282312.177289559,835850.3002490845,4632497.900948667,498880.42288154794,552506.8455995651,5565546.09237414,362751.81136658177,888703.2649471305,451183.8449833127,297265.69900900405,664400.4391554254,0.0,757988.8595719644,579835.6956385524,295976.6023090514,1164054.3200569444,379252.24912597163,744324.4345524693,8803757.00265437,438808.5166637704,0.0,303969.0018487568,985385.5174435537,771911.1039314488,1954786.2358076964,1478593.9148453095,422823.71758436214,0.0,432363.03316400707,288242.02210933797,723698.887353232,704620.2561939369,267874.2942500928,462270.0766029025,1052418.5458410736,484184.7205020924,1659583.0915186158,650736.0141359303,2454182.297369226,675486.670775015,503005.53232139547,304484.6405287384,559725.7871192967,995698.2910431724,1019159.8509823043,274061.958409864,467168.64406272094,603812.8942576661,284890.37068946165,305515.9178886989,1418006.3699475527,445254.000163531,282569.99662954843,266843.01689012966,1539697.0984230503,645321.8079961302,0.0,280765.2612496142,396268.3255653431,414573.49870466714,5007882.8599747745,738910.2284126692,3635768.3325455184,286695.10606939584,434425.58788393077,434167.7685439413,1294768.7254321105,2216215.0465580286,1809118.3087130853,1451522.8841463116,859054.0408482271,1955559.69382767,627790.0928767798,5400799.5341202365,335165.1419876022,10628344.471766874,3261672.4702193574,1922816.63764888,461754.4379229209,3024220.858088147,1640762.2796993128,15345922.754912386,7470315.376223694,1055512.3779209605,464590.45066281565,662080.0650955122,300101.7117488988,948775.1711649081,Control
12035060.399640907,1207782.1472774278,4774404.716585857,495679.3783624148,18193963.943290055,5737401.537048727,1518018.0962348876,4145206.069051868,898855.2107628261,14588507.338176852,31002650.696660355,77632728.27364634,19174414.26299107,9266499.0829952,4295306.162499641,3626837.141679905,7044232.292502438,518368.9273719586,1506673.3217301155,8032536.686860624,914127.0225961759,948161.3461104961,9711563.31356707,664978.3209721107,1566887.8941016048,784534.7907531839,507460.49034813925,1129241.4007059208,0.0,1271487.4194965425,1007939.5810010327,524041.3146243468,1942138.1277210366,620908.2353958763,1267996.719648917,15275738.870677572,769699.3164007867,0.0,545421.8511910328,1701716.1757160276,1373154.0525585504,3413468.113493974,2511122.202883523,715157.1312816858,0.0,757045.5294531571,527968.3519529202,1320793.5548442123,1253161.24529652,464699.4172147628,828168.5388484655,1814291.2458018598,859584.8374770703,2939169.2716982504,1129241.4007059208,4305341.924561554,1193819.347886936,856966.8125913548,538004.1140148388,985250.0319914843,1713060.9502208042,1794656.0591589797,491316.0035528844,819878.1267103619,1040664.8920724952,491752.34103383706,534513.4141672136,2523339.6523502045,774935.3661722223,463826.7422528576,0.0,2743690.0802313806,1107424.5266582775,0.0,510078.5152338548,698139.9695245257,702503.3443340515,8818380.49005666,1309012.4428584832,6252716.102054022,523604.97714339424,714284.4563197806,753991.1670864889,2289899.100040442,3864641.068799197,3105413.8519412777,2484941.9540263535,1477002.3730253214,3373761.4027272663,1075135.5530677678,9327586.33032861,602145.7237149013,18426095.48315695,5745691.949186859,3265113.369970012,794134.2153341455,5300191.381134023,2850592.763064824,26382709.448331766,12998057.220103776,1912903.5164971994,780171.4159436581,1137095.475363072,507024.1528671867,1675535.926858859,Control
11127265.723915994,1124859.2000780762,4307692.508483283,456040.4778636345,16856731.486915305,5254830.0517468555,1402263.5014523459,3824826.120157081,847454.8987038069,13412345.551500086,28608918.98865245,71531899.92821693,17717904.18074199,8548015.400918543,3950724.9953961736,3311170.9027772574,6580273.900510926,471587.3123362582,1340076.1635618506,7421632.001382341,827640.3057485031,859648.4943686115,8922663.627719605,577366.7547284213,1373608.5516400607,728567.3409719786,475245.3910356979,1106873.6464724941,0.0,1168756.144471369,927018.1104166479,484695.4276759193,1891531.5275025659,602058.7859496505,1168756.144471369,14194564.713397173,697778.5119183514,0.0,502680.9812815058,1546757.61008026,1225456.3643127026,3142289.602819734,2292091.1450913437,686499.435928408,0.0,691072.0343027085,487438.98670050234,1259903.2720657692,1105959.1267976332,0.0,741370.6164200237,1664120.9683539914,748991.6137105232,2652411.896986273,1067854.1403451227,4003462.296646447,1111141.4049551745,782219.1618971131,528287.5321775917,947442.3831551925,1594312.6331729924,1698263.0362154378,437445.2444748075,762099.7290501887,1024566.8757350749,474330.87136083684,489268.02605022,2342694.5671002795,715459.2256323174,439274.2838245293,430129.0870759282,2484445.1167036104,1037674.991074736,0.0,452077.55927257024,626750.8171708755,621568.5390133343,8077647.448148758,1253501.634341751,5800493.45774681,475855.0708189385,665465.4834066225,669428.4019976868,2128087.283399746,3563273.4931470603,2953898.5497985263,2298492.782815366,1365377.8745663164,3107233.0152834263,1008715.2013708309,8695557.908462636,556637.6420982563,16912517.187081788,5321285.148120052,3001453.5728912586,731006.0601049413,4925298.128905566,2646924.7789371116,24519491.842569124,12076232.306529263,1718077.629170746,745943.2147943244,1023042.6762769732,457259.8374301115,1530296.2559327753,Control
9831259.02360519,992295.7691800359,3860472.4384073233,386503.6625512057,14835267.794799516,4545307.96716818,1235235.0009822173,3417331.363147311,739398.3109675223,11782241.547830382,25343271.288207226,63165237.58381771,15437740.492624898,7532775.890269275,3451977.6925332737,2975435.066188605,5772659.3722422365,425506.7159916893,1212414.0654585282,6568487.632868327,713880.3557910343,757447.5963362557,7955585.586608187,516375.5319860168,1231915.592178772,641060.8251654438,422187.3071882439,956819.587593212,0.0,1030261.5073694487,799770.0585801883,413266.3960289864,1647464.081760125,516375.5319860168,1046858.5513866752,12383262.004304258,616372.7221898162,0.0,445215.7057621509,1383571.0818861937,1085861.6048271626,2792037.729798233,2038739.394466283,611601.0720348642,0.0,629235.4313031691,433597.7749500903,1098724.3139405155,981092.7644684074,377790.2144421585,673632.5240492546,1493941.4246007649,705996.7598828512,2347444.4131867285,921758.3321068161,3521892.740455848,988768.8973263765,706619.1490334937,428826.12479513837,823420.8463047415,1434399.529188956,1451204.0362564002,381939.475446468,655790.7017307356,891053.8006749443,410361.9133259693,432352.9966487978,2025876.6853529303,635666.7858598457,382769.3276473284,0.0,2194751.608228228,916571.7558514323,0.0,406835.04147230973,574672.6490965298,556623.3637277929,7055818.337824191,1061380.964901749,5173091.157119862,422602.23328867595,587535.3582098827,633592.155357689,1856794.2994274178,3136218.9301055064,2559264.1874566055,2068406.610647077,1233575.2965804928,2755316.7699101167,887734.3918714988,7693352.29113598,484011.2961524202,15002275.550222874,4727460.525257278,2662373.323413636,667201.1694925781,4356931.517572657,2315080.1773531353,21612670.71923471,10564640.906116469,1520911.6211287596,650396.6624251335,908273.2338428207,401855.9282671399,1370085.983622198,Control
11698929.677819278,1178961.9055166715,4393202.72188831,446470.7807873788,17298998.729023475,5448338.746795966,1456262.117021333,3983356.497337398,854572.9788508409,13852802.38982092,29641474.180712093,74686190.29858856,18158803.7873367,8554449.920945683,4077533.9276597365,3563046.1138617774,6949945.552491035,491815.46946109773,1484166.5408205462,7773126.054567753,887709.4821124059,966190.6740476856,9023593.046069926,619129.4030449975,1444053.931609179,762139.5750159568,531928.0786724652,1131873.190355502,0.0,1210354.3822907861,915613.9059116194,566808.6084214763,1953309.6659447823,608665.2441202941,1189426.064441375,14489372.057740396,807484.2636896757,0.0,509255.7343356034,1564391.7592432764,1236514.7796025446,3175872.2336477223,2439893.0559435287,751675.4160912535,455190.9132246316,715050.8598547872,505767.6813607023,1245234.9120397975,1231282.7001401929,0.0,746443.3366288972,1735306.3550134446,802252.1842273197,2727657.426372893,1053391.9984202224,4122878.616333456,1231282.7001401929,814460.369639478,551112.3700344213,936542.223761026,1674265.4279526705,1663801.2690279672,444726.7542999283,810972.3166645769,1008047.3097465034,462167.0191744339,510999.76082305395,2380596.155370205,765627.6279908578,463911.0456618844,451702.86024973047,2504422.0359792034,1079552.395731981,0.0,479607.2840489439,673194.2241559693,654009.9327940132,8257965.418079044,1346388.4483119387,6104092.706077448,0.0,666218.1182061671,725515.0187794906,2211425.5860874876,3714776.41826999,2924732.419454824,2448613.188380781,1423125.6137597722,3350274.882392796,1095248.6341190403,8971272.251446407,561576.5289591247,17464681.2453313,5586116.8393046,3116575.3330743993,803996.2107147746,5082093.18443135,2746841.7177348537,25492435.167066865,12583151.106956787,1728330.2490636425,688890.4625430244,1145825.402255111,0.0,1623688.6598165997,Control
26386387.969705857,2557407.7859258302,10167567.000433158,1076995.4273349338,39639820.681850314,12304216.403306948,3284836.053371536,9200096.531810258,1925813.8573531434,31294018.827993937,67346897.1120254,167990294.38049597,41764604.8808637,19957272.89330985,9321486.694382763,7927781.594772216,15226707.384939538,1096162.2951095356,3221859.2021121248,17492048.614299983,1959584.0529560181,2051767.5598719756,21112761.207721714,1366323.8599325342,3265669.1855969345,1718629.1437895556,1075170.0113563985,2502645.3065698184,0.0,2756378.127586009,2188673.7582620005,1132670.6146802136,4319846.913200196,1398268.6395568736,2815704.146888359,33154117.710119788,1704938.5239505502,0.0,1097987.7110880709,3752142.543876188,2923403.689621847,7425792.200675422,5595812.682195308,1645612.5046481998,0.0,1622794.8049165274,1149099.358487012,2917927.441686251,2573836.5297326287,0.0,1791645.7829309115,4018653.276742125,1767915.3752099713,6297685.125941548,2474351.3589025396,9203747.36376733,2666020.036648587,1821765.1465767156,1222115.997628368,2235221.865714613,3799603.359318068,3894524.990201828,1060566.6835281255,1776129.7471133708,2252563.3175106896,1087035.2152168686,1141797.6945728804,5397755.048524397,1670255.6203584077,1024058.3639574475,0.0,5864148.8310397705,2402247.4277504617,0.0,1076082.7193456662,1483150.4825586996,1479499.650601629,18846507.27037199,2864990.378308775,13775501.6820052,1106202.0829914703,1528785.8820220444,1626445.6368735984,5050926.012602972,8283737.710586298,6708403.7211116515,5357595.896996649,3206343.1662945836,7322656.1978882635,2356612.028287117,20398110.852125775,1270489.521059516,39914545.7866197,12528742.568666562,7103606.280464216,1729581.6396607582,11607820.207496366,6111492.696131097,57640247.64617197,28277518.923466846,4067939.508162531,1768828.083199239,2465224.279009873,1062392.0995066606,3625276.1333680875,Control
10917344.988046896,1108497.665615487,4251458.4016333,439567.4852608709,16530078.96752196,5107710.319048221,1377772.662639701,3810294.4242951954,789199.2501717565,13136468.975380847,28027482.74362498,70129639.64000963,17214441.904623013,8283665.224661866,3919920.2135975417,3262165.4777834527,6249202.154259548,498637.6921179592,1334667.3765547967,7304483.41730109,817403.9435359518,867959.5259812103,8693431.52448131,592298.5606481218,1368725.8742021292,693409.7255386343,489058.7396546495,1038252.0142178672,0.0,1163310.56026666,891906.9071394909,499169.8561437011,1890778.7834526268,586444.756364985,1114883.6339243613,13744732.456801172,671058.8364575756,0.0,498637.6921179592,1536357.5423100886,1181404.137141804,3123270.667065431,2261164.9453673577,685959.4291782841,0.0,721082.254877092,484801.42744873033,1173421.676755712,1104240.3534095718,0.0,728532.5512374463,1626825.4266858117,779088.1336827046,2581527.6888625682,1048363.1307069188,3900762.3086709185,1076035.6600453765,781216.7897856643,485333.59147447237,904146.6797314979,1589041.7808583023,1639597.3633035605,443824.79746678576,716292.7786454351,950444.9499708412,457661.0621360147,485865.7555002101,2256907.6331614424,691813.2334614168,440099.64928660874,416684.4321540701,2437311.237887147,1018561.9452655014,0.0,469368.6707022839,581655.2801333322,619438.9259608374,7879752.729125541,1174486.0048071917,5716505.964494289,458725.39018749446,654561.7516596493,668930.180354616,2065860.7479209404,3490996.0088514597,2768317.261897151,2281387.178345461,1358614.7577130774,3046106.883333195,959491.7384084132,8480033.75015978,511409.6287357082,16645558.56110747,5204032.00770706,2935416.7659793682,747690.4561640699,4763932.358420488,2577802.5406823903,23748351.812653266,11748053.032226369,1699731.8982121286,695538.3816415939,1013772.4690338487,451807.25785287796,1477287.335452996,Control
24908921.16693013,2650229.846989477,9967212.785889402,975867.6747508955,37708579.75567527,11850110.996508295,3281911.8273261543,8713971.933875239,1763445.5284399018,29770037.945097957,63880864.8832788,161686291.50540826,39644118.13132226,19584166.012168955,8839498.481249837,7270416.639067375,14644088.986458981,1158083.6306172446,3130065.1974375253,16776015.67009532,1927439.8887196206,2000326.27106616,19865588.432895903,1313979.5039695736,3087548.1410687156,1599451.1681601827,1075074.139611465,2512555.569223788,0.0,2646180.6035257773,2057015.6795579102,1091271.113466255,4215262.445708239,1336250.3430199034,2654279.090453168,32148968.480019793,1635894.3593334523,973843.0530190455,1109492.709052885,3539038.7872708933,2731214.716263407,7031511.274709275,5353099.859007004,1532638.6510091927,985990.7834101354,1575155.7073780026,1206674.5521816043,2723116.2293360173,2482186.243246058,0.0,1658165.1983837918,3757697.934310512,1793814.8544176312,5919993.9439245425,2332364.2350892886,8543903.70839998,2538875.6517378176,1791790.232685781,1109492.709052885,2188616.09212805,3628122.1434722226,3773894.908165302,963719.9443598056,1639943.6027971522,2334388.856821129,1044704.8136337448,1062926.4092203751,5160760.794481415,1635894.3593334523,981941.5399464451,0.0,5535315.814873354,2346536.587212219,0.0,1038630.9484381953,1488096.9729085327,1384841.264584263,18258038.777808312,2725140.851067857,13269370.830534037,1034581.7049745048,1548835.6248639824,1530614.0292773428,4737614.852525107,7997255.840800933,6501060.380965009,5231622.555096105,3164483.7668789546,7221825.717503016,2277699.448329379,19634781.555465207,1263363.9606733639,38475911.39204581,11896677.296340842,6869541.536161408,1635894.3593334523,11094927.09052885,5875452.265823872,55561694.18711389,27237236.15855572,4045194.2202329803,1625771.2506742124,2360708.9393351586,0.0,3472226.2701199036,Control
16796528.68113475,1711700.3192566002,6557262.918057565,681796.7581527429,25326196.581918754,7851175.003573865,2135195.221897731,5844530.007442387,1242552.065408765,20079064.703095693,43158335.49305821,107846130.64300951,26525798.45507387,12847513.8017549,5948451.451636599,5019165.473784355,9880646.675308732,712732.9106151772,2023765.002833999,11173958.058835464,1263876.9860382106,1289406.8205945925,13455424.215191495,886636.1365933458,2109064.685351788,1054231.9916811164,711231.155641277,1599369.0472085294,0.0,1715304.5311939686,1391225.8078253292,731655.0232863773,2848228.4835076923,875222.7987916729,1756752.9684737436,21233313.576038852,1045221.4618376828,0.0,730453.6193072544,2393196.7264145594,1825232.995283794,4726022.902878156,3525219.625743937,1009479.6934587507,0.0,1057836.2036184848,726248.7053803247,1828536.8562263849,1700887.6834444888,646956.0427581562,1109796.9257155873,2535262.746945948,1176174.4955621762,4068554.5753026665,1571736.7556886796,5971278.127239944,1688573.292658464,1201704.330118558,742768.0100932728,1397232.8277209497,2410016.382122298,2485704.832807091,644853.5857946882,1129019.3893815712,1507761.9938003365,702220.6257978496,727450.1093594475,3507198.5660570823,1065945.6804775733,646054.989773811,0.0,3770306.0374851925,1553715.6960018247,0.0,681496.407157959,952112.6534555892,961423.5342938005,12085523.327995604,1872087.7504696213,8775054.66352005,702520.976792627,1012783.5544013416,1014285.3093752483,3187324.75661538,5375381.753594552,4384223.47081744,3548947.3543316354,2073022.5659780784,4789096.611782155,1521578.1395602613,13042441.597367698,813650.8448615752,25641865.47743353,8010661.381802547,4544310.551035684,1119708.50854336,7457715.2004108615,3978749.6278631636,36860575.83449138,18021059.686856642,2585121.0120795825,1110097.2767103713,1581948.6895112297,706125.1887300018,2316006.520755859,Control
10522765.76469039,1095092.7884536674,4142339.5450189007,416371.080401295,16111349.991634108,4987609.685231773,1364444.3457752098,3671434.907184501,794421.2826063595,12668366.473696355,27194558.59994431,68385081.02109441,16891400.94491691,8213564.38338515,3804084.1009406666,3218585.2985002617,6203560.627996635,449533.3788403341,1305489.1485502506,7077202.95687402,797737.5124502651,825741.2311321208,8443858.122545186,589551.9722496176,1319859.4778738345,677247.8281217488,459850.53835470456,1022504.2018704322,0.0,1121254.1572222456,899803.6976459802,452481.1387015816,1787079.415881658,574076.2329780678,1083670.218991331,13502582.514429571,652928.8092664523,0.0,480484.8573834376,1524728.7882305768,1171366.0748634622,3033981.837189603,2209346.016005448,680195.5879829963,0.0,689407.3375493969,477905.56750484795,1168418.3150022149,1052718.7404482279,0.0,741730.0750865533,1637849.072905974,736939.965312024,2582974.5784186414,1030610.5414888669,3721915.294808376,1059351.2001360345,743572.4249998309,478642.5074701598,892802.7679755151,1527676.5480918242,1586631.7453167872,428899.0598115971,717411.0562312569,950284.0852698546,432583.7596381565,486011.90712327877,2236612.794721992,665088.3186941004,409370.15073083,0.0,2388422.42757627,982340.973760928,0.0,436268.459464716,624188.1506192845,612765.5811569482,7622170.061222246,1173208.42477674,5531839.849614691,462429.82823329425,654034.2192144222,648507.169474581,1977578.396914816,3420138.379013103,2789317.768706011,2215978.475693255,1345283.906677101,2998977.188837278,940335.3957381423,8159767.765917393,535755.3547818414,16175832.23859891,5024088.213514714,2849746.845861594,718147.9961965687,4758421.356019739,2564182.609303186,23361365.37037379,11419621.702475134,1651482.4622642458,702672.2569250149,998922.1229804476,449164.90885768016,1444402.3320115642,Control
