"","taxon","mean.difference (Treat - Control)","se (Treat - Control)","W","p.val","q.val","diff.abn"
"1","taxa326977",-0.00533799728307827,0.0290775045925275,-0.183578245722298,0.854344330459087,1,FALSE
"2","taxa469873",-0.0135894611006435,0.0280753487288953,-0.484035344738467,0.628360785335991,1,FALSE
"3","taxa357591",0.00740832784731182,0.0302228513461135,0.245123392312371,0.806360890897262,1,FALSE
"4","taxa190872",2.00325333691181,0.593074375511637,3.37774387096667,0.000730831176046649,0.0745447799567582,FALSE
"5","taxa263681",2.19804868748844,0.0257182967645248,85.4663396885746,0,0,TRUE
"6","taxa361480",-0.0195968116049734,0.027248319648583,-0.719193398261257,0.472021766465279,1,FALSE
"7","taxa347862",-0.00718437058890942,0.0294493473889659,-0.243956869197083,0.807264224174828,1,FALSE
"8","taxa517293",-4.80002416292535,0.0294766443196827,-162.841608117522,0,0,TRUE
"9","taxa2000",0.00986503415734319,0.0301360764839093,0.327349652255179,0.743403442124629,1,FALSE
"10","taxa322235",-0.00257648450736525,0.0291818578911492,-0.0882906262163211,0.929645689056893,1,FALSE
"11","taxa158660",-5.49649170937517,0.0300756487388216,-182.755549418301,0,0,TRUE
"12","taxa331820",-0.012856501144821,0.0290030680014386,-0.443280729617406,0.657562692484831,1,FALSE
"13","taxa244304",0.00122762575772128,0.0299814517506126,0.0409461745859655,0.967338806296342,1,FALSE
"14","taxa361496",-0.0265499491393086,0.027151200160335,-0.97785545325894,0.328145819994534,1,FALSE
"15","taxa127309",-5.00436126123292,0.030155448734419,-165.952140367953,0,0,TRUE
"16","taxa248140",0.00899044749534639,0.0300854463867463,0.298830450436893,0.765069415846822,1,FALSE
"17","taxa348374",-0.0214825970337564,0.0286577835790521,-0.749625210006104,0.453480463069167,1,FALSE
"18","taxa470812",-3.65385908474772,0.289134999595921,-12.6372078435823,1.31646331514031e-36,1.34279258144312e-34,TRUE
"19","taxa268540",0.000756570041962945,0.0290354884080678,0.0260567355137971,0.979212085393009,1,FALSE
"20","taxa291090",0.000450667759285039,0.0297161106811683,0.0151657719989122,0.987899928508555,1,FALSE
"21","taxa541301",-0.0139287257194329,0.0272704183611454,-0.510763184303707,0.609516891360595,1,FALSE
"22","taxa171772",0.0144834395802729,0.0304132346312015,0.476221610621254,0.633916505081844,1,FALSE
"23","taxa259569",-0.0146216886275603,0.0282101053122575,-0.518313861848899,0.604239302938183,1,FALSE
"24","taxa104780",0.0137724683013598,0.0301038354866311,0.457498789729836,0.647312571995794,1,FALSE
"25","taxa138006",-0.0110168925196295,0.0286021669009629,-0.385176848935126,0.700106394481089,1,FALSE
"26","taxa181095",0.0112170417814621,0.0314386612980936,0.356791330111193,0.721248027241165,1,FALSE
"27","taxa278234",0.17688550962907,0.168860766101359,1.04752284212008,0.294858502742004,1,FALSE
"28","taxa177339",0.00870667054053165,0.0295114390515739,0.295026973280292,0.767973274600725,1,FALSE
"29","taxa193066",-0.00803373231119586,0.028479921733955,-0.28208407264047,0.777879045717372,1,FALSE
"30","taxa405524",0.0195819857578385,0.0288785288849099,0.678081138962408,0.497720248775072,1,FALSE
"31","taxa346780",0.344407296676639,0.240261683337589,1.4334674255683,0.151724301558153,1,FALSE
"32","taxa549871",-0.230099784514161,0.0305800100569045,-7.52451631264942,5.29158469009285e-14,5.3974163838947e-12,TRUE
