item,value,type
MicrobiotaLoads_ori,0.0882893434628933,MicrobiotaLoadsFoldChange_ori
taxa470172,6.734747411467083,TaxaFoldChange
taxa127309,7.52149172495578,TaxaFoldChange
taxa182980,9.55908950510284,TaxaFoldChange
taxa328422,1.5602015540343679,TaxaFoldChange
taxa357591,1.8196907405753198,TaxaFoldChange
taxa357470,-2.0841796743881176,TaxaFoldChange
taxa2000,-0.7351231456704568,TaxaFoldChange
taxa193343,0.03501112567603215,TaxaFoldChange
taxa322235,5.156345837333006,TaxaFoldChange
taxa212619,1.4498519207132698,TaxaFoldChange
taxa346780,5.817968704532952,TaxaFoldChange
taxa287978,-8.262087723360594,TaxaFoldChange
taxa248140,-5.169751343527134,TaxaFoldChange
taxa185281,4.366061042112687,TaxaFoldChange
taxa193066,6.671946780311373,TaxaFoldChange
taxa195173,-3.5021062873296653,TaxaFoldChange
taxa517293,5.31583043531527,TaxaFoldChange
taxa191306,-5.170106565590693,TaxaFoldChange
taxa325407,1.4845752383735817,TaxaFoldChange
taxa352304,-8.106509958725287,TaxaFoldChange
taxa199487,4.816505261731258,TaxaFoldChange
taxa193761,9.847289048530342,TaxaFoldChange
taxa183200,-2.4518990814687864,TaxaFoldChange
taxa171772,8.146677528768084,TaxaFoldChange
taxa190108,0.6366587840093487,TaxaFoldChange
taxa109014,9.759354179220566,TaxaFoldChange
taxa180658,9.769181200603562,TaxaFoldChange
taxa170206,-5.027993137411839,TaxaFoldChange
taxa541301,-8.63698108584467,TaxaFoldChange
taxa469991,-4.857122035818331,TaxaFoldChange
changedTaxaCount,31,changedTaxaCount
totalTaxaCount,105,totalTaxaCount
MicrobiotaLoads,5.583291123892369,MicrobiotaLoadsFoldChange
taxa326977,0.45147293493147134,ranksums_on_loads
taxa469873,0.3728414517245613,ranksums_on_loads
taxa357591,1.5623403297906876e-19,ranksums_on_loads
taxa190872,0.7336665412584173,ranksums_on_loads
taxa263681,0.4895597929365947,ranksums_on_loads
taxa361480,0.4776598184585892,ranksums_on_loads
taxa347862,0.43728291795596386,ranksums_on_loads
taxa517293,1.6730609883127702e-22,ranksums_on_loads
taxa2000,3.772191145956049e-07,ranksums_on_loads
taxa322235,1.6730609883127702e-22,ranksums_on_loads
taxa158660,0.4925595290979924,ranksums_on_loads
taxa331820,0.46883971173324346,ranksums_on_loads
taxa244304,0.46883971173324346,ranksums_on_loads
taxa361496,0.4835899420017913,ranksums_on_loads
taxa127309,1.6730609883127702e-22,ranksums_on_loads
