taxa326977,taxa469873,taxa357591,taxa190872,taxa263681,taxa361480,taxa347862,taxa517293,taxa2000,taxa322235,taxa158660,taxa331820,taxa244304,taxa361496,taxa127309,taxa248140,taxa348374,taxa470812,taxa268540,taxa291090,taxa541301,taxa171772,taxa259569,taxa104780,taxa138006,taxa181095,taxa278234,taxa177339,taxa510994,taxa193066,taxa405524,taxa346780,taxa549871,taxa544358,taxa302160,taxa192573,taxa175497,taxa263461,taxa302974,taxa194648,taxa195173,taxa287978,taxa199487,taxa190108,taxa191306,taxa299892,taxa174348,taxa192127,taxa183200,taxa182980,taxa181843,taxa194053,taxa109014,taxa518438,taxa193343,taxa357795,taxa352304,taxa179460,taxa469991,taxa175537,taxa288134,taxa190464,taxa178915,taxa366612,taxa261912,taxa185281,taxa511008,taxa470973,taxa162162,taxa181028,taxa204044,taxa470172,taxa328422,taxa213747,taxa262724,taxa82283,taxa316732,taxa293896,taxa196731,taxa167602,taxa470114,taxa170206,taxa365676,taxa223059,taxa187524,taxa191541,taxa212619,taxa357470,taxa326792,taxa325407,taxa188646,taxa171551,taxa290260,taxa367433,taxa310301,taxa193761,taxa327476,taxa189047,taxa180658,taxa269833,taxa367055,taxa203708,taxa181892,taxa589024,condition
23729520.601921458,2597868.1628848636,10060200.872379644,1098427.478266754,37154745.33629282,10966839.425869638,2929139.9420446744,8752549.112538256,1464569.9710223323,28367325.510158844,61145796.29018254,156848469.75377303,38148560.673772335,19109151.050481874,8735113.755740361,7985393.413431311,14262121.860669937,1290216.403043485,2946575.298842558,15901045.399671089,1952759.9613631163,1656358.895799073,20399367.453525443,1342522.4734371458,2754786.374065827,1691229.6093948407,1046121.4078730933,2127113.529341964,1028686.0510752096,2528126.735693319,2109678.17254408,941509.2670857904,4376274.556269123,1359957.8302350296,2423514.5949060065,30738534.034671158,1255345.6894477175,0.0,1185604.262256173,3051187.43962987,2702480.303672166,7009013.432749754,5003947.400992987,1604052.8254054121,941509.2670857904,1795841.7501821527,1011250.6942773258,2615303.5196827473,2318902.454118704,0.0,1534311.3982138769,3905519.9227262326,1621488.1822033054,5823409.17049358,1917889.2477673485,8560760.187761515,2737351.0172679434,1534311.3982138769,1046121.4078730933,2179419.599735624,3748601.7115452695,3347588.505193914,1220474.97585195,1673794.252596957,2440949.95170389,0.0,1203039.6190540663,5439831.32094011,1063556.7646709864,958944.6238836743,1255345.6894477175,4969076.687397219,1970195.3181610003,0.0,1325087.1166392528,1482005.3278202256,17731757.86344898,2685044.946874283,12762681.176051818,1115862.8350646377,1255345.6894477175,1447134.6142244488,4620369.551439514,7636686.277473617,6538258.799206864,4951641.330599326,2929139.9420446744,6852095.22156879,2214290.3133313917,18237383.210587684,976379.9806815581,36509637.13477109,11228369.777837895,6555694.156004747,1464569.9710223323,10478649.435528835,5962892.024876661,53753205.007879354,26292518.051210508,3800907.7819389207,1726100.322990608,2249161.026927159,1063556.7646709864,2964010.6556404424,Control
15238409.323273258,1510090.3150207335,6056465.586658218,616919.5872685226,23115902.607290376,7227126.249246109,1943668.3382014257,5404859.757535255,1097571.7958231138,18508826.412407562,39528688.9762073,98849595.31343688,24394338.37849738,11830486.06107303,5475471.035596105,4630613.287569739,9045676.357901063,659038.5952346441,1878012.2375483457,10067681.698255578,1129780.4489736748,1205346.9044423094,12163721.741746213,825037.038395251,1956056.2817208718,1044303.638689486,663993.7726424215,1529911.0246518545,0.0,1562119.6778024214,1273480.593799275,646650.6517151981,2548199.981950497,831231.0101549742,1616626.6292879893,19451548.914237548,965020.8001650139,0.0,709829.1636643806,2236023.8052604035,1689715.496052738,4400197.538108003,3399251.7017365857,991035.481555858,0.0,900603.4938638856,677620.5105138194,1731834.5040188595,1568313.6495621447,0.0,1002184.6307233582,2294247.1398018086,1057930.3765608778,3770890.0073200352,1484075.6336298953,5465560.68078055,1527433.4359479628,1062885.5539686552,713545.5467202179,1284629.7429667814,2221158.2730370658,2371052.389622389,654083.417826867,1025721.7234103108,1326748.750932903,678859.3048657593,699918.808848826,3163880.7748670727,1015811.3685947503,0.0,0.0,3318730.0688601737,1445673.008719605,603292.8493971247,889454.3446963793,872111.2237691559,11150387.961855318,1702103.439572184,7875015.69531323,616919.5872685226,934050.9413663927,941483.7074780616,2833122.682897805,5010923.153616796,4024842.8494687225,3249357.585151262,1890400.1810677978,4260213.776338241,1358957.40408347,11854023.15376,789112.0021888525,23408258.07434935,7343572.918328895,4236676.683651288,1025721.7234103108,6846816.3831990445,3685413.19703584,33821563.39679751,16584978.783837277,2335127.3534159847,992274.2759078038,1441956.6256637736,683814.4822735424,2144353.0232164855,Control
16861128.976970445,1746144.5200172912,6561321.417080913,699385.2628461359,25583420.169427663,7963042.9354434265,2129351.996766621,5918848.155732194,1256279.7367579748,20361849.424634274,43589112.7320685,109241954.51873492,26704797.38411767,12903426.235801378,6015809.343468554,5097629.05264343,10085228.2357252,709924.5223826931,2085087.106713066,11340664.831720218,1278201.3965940196,1329632.9831324297,13646233.247938093,900474.3348037046,2101528.3515901025,1122220.3554529292,727630.4784041122,1611663.5683307801,0.0,1766801.4687089468,1409731.3556102875,743228.5825182252,2859511.8974595107,897523.3421334682,1810223.2179995775,21368137.925185017,1091024.1472247099,0.0,779483.6353239939,2387774.6406030725,1856595.9599604383,4778500.273876388,3526436.2409330383,1051818.1017487047,0.0,1117161.51087538,764307.1015913461,1869664.6417857732,1715791.4525519954,0.0,1175759.7938986518,2576216.601116771,1181661.779239125,4062673.7661532215,1613349.8498566342,6001475.950498831,1728438.563995872,1207377.5725083365,781169.9168498416,1410574.4963732113,2475461.2799472576,2519726.1700008055,656385.0839369703,1117161.51087538,1470437.4905408788,733110.8933631266,758826.6866323316,3513789.129489162,1071210.339295978,664816.4915662148,0.0,3833339.47863767,1562339.8336996832,745758.0048069967,1005445.3597878438,960758.8993528243,12204884.113718178,1863341.0860638416,8933076.383188426,707816.6704753803,1012190.4858912408,1056033.80556333,3199297.6249182094,5424346.098276794,4410890.901241165,3581661.9609046145,2113753.8926525074,4789882.674175869,1494888.5726656946,13190094.095195794,814052.4066039084,25671528.379153293,8128720.095358126,4629264.358838693,1134024.3261338752,7488354.6859167265,3930722.236755482,37710313.76257525,18396488.3062565,2591393.1348494184,1115896.799730991,1616722.4129083294,709081.3816197693,2331284.209487113,Control
18223627.481407676,1870276.0441607933,7129560.1221760595,736623.5614986161,27575007.70221168,8531496.22535261,2316259.0167687987,6334345.884932885,1394226.8037365242,21897879.59454463,46983169.04258593,117518247.87458314,28818132.236922838,14006640.687689805,6456538.281057983,5441994.474744874,10659262.870811746,779795.6383630065,2246489.856836176,12137135.573473034,1325228.573747904,1402707.0331206005,14658076.490375672,943618.2514644765,2327437.500956904,1184148.393994633,799454.3519351815,1771211.5463559092,0.0,1948910.8984495006,1559976.7416980073,786734.0078590638,3135372.082276155,972528.1243647371,1959703.917665598,23094748.33261543,1156780.3809823913,0.0,812945.6259553017,2527493.8214267003,2000948.6696699683,5150582.95591026,3836147.4013784532,1092407.730657807,0.0,1167958.8651704902,783264.8231110317,1977820.7713497612,1782390.030544008,0.0,1258928.5985633067,2764554.7792088245,1228476.865775034,4400082.655419515,1754251.0875877568,6452683.631337949,1865264.9995247493,1320217.52911186,826822.3649474232,1530295.9388537442,2667032.141291952,2649300.7525797905,717350.3128984424,1235029.77029909,1662124.9592789297,796756.0971311588,788275.8677470827,3842314.8409305084,1145216.4318222844,704244.5038503235,0.0,4073208.359160578,1675616.2332990495,758209.5999308114,1053090.3035134573,1052319.3735694478,13257296.78211505,1995937.6250339241,9619278.376346366,777097.383558977,1073905.4120016429,1115535.6289780214,3447984.174570963,5820906.542224279,4738520.900838553,3817645.0827222816,2267304.965324362,5229988.740142969,1664823.2140829521,14117654.599626819,895435.1299640421,27714546.022076864,8743501.959954549,4999480.686884901,1216141.9866709246,7948673.187683409,4282130.373986458,40392103.486298755,19613999.63542412,2815436.155513282,1226164.0759430125,1721872.029939464,770544.4790349209,2528650.216342711,Control
18623242.614613295,1895739.293066617,7373344.4740063185,728263.188820671,28453514.412480526,8783745.808020726,2413877.2831424084,6458018.608254234,1380676.3058992832,22444958.729346428,48287283.17205827,120180851.17189176,29676853.069563504,14313626.03840429,6576918.720714754,5680555.372898179,11078210.478217868,815900.7717118285,2279602.15613958,12487586.811262803,1368888.7947501848,1450376.371824421,14988076.676326888,1002450.9481585046,2278064.654685348,1220776.1546592822,802063.2586237469,1827576.728595711,0.0,1950064.3444494412,1510851.4290241662,792325.7494136245,3155465.4845664096,1024488.4690024764,1950576.844934178,23765672.4785307,1185926.1216967166,0.0,841013.2954642643,2617339.9755856157,2120214.5053843157,5338717.549574191,3909866.1981090046,1115201.054802098,0.0,1208988.6435101766,809238.2654101632,2081776.9690285493,1907526.8042157153,0.0,1249988.6822896632,2849502.6951744747,1286888.7171912044,4474129.231811723,1738914.1447350732,6636881.277429757,1909064.3056699475,1342238.769543517,828713.2838304148,1615914.0283966062,2703440.0570225483,2769552.6195544703,774900.732932342,1274076.205072618,1679976.5889895528,828713.2838304148,824100.7794677258,3914478.702471694,1189001.1246051737,0.0,0.0,4200966.473443377,1790676.6936941769,785150.7426272081,1105463.5455919686,1048575.9917854244,13648912.9096918,2065889.4540014917,9859996.825982329,827175.78237619,1120326.0596495313,1153638.5911578645,3517290.826795401,6035718.208825498,4832367.070647505,3933953.7208919525,2320602.1949190665,5250567.466198289,1664089.0739625022,14479676.195461255,906100.857026706,28628277.077778053,8966708.481074188,5009179.737884052,1244863.6774422298,8319420.368843037,4433641.6935169725,41268589.03349452,20106419.01746134,2915102.757221653,1224363.658052483,1767101.671395966,773875.7319628538,2627589.985280489,Control
21949035.672246702,2216846.9763817457,8539174.520698903,917121.9724624978,33425251.110892925,10420306.092027923,2811382.0791846323,7719578.81115674,1579175.257287168,26499010.938492116,56175127.44212017,141122377.9507992,34492413.4878483,16950814.697578892,7901502.801604308,6601777.797685061,12588389.93694946,958383.0836980299,2704478.2909834846,14850249.034679113,1541665.156163954,1725464.6516676887,17624121.012740534,1172190.660100334,2612578.5432316167,1374745.2061656672,956507.5786418708,2168083.844921569,0.0,2250606.0673926333,1821115.4095318741,1055909.3466183743,3634728.7988391044,1110298.9932470361,2353758.8454814632,27808113.46769214,1438512.3780751242,0.0,917121.9724624978,3034567.18086774,2338754.8050321825,6054130.321286191,4488083.599392145,1359741.1657163866,0.0,1442263.3881874506,930250.5078556194,2466289.148851096,2156830.814584607,842101.7702160784,1487275.5095353008,3323394.959516455,1558544.7016694022,5157638.90444146,1943023.238182311,7717703.306100582,2151204.2994161295,1511657.0752653847,1005270.7101020473,1817364.3994195561,3186483.090416738,3225868.696596111,0.0,1483524.4994229823,1935521.2179576666,964009.5988665152,1046531.821337579,4461826.528605902,1404753.2870642366,0.0,0.0,4703766.680850608,1991786.3696424789,840226.2651599194,1252837.3775152306,1310978.0342562103,15846142.21950034,2361260.8657061076,11418074.781905344,885238.3865077692,1265965.9129083604,1309102.5292000514,4052966.4263629,6946870.728018606,5709037.390952655,4448697.993212772,2792627.0286230254,6277315.42296929,2049927.0263834589,17014581.86948835,1070913.387067663,33346479.89853418,10512205.839779766,5994114.159489052,1416006.3174011991,9679481.594844524,5114502.28814976,48659978.68208498,23361290.97953555,3389037.6364820795,1434761.3679628063,2049927.0263834589,898366.9219008909,3064575.261766301,Control
10866329.219046112,1115610.3915008763,4262971.848032272,434883.92349676054,16498297.907881988,5151599.457014188,1388300.3618975717,3808118.764783125,810747.8859475363,13036089.365921047,27978789.7290909,70121038.8319025,17181686.93051978,8387934.614220195,3901530.0565138054,3304008.420811366,6379259.022681342,464837.66312536655,1332164.8350380377,7246142.435488375,797435.1127792655,839148.4687065072,8847447.168078262,583543.2238757565,1396953.6644569454,683610.902190571,469940.89283986896,1039949.4639945521,0.0,1149779.8426327659,890402.6454043372,469719.0132870621,1834056.3834817533,584652.6216397781,1161539.4589314016,13783379.699766513,701361.266414932,0.0,487025.6184058136,1546722.3625999629,1205915.3694922957,3090560.2910134667,2286468.7916500634,674735.7200783946,0.0,698476.8322284727,485472.4615361827,1219450.022213369,1093644.3157732321,0.0,742630.86323656,1653446.4274989108,749065.3702678906,2614406.770695074,1032627.4387520027,3882004.6558670113,1093200.5566676266,762378.1434361613,487691.2570642257,916362.5530824623,1608404.8782796045,1627930.2789263993,419130.4752476441,722439.8239313534,968504.2479915112,467943.97686462844,492572.6072259253,2271380.9820593633,692707.9638555541,0.0,0.0,2455097.2517814636,1007555.0492851005,456628.1196715982,622815.9047221484,629472.2913062816,7907343.502845692,1210796.7196539952,5715173.521137553,468387.7359702379,665638.6584134116,680948.3475569186,2066142.395715228,3542972.6991817807,2852483.5308542703,2286246.912097261,1338599.3420693683,3057056.4785399893,987807.7690855032,8447176.454819003,537614.1564452315,16606575.129650567,5176228.087375502,2956766.9206723724,717336.594216851,4825436.514391604,2555830.5687546944,24085025.456925225,11741422.175306972,1696269.1811901738,741521.4654725384,1027746.088590307,452856.16727392416,1498796.3791941977,Control
29919969.34172278,389849580.2010997,431356.0734085319,15993.537990342591,13128.114019507912,12258.114024759916,885275.3207274344,76161199.51590389,11231.247630493914,951682.0983575706,5228700145.4203005,2763366813.1725388,113077.76579130827,4253265517.4852796,1002771.8724138067,2119912.84527206,4095793.504081955,299048.37730396324,845945.4985938559,132433.43655665973,381590.491739656,5626512.493438125,5591744.036045622,503.02904747532597,642086.9513995198,155469374.3426591,4531.160455243368,657977.2946131066,0.0,1444380.9704156448,119259.75637126487,8484452.114146268,46868988.194734454,365306.7263037766,15579197.70966609,8761160.783656966,49395.78466863913,0.0,10902.488796795507,269050479.55854434,1690.7397115688034,268717826.17074335,4820071.139120015,70493.61305648916,158621157.65068686,208934.8214485118,3399921.363933175,271728655.09351176,1582730.6415985092,59935.558721220485,4700325.047539408,176090612.39346015,3061383.8531121262,1675414.99061824,56392071.344376266,83341077.70235448,5086.11874401407,247059.79978256457,142088.2480308274,18796.23538322324,1580299.7902498164,1124144.1908560689,4938.962592969331,204173.51314756842,363768474.73589873,57432.352188379344,310741.0271274598,33041.96581979193,21990847.98497378,266627.84824790637,1401758.1465119177,1533154.4177657026,634237.6722441884,289304.5024510498,350665833.70856196,396309.96447213885,4970793.465873596,107111.41764370761,3645980.808599293,91091786.48886901,5945813.509672879,74973.63832404083,7453.798275684243,16206.99994635484,33029741.91180473,48390078.708271936,52652403.85993918,5005896.43823456,2225.4548333237212,1182185615.912416,2015066.6353951206,6656603791.968638,1258513099.5324311,1906079.0825908482,2572.3995525378973,3403.1660156598296,5568.801958953784,13384200.357538644,113480.6772370128,17967.156648866894,48258.47576138716,636540.7699366966,33711.824984273604,999.2680500818648,Treat
95481860.16024286,1233151713.7106256,1363471.5615498861,52183.46136106806,41865.329310799425,39585.42408035564,2873793.87119155,243799979.906475,33623.210516603875,3039134.3148772614,16812829747.112268,8867982738.06663,363006.5120619079,13776021794.444109,3245540.696744269,6749720.098373496,13069023.262937667,926048.5545594579,2795536.2468625833,425636.47774396505,1182309.9563159384,17768538.629675232,17869911.133230038,1678.5946728816841,2058115.3826592972,510965776.1895064,14580.409300246632,2127085.7057193094,0.0,4648193.400954322,406793.69592060073,28064368.312679525,150659571.1660606,1199950.239710842,50882325.381276965,28144485.06075418,157181.41307620995,0.0,34131.409356898905,855727148.2435116,5235.865471578529,887322586.5744907,15271383.734037897,229188.32034121698,504962111.20163965,683475.2047691055,11319144.846870964,858654838.489244,5048561.94600703,0.0,14434732.818961857,546603859.0289962,9100793.60778954,5294345.668144489,177523184.26797417,266932797.88977256,16889.48023813591,811909.334838462,462612.670324149,59655.54970964735,5067340.667621851,3669819.7257498973,16406.438608724635,651049.8794931,1149456861.8801262,179665.6632377449,957568.9865808468,106791.09614519785,70663253.57347229,882572.0965989181,4671673.305577735,4916100.483887817,2092304.539350883,893441.2110890509,1132359251.6331866,1328205.7906944337,16040639.164540421,334010.72220952477,11487567.104623139,301677474.817514,18629248.84315081,243030.72276775195,23196.549842673816,51296.28985424511,108420907.87129241,159602887.44171032,166379905.25101787,16144416.471253008,7165.775057914808,3788397188.7493067,6254841.229448348,21410171694.843964,3951781173.301741,6214959.665458881,8236.20421203498,10778.907192040908,17866.224899765413,43296666.37604666,361168.01382962323,58093.33699942824,152616.1118738975,2182518.1896190015,118374.3871401053,3174.1410633780324,Treat
79555407.6887977,1039147973.4909565,1154219.9722694065,42017.189449821955,35225.41543615296,31632.245004169527,2412060.1445313613,204084884.60675377,28216.315828895924,2539235.3823178783,13976066513.458933,7367791737.846752,302176.1678744793,11199191245.744392,2715240.504349147,5596846.143747911,10989678.218384994,783558.4601247091,2399422.1048519253,356603.60532311,968283.5499183838,15435345.267850893,14710678.186857428,1268.5217416596035,1693520.2175661023,419999551.73874557,11728.229487983253,1834321.1877573815,0.0,3733529.242489647,324097.2281657547,22154535.35596585,124697685.6278906,985767.0949956004,44446694.45675854,23400233.18358607,118676.85236337675,0.0,28537.552777247558,736925391.2042863,4646.741187393642,747317104.7823229,12630238.804433247,187943.06477375168,0.0,557552.1249226347,10249850.822607437,690365279.4211746,4346480.733769632,0.0,12470939.363605978,466884493.701474,7839740.818935496,4459422.572599147,143555009.93886742,221727525.27595437,13325.592108173054,699634.1719718028,354597.30322126957,49109.573422162364,4228398.197062472,3161466.2811248265,13760.687047889316,582192.5805394273,923168114.71661,153431.70365681156,872024.7378807227,90777.62403511682,62636285.924949184,729395.4329271502,3884733.4679320655,4174163.962691995,1684470.1458441333,745644.3410864164,934926285.4052986,1041735.5564330816,13177864.51716643,295850.9595182551,9678932.960204048,250273509.20615378,15523040.014072502,189259.86226890067,20154.55051508592,44102.195009746865,90513664.46304531,132252184.9447917,141221215.2290432,13696944.531982673,6041.012470422871,3168382288.6993375,5401804.8674892895,17785885695.250885,3392882974.45175,5168958.228887186,7109.679701952875,9079.439216019755,14665.394669019512,35865862.01172604,305984.95353755547,48734.02211489344,125136.39527692647,1801823.371438842,88068.39512478127,2687.739887556755,Treat
