,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa326977,82,82,1.0,1.0
1,taxa469873,82,82,1.0,1.0
2,taxa357591,82,82,1.0,1.0
3,taxa190872,75,76,0.9146341463414634,0.926829268292683
4,taxa263681,82,82,1.0,1.0
5,taxa361480,82,82,1.0,1.0
6,taxa347862,82,82,1.0,1.0
7,taxa517293,82,82,1.0,1.0
8,taxa2000,82,82,1.0,1.0
9,taxa322235,82,82,1.0,1.0
10,taxa158660,82,82,1.0,1.0
11,taxa331820,82,82,1.0,1.0
12,taxa244304,82,82,1.0,1.0
13,taxa361496,82,82,1.0,1.0
14,taxa127309,82,82,1.0,1.0
15,taxa248140,82,82,1.0,1.0
16,taxa348374,82,82,1.0,1.0
17,taxa470812,78,80,0.9512195121951219,0.975609756097561
18,taxa268540,82,82,1.0,1.0
19,taxa291090,82,82,1.0,1.0
20,taxa541301,82,82,1.0,1.0
21,taxa171772,82,82,1.0,1.0
22,taxa259569,82,82,1.0,1.0
23,taxa104780,82,82,1.0,1.0
24,taxa138006,82,82,1.0,1.0
25,taxa181095,82,82,1.0,1.0
26,taxa278234,78,80,0.9512195121951219,0.975609756097561
27,taxa177339,82,82,1.0,1.0
28,taxa510994,4,4,0.04878048780487805,0.04878048780487805
29,taxa193066,82,82,1.0,1.0
30,taxa405524,82,82,1.0,1.0
31,taxa346780,82,80,1.0,0.975609756097561
32,taxa549871,82,82,1.0,1.0
33,taxa544358,82,82,1.0,1.0
34,taxa302160,82,82,1.0,1.0
35,taxa192573,82,82,1.0,1.0
36,taxa175497,82,82,1.0,1.0
37,taxa302974,81,82,0.9878048780487805,1.0
38,taxa194648,82,82,1.0,1.0
39,taxa195173,82,82,1.0,1.0
40,taxa287978,82,82,1.0,1.0
41,taxa199487,82,82,1.0,1.0
42,taxa190108,82,82,1.0,1.0
43,taxa191306,22,15,0.2682926829268293,0.18292682926829268
44,taxa299892,82,82,1.0,1.0
45,taxa174348,80,80,0.975609756097561,0.975609756097561
46,taxa192127,82,82,1.0,1.0
47,taxa183200,82,82,1.0,1.0
48,taxa182980,31,33,0.3780487804878049,0.4024390243902439
49,taxa181843,82,82,1.0,1.0
50,taxa194053,82,82,1.0,1.0
51,taxa109014,82,82,1.0,1.0
52,taxa518438,82,82,1.0,1.0
53,taxa193343,82,82,1.0,1.0
54,taxa357795,82,82,1.0,1.0
55,taxa352304,82,82,1.0,1.0
56,taxa179460,82,82,1.0,1.0
57,taxa469991,81,82,0.9878048780487805,1.0
58,taxa175537,82,82,1.0,1.0
59,taxa288134,82,82,1.0,1.0
60,taxa190464,82,82,1.0,1.0
61,taxa178915,71,66,0.8658536585365854,0.8048780487804879
62,taxa366612,82,82,1.0,1.0
63,taxa261912,82,82,1.0,1.0
64,taxa185281,81,81,0.9878048780487805,0.9878048780487805
65,taxa511008,82,82,1.0,1.0
66,taxa470973,82,82,1.0,1.0
67,taxa162162,82,82,1.0,1.0
68,taxa181028,58,54,0.7073170731707317,0.6585365853658537
69,taxa204044,26,21,0.3170731707317073,0.25609756097560976
70,taxa470172,82,82,1.0,1.0
71,taxa328422,82,82,1.0,1.0
72,taxa21698,4,5,0.04878048780487805,0.06097560975609756
73,taxa213747,79,80,0.9634146341463414,0.975609756097561
74,taxa262724,82,82,1.0,1.0
75,taxa82283,82,82,1.0,1.0
76,taxa316732,82,82,1.0,1.0
77,taxa293896,82,82,1.0,1.0
78,taxa196731,82,82,1.0,1.0
79,taxa167602,81,80,0.9878048780487805,0.975609756097561
80,taxa470114,82,82,1.0,1.0
81,taxa170206,82,82,1.0,1.0
82,taxa365676,82,82,1.0,1.0
83,taxa223059,82,82,1.0,1.0
84,taxa187524,82,82,1.0,1.0
85,taxa191541,82,82,1.0,1.0
86,taxa212619,82,82,1.0,1.0
87,taxa357470,82,82,1.0,1.0
88,taxa326792,82,82,1.0,1.0
89,taxa325407,82,82,1.0,1.0
90,taxa188646,82,82,1.0,1.0
91,taxa171551,82,82,1.0,1.0
92,taxa290260,82,82,1.0,1.0
93,taxa367433,82,82,1.0,1.0
94,taxa310301,82,82,1.0,1.0
95,taxa193761,82,82,1.0,1.0
96,taxa327476,82,82,1.0,1.0
97,taxa189047,82,82,1.0,1.0
98,taxa180658,82,82,1.0,1.0
99,taxa269833,82,82,1.0,1.0
100,taxa367055,82,82,1.0,1.0
101,taxa203708,82,82,1.0,1.0
102,taxa181892,79,81,0.9634146341463414,0.9878048780487805
103,taxa589024,82,82,1.0,1.0
