item,value,type
MicrobiotaLoads_ori,0.003669357446170807,MicrobiotaLoadsFoldChange_ori
taxa517293,-5.683203793033743,TaxaFoldChange
taxa316732,6.740389896794626,TaxaFoldChange
taxa325407,-1.7371115412183082,TaxaFoldChange
taxa261912,-6.726801222754588,TaxaFoldChange
taxa181892,-4.8395349208254155,TaxaFoldChange
taxa263681,-5.473992789984318,TaxaFoldChange
taxa21698,-8.66940801644277,TaxaFoldChange
taxa191306,2.153121353057303,TaxaFoldChange
taxa268540,7.8573171604037135,TaxaFoldChange
taxa183200,6.1360333412789325,TaxaFoldChange
taxa203708,-9.50075509231971,TaxaFoldChange
taxa170206,-2.5499641606189254,TaxaFoldChange
taxa199487,9.110137302141203,TaxaFoldChange
taxa259569,4.962486876182883,TaxaFoldChange
taxa188646,1.6447953094196617,TaxaFoldChange
taxa194053,4.525969733851087,TaxaFoldChange
taxa171551,6.596060387124447,TaxaFoldChange
taxa326977,4.655048752891592,TaxaFoldChange
taxa223059,8.613240609155394,TaxaFoldChange
taxa191541,5.961286033580812,TaxaFoldChange
taxa190108,7.061849332174669,TaxaFoldChange
taxa352304,-0.3974885901468781,TaxaFoldChange
taxa192127,-6.5624515988259615,TaxaFoldChange
taxa193343,-6.338179068317813,TaxaFoldChange
taxa470172,7.6806019943887875,TaxaFoldChange
taxa262724,3.0291681701035955,TaxaFoldChange
taxa195173,-0.5777474588303521,TaxaFoldChange
taxa357470,1.9294687657251528,TaxaFoldChange
taxa213747,-9.728034391259197,TaxaFoldChange
taxa287978,-9.69600530764996,TaxaFoldChange
taxa193066,-8.290819953083162,TaxaFoldChange
taxa181095,6.4608781965835655,TaxaFoldChange
changedTaxaCount,33.0,changedTaxaCount
totalTaxaCount,105.0,totalTaxaCount
MicrobiotaLoads,4.178854682457011,MicrobiotaLoadsFoldChange
taxa326977,1.4057935180978473e-06,ranksums_on_loads
taxa469873,0.7344588714158227,ranksums_on_loads
taxa357591,0.763024600552995,ranksums_on_loads
taxa190872,0.8452520242196513,ranksums_on_loads
taxa263681,1.4057935180978473e-06,ranksums_on_loads
taxa361480,0.7062559621048525,ranksums_on_loads
taxa347862,0.6784507837377551,ranksums_on_loads
taxa517293,1.4057935180978473e-06,ranksums_on_loads
taxa2000,0.7344588714158227,ranksums_on_loads
taxa322235,0.7919167527711625,ranksums_on_loads
taxa158660,0.7344588714158227,ranksums_on_loads
taxa331820,0.763024600552995,ranksums_on_loads
taxa244304,0.763024600552995,ranksums_on_loads
taxa361496,0.7062559621048525,ranksums_on_loads
taxa127309,0.7344588714158227,ranksums_on_loads
taxa248140,0.763024600552995,ranksums_on_loads
taxa348374,0.7919167527711625,ranksums_on_loads
taxa470812,1.0,ranksums_on_loads
taxa268540,1.4057935180978473e-06,ranksums_on_loads
taxa291090,0.7919167527711625,ranksums_on_loads
taxa541301,0.8505281477251081,ranksums_on_loads
taxa171772,0.6784507837377551,ranksums_on_loads
taxa259569,1.4057935180978473e-06,ranksums_on_loads
taxa104780,0.6510766340778344,ranksums_on_loads
taxa138006,0.7919167527711625,ranksums_on_loads
taxa181095,1.4057935180978473e-06,ranksums_on_loads
taxa278234,0.9699357118177172,ranksums_on_loads
taxa177339,0.8801684549067255,ranksums_on_loads
taxa510994,,ranksums_on_loads
taxa193066,1.4057935180978473e-06,ranksums_on_loads
taxa405524,0.763024600552995,ranksums_on_loads
taxa346780,0.7344588714158227,ranksums_on_loads
taxa549871,0.7344588714158227,ranksums_on_loads
taxa544358,0.7919167527711625,ranksums_on_loads
taxa302160,0.7062559621048525,ranksums_on_loads
taxa192573,0.8210975835519595,ranksums_on_loads
taxa175497,0.7062559621048525,ranksums_on_loads
taxa263461,,ranksums_on_loads
taxa302974,0.6636980385888592,ranksums_on_loads
taxa194648,0.9099776322242852,ranksums_on_loads
taxa195173,0.011564644335493104,ranksums_on_loads
taxa287978,1.4057935180978473e-06,ranksums_on_loads
taxa199487,1.4057935180978473e-06,ranksums_on_loads
taxa190108,1.4057935180978473e-06,ranksums_on_loads
taxa191306,0.12133525035848212,ranksums_on_loads
taxa299892,0.8801684549067255,ranksums_on_loads
taxa174348,0.6241650806988792,ranksums_on_loads
taxa192127,1.4057935180978473e-06,ranksums_on_loads
taxa183200,1.4057935180978473e-06,ranksums_on_loads
taxa182980,0.8075411062892586,ranksums_on_loads
taxa181843,0.7919167527711625,ranksums_on_loads
taxa194053,1.4057935180978473e-06,ranksums_on_loads
taxa109014,0.5718467625452939,ranksums_on_loads
taxa518438,0.8801684549067255,ranksums_on_loads
taxa193343,1.4057935180978473e-06,ranksums_on_loads
taxa357795,0.763024600552995,ranksums_on_loads
taxa352304,0.10509841407384804,ranksums_on_loads
taxa179460,0.763024600552995,ranksums_on_loads
taxa469991,0.7919167527711625,ranksums_on_loads
taxa175537,0.7919167527711625,ranksums_on_loads
taxa288134,0.7344588714158227,ranksums_on_loads
taxa190464,0.7344588714158227,ranksums_on_loads
taxa178915,0.8452520242196513,ranksums_on_loads
taxa366612,0.8210975835519595,ranksums_on_loads
taxa261912,1.4057935180978473e-06,ranksums_on_loads
taxa185281,0.905603823126242,ranksums_on_loads
taxa511008,0.7062559621048525,ranksums_on_loads
taxa470973,0.8210975835519595,ranksums_on_loads
taxa162162,0.7062559621048525,ranksums_on_loads
taxa181028,0.4567504024231692,ranksums_on_loads
taxa204044,1.0,ranksums_on_loads
taxa470172,1.4057935180978473e-06,ranksums_on_loads
taxa328422,0.6784507837377551,ranksums_on_loads
taxa21698,,ranksums_on_loads
taxa213747,1.4057935180978473e-06,ranksums_on_loads
taxa262724,1.4057935180978473e-06,ranksums_on_loads
taxa82283,0.763024600552995,ranksums_on_loads
taxa316732,1.4057935180978473e-06,ranksums_on_loads
taxa293896,0.763024600552995,ranksums_on_loads
taxa196731,0.8210975835519595,ranksums_on_loads
taxa167602,0.6510766340778344,ranksums_on_loads
taxa470114,0.763024600552995,ranksums_on_loads
taxa170206,5.106622086940755e-06,ranksums_on_loads
taxa365676,0.7344588714158227,ranksums_on_loads
taxa223059,1.4057935180978473e-06,ranksums_on_loads
taxa187524,0.7344588714158227,ranksums_on_loads
taxa191541,1.4057935180978473e-06,ranksums_on_loads
taxa212619,0.7062559621048525,ranksums_on_loads
taxa357470,2.430496069477897e-05,ranksums_on_loads
taxa326792,0.7062559621048525,ranksums_on_loads
taxa325407,3.989410770915966e-05,ranksums_on_loads
taxa188646,6.468734050589624e-05,ranksums_on_loads
taxa171551,1.4057935180978473e-06,ranksums_on_loads
taxa290260,0.8210975835519595,ranksums_on_loads
taxa367433,0.7344588714158227,ranksums_on_loads
taxa310301,0.763024600552995,ranksums_on_loads
taxa193761,0.7344588714158227,ranksums_on_loads
taxa327476,0.7062559621048525,ranksums_on_loads
taxa189047,0.7919167527711625,ranksums_on_loads
taxa180658,0.763024600552995,ranksums_on_loads
taxa269833,0.8210975835519595,ranksums_on_loads
taxa367055,0.6784507837377551,ranksums_on_loads
taxa203708,1.4057935180978473e-06,ranksums_on_loads
taxa181892,1.4057935180978473e-06,ranksums_on_loads
taxa589024,0.7344588714158227,ranksums_on_loads
qml_loads_delta,4.18,qml_loads_delta
taxa326977,0.47827029744079486,logged_relative_abundance_diff
taxa326977,4.658270297440795,qml_logged_loads_diff
taxa326977,1.5449101737495915e-06,qml_diff_pvalue
taxa326977,1.5449101737495915e-06,mwu_diff_pvalue
taxa326977,1.5449101737495915e-06,mwu_logged_pvalue
taxa469873,-4.17828583451214,logged_relative_abundance_diff
taxa469873,0.0017141654878596313,qml_logged_loads_diff
taxa469873,0.8064734910574618,qml_diff_pvalue
taxa469873,1.5449101737495915e-06,mwu_diff_pvalue
taxa469873,1.5449101737495915e-06,mwu_logged_pvalue
taxa357591,-4.173526702480699,logged_relative_abundance_diff
taxa357591,0.0064732975193004805,qml_logged_loads_diff
taxa357591,0.3964376050481627,qml_diff_pvalue
taxa357591,1.5449101737495915e-06,mwu_diff_pvalue
taxa357591,1.5449101737495915e-06,mwu_logged_pvalue
taxa190872,-4.176330675349401,logged_relative_abundance_diff
taxa190872,0.003669324650598327,qml_logged_loads_diff
taxa190872,0.4207518433669324,qml_diff_pvalue
taxa190872,1.2587665380600578e-05,mwu_diff_pvalue
taxa190872,1.2587665380600578e-05,mwu_logged_pvalue
taxa263681,-9.650309967258934,logged_relative_abundance_diff
taxa263681,-5.470309967258935,qml_logged_loads_diff
taxa263681,1.5449101737495915e-06,qml_diff_pvalue
taxa263681,1.5449101737495915e-06,mwu_diff_pvalue
taxa263681,1.5449101737495915e-06,mwu_logged_pvalue
taxa361480,-4.171770205580256,logged_relative_abundance_diff
taxa361480,0.008229794419743364,qml_logged_loads_diff
taxa361480,0.03022625498203607,qml_diff_pvalue
taxa361480,1.5449101737495915e-06,mwu_diff_pvalue
taxa361480,1.5449101737495915e-06,mwu_logged_pvalue
taxa347862,-4.167283501774172,logged_relative_abundance_diff
taxa347862,0.012716498225827877,qml_logged_loads_diff
taxa347862,0.2503449209783549,qml_diff_pvalue
taxa347862,1.5449101737495915e-06,mwu_diff_pvalue
taxa347862,1.5449101737495915e-06,mwu_logged_pvalue
taxa517293,-9.85316960424536,logged_relative_abundance_diff
taxa517293,-5.673169604245361,qml_logged_loads_diff
taxa517293,1.5449101737495915e-06,qml_diff_pvalue
taxa517293,1.5449101737495915e-06,mwu_diff_pvalue
taxa517293,1.5449101737495915e-06,mwu_logged_pvalue
taxa2000,-4.177259051346848,logged_relative_abundance_diff
taxa2000,0.0027409486531517757,qml_logged_loads_diff
taxa2000,0.9849651869281953,qml_diff_pvalue
taxa2000,1.5449101737495915e-06,mwu_diff_pvalue
taxa2000,1.5449101737495915e-06,mwu_logged_pvalue
taxa322235,-4.178315990028114,logged_relative_abundance_diff
taxa322235,0.0016840099718855583,qml_logged_loads_diff
taxa322235,0.8653246192630564,qml_diff_pvalue
taxa322235,1.5449101737495915e-06,mwu_diff_pvalue
taxa322235,1.5449101737495915e-06,mwu_logged_pvalue
taxa158660,-4.179327357414536,logged_relative_abundance_diff
taxa158660,0.0006726425854637341,qml_logged_loads_diff
taxa158660,0.20674060673155448,qml_diff_pvalue
taxa158660,1.5449101737495915e-06,mwu_diff_pvalue
taxa158660,1.5449101737495915e-06,mwu_logged_pvalue
taxa331820,-4.1740733398726455,logged_relative_abundance_diff
taxa331820,0.005926660127354211,qml_logged_loads_diff
taxa331820,0.0011137631082726795,qml_diff_pvalue
taxa331820,1.5449101737495915e-06,mwu_diff_pvalue
taxa331820,1.5449101737495915e-06,mwu_logged_pvalue
taxa244304,-4.176908607783009,logged_relative_abundance_diff
taxa244304,0.0030913922169908403,qml_logged_loads_diff
taxa244304,0.28276255392352445,qml_diff_pvalue
taxa244304,1.5449101737495915e-06,mwu_diff_pvalue
taxa244304,1.5449101737495915e-06,mwu_logged_pvalue
taxa361496,-4.18199803172792,logged_relative_abundance_diff
taxa361496,-0.0019980317279202353,qml_logged_loads_diff
taxa361496,0.7486986250513457,qml_diff_pvalue
taxa361496,1.5449101737495915e-06,mwu_diff_pvalue
taxa361496,1.5449101737495915e-06,mwu_logged_pvalue
taxa127309,-4.1657138845163715,logged_relative_abundance_diff
taxa127309,0.014286115483628237,qml_logged_loads_diff
taxa127309,0.00983176023387719,qml_diff_pvalue
taxa127309,1.5449101737495915e-06,mwu_diff_pvalue
taxa127309,1.5449101737495915e-06,mwu_logged_pvalue
taxa248140,-4.175256317563857,logged_relative_abundance_diff
taxa248140,0.004743682436142649,qml_logged_loads_diff
taxa248140,0.48564949131806745,qml_diff_pvalue
taxa248140,1.5449101737495915e-06,mwu_diff_pvalue
taxa248140,1.5449101737495915e-06,mwu_logged_pvalue
taxa348374,-4.178647359961079,logged_relative_abundance_diff
taxa348374,0.0013526400389203275,qml_logged_loads_diff
taxa348374,0.136563154180369,qml_diff_pvalue
taxa348374,1.5449101737495915e-06,mwu_diff_pvalue
taxa348374,1.5449101737495915e-06,mwu_logged_pvalue
taxa470812,-4.207134501662448,logged_relative_abundance_diff
taxa470812,-0.027134501662448685,qml_logged_loads_diff
taxa470812,0.28276255392352445,qml_diff_pvalue
taxa470812,1.5449101737495915e-06,mwu_diff_pvalue
taxa470812,1.5449101737495915e-06,mwu_logged_pvalue
taxa268540,3.6775810641886677,logged_relative_abundance_diff
taxa268540,7.857581064188667,qml_logged_loads_diff
taxa268540,1.5449101737495915e-06,qml_diff_pvalue
taxa268540,1.5449101737495915e-06,mwu_diff_pvalue
taxa268540,1.5449101737495915e-06,mwu_logged_pvalue
taxa291090,-4.182582763247473,logged_relative_abundance_diff
taxa291090,-0.0025827632474735296,qml_logged_loads_diff
taxa291090,0.7203098459695906,qml_diff_pvalue
taxa291090,1.5449101737495915e-06,mwu_diff_pvalue
taxa291090,1.5449101737495915e-06,mwu_logged_pvalue
taxa541301,-4.1856872417372095,logged_relative_abundance_diff
taxa541301,-0.005687241737209803,qml_logged_loads_diff
taxa541301,0.584729632558272,qml_diff_pvalue
taxa541301,1.5449101737495915e-06,mwu_diff_pvalue
taxa541301,1.5449101737495915e-06,mwu_logged_pvalue
taxa171772,-4.166243705795065,logged_relative_abundance_diff
