taxa326977,taxa469873,taxa357591,taxa190872,taxa263681,taxa361480,taxa347862,taxa517293,taxa2000,taxa322235,taxa158660,taxa331820,taxa244304,taxa361496,taxa127309,taxa248140,taxa348374,taxa470812,taxa268540,taxa291090,taxa541301,taxa171772,taxa259569,taxa104780,taxa138006,taxa181095,taxa278234,taxa177339,taxa510994,taxa193066,taxa405524,taxa346780,taxa549871,taxa544358,taxa302160,taxa192573,taxa175497,taxa302974,taxa194648,taxa195173,taxa287978,taxa199487,taxa190108,taxa191306,taxa299892,taxa174348,taxa192127,taxa183200,taxa182980,taxa181843,taxa194053,taxa109014,taxa518438,taxa193343,taxa357795,taxa352304,taxa179460,taxa469991,taxa175537,taxa288134,taxa190464,taxa178915,taxa366612,taxa261912,taxa185281,taxa511008,taxa470973,taxa162162,taxa181028,taxa204044,taxa470172,taxa328422,taxa213747,taxa262724,taxa82283,taxa316732,taxa293896,taxa196731,taxa167602,taxa470114,taxa170206,taxa365676,taxa223059,taxa187524,taxa191541,taxa212619,taxa357470,taxa326792,taxa325407,taxa188646,taxa171551,taxa290260,taxa367433,taxa310301,taxa193761,taxa327476,taxa189047,taxa180658,taxa269833,taxa367055,taxa203708,taxa181892,taxa589024,condition
17793848.31854851,1827482.1041143679,6761469.543475892,710211.3921616819,26783432.033512104,8233310.347141283,2272033.7296756003,6131598.806536139,1346509.3815192075,21397394.50743526,45076463.62317273,114257266.23039094,27943551.09491646,13557217.766513145,6321202.75285985,5335690.715471092,10389653.533297328,723065.8969971851,2239897.467586843,11847568.623390906,1288664.10975943,1397927.4008612265,14112103.891912501,907313.7996394322,2206689.996761784,1169759.9400310058,778768.7512843742,1727859.6916392052,0.0,1848906.278840211,1434348.4978951614,754130.9503496554,3101149.2915657135,934094.0180467328,1932460.5602710012,22342200.612844918,1138694.886678529,792694.4648561715,2468064.9284170633,1933531.7690072886,5000402.381011655,3796363.7614193037,1076564.7799735882,0.0,1122626.75563415,776626.3338117927,1914250.011754034,1727859.6916392052,0.0,1178329.609921339,2698374.8067198726,1256527.8476706655,4169144.401648962,1634664.5315817874,6458317.471105241,1827482.1041143679,1277952.0223965086,850539.736615949,1423636.4105322398,2481990.6419888604,2520554.1564953765,698428.0960624663,1163332.6876132477,1625023.65295516,796979.2998013414,800192.9260102173,3666747.5043279505,1109772.2507986468,0.0,0.0,3990252.5426881784,1610026.7306470685,754130.9503496554,1027289.1781041505,1008007.4208508891,12703464.40368836,1934602.977743583,9248816.229146257,749846.1154044922,1078707.1974461698,1094775.3284905553,3391446.859100874,5676335.0936119845,4583702.182594017,3695670.14020784,2161699.2298375163,5041108.312990753,1539326.954051788,13744679.295364289,861251.8239788704,26918404.33428487,8397205.283794008,4734742.614411206,1182614.444866509,7788758.721580077,4172358.0278578373,38877378.6662502,19167137.918475024,2743365.5736441403,1215821.9156915678,1633593.3228454932,747703.6979319039,2440213.501273469,Control
10769722.906068468,1111252.3741034747,4244725.6382906,425270.65889938164,16512587.004932221,5142012.524493856,1409587.9122947303,3814894.4361322434,809876.4737395705,13095980.013417112,27850857.637286212,70391985.20227262,17134341.06923912,8270925.2454219945,3881402.358658957,3275990.2410300774,6374879.385503302,450733.6920953207,1348400.6235701547,7200717.760649278,786693.7121731167,843320.4576387178,8699236.266494015,583369.4918771655,1349540.759384895,702323.6618820871,472016.22730387084,1028022.4596271897,0.0,1112392.5099182192,911348.5612517532,483037.54017972335,1877043.5963396227,590590.3520372108,1167879.1195690758,13747377.608907323,676860.628686144,469735.9556743816,1553245.0249524277,1223745.7744915138,3053283.711883484,2261649.4111798154,689022.0773767453,426030.7494425447,661658.8178228944,481137.31382181967,1207783.8730851014,1095670.5179686432,0.0,739568.0984970459,1666498.5158836304,769211.629680382,2642834.818575775,1012440.6034923587,3887483.083004253,1132154.864040439,777572.6256551677,493298.7625124169,948212.9525951346,1604931.181887473,1595430.0500979424,0.0,739568.0984970459,971775.75943317,479617.1327354935,458334.59752694744,2262029.456451397,680661.0814019553,430591.29270151915,0.0,2471434.401092645,1030682.7765282562,468595.81985963683,612632.97778892,625934.5622942619,7927744.365184174,1208543.9636282644,5691938.03247185,444272.9224784425,662038.8630944759,694722.7564504603,2069726.5490312984,3468293.1484501725,2896705.059992026,2270390.452426183,1377284.0642103234,3125112.2682123347,1003699.5622459912,8451066.7041515,524462.4747820791,16601137.553210652,5207760.356477394,2959412.5298029245,734247.4646949084,4818593.998378243,2574806.714962735,23914348.71424801,11758980.747994386,1689681.277450084,731587.1477938417,1029542.6407135116,455674.2806258766,1516380.6336090504,Control
11066767.076793406,1098970.512015813,4308768.531866888,432887.16509891243,16735846.669265216,5268357.417968486,1372372.9320782875,3774025.563215285,816856.7403337057,13335739.121723633,28403026.903842866,71047773.49785157,17530589.978564482,8435938.887662876,3938871.14001766,3351860.0616482333,6572379.745031182,473093.4033433943,1410568.8584105414,7353050.870944827,800774.2450359119,865104.2262270821,8811197.111278031,568918.2711594049,1413249.2742935077,679485.426331728,501907.8740852726,1068815.8333324539,0.0,1178042.7805632958,923403.2716815813,487835.6906997026,1872940.5982220746,557526.5036568054,1131135.5026114003,14196152.6201555,718351.4566347288,494536.7304071163,1594177.3463936718,1210207.7711588787,3146808.246601381,2314539.114940624,700928.7533954541,0.0,688866.8819221079,479124.3390800654,1230310.8902811196,1178042.7805632958,0.0,759897.9028206917,1629022.7528722212,766598.9425281053,2604694.1342716306,1056083.8578883691,3942221.6598713645,1107011.759664712,752526.7591425355,497217.1462900826,897269.2168226695,1656497.0156726183,1665208.3672922559,440258.3087770687,739794.7836984508,975671.3813994052,467062.46760672325,487835.6906997026,2303817.451408763,708970.0010443488,0.0,431546.95715743134,2522941.449841186,1081547.8087765384,446289.2445137397,661392.6191217148,666753.4508876433,7880422.695918274,1225620.1624859297,5867430.367811276,487165.5867289599,678145.2183902469,688196.7779513652,2150363.642108992,3589076.8672906733,2842581.0438848087,2302477.243467278,1338197.6295704765,3149488.6624843474,980362.1091945953,8575990.617547806,535413.0726223409,16871207.671354983,5192635.6692747045,3043612.235107214,729743.2241373323,4842171.292576991,2636859.124867214,24407196.926312204,11947953.798318278,1783146.6661427354,767269.046498848,996444.6044923888,466392.3636359807,1553301.0041784516,Control
15606620.34002199,1570150.106840326,6021987.468587624,643733.5553890811,23607388.78104471,7322049.366319049,1991095.8752338844,5426673.8719299575,1159560.0521638968,18823328.92788579,40114956.21445691,100454901.20262077,24802214.23667779,11955811.428502332,5609718.1089840755,4716327.887765833,9246812.696932403,659686.9521965515,1927842.0563130418,10416168.694504391,1166837.0401813388,1204061.632732101,12552244.561778037,821739.8776618919,1978221.204126101,994708.285153389,651010.5434065228,1506616.40376497,0.0,1632004.5049885814,1305099.812512733,688794.9042663188,2627552.442605524,833495.0121516018,1648797.554259599,19641430.311538983,975676.162646237,685996.0627211452,2202688.2960487306,1707013.4583991335,4432525.355085602,3281641.711711734,961122.1866113534,0.0,991629.5594537016,685996.0627211452,1720447.8978159502,1573788.6008490466,0.0,1033052.4143222183,2377615.892621848,1104142.9895695357,3757724.6585451397,1466313.0855145203,5511478.770748612,1601497.1321462272,1102743.5687969492,707267.2584644371,1343723.8258360764,2295050.0670393337,2304006.3599838763,0.0,1034451.8350948051,1380668.534232325,678719.0747037034,696911.5447473079,3261490.052586509,998066.895007596,602870.4688296037,0.0,3497432.3948443346,1449520.0362435023,646532.3969342547,902066.6300082656,897588.4835359915,11293325.634760626,1742278.8618682758,8172897.196050666,648771.4701703888,949926.820430671,954404.9669029451,2919471.615766743,4990894.243347002,4039568.0021437504,3279402.6384755997,1929801.2453946623,4409574.854415209,1412575.3278472598,12121782.7321309,782556.0960295091,23795750.81703468,7445198.394306485,4288944.7838183865,1025215.657995743,6928252.360913614,3618342.3495956715,34483687.025575034,16801725.679809555,2403645.1189919277,1039209.865721593,1471071.116141308,637016.3356806728,2180857.3319964046,Control
9122981.75895642,939872.5774981756,3577012.6523288544,359548.56991540955,14103044.845767215,4344319.938752342,1176417.6892846304,3180067.4266453176,699722.9687702144,10960374.074890058,23699567.39041423,59306590.42709987,14552255.27710263,7087342.111239863,3249003.4306516554,2765550.2783719134,5457658.931560609,393791.290859735,1139021.0335164852,6141161.664094045,674040.9280619704,692964.5370048882,7442835.622096072,508684.63087029924,1161098.5772832227,587983.5635834698,410462.08921420714,894816.365729327,0.0,926806.27608521,742526.3699506212,401000.28474275186,1595891.0208526093,478496.96898517094,980423.1680901403,11635766.6893051,597445.3680549287,418121.6452149145,1293113.2777659497,1005654.646680694,2657415.3701266753,1912185.6274699252,577170.0727589465,0.0,587082.4393480923,402802.53321350337,1022325.4450351696,924102.9033790812,0.0,632138.6511169411,1381423.452832892,642501.5798237777,2198743.1343198,846155.6570189714,3291356.2697143713,923652.3412613906,695667.9097110173,408209.2786257651,758746.6061874063,1318795.31847419,1386379.6361274633,374417.1197991302,635743.1480584514,838946.663135958,401450.84686043876,421275.58003873064,1928856.4258243975,600599.3028787484,359548.56991540955,0.0,2086553.1670153681,845254.5327835937,384329.48638827616,528058.801930904,523102.6186363293,6596229.402959404,1036743.4328011996,4800288.8018531175,387483.42121209577,561850.9607575388,579422.8833473885,1742323.7091013666,2909730.1560322284,2408705.081162633,1929757.550059775,1168758.1332839264,2614611.968946269,859672.5205496275,7224763.557134842,443803.68592315505,13981393.073991334,4388024.464168148,2476289.398815906,627182.46782237,4069477.0469623865,2183424.022318392,20337022.306105085,9865958.691024724,1420171.7949541016,599698.1786433709,868233.2007857087,373515.9955637527,1290409.905059817,Control
17226566.930478282,1760473.635286949,6777262.2855247045,688561.9049246426,26120455.560733695,8213097.329900488,2208578.4988053013,6030420.846327458,1273515.7489201783,20839898.055380616,44530312.88707311,111877279.29200351,27335691.7753813,13311045.62786604,6210871.552445641,5196807.656102079,10223525.41217891,732163.6305656359,2114899.543715244,11661950.658077871,1274379.1494279262,1351221.7946170087,13988815.026443912,919089.8404918899,2162818.2718949514,1112491.5542262078,743819.5374201621,1693560.0959369033,0.0,1815731.2677824683,1446627.5507225487,755907.1445285557,2938583.628101587,923838.5432844711,1839043.081491514,21923897.392851308,1103857.5491487798,785262.7617917984,2490910.4648371018,1922361.2304886675,4859218.057574765,3713917.2840543417,1064141.1257926265,0.0,1074933.6321394048,784399.361284057,1897754.316018006,1738456.922339512,0.0,1181995.295099478,2604879.331859107,1218258.1164246588,4174109.754681094,1650821.7708036515,6145253.113857211,1731981.4185314476,1235526.1265795142,805984.3739776199,1448786.0519919058,2550485.0998713286,2547463.1980942306,679496.1995933407,1169044.2874833362,1613263.8487168553,713168.8193953041,740365.9353891896,3570161.09951522,1091769.9420403864,684676.6026397961,0.0,3903865.395757694,1639597.5642029992,713600.5196491714,1005429.8912661348,996795.8861887134,12417426.102352541,1911568.7241418825,9234931.830813719,714463.9201569129,1066731.3273158509,1088316.3400094137,3270992.8235824453,5590949.987886532,4539759.869710041,3650457.346735269,2128713.9518391206,4926994.997432552,1574842.5261223107,13573951.082473675,872034.5128199174,26455454.95773783,8273103.665188583,4734024.983952101,1179405.0935762469,7703259.330078559,4059277.487151342,38319873.0348813,18688735.690340184,2708487.392788207,1136235.0681891209,1604629.8436394276,739934.2351353156,2442128.336149647,Control
10918465.633041292,1120084.3129899558,4233698.770698347,429260.92359678133,16528705.60886935,5120890.377656417,1424455.0502154892,3802866.9013610636,827888.405253445,13015285.460198889,27843049.568521407,69638060.99502607,17134697.928274497,8307946.548734082,3835464.0254768287,3309589.9388381364,6409065.884881886,454396.055445086,1319594.4220358543,7324141.7787341215,798825.9090538494,878944.1418203092,8742705.782422652,585177.2883432804,1383217.7245268668,713602.1026306979,476782.03224747995,1060388.3748502384,0.0,1149146.8091895555,915468.6302873734,474032.87720156927,1848610.4001555874,578108.0325109452,1130295.460303331,13794867.283931343,683754.1335608392,472461.9314610514,1545810.6086705714,1224944.9411695907,3044885.5815607077,2231921.160842192,643302.2807424798,0.0,686110.5521716162,475603.82294208737,1171532.7859919493,1097698.3361875617,418264.3034131512,737559.0251736098,1623572.4228262585,770548.8857245087,2588525.843939974,1029362.196474991,3906156.583800181,1069814.0492933549,789007.4981756037,461858.0477125507,907613.9015847793,1542668.7171895357,1604721.07394003,429260.92359678133,740308.1802195206,965738.8939839787,474032.87720156927,475996.55937721685,2236241.2616286166,701034.5367065497,0.0,424940.8228103568,2401976.0372533575,999906.963840262,464999.9391935867,627592.8233372915,609919.6837564514,7807993.066813942,1201380.755061808,5732381.007153386,472854.6678961809,652727.9551855919,673935.7226825975,2012774.2300398056,3442727.5903471117,2834378.8523311787,2224459.168574727,1348264.1818003245,3034281.6978122066,972808.1498163139,8447367.983205117,555722.0557085513,16589972.492749587,5193546.618155396,2960839.9844429484,753268.4825787983,4730117.624702334,2552786.8283431684,23904688.59704059,11667806.751268812,1697406.8726306418,732060.715081797,1051355.4368422555,434759.23368859844,1528530.205524865,Control
17809041.82603194,1718942.308685459,6887066.631108306,733461.7333319127,26925171.663297076,8357466.21973108,2270776.669663856,6207484.7881396515,1327878.5883070708,21229545.833608247,45897845.31507715,114275771.33848336,28382535.794573843,13664635.42051071,6297863.95907155,5435785.713259634,10396211.748637116,745628.1601881302,2176052.3462833096,11899634.495869568,1328747.618796798,1446935.765400045,14207779.47659183,952457.4167438148,2275121.822112504,1115835.1488130111,769961.0139005652,1698954.607421672,0.0,1853642.034593572,1490387.2898865337,783865.5017362434,3029440.2871979303,955064.5082130024,1863201.3699806018,22694731.23929262,1127132.545179495,819495.7518151624,2521926.4811957553,1959663.7543406019,4989973.072028266,3648189.9958855165,1108013.8744054418,0.0,1101930.660977333,758663.6175340746,1926640.5957308705,1818011.784514653,714343.0625578595,1190571.7709297703,2695732.579141709,1289641.2467589576,4306046.076610943,1740668.0709287066,6352612.879924522,1731108.7355416764,1304414.7650843626,802984.1725102968,1454757.0398076146,2561032.8532335963,2701815.792569817,689141.1783556975,1154072.4903611178,1611182.5279589684,764746.8309621835,807329.3249589448,3736831.105837954,1165369.8867276015,0.0,0.0,4005361.5271644536,1639860.5341200517,740413.9772497551,1028932.0998400345,1053264.9535524629,12735641.82698959,1974437.2726660068,9114391.776285674,780389.3797773223,1015896.6424940833,1094109.3865697638,3350112.537908214,5587866.048962339,4656265.363972038,3730747.8924098453,2217765.8097903375,5033424.596514754,1593801.918164376,13901880.744206924,880327.8860962433,26933861.968194347,8448714.42115271,4817905.035061774,1179274.3745632796,7872547.206461846,4146144.466500669,38908233.08618067,19171681.63392814,2720934.463343871,1181881.466032467,1649419.8695070816,718688.2150065077,2471522.7127914317,Control
14900093.912273513,1560876.7855120937,5588656.536632377,578600.8773881028,22211097.246712327,7149533.32214446,1861390.4195043633,5169283.032478989,1058525.63615188,17613687.17444248,38290819.30435843,96206973.01966004,23662084.718301855,11493525.180674557,5137886.085643972,4485278.119287624,8761990.806028396,632424.2148195556,1818780.2773711341,9946104.22952028,1125804.8079411946,1186356.0625515785,11942052.992603283,796136.8661735522,1845691.9460868577,937423.1269311125,668306.4397738538,1453230.1106491878,0.0,1518266.643378859,1202054.535969084,603269.9070441828,2343557.817327784,856688.120783936,1491354.9746631354,18678940.72777329,894812.9847978834,648122.688237061,1991463.4849637053,1607972.2057646157,4189249.7634146414,3233885.524006374,892570.3457382399,583086.15550739,892570.3457382399,704188.6647281577,1547420.9511542318,1545178.3120945883,612240.463282763,966577.4347064855,2339072.5392084965,971062.7128257727,3677928.057815854,1392678.8560388098,5429429.163397667,1433046.3591123952,1020400.7721379325,630181.575759912,1181870.7844322913,2078926.408289813,2215727.3909280854,0.0,1049555.0799133056,1482384.418424561,666063.8007142101,713159.220966732,3166606.35221706,980033.2690643471,576358.2383284591,567387.6820898846,3319105.808272844,1325399.6842494952,623453.6585809811,796136.8661735522,827533.8130085688,10596469.55681699,1652824.9869574886,7788685.45414298,661578.5225949229,872386.5942014415,883599.7894996597,2718078.5402882993,4651233.4097012635,3971713.7746291924,3097084.541368107,1841206.6679675705,4180279.2071760674,1379223.0216809423,11520436.849390235,775953.1146367596,22303045.44815772,7201114.020516279,4056934.058895656,980033.2690643471,6449829.935535578,3451421.51279183,32661795.26465251,16259133.182417646,2327859.3439102788,901540.9019768144,1309701.210831984,612240.463282763,1984735.5677847744,Control
18279117.946027983,1831606.8134552778,7138869.967765035,734794.2553468442,27620499.784212057,8627167.434673822,2309620.644750298,6311934.103058977,1343303.0562419675,22141114.232723698,47190067.985174485,117526856.59963228,29029284.18720679,14036394.400355682,6540651.092788203,5518674.3595400425,10846049.641781028,789050.2283705438,2242268.4023760473,12289445.613773614,1353592.982160258,1391478.618495773,14727222.608597144,941060.4976179844,2298395.271021251,1177728.793738609,777357.1307361231,1757706.4364057523,0.0,1902700.8470725364,1528989.4466765332,801678.773815713,3122057.068389676,1003735.5009384636,1913458.4968962015,23166365.03330947,1140310.8813084683,817113.6626931492,2560788.3819376025,2055646.5641307328,5194073.9692085935,3818965.687401005,1130488.6792955587,0.0,1179599.689360113,814775.0431662636,1995777.904242507,1833009.985171408,0.0,1269402.679192449,2724491.748819457,1260515.9249902882,4371347.619650925,1722159.419597123,6469557.059170935,1861541.1433993876,1270805.8509085788,854063.8512179084,1541617.9921217025,2649188.2000538013,2668832.6040796274,717488.4708479038,1232452.4906676828,1635630.4971024282,776889.4068307487,833483.9993813339,3898011.0274096685,1148262.1876998735,727778.3967661946,0.0,4052827.6400893694,1717014.4566379779,731052.4641038286,1011219.0834244946,1042556.585084734,13337614.88572281,2034598.9883887772,9462054.605771229,766599.480912458,1108037.931837473,1161358.457050424,3479865.8560028756,5882563.557923144,4746462.191763065,3770322.401241825,2281089.486522318,5160397.848021467,1655742.6250336287,14191678.736940762,914400.235011509,27712641.393571258,8733808.48509968,4969098.770722382,1239468.3492483324,8076188.6741399905,4329720.192072394,40206950.077899896,19810913.73613682,2858728.5096625756,1190825.0630891526,1709063.1502465724,760986.7940479384,2593996.7792193466,Control
