,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa326977,48,48,1.0,1.0,-10.461595455860508,-5.187376944074464,-5.274218511786042,-5.278780635861553,-5.269929655979937,0
1,taxa469873,48,48,1.0,1.0,-13.757563200454126,-8.484651463340803,-5.272911737113319,-5.285198025875168,-5.259645303817272,1
2,taxa357591,48,48,1.0,1.0,-11.814448651036638,-6.549929170715913,-5.264519480320726,-5.271964575911829,-5.256959490449497,2
3,taxa190872,41,42,0.8541666666666666,0.875,-15.079052591941798,-9.807615825323916,-5.2714367666178825,-5.289568697403081,-5.252427050704485,3
4,taxa263681,48,48,1.0,1.0,-6.2621776809381595,-4.586963773434576,-1.6752139075035843,-1.6792961284973618,-1.6712334545673262,4
5,taxa361480,48,48,1.0,1.0,-17.04486836807571,-6.27265310535454,-10.772215262721172,-10.779910011557543,-10.764529176715381,5
6,taxa347862,48,48,1.0,1.0,-13.736349363618942,-8.165529424797693,-5.5708199388212485,-5.583476892181803,-5.55781878674488,6
7,taxa517293,48,48,1.0,1.0,-11.982897824722757,-6.7073891435049635,-5.275508681217794,-5.283804463619162,-5.268804420860477,7
8,taxa2000,48,48,1.0,1.0,-14.18864412521598,-8.929032959789176,-5.259611165426804,-5.275910796574809,-5.242695762930972,8
9,taxa322235,48,48,1.0,1.0,-10.188647772636926,-4.920941414361661,-5.267706358275263,-5.271341626605805,-5.26412376157546,9
10,taxa158660,48,48,1.0,1.0,-16.52141482098089,-3.821212664983905,-12.700202155996985,-12.702612481068448,-12.697747837160541,10
11,taxa331820,48,48,1.0,1.0,-7.76620350176604,-2.499045845765384,-5.267157656000656,-5.270025330780034,-5.26417023078257,11
12,taxa244304,48,48,1.0,1.0,-9.789441723106572,-4.520074960166798,-5.269366762939774,-5.272908083364143,-5.265809387790091,12
13,taxa361496,48,48,1.0,1.0,-8.232954439517037,-5.569011619154142,-2.6639428203628963,-2.6695809222058036,-2.658382032234246,13
14,taxa127309,48,48,1.0,1.0,-4.0932152672333775,-6.670962047671765,2.577746780438386,2.5688238005368915,2.587003561780926,14
15,taxa248140,48,48,1.0,1.0,-12.18855042909324,-6.912135202221612,-5.276415226871627,-5.288985040309964,-5.266298161403822,15
16,taxa348374,48,48,1.0,1.0,-3.5367093859899086,-5.9498527945551976,2.413143408565289,2.405765861552001,2.4202952647630345,16
17,taxa470812,47,46,0.9791666666666666,0.9583333333333334,-24.903707127514853,-9.709311075993748,-15.194396051521103,-15.219207273834364,-15.171272406656612,17
18,taxa268540,48,48,1.0,1.0,-13.478941331575449,-8.212687679808454,-5.266253651766995,-5.276011390756611,-5.256619080860883,18
19,taxa291090,48,48,1.0,1.0,-1.7718095280474158,-5.760046016365443,3.988236488318027,3.983235884859713,3.992776936961984,19
