,taxa102106,taxa1263,taxa1301,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa447020,taxa459786,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,condition
0,0.013444649563324092,0.10519059007668416,0.008944373816439708,0.0024846986186677664,0.0923458185244538,0.216719191171337,0.03147692629088238,0.00045569946349776936,0.02974645899327221,0.05534096548753078,0.07713346636293919,0.0259160939303754,,0.0851622198084222,0.0014041172067679488,0.006011227958515112,,0.007850803346197912,0.047685322742921095,,0.0002481992564846521,0.0038257106503242666,0.0021057428415405238,,0.012994903418233065,,,0.008522878873242485,0.1099642855016672,0.0075013976767986735,0.04582561431480822,0.0016986441046723266,,Control
1,4.2034825903905756e-05,0.029197693939064292,0.0011391944263644048,0.04752416901200738,,0.05565015923602362,0.002664501518622035,0.00023073574315445137,0.09655602087601386,0.00014707124629511118,0.04868139283357876,0.011595332047776678,0.008046174699167385,0.07112373573930547,0.0007928882341584922,0.0059998383431755595,0.006165749294574591,0.020246706951223194,,,0.00014869186608899677,0.0017850114142277857,0.003016885035055019,,0.011432864913439655,0.0011009072837338595,0.00026811128715093613,0.0011734300195102361,0.5137455906480514,,0.060323418989166766,0.0009439097412011991,0.00025777983596491597,Control
2,,0.008442541151924809,0.03412444384843718,,0.05501766357108538,0.17364310536603986,0.031149218096974407,0.007102039003007825,0.13920243258719073,,0.008505992615360315,,,0.3223416613464791,,0.006806892001290008,,,,0.09730143085621017,,,,,0.0298978770806321,,,,0.02835694235110605,,0.058107760124262026,,,Control
3,,0.007599107194561081,0.0040501344592624505,,,0.1386266360395525,0.02536632148513735,0.002662669293202467,0.03383121019431827,,0.040725968264159876,0.025203466783431692,,0.05975223328351857,,0.008308028035797556,,0.01683692077621651,0.025044980610842284,0.07556559752842847,,,0.005183310593276733,,0.01937879515966974,,,,0.47578971323146196,,0.03607490706716258,,,Control
4,,0.004290451275529149,0.000731882608221028,,,0.1750532527281751,0.022552312258009008,0.00103279248013447,0.031653466266643886,,0.029707697408441633,0.012010727244172835,,0.01710894804100166,,0.002315058114360361,,0.021461995874511447,0.02828086111761538,0.04195481035779259,,7.578545998629166e-05,,,0.01272566718597123,0.0009237304058570088,,0.0008699602669109116,0.5229704004515879,,0.07428020045507798,,,Control
5,,0.00211654911618962,,,,0.06312496647229271,0.009247141838014936,,0.015672351631388182,,0.035355217551784786,0.005056478673976175,,0.008096891270946309,,,,0.008533452044769798,0.012039749649110023,0.006687726737375769,,,,,0.006509279268387395,,,,0.81055484252186,,0.017005353223904233,,,Control
6,0.0032986242430266114,0.023674304934659274,,,0.02214128771948256,0.05538237326556631,0.008301337969152856,,0.021869433665203546,0.10167983552241287,0.09322015674242454,0.023461186762237463,,0.16222444018231874,,0.025085142956610226,0.004523625786314581,0.10093413589300525,0.07395564338953325,,,0.0009555012037646167,,,0.012388135694223349,,,,0.2605412452670273,,0.006363588803036549,,,Control
7,0.005457884807318928,0.0014319244623413024,0.0011251578593666138,8.025688866422974e-05,0.0013005571556042625,0.010445366398199913,0.0040655162693516945,0.00029240155675463206,0.016191488980760414,,0.13207514959426028,,0.015025005589876678,0.070912946570772,,0.01939218782984957,0.00023077759036134538,0.021978728905762374,0.04035245577751749,,0.0026078804561672476,,0.0003636022206279566,,0.003986924893292689,0.00015333125421843115,,,0.582614005378773,0.03807965563861374,0.03138169260216775,,0.00045510131937744796,Control
8,0.011081053869470931,0.15268851606097605,,0.00030429762904412005,,0.2536638119385456,0.02383640910398812,,0.06974201142061608,,0.0029118329051326325,,,0.330028513209144,,0.010518864766433423,,0.0024753697287744217,,,,,0.004632233776627959,,0.014030604552607354,,,,0.11747912361873968,,0.00660735741989955,,,Control
9,0.005316070434888253,,0.0012521698273004814,0.0024895791002110547,0.05262240860662121,0.00021490541426424876,0.0015584255257260465,,8.58795891776441e-05,,0.00025598723697182373,,,0.00010383998402969946,0.007891735565597089,,0.00013769636053242456,0.02025137740229313,,,,,0.07777573515560464,0.006693963026153122,0.012958115223777744,,,0.0014587143680991183,0.1581247613667365,0.647751962405384,0.0030566734066317,,,Control
