,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa100883,10,7,0.17857142857142858,0.125,-14.797474327479925,-9.388310686005692,-5.409163641474233,-7.331398166339445,-3.730642615022039,0
1,taxa102106,44,45,0.7857142857142857,0.8035714285714286,-9.844395832134062,-7.41987731745671,-2.4245185146773527,-3.139889757917981,-1.66183277603362,1
2,taxa1253,4,5,0.07142857142857142,0.08928571428571429,-11.980234373036147,-7.41981259862618,-4.560421774409967,-8.05264029212517,-1.5955685472506917,2
3,taxa1263,53,49,0.9464285714285714,0.875,-8.421646088881074,-5.91117713882261,-2.510468950058464,-3.3004230222612936,-1.7039549524141921,3
4,taxa1301,32,38,0.5714285714285714,0.6785714285714286,-14.693185756030532,-9.665258481500802,-5.027927274529733,-6.030707705606133,-3.9909955957412135,4
5,taxa1348911,13,5,0.23214285714285715,0.08928571428571429,-12.484103919405293,-10.436893993783688,-2.0472099256216056,-3.4998453858681944,-0.4275809207737786,5
6,taxa1350,9,7,0.16071428571428573,0.125,-11.203537131527508,-7.33676094777119,-3.8667761837563157,-6.293844563689003,-1.4506688355963528,6
7,taxa1357,5,7,0.08928571428571429,0.125,-12.334190095324589,-9.373827937627116,-2.960362157697472,-4.6043956833095345,-1.3261273387926535,7
8,taxa1485,26,28,0.4642857142857143,0.5,-11.788860523011241,-9.316598087042932,-2.4722624359683087,-3.8394894199964957,-1.0992647259860266,8
9,taxa1578,19,15,0.3392857142857143,0.26785714285714285,-13.595633156665942,-7.988219692068924,-5.607413464597017,-6.994094212961209,-4.288276055846237,9
10,taxa1678,35,43,0.625,0.7678571428571429,-2.789424028437429,-6.1682893186072,3.3788652901697698,2.5407005290180598,4.134951767433078,10
11,taxa1730,56,56,1.0,1.0,-6.958314589832284,-4.17151059830845,-2.786803991523834,-3.820427651426753,-1.7865868772546523,11
12,taxa189330,55,55,0.9821428571428571,0.9821428571428571,-10.022311092899189,-6.97662043972079,-3.045690653178397,-3.8409595544402695,-2.226329328654679,12
13,taxa207244,31,30,0.5535714285714286,0.5357142857142857,-17.80475210112885,-10.01550828687355,-7.789243814255301,-9.03629225960933,-6.598638104096716,13
14,taxa216851,55,56,0.9821428571428571,1.0,-7.602088035897363,-5.526342449981813,-2.0757455859155494,-2.7701837834035143,-1.4462762993416067,14
15,taxa2172,24,19,0.42857142857142855,0.3392857142857143,-9.042415846098718,-5.544633506317944,-3.497782339780774,-4.83223197427238,-1.8962715949247089,15
16,taxa239759,53,49,0.9464285714285714,0.875,-7.082819979749118,-4.903866455646211,-2.178953524102907,-2.957174389582007,-1.435946865785791,16
17,taxa239934,25,29,0.44642857142857145,0.5178571428571429,-8.76352438145522,-5.207001594075003,-3.556522787380215,-4.720483689679185,-2.450356569389873,17
18,taxa244127,7,13,0.125,0.23214285714285715,-15.033704048191623,-11.960491896456773,-3.0732121517348516,-4.680022779363721,-1.46958182293302,18
19,taxa283168,24,29,0.42857142857142855,0.5178571428571429,-9.63789794141789,-7.319892353899182,-2.31800558751871,-3.270227344663619,-1.457751462451906,19
20,taxa292632,56,56,1.0,1.0,-7.482374253688421,-4.406300910190667,-3.076073343497754,-3.968450730121505,-2.260887902914981,20
21,taxa29465,21,25,0.375,0.44642857142857145,-9.373929032754841,-10.506473143536486,1.1325441107816454,-0.6373941168155345,2.843738455353349,21
22,taxa32207,4,7,0.07142857142857142,0.125,-16.806161817097422,-11.508359041361292,-5.297802775736129,-7.566176445244075,-2.387092602755695,22
23,taxa33042,52,50,0.9285714285714286,0.8928571428571429,-9.230436183427138,-6.988248428210578,-2.242187755216559,-3.2173995146605225,-1.3938648531201667,23
24,taxa35832,28,26,0.5,0.4642857142857143,-18.62952706121196,-9.34964470921038,-9.279882352001577,-10.425043710423637,-8.197888375104947,24
25,taxa375288,56,55,1.0,0.9821428571428571,-8.70146650755615,-5.97906594728958,-2.722400560266568,-3.512034483852026,-1.9951832285639999,25
26,taxa397864,36,31,0.6428571428571429,0.5535714285714286,-7.918671418337709,-5.213949778262148,-2.7047216400755616,-3.4860123065567366,-1.976865718045997,26
27,taxa39948,11,12,0.19642857142857142,0.21428571428571427,-9.732444553095458,-5.449126420291821,-4.283318132803637,-6.953296963891201,-1.4628836986971185,27
28,taxa40544,10,17,0.17857142857142858,0.30357142857142855,-9.6278977956715,-7.624233205046052,-2.003664590625447,-3.496265936724354,-0.36803473091193706,28
29,taxa447020,28,26,0.5,0.4642857142857143,-13.480845122900929,-10.356209062071878,-3.1246360608290535,-4.074449802491596,-2.1912690502205243,29
30,taxa459786,32,38,0.5714285714285714,0.6785714285714286,-11.946638011417624,-8.984942502873935,-2.96169550854369,-4.0824574290549185,-1.795244957230458,30
31,taxa46255,10,4,0.17857142857142858,0.07142857142857142,-11.92233963929539,-8.94168602058943,-2.9806536187059627,-4.137254316458731,-1.7853637301932879,31
32,taxa547,7,9,0.125,0.16071428571428573,-13.856816312039353,-10.366724300197903,-3.49009201184145,-5.938065894664602,-1.1074189157421521,32
33,taxa561,29,36,0.5178571428571429,0.6428571428571429,-10.887144034489548,-8.644778117933503,-2.242365916556047,-3.3375854886063863,-1.1038799782691677,33
34,taxa570,9,11,0.16071428571428573,0.19642857142857142,-13.301166051288787,-10.127096827902736,-3.1740692233860517,-5.331961542201502,-1.1460417719048477,34
35,taxa572511,56,56,1.0,1.0,-6.947602499705665,-6.314029598460067,-0.6335729012455974,-1.2640467525654544,-0.01977005091444451,35
36,taxa577310,21,18,0.375,0.32142857142857145,-22.39324035129571,-10.721005674360615,-11.672234676935096,-12.90041260802258,-10.338742161064252,36
37,taxa61170,15,24,0.26785714285714285,0.42857142857142855,-13.860674434344496,-10.248380925540223,-3.612293508804273,-4.859747150938403,-2.327336508954249,37
38,taxa724,22,25,0.39285714285714285,0.44642857142857145,-11.949706466060936,-9.017479092345301,-2.932227373715634,-4.189186642762872,-1.7065324223850802,38
39,taxa816,54,53,0.9642857142857143,0.9464285714285714,-3.464519972639985,-2.288581898129756,-1.1759380745102288,-1.8841907839219108,-0.495383867368857,39
40,taxa838,22,22,0.39285714285714285,0.39285714285714285,-1.7030306137131095,-6.434295950719386,4.731265337006276,2.944333666329302,6.50954321869744,40
41,taxa841,56,56,1.0,1.0,-8.821058448085157,-6.319834178018112,-2.5012242700670466,-3.42477060050137,-1.67218868225649,41
42,taxa84111,15,14,0.26785714285714285,0.25,-8.076216463740405,-11.321453797975455,3.2452373342350493,1.6616747352906822,4.853687177283325,42
43,taxa846,13,13,0.23214285714285715,0.23214285714285715,-13.87986266897706,-10.88748599935897,-2.99237666961809,-4.47042224674077,-1.4044288724361107,43
44,taxa848,5,8,0.08928571428571429,0.14285714285714285,-14.30667098284406,-8.575248678244233,-5.73142230459983,-9.375692324189886,-1.9895729176347425,44
45,taxa872,15,13,0.26785714285714285,0.23214285714285715,-24.582501473493373,-10.761638952541354,-13.820862520952016,-15.088922483020102,-12.62986466605319,45
46,taxa904,13,9,0.23214285714285715,0.16071428571428573,-6.347254775698016,-8.617955808593518,2.2707010328954995,0.4803865329748558,4.243644400662613,46
47,taxa906,5,7,0.08928571428571429,0.125,-4.757533969915119,-8.718946695250695,3.961412725335579,2.4804700832362307,5.813622798507229,47
48,taxa946234,7,12,0.125,0.21428571428571427,-22.734903412872,-10.233017406295682,-12.501886006576319,-14.443475344136619,-10.478746112438234,48
