,taxa102106,taxa1263,taxa1301,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa292632,taxa29465,taxa33042,taxa375288,taxa397864,taxa447020,taxa459786,taxa572511,taxa724,taxa816,taxa841,condition
0,0.012255278046681285,0.08594346028092464,0.0005386372967736938,0.0011457558462158787,0.3285769401204636,0.0076942628371895585,,0.04949382732098986,0.03831152459638799,,0.11131223285018053,,0.005694077968516437,0.012471572346963083,,,8.260743034898723e-05,0.0045819997487997095,,0.3258325718334049,0.01606525147615998,Control
1,,0.004547671778982369,,,0.032780703679174475,0.010109837299914276,0.0012138624211701454,0.011823826282087023,0.024717905353229548,0.016657714464739223,0.0028896424160274768,0.0006072320687529108,,0.010928873518825098,0.013587958292232766,,,0.005830430720587403,0.0005859714248923627,0.8432593128640133,0.020459057415371604,Control
2,0.011487684872714118,0.028281045522466724,,0.04989395012942492,0.04710606919550103,0.003972603040910174,,0.004941626573231228,0.11673296736320872,0.10783273964152144,0.25614205741493357,,0.0273963804992288,0.09585464137855458,0.09528739115698331,0.000976313773846756,0.0004596323704775768,0.018281148511593046,,0.13054739646381627,0.004806352091587652,Control
3,0.0073479375867521145,,,0.0541134135083285,0.037510645665180496,0.021467382397061117,0.0028378110188072916,0.05656026265962538,0.14544377449843945,,0.043771399351456255,0.0012863599006623107,0.12742257792865305,0.009758551247889491,0.06392405327332228,3.8500208294470573e-05,,0.00579350657632428,0.0009439106795167566,0.3962720355584587,0.025507877941228184,Control
4,0.000600127756869889,0.020265137752662022,,0.002577317409915352,0.032322931682182816,0.00011258996635397776,,0.036544210467613795,0.2988239101375752,0.09965310461023169,0.2681637400316689,0.0019001933252105194,,0.12589058029671366,0.010125809253585558,0.0009476146136284135,0.006718008817927871,0.0026410057304701823,0.0010138377927127885,0.07929797937977082,0.012401900974906592,Control
5,0.05684815749664289,0.0008015340697227527,,0.003251199484654226,0.11152256937101926,0.09921939077131403,0.024292392241224085,0.037810245858571345,0.0519344212157573,,0.14522079770369725,,0.14446598900716343,0.008778644916159355,0.029328020799993804,0.003349636733309116,,0.07189428171927952,,0.166779478585466,0.04450324002602585,Control
6,0.008879273099058392,0.0610730034135321,2.836364835672235e-05,0.07398242113421613,0.04442209066473179,0.002139674477663627,,0.01122342969278211,0.06531712867531868,0.09417047871901849,0.028364835672234957,0.0004616018865124256,0.0014009003809303938,0.06403693870483666,0.06758912287066506,8.40355535034053e-05,0.06912062795798224,0.0016729275572632376,,0.3999538266189541,0.006079319272439437,Control
7,0.017037941931484075,0.22293624096829198,0.001074660218773244,0.00755408841358848,0.4478776046228007,0.018832267057494172,0.00010376942698094718,0.037932053530767486,0.003051574729058943,,0.10723180236598367,,0.01852543949763785,0.0007768959356601039,,0.00013014458064931352,,0.01319898230603977,0.001851861658143792,0.08911441399092943,0.012770258765716134,Control
8,0.005843700098308839,0.0027594439707890046,5.983381834515293e-05,0.05960042475756619,0.0638348661666547,0.0031846393454055184,,0.05340064047203252,0.18154456102773234,,0.15169853512427553,,0.0001841922596095562,0.035074396681745695,,0.0021054415730581864,0.01481939829069166,0.0012104360603204113,,0.41758793199834426,0.007091558355120383,Control
9,,0.009352558473569495,0.03780270071858454,0.060947990228088736,0.19236000953312743,0.034506776859654774,0.007867564263167178,0.15420699372463206,0.009422849338764605,,0.3570867090796659,,0.007540603512583776,,,,,0.03312055441606633,,0.03141352309664413,0.06437116675545114,Control
