,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate
0,taxa100883,4,3,0.2222222222222222,0.16666666666666666
1,taxa1017280,0,0,0.0,0.0
2,taxa102106,15,16,0.8333333333333334,0.8888888888888888
3,taxa117563,2,1,0.1111111111111111,0.05555555555555555
4,taxa1253,2,1,0.1111111111111111,0.05555555555555555
5,taxa1263,17,16,0.9444444444444444,0.8888888888888888
6,taxa1301,12,8,0.6666666666666666,0.4444444444444444
7,taxa1348911,3,5,0.16666666666666666,0.2777777777777778
8,taxa1350,4,4,0.2222222222222222,0.2222222222222222
9,taxa1357,4,2,0.2222222222222222,0.1111111111111111
10,taxa135858,0,0,0.0,0.0
11,taxa1485,5,6,0.2777777777777778,0.3333333333333333
12,taxa1578,5,7,0.2777777777777778,0.3888888888888889
13,taxa1678,14,10,0.7777777777777778,0.5555555555555556
14,taxa1730,18,18,1.0,1.0
15,taxa189330,18,18,1.0,1.0
16,taxa191303,1,1,0.05555555555555555,0.05555555555555555
17,taxa207244,11,9,0.6111111111111112,0.5
18,taxa216851,18,18,1.0,1.0
19,taxa2172,6,7,0.3333333333333333,0.3888888888888889
20,taxa239759,18,17,1.0,0.9444444444444444
21,taxa239934,9,7,0.5,0.3888888888888889
22,taxa244127,2,1,0.1111111111111111,0.05555555555555555
23,taxa283168,9,4,0.5,0.2222222222222222
24,taxa292632,18,18,1.0,1.0
25,taxa29465,5,4,0.2777777777777778,0.2222222222222222
26,taxa32207,0,0,0.0,0.0
27,taxa33024,1,1,0.05555555555555555,0.05555555555555555
28,taxa33042,18,16,1.0,0.8888888888888888
29,taxa35832,9,6,0.5,0.3333333333333333
30,taxa375288,18,17,1.0,0.9444444444444444
31,taxa397864,16,11,0.8888888888888888,0.6111111111111112
32,taxa39948,5,2,0.2777777777777778,0.1111111111111111
33,taxa40544,6,4,0.3333333333333333,0.2222222222222222
34,taxa447020,13,8,0.7222222222222222,0.4444444444444444
35,taxa459786,9,9,0.5,0.5
36,taxa46255,5,3,0.2777777777777778,0.16666666666666666
37,taxa547,2,2,0.1111111111111111,0.1111111111111111
38,taxa561,9,9,0.5,0.5
39,taxa570,2,1,0.1111111111111111,0.05555555555555555
40,taxa572511,18,18,1.0,1.0
41,taxa574697,1,0,0.05555555555555555,0.0
42,taxa577309,2,0,0.1111111111111111,0.0
43,taxa577310,3,8,0.16666666666666666,0.4444444444444444
44,taxa61170,6,4,0.3333333333333333,0.2222222222222222
45,taxa644652,0,0,0.0,0.0
46,taxa713,0,1,0.0,0.05555555555555555
47,taxa724,6,7,0.3333333333333333,0.3888888888888889
48,taxa816,18,17,1.0,0.9444444444444444
49,taxa838,7,6,0.3888888888888889,0.3333333333333333
50,taxa841,18,18,1.0,1.0
51,taxa84111,4,3,0.2222222222222222,0.16666666666666666
52,taxa846,5,2,0.2777777777777778,0.1111111111111111
53,taxa848,1,1,0.05555555555555555,0.05555555555555555
54,taxa872,1,2,0.05555555555555555,0.1111111111111111
55,taxa904,4,5,0.2222222222222222,0.2777777777777778
56,taxa906,1,1,0.05555555555555555,0.05555555555555555
57,taxa946234,1,1,0.05555555555555555,0.05555555555555555
