taxa100883,taxa1017280,taxa102106,taxa117563,taxa1253,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa46255,taxa547,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa61170,taxa644652,taxa713,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa848,taxa872,taxa904,taxa906,taxa946234,condition
,,223820172.32523704,,,1489466431.3172057,39703344.46371773,,,,,,59982583.88582188,733423412.0584584,773382586.198334,166376934.85461143,,,141225087.6190196,2852619328.8247766,2639617435.4903994,1787382457.996305,,293649829.94983786,3586992626.995636,,,,1120228407.2359176,53724231.99314589,894825880.9877785,2492396932.034755,,32708297.855439086,38831628.53014288,,,,,,287225662.52631885,,,,,,,,3135950695.169582,,160279660.906183,,3782962.8965191348,,,316008869.8873733,,,Control
,,257079082.11895388,,,641699057.3442795,,,,,8812189.978154192,3317117.07036442,,539495719.5908123,799284700.6779913,22758133.001668148,,,852022345.5985053,,18243842787.11895,,3297043.744673864,1173908159.70942,1270014224.7843804,3738656.909866101,,,,282752865.6771753,3897532264.3754306,,,166442998.29466975,,1577055814.547129,,37321330.790166706,54197979.36450187,144397468.35501635,106323387.8514538,,468636879.9031488,,4561663.263178907,,,,18842780642.410923,,721104115.4446973,,,,,,,,Control
,,148085752.93285397,,39671054.809018806,319608169.6108147,,228877100.3464978,,,,,,397091155.9961049,1307483308.8006377,202541961.01017866,,10935157.912301494,1067934548.3228577,,5893427967.191989,,,1608690550.036937,1176964074.6024046,24022214.36959405,,,1850303376.4660351,48022470.59076982,939859987.9818594,4783385009.585683,,766134437.0792651,3176612.1378439413,,30236370.37196618,763806873.3469278,95020227.58868673,,522581974.20655274,,,,,,,11176697.544902531,28619006353.304024,18299628116.479053,2023018852.5413888,,,,58928350.97184694,,,,Control
,,68013782.2563086,,,286076212.92384666,3466141.706618572,,,,,8853174.75311197,,,1113875087.1068213,83375221.44541128,,,787241032.1446103,,820835287.3553101,,,,1387708819.2245326,130370183.79606734,,,77444647.293857,62031984.335691005,930582212.5734917,,,,,64635859.26307689,,,10372813.235324053,,96682018.34208487,,,8486071.07482478,,,,156719121.44925404,21893636508.30574,,335905557.16267365,,,,,,,,Control
,,11019103.56930723,,,343919014.123545,1286764.0750930593,,,,,,,,10113168519.74245,1219366485.3663561,,61722922.19790041,815144164.8681699,,957602992.308635,2376433092.3713484,,,786148321.8898929,,,,241532069.6941639,,203251787.4012037,311586694.38418597,1272769092.364835,,,,,,,,696048266.2837456,,,,5154647.828838864,,,527440419.0399884,16600774874.393791,,887563550.6755459,47348363.04634461,,,,,,,Control
,,291799483.2853808,,,9085761407.24311,52054004.59973739,,,,,27762971.391384136,,,30315723341.012238,377538808.70423543,,,2060902396.413971,,1109754277.2107267,,,,4209819052.471417,4775481.76077533,,,216031012.82898477,33873331.91206123,450831799.77020323,,,,,59311232.787372336,,,40503856.45654981,,253564294.0170208,,,17209282.040799286,,,,107937168.45909908,12255189741.727242,,1224459845.0158067,,,,,,,,Control
,,1706345758.8097997,,408966388.07540816,,,,,,,,1734713369.543354,27498038713.912483,1240722004.486362,1209020774.8267837,,184410703.00967014,1978258650.3172076,,,,,,10296989720.460123,,,,19105387652.127544,,,,,,32961068.659222174,,,,,,1196620561.7516372,,,,302205649.4763729,,,,212665069.78820026,141123201.20168155,2490071782.796128,,,,,,,,Control
227284214.15565917,,5339117366.76153,,,4828797253.670675,30250611.75181289,,1421865457.9102907,,,,688808356.3793371,17529651473.00834,15162492933.665045,6488467202.18025,,886660844.7700955,429105891.0947446,,1205342369.0179358,,,,10249080672.66438,,,,8416269324.663218,,55934729.88249225,1424456991.210048,,,305704589.8434798,,876102032.5153224,,,,6957274612.711052,,,,,34605158.411628,,,1673533206.570357,185203108.3811628,862046095.3987955,3535660.672902972,,,,,,,Control
,,,,,22804785.593603414,,,,,,51737209.203439735,,93495684.5496094,284557930.93905574,64241789.56633045,,,588151559.634107,,5155974388.401885,,,208041183.41943642,848408878.9970098,2578331.6278153453,,,,,510020894.6070001,,2023517961.7352939,,,396170823.6062531,,,86334745.69016805,,264593902.5842412,,,195805589.30779365,13705177.533094801,,,,21875897340.36108,,28938984.25011066,22985203.201147746,,,,,,,Control
,,10335529.2609149,,,91463921.95415796,29752346.65891059,12059850.80595383,164330547.24463308,1884481.6885467696,,38188834.21823256,,284960.25533212745,309111156.9719912,10645449.538611885,,,1286058912.343711,,1515006797.4872336,,14108652.641735917,383065623.23720133,58252532.195850804,588640.5274378983,,728599692.8451114,31168827.928116277,64278297.59510026,538348162.3745733,174062875.96506387,,160750864.03713968,239200.214329888,22149939.846947633,,,1613663365.886198,34690271.08342497,1153866473.8956962,1158561.0381021532,,,12660971.34457416,,,2841282.545866322,5590941009.634978,5186359847.119269,784917823.3076857,,,143135328.25314125,6620645.932278553,,,,Control
