item,value,type
0,MicrobiotaLoads_ori,-0.12934002408212564,MicrobiotaLoadsFoldChange_ori
1,taxa577309,1.3039959975922972,TaxaFoldChange
2,taxa872,7.461082566195959,TaxaFoldChange
3,taxa135858,3.7114627240792775,TaxaFoldChange
4,taxa946234,0.8481927171770653,TaxaFoldChange
5,taxa1485,4.475563848567711,TaxaFoldChange
6,taxa1578,-2.593089392938284,TaxaFoldChange
7,taxa239759,-2.9924803359524788,TaxaFoldChange
8,taxa572511,0.007559394558152022,TaxaFoldChange
9,taxa644652,3.7804746524898283,TaxaFoldChange
10,taxa838,3.2071902086044908,TaxaFoldChange
11,taxa459786,-3.5538163655947588,TaxaFoldChange
12,taxa1350,0.40785403015259897,TaxaFoldChange
13,taxa904,4.38498003776324,TaxaFoldChange
14,taxa570,7.942078657930652,TaxaFoldChange
15,taxa1253,-8.511413540779568,TaxaFoldChange
16,taxa724,-7.331701934969432,TaxaFoldChange
17,taxa239934,5.283379501688931,TaxaFoldChange
18,taxa547,-4.768241850144231,TaxaFoldChange
19,taxa574697,1.1584646983709774,TaxaFoldChange
20,taxa100883,8.250161155001592,TaxaFoldChange
21,taxa375288,-5.207974453409041,TaxaFoldChange
22,taxa906,-7.189475209451028,TaxaFoldChange
23,taxa244127,0.3405304247067207,TaxaFoldChange
24,taxa1017280,-2.969086838467323,TaxaFoldChange
25,taxa1263,5.3281771223114385,TaxaFoldChange
26,taxa2172,2.116138069639984,TaxaFoldChange
27,taxa61170,8.604817892226297,TaxaFoldChange
28,taxa848,-1.789405012432827,TaxaFoldChange
29,taxa841,7.874791402187063,TaxaFoldChange
30,taxa1348911,0.6122536009208517,TaxaFoldChange
31,changedTaxaCount,31.0,changedTaxaCount
32,totalTaxaCount,58.0,totalTaxaCount
33,MicrobiotaLoads,3.028645751882351,MicrobiotaLoadsFoldChange
34,taxa100883,0.0011937454448720055,ranksums_on_loads
35,taxa1017280,0.010515245935858907,ranksums_on_loads
36,taxa102106,0.3820140528224012,ranksums_on_loads
37,taxa117563,0.4795001221869535,ranksums_on_loads
38,taxa1253,0.04953461343562671,ranksums_on_loads
39,taxa1263,7.606036461948697e-14,ranksums_on_loads
40,taxa1301,0.258675384100441,ranksums_on_loads
41,taxa1348911,0.02496824916309404,ranksums_on_loads
42,taxa1350,0.7623688184698398,ranksums_on_loads
43,taxa1357,0.1531274510196695,ranksums_on_loads
44,taxa135858,0.5637028616507731,ranksums_on_loads
45,taxa1485,7.764249409396243e-05,ranksums_on_loads
46,taxa1578,0.0003954166467220451,ranksums_on_loads
47,taxa1678,0.05734755961456608,ranksums_on_loads
48,taxa1730,0.8748829885276901,ranksums_on_loads
49,taxa189330,0.9699418077829329,ranksums_on_loads
50,taxa191303,0.17971249487899976,ranksums_on_loads
51,taxa207244,0.8956044627394589,ranksums_on_loads
52,taxa216851,0.13606301830543888,ranksums_on_loads
53,taxa2172,0.0015486940788951365,ranksums_on_loads
54,taxa239759,2.4729140749126195e-11,ranksums_on_loads
55,taxa239934,1.735879948033804e-09,ranksums_on_loads
56,taxa244127,0.10955657678268572,ranksums_on_loads
57,taxa283168,0.24815348337922286,ranksums_on_loads
