,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa547,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa946234,condition
0,0.004221536268431128,0.05658081804010502,0.0011226814670155974,,0.0003135254652937997,,0.0012092369279033215,0.02642830266222588,0.002901195142566791,,0.02539778477275699,0.025557351563733382,0.05525338740827553,0.24875489228818357,0.0020794473317427443,0.00043690403179146096,0.22288031178589102,,0.025229964527074922,0.002058496254412953,0.003946315298053412,0.015093134945677454,0.00797601165133852,,,,0.01231542418313019,,,,0.01974300435062876,,0.001018137707410375,,0.10292248482316656,0.10316807800742131,0.026922557622869603,,0.00019459106671457902,0.006094329791966384,,0.00018009461421871316,Control
1,,,0.0005825997349382804,,0.0031749771096342473,,3.556861059031701e-05,0.005179212897883528,0.01304380551486773,,0.14268655459162047,,,,0.00020152187303295756,,0.02954240126007597,0.001271502257901446,,0.004755210877022185,,0.007034725543834485,,0.010392482992309621,,,,,0.16298383764349994,0.00013612802523376284,0.012779509578385004,,0.0003577013246334997,0.0025711168170909895,0.5193460494306957,,0.08298177002908265,0.00018368718726954086,,,,0.0007596367003977336,Control
2,0.004553295176955017,0.026187201082462464,0.0019983821368265964,,,,,0.06993931971933222,0.03362299316523499,0.00025393503405874877,0.16559698679833734,0.0074740412527710106,,,,,0.033675051491164176,0.004667713897523569,0.10284829184577013,0.014474735327251237,,0.0012543316637040913,,,,,0.00042435755367953174,0.0009270765874419315,0.001240193718346483,,0.025366433076391703,,,0.0007285973700572126,,0.4670530526947526,0.03751618876940802,,7.803269065594696e-05,0.0001197889478749298,,,Control
3,0.031060524480436932,,0.001171819461352147,,,0.037750190763753286,0.005062916283526676,0.12271030915085519,0.07799366588622489,0.010332055125045954,0.002039089953838116,0.0053698839769384075,0.10687502471305514,,,0.0005811248625533488,0.10281282941976691,,,0.05018874464410256,,0.028647478679468937,0.10110478924285927,,,0.003146445147954432,,,0.0005075115068191207,,0.07283925871771423,,0.0008589626994816777,,0.1843152233260954,0.03611050584574175,0.01167991566853967,,0.006841730443875916,,,,Control
4,,0.004547671778982368,,,,,,0.03278070367917447,0.010109837299914274,0.0012138624211701454,0.011823826282087023,,0.024717905353229548,0.01665771446473922,,,0.0028896424160274763,0.0006072320687529108,,,,0.010928873518825096,0.013587958292232765,,,,,,,,0.005830430720587402,,,0.0005859714248923627,0.8432593128640132,,0.020459057415371604,,,,,,Control
5,0.015157875698059353,0.07448660774988873,0.0015705121425744009,,,,0.2365415969344743,0.10218030640580746,0.024334790496939263,0.0005660232383565404,0.03501757531832197,0.29364357522076523,0.04048183092384057,0.0500812397128379,,,0.04533905493436288,0.009501636233429924,,0.013081989518264042,,0.004363828730109328,0.016881413760936822,,,0.001963329032492,,,,,0.008645856580395156,,,0.003306892296083789,0.013612939820020794,0.0014063707992874044,0.007834754452752113,,,,,,Control
6,0.03929183336248167,0.0017347491924943885,,,,0.001472897975751005,0.0032390935037434443,0.09552187249865568,0.055158807622688474,0.0069313770809914885,0.03232949373576902,0.03702781815406624,0.055893079556567964,,,,0.17584790810509945,,,0.17617688515338675,,0.001047525814417758,0.05007115338143655,,,0.0062320589584925305,,0.0011018312168740072,0.0010744970944795474,0.0044349008847789344,0.05147438562931495,,0.0007076634961503638,,0.09427417866404839,0.03590216029068025,0.07111080793618427,,0.0019430206914468624,,,,Control
7,0.009596293878743238,0.06386089979715011,0.001702281601718917,,,0.002571754353482872,0.03144554186758604,0.03315879217123119,0.007133414048083741,,0.006055028149446938,0.122306104580276,0.11317364460613574,0.07663405475230689,,0.012590241694331324,0.15379237283186595,,,0.0480298129318355,0.002303427404509579,0.03836567560043741,0.10686156289580638,,0.0014023688536802588,0.0016649067655258166,,,,,0.01231480540151695,,,,0.13445394196358249,,0.006871993318841783,,0.0001621946016314725,,0.013548885930273381,,Control
8,0.0016154022237285064,0.02802369485772893,,,,,,0.21955901551562645,0.0021276152590548264,,0.04520820964456905,,0.04024967200570735,,,,0.046801469220303774,,,0.002288680273913655,0.0014700089460342215,0.017108582692578346,,,,,0.0020459200098357846,,0.0004359776171194417,,0.0017768716705141626,0.00040534189866230086,,7.623541820687826e-05,0.5898508212394706,,0.000956481506945714,,,,,,Control
9,0.003926427730412627,0.02621804143097396,,0.0004536411387766003,,0.0006444740148201142,0.03150663175223614,0.13240786272755117,0.008429587935231655,,0.05525190042902288,0.0088448146638956,0.09636884690473826,0.009679088909326089,,,0.13648371425213857,,,0.030447963654185218,0.001767269394268777,0.02114134995259125,0.07455638068515198,,0.007375670006173157,0.0004825552109044054,0.0025824396991862555,,,,0.021950737443083162,,,,0.252290768996597,,0.06816544136401724,,0.0014331053321059997,0.0002901733667111874,0.007301113005900744,,Control
