item,value,type
MicrobiotaLoads_ori,-0.065204222268477,MicrobiotaLoadsFoldChange_ori
taxa32207,1.7257509039714556,TaxaFoldChange
taxa35832,9.127895989542985,TaxaFoldChange
taxa447020,2.113758256234828,TaxaFoldChange
taxa577310,0.16500461645908082,TaxaFoldChange
taxa1263,0.2932153416257286,TaxaFoldChange
taxa872,-3.648239936256232,TaxaFoldChange
taxa848,-6.639112140123227,TaxaFoldChange
taxa39948,1.9214819157116008,TaxaFoldChange
taxa572511,2.6040273287494315,TaxaFoldChange
taxa2172,-0.5866312819588977,TaxaFoldChange
taxa561,2.7134404758296498,TaxaFoldChange
taxa375288,7.312075294260559,TaxaFoldChange
taxa1678,0.3233473398418951,TaxaFoldChange
taxa1578,-6.342430410774353,TaxaFoldChange
taxa100883,-4.660847812158018,TaxaFoldChange
taxa1730,1.5155310164641111,TaxaFoldChange
taxa946234,-5.62707552571696,TaxaFoldChange
taxa117563,1.3889488754600894,TaxaFoldChange
taxa644652,-6.50526080230444,TaxaFoldChange
taxa239934,0.5216247770493183,TaxaFoldChange
taxa1357,3.918102262693793,TaxaFoldChange
taxa239759,9.315758280309623,TaxaFoldChange
taxa1253,8.319231965800476,TaxaFoldChange
taxa838,-4.225699173512993,TaxaFoldChange
taxa846,5.823072141760733,TaxaFoldChange
taxa29465,3.037506421466908,TaxaFoldChange
taxa547,-9.747792492178737,TaxaFoldChange
taxa816,-0.5633113961338445,TaxaFoldChange
taxa904,-3.6069424264246663,TaxaFoldChange
taxa574697,4.452012660376019,TaxaFoldChange
taxa189330,-6.478836025636918,TaxaFoldChange
taxa724,7.108433361580126,TaxaFoldChange
taxa292632,3.7183170429029353,TaxaFoldChange
taxa906,4.708487649250944,TaxaFoldChange
taxa61170,-4.668887387799376,TaxaFoldChange
taxa207244,8.264873283015305,TaxaFoldChange
taxa1017280,6.04798754374373,TaxaFoldChange
taxa244127,-9.438160389979672,TaxaFoldChange
taxa577309,-1.7220814750940878,TaxaFoldChange
taxa84111,-4.805936960625221,TaxaFoldChange
taxa135858,7.936094935884089,TaxaFoldChange
taxa1301,7.150148566178316,TaxaFoldChange
changedTaxaCount,43,changedTaxaCount
totalTaxaCount,58,totalTaxaCount
MicrobiotaLoads,5.508979034128643,MicrobiotaLoadsFoldChange
taxa100883,0.6547208460185769,ranksums_on_loads
taxa1017280,,ranksums_on_loads
taxa102106,0.7943127166337227,ranksums_on_loads
taxa117563,,ranksums_on_loads
taxa1253,,ranksums_on_loads
taxa1263,0.8903644678609101,ranksums_on_loads
taxa1301,0.0004465330677056216,ranksums_on_loads
taxa1348911,1.0,ranksums_on_loads
taxa1350,1.0,ranksums_on_loads
taxa1357,0.17971249487899976,ranksums_on_loads
taxa135858,0.31731050786291415,ranksums_on_loads
taxa1485,0.2530979089471155,ranksums_on_loads
taxa1578,0.04042397933690852,ranksums_on_loads
taxa1678,0.43413032080968783,ranksums_on_loads
taxa1730,0.03266959394563687,ranksums_on_loads
taxa189330,2.553436969529869e-05,ranksums_on_loads
taxa191303,,ranksums_on_loads
taxa207244,0.00015705228423075119,ranksums_on_loads
taxa216851,0.3095281286028667,ranksums_on_loads
taxa2172,0.8551321405847059,ranksums_on_loads
taxa239759,4.59283371175395e-06,ranksums_on_loads
taxa239934,0.7696979437812898,ranksums_on_loads
taxa244127,0.020921335337794014,ranksums_on_loads
taxa283168,0.9577911772450389,ranksums_on_loads
taxa292632,0.0001741980923703907,ranksums_on_loads
taxa29465,0.6698153575994166,ranksums_on_loads
taxa32207,,ranksums_on_loads
taxa33024,0.31731050786291415,ranksums_on_loads
taxa33042,0.6639079018776488,ranksums_on_loads
taxa35832,0.0019457736937391486,ranksums_on_loads
taxa375288,5.576313031147302e-06,ranksums_on_loads
taxa397864,0.4250306527849277,ranksums_on_loads
taxa39948,,ranksums_on_loads
taxa40544,0.04550026389635839,ranksums_on_loads
taxa447020,0.020879263166351605,ranksums_on_loads
taxa459786,0.03300625766123251,ranksums_on_loads
taxa46255,0.31731050786291415,ranksums_on_loads
taxa547,0.22067136191984693,ranksums_on_loads
taxa561,0.12227667721471389,ranksums_on_loads
taxa570,1.0,ranksums_on_loads
taxa572511,0.0001246878527628908,ranksums_on_loads
taxa574697,0.31731050786291415,ranksums_on_loads
taxa577309,0.31731050786291415,ranksums_on_loads
taxa577310,0.10034824646229075,ranksums_on_loads
taxa61170,0.01853297487702655,ranksums_on_loads
taxa644652,,ranksums_on_loads
taxa713,,ranksums_on_loads
taxa724,0.00616989932054416,ranksums_on_loads
taxa816,0.008828760952818615,ranksums_on_loads
taxa838,0.18768277253339638,ranksums_on_loads
taxa841,0.1102867491278947,ranksums_on_loads
taxa84111,0.03389485352468927,ranksums_on_loads
taxa846,0.05280751141611358,ranksums_on_loads
taxa848,,ranksums_on_loads
taxa872,0.6547208460185769,ranksums_on_loads
taxa904,0.014305878435429648,ranksums_on_loads
taxa906,,ranksums_on_loads
taxa946234,0.02013675155034634,ranksums_on_loads
