item,value,type
0,MicrobiotaLoads_ori,-0.1428976990383859,MicrobiotaLoadsFoldChange_ori
1,taxa838,-7.096636608806157,TaxaFoldChange
2,taxa2172,-9.546944911168284,TaxaFoldChange
3,taxa872,-4.81733921495954,TaxaFoldChange
4,taxa1578,7.307771248514816,TaxaFoldChange
5,taxa191303,3.7476044546568583,TaxaFoldChange
6,taxa846,-1.1110890796192925,TaxaFoldChange
7,taxa1678,-4.199144252086096,TaxaFoldChange
8,taxa52225,-1.617821098378462,TaxaFoldChange
9,taxa906,-3.9631340206755006,TaxaFoldChange
10,taxa29465,-3.4238425631015605,TaxaFoldChange
11,taxa674963,-4.4937483730497725,TaxaFoldChange
12,taxa189330,6.895934592360959,TaxaFoldChange
13,taxa946234,5.068025001801192,TaxaFoldChange
14,taxa292632,-4.4788245399410025,TaxaFoldChange
15,taxa84111,-4.768530942350228,TaxaFoldChange
16,taxa61170,5.500789860775024,TaxaFoldChange
17,taxa35832,8.041866690801559,TaxaFoldChange
18,taxa33042,-6.971436151430413,TaxaFoldChange
19,taxa1350,0.3453060676733699,TaxaFoldChange
20,taxa830,0.19330007414207093,TaxaFoldChange
21,taxa836,2.434261124789128,TaxaFoldChange
22,taxa283168,9.941453003111695,TaxaFoldChange
23,taxa100883,0.7164823545023857,TaxaFoldChange
24,taxa724,-4.135231130128013,TaxaFoldChange
25,taxa1348911,-9.118982191744076,TaxaFoldChange
26,taxa33024,-6.270247805208912,TaxaFoldChange
27,taxa1485,0.8733521795444261,TaxaFoldChange
28,taxa577309,-4.913411458311878,TaxaFoldChange
29,taxa459786,7.334111009775526,TaxaFoldChange
30,taxa375288,-6.304253652691048,TaxaFoldChange
31,taxa1730,-7.717925845920561,TaxaFoldChange
32,taxa40544,8.261418439595857,TaxaFoldChange
33,taxa133925,-0.1773619849239143,TaxaFoldChange
34,taxa570,-6.835517954966147,TaxaFoldChange
35,taxa102106,5.674948057137022,TaxaFoldChange
36,changedTaxaCount,36.0,changedTaxaCount
37,totalTaxaCount,61.0,totalTaxaCount
38,MicrobiotaLoads,2.526658558572663,MicrobiotaLoadsFoldChange
39,taxa100883,0.17971249487899976,ranksums_on_loads
40,taxa1017280,0.2888443663464849,ranksums_on_loads
41,taxa102106,0.00015491242308344555,ranksums_on_loads
42,taxa117563,0.4385780260809998,ranksums_on_loads
43,taxa1263,0.3588705339407172,ranksums_on_loads
44,taxa1301,0.8043534959231337,ranksums_on_loads
45,taxa133925,0.5637028616507731,ranksums_on_loads
46,taxa1348911,0.0003792846815829458,ranksums_on_loads
47,taxa1350,0.10105025592540992,ranksums_on_loads
48,taxa1357,1.0,ranksums_on_loads
49,taxa135858,0.379775474840949,ranksums_on_loads
50,taxa1485,0.10734653699381104,ranksums_on_loads
51,taxa1578,0.02013675155034634,ranksums_on_loads
52,taxa158846,,ranksums_on_loads
53,taxa1678,0.0007117410518086112,ranksums_on_loads
54,taxa1730,1.1215531208317287e-06,ranksums_on_loads
55,taxa189330,2.0345546145444246e-07,ranksums_on_loads
56,taxa191303,0.4385780260809998,ranksums_on_loads
57,taxa207244,0.5382526579885007,ranksums_on_loads
58,taxa216851,0.5049850750938458,ranksums_on_loads
59,taxa2172,0.0034147911781178164,ranksums_on_loads
60,taxa2316,0.22067136191984693,ranksums_on_loads
61,taxa239759,0.6705334531944597,ranksums_on_loads
62,taxa239934,0.8589549227374823,ranksums_on_loads
63,taxa244127,0.20301710604921372,ranksums_on_loads
64,taxa283168,2.101435956012437e-06,ranksums_on_loads
65,taxa292632,2.515392954560196e-06,ranksums_on_loads
66,taxa29465,0.01116983531001414,ranksums_on_loads
67,taxa29521,0.3173105078629141,ranksums_on_loads
68,taxa32207,,ranksums_on_loads
69,taxa33024,0.010515245935858907,ranksums_on_loads
70,taxa33042,9.79441303040954e-07,ranksums_on_loads
71,taxa35832,0.0009064493032684967,ranksums_on_loads
72,taxa375288,1.8852744167697502e-06,ranksums_on_loads
73,taxa397864,0.16370597983289548,ranksums_on_loads
74,taxa39948,0.5875938479556577,ranksums_on_loads
75,taxa40544,0.0033664910799455928,ranksums_on_loads
76,taxa447020,0.8864030063670636,ranksums_on_loads
77,taxa459786,0.00010558652373022588,ranksums_on_loads
78,taxa52225,0.3016995824783478,ranksums_on_loads
79,taxa561,0.8493606187801608,ranksums_on_loads
80,taxa570,0.22067136191984693,ranksums_on_loads
81,taxa572511,0.8286754110725284,ranksums_on_loads
82,taxa577309,0.014019277113959951,ranksums_on_loads
83,taxa577310,0.19485064860886947,ranksums_on_loads
84,taxa61170,0.0066953135387512,ranksums_on_loads
85,taxa644652,0.22067136191984693,ranksums_on_loads
86,taxa674963,0.06407750645105953,ranksums_on_loads
87,taxa724,0.09710972225903586,ranksums_on_loads
