,taxa100883,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1350,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,0.0,,,0.01918704157435774,4.559152394102731e-05,,,,0.0009415640813907815,,,0.006920313423469619,0.15627146883475054,0.0007720303825254054,,0.0005179906553025185,0.08556433595215081,,0.022797013911674508,,0.00016139608131983808,0.007053227843380074,0.16070438382846738,7.49078127909785e-05,,,0.02254933821868595,0.004012471420530687,0.0013812040857099784,0.05842496412406111,0.026127803370121272,,0.007139716111908934,,0.001888448912715184,,0.0001020332046094387,0.0053075002230020185,1.4397323349798098e-05,,0.0001958244632432683,0.0,,0.35694094437051616,,,0.054673313778707926,0.00018205311047389625,,0.0,,,4.872137684315734e-05,Control
1,,,,0.017161508603752963,,0.00022247068122025767,,,,,,,0.03194298176652344,0.019958726678032716,,,0.004652342962004713,0.005170338885981071,0.007286916930149116,,,,0.059687981863228025,,,,,0.007498464501345497,,0.039534543233118315,0.019249325798592083,,0.00224535048802752,,,,,0.002339750209518278,,,,,,0.12930657391843925,0.6433220765172876,,0.010420646962779152,,,,,,,Control
2,,0.00036265988448414335,0.0035549862873700574,0.04609049579794675,0.00033936792570600684,0.0004754420006730148,,,0.00013975175266881922,,,0.030900256681472033,0.2514724502098626,0.010677524260924694,,1.5630130232696885e-05,0.075187668828392,,0.04113319057133336,0.0007969323264396625,0.0005126274085468822,0.008326262316900175,0.06042730937217341,,,,,0.007673780997970533,0.005205957102341394,0.024127711035873082,0.03237878527531402,0.07299761175696354,,0.0009209517911618456,0.0047873147906185715,,0.0004907656577638943,0.02015704501048444,0.01503741117642167,3.013652561206262e-05,0.00048330814464633305,4.0965243289617325e-05,,0.2591874007665506,,,0.025865413749978798,3.371204559993445e-05,1.3689133667852171e-05,2.1555277641170216e-05,,,0.00013392876297428502,Control
3,0.0007124125668513185,0.00016946132978361105,0.010754402568530592,0.033043527528312924,0.0004205340905674162,0.0003252184844368638,,,0.016757138085518552,,,0.04131522445904814,0.0506994140544702,0.007322018048194105,0.00028318552937285396,0.0003336046214569337,0.15619998359589785,0.002187554522674376,0.035694262716400686,0.022916551186832702,0.0008492497782275837,0.005871011803794664,0.2067550947316446,0.00029075350668364896,,,,0.016614369216250043,5.4816700521433645e-05,0.023685416773624002,0.09280723073187865,,0.015915660824529082,3.896485615422801e-05,0.0023001537526633653,3.876031622690922e-05,2.4851601169232037e-05,0.018530192445481417,,0.0001797905961132096,0.0008548746262288501,6.269148772320676e-05,,0.19368601607561103,,,0.042237801801219506,1.5033684657930493e-05,1.4113254984995973e-05,,,,3.8658046263249824e-05,Control
4,,,,0.08625596677538137,,,,,,,,,0.05932427262704265,0.13107366490061723,,,0.03456352806698299,,0.015445767546260104,,,,0.2600233348486571,,,,,0.029473565292578052,,0.024425540632966557,0.007682099458145512,0.1926675119169963,,,,0.011145505493240889,,0.017985832742972434,,,,,,0.03392462396410098,,0.013126830591185955,0.08288195514287203,,,,,,,Control
5,,,,0.023331601312596626,,,,,,,,,0.037285652418292216,0.008703604512762001,,,,,0.006401131996405621,,,,0.05116779194598337,,,,0.016775829376861142,0.001366920914490924,,0.0812896289883383,,,,,,,,0.00436737642125522,,0.000984427437612199,,,,0.3614107649428853,,0.2651484042640561,0.13034223901806044,,,,0.011424626450400441,,,Control
6,,,,,,0.010508664907170789,0.00334522914566493,,,,,,0.19919165576606895,0.018164275707891905,,0.004222304896002444,0.0007622067795476696,,0.012625566077768928,,,0.01144111826050616,0.03957294058341834,,,,,0.0014669263331261331,,0.03073066686131454,0.02558139363170223,,,,,,0.024551686659387766,0.0052934659597038795,0.005508542021632706,,,,,0.17858169414749445,0.4096434241417026,,0.018808238119895567,,,,,,,Control
7,,,,0.36506407053811685,,0.013250216899162906,,,,,,,0.10162710687109257,0.04333570444138176,,0.001338370177212449,0.018838644189853565,,,,,,0.017495652112670474,,,,,0.026330303861311303,,0.03144575672167314,0.06810259561500541,0.05121934524844472,0.0005829096224876121,,,,,0.03890297223382588,,,,,,0.1937060286742674,,,0.028760322793493956,,,,,,,Control
8,,0.0,0.0010866293362556184,0.03049519963327187,0.0003716495065143667,3.012227735447492e-05,,,0.0015140686944898928,,,0.0012685297083081693,0.11288323438589482,0.006575353740539854,,,0.07964011939452526,0.0003034501250392703,0.026691307538057478,0.001665316467403559,0.00011295854007928098,0.00222713936580727,0.2653295345323272,0.00015252054519624984,,,0.022347229673243294,0.14049496841297388,0.0009098200533334012,0.009874485561353034,0.003474668331452812,,0.0067338138897214935,1.9409777309397577e-05,0.0039618219226116285,6.692660919251297e-05,0.00010754925787830131,0.0063691646307613365,0.019348366046762922,0.0002805402239527683,0.00030896547159713197,0.0,0.00022549282273103409,0.19017233124577465,,,0.06433715398359693,2.651608922048849e-05,,0.0005690352746716831,,,2.4606930796613316e-05,Control
9,,8.118340015015907e-05,0.006115346100144862,0.0771470944501376,0.0002501979726712099,0.004647497849042791,,,0.01856340030728824,,,0.004124036148570861,0.15356756725178478,0.009885539463693997,,0.00032261840034858506,0.014719577830203405,,0.12839265529951338,0.0026237548269373375,0.0006376825140827013,0.014104054556856482,0.024250468718303473,2.8202670027350546e-05,,,,0.005881465386560904,0.006923956939357612,0.05341585703180194,0.03934121383083112,2.8807012956508066e-05,0.023476305426052693,0.00041739951640478806,0.01418554012847122,,,0.01696148864973472,,,0.0007273267152410653,,,0.35365644595189955,,,0.02030572097204934,0.0,0.00012358812901271113,0.004594114223633879,,,0.0004998923262347885,Control
10,,,0.0007086486159090498,0.03359986908755514,0.0026567150539748186,0.0013972140726627826,,0.027708065247952638,,,,0.002048482233842355,0.07045087223604193,0.020652075737949842,,0.0010180780310428262,0.09025361098389417,0.01488055833307654,0.005390362421327679,0.08856481919312453,,0.020382918901228047,0.13905196862776767,0.0021526171331662214,,,0.10932570527485773,0.020918469812036506,,0.0020544327995180045,0.019561528317785706,,0.006435749298417683,,0.00030273502874867043,,0.003299482407046321,0.023634903042970525,,,,,0.002783589614987774,0.20833567991057156,,0.047639803758844836,0.03479104482369856,,,,,,,Control
11,,,,0.07816198861662478,,0.0010427135488911491,,,,0.0006188912144093559,,,0.026783057765023446,0.003251818338586284,,,0.005038005752520939,,0.007735285496880153,,,,0.07535601327473894,,,,0.024769021855255875,0.0028948623985126497,,0.032418839028456416,,,,,,,,0.016444105475955494,,,,,,0.4398893738238679,,0.2479787998336887,0.037617223576587915,,,,,,,Control
12,,,,,,,,0.01905890233904664,0.1267164452956044,,,,0.052308830801962476,0.03984424991778953,,,0.011909869881286558,0.013700558726228215,,,,,0.2060369675188601,,0.00351550766425194,,,0.012571822978372164,,0.0028288533075545696,,,,,,0.006326978603931564,,0.012016400416566918,0.003909101397654193,,,,0.0019777271893270227,0.005056032723578164,0.21158814359868885,0.2546882838266215,0.0020370915334145525,,,,,0.01390823227926044,,Control
13,,1.3906901315004101e-05,0.001704864288945211,0.009808019795306653,0.00029387211172946626,0.0,,,0.0038182057376829515,,,0.013159075461079759,0.041321768746706,0.0016632450952287752,,0.0012769986754945374,0.0327579598230636,,0.0602493659671123,0.035687646530014945,0.0006078432487171137,0.009541352424835737,0.17647654748283056,0.0010370284951392843,,3.1975722001651775e-05,,0.004044878078094661,0.0003334611008743685,0.15848690477447266,0.027411517594158854,0.22886191604210804,0.003724308776249529,1.8373351372377685e-05,0.001836218524723425,,3.2686293601688485e-05,0.002397671598980999,,,4.720225628815261e-05,,0.00031133187104465397,0.056517139393033794,,0.08819076695444138,0.036647730271893116,,0.0016538046439711451,3.441196748749191e-05,,,,Control
14,,,,0.0320978033318743,,0.00023906148986055787,,,,,,,0.11669156675195227,0.0072370620758867785,,0.0020784810035001373,0.0008592984118896142,,,,,,0.006507578290570818,,0.0026855917650396607,,,0.0039338172786782056,,,0.005923309115394972,,,,,,0.20612206192343727,0.023174908155634926,0.08792253704910476,,,,,0.476948860168666,,,0.027578063188509756,,,,,,,Control
