item,value,type
MicrobiotaLoads_ori,-0.15732272172706985,MicrobiotaLoadsFoldChange_ori
taxa838,3.245884776543736,TaxaFoldChange
taxa724,6.403050506484991,TaxaFoldChange
taxa117563,-6.889561906020145,TaxaFoldChange
taxa447020,6.7550576013025285,TaxaFoldChange
taxa1485,-8.280168430249581,TaxaFoldChange
taxa570,5.781800265065179,TaxaFoldChange
taxa84108,7.51218896791951,TaxaFoldChange
taxa1578,0.7433967766655201,TaxaFoldChange
taxa1263,-2.636443282664942,TaxaFoldChange
taxa846,7.715651682135295,TaxaFoldChange
taxa872,7.0827471032344675,TaxaFoldChange
taxa133925,-8.11861469131504,TaxaFoldChange
taxa32207,8.303614155426004,TaxaFoldChange
taxa239934,9.13373887592753,TaxaFoldChange
taxa397864,2.184470567129374,TaxaFoldChange
taxa1350,-9.596435488962063,TaxaFoldChange
taxa674963,-2.635783567595613,TaxaFoldChange
taxa2172,1.4315288244872697,TaxaFoldChange
taxa292632,-6.305406933192783,TaxaFoldChange
taxa644652,4.417113000369238,TaxaFoldChange
taxa577310,8.499787204988028,TaxaFoldChange
taxa102106,3.9157469368134024,TaxaFoldChange
taxa84111,6.8064641728585045,TaxaFoldChange
taxa52225,-4.294947630568364,TaxaFoldChange
taxa135858,-8.053838021294993,TaxaFoldChange
taxa577309,5.0254505329205745,TaxaFoldChange
taxa40544,4.645254135646974,TaxaFoldChange
taxa207244,-7.308668655120361,TaxaFoldChange
taxa244127,-1.3575610031137302,TaxaFoldChange
changedTaxaCount,30,changedTaxaCount
totalTaxaCount,61,totalTaxaCount
MicrobiotaLoads,1.2898077069570704,MicrobiotaLoadsFoldChange
taxa100883,0.2452781168067728,ranksums_on_loads
taxa1017280,0.9455847442468688,ranksums_on_loads
taxa102106,1.093520584981962e-06,ranksums_on_loads
taxa117563,0.17971249487899976,ranksums_on_loads
taxa1263,1.1501624247823462e-10,ranksums_on_loads
taxa1301,0.8843330158599481,ranksums_on_loads
taxa133925,0.0832645166635504,ranksums_on_loads
taxa1348911,0.48623432138829725,ranksums_on_loads
taxa1350,0.0832645166635504,ranksums_on_loads
taxa1357,0.14891467317876572,ranksums_on_loads
taxa135858,0.00016596649222473613,ranksums_on_loads
taxa1485,1.5370045115097435e-10,ranksums_on_loads
taxa1578,0.79129600021147,ranksums_on_loads
taxa158846,0.7236736098317631,ranksums_on_loads
taxa1678,0.5171833335107219,ranksums_on_loads
taxa1730,0.22315786044169028,ranksums_on_loads
taxa189330,0.0012884323842891994,ranksums_on_loads
taxa191303,0.14323490752466972,ranksums_on_loads
taxa207244,2.1422281830416855e-12,ranksums_on_loads
taxa216851,0.4248558997034332,ranksums_on_loads
taxa2172,0.29573992537330296,ranksums_on_loads
taxa2316,,ranksums_on_loads
taxa239759,0.6110910286179054,ranksums_on_loads
taxa239934,2.069410100371542e-08,ranksums_on_loads
taxa244127,0.0013483760086608154,ranksums_on_loads
taxa283168,0.8624878747092347,ranksums_on_loads
taxa292632,5.803059470552977e-18,ranksums_on_loads
taxa29465,0.2694617677346026,ranksums_on_loads
taxa29521,1.0,ranksums_on_loads
taxa32207,0.15729920705028516,ranksums_on_loads
taxa33024,0.5211959956711703,ranksums_on_loads
taxa33042,0.4845119743512477,ranksums_on_loads
taxa35832,0.09954484850091541,ranksums_on_loads
taxa375288,0.3258211514141245,ranksums_on_loads
taxa397864,2.8064968884853468e-06,ranksums_on_loads
taxa39948,0.8426765356863224,ranksums_on_loads
taxa40544,2.615028546512787e-06,ranksums_on_loads
taxa447020,9.460828049987777e-06,ranksums_on_loads
taxa459786,0.7886776631923501,ranksums_on_loads
taxa52225,0.012716250355070739,ranksums_on_loads
taxa561,0.03863677720470133,ranksums_on_loads
taxa570,0.5126907602619233,ranksums_on_loads
taxa572511,0.09962487134324015,ranksums_on_loads
taxa577309,2.3445441343004215e-07,ranksums_on_loads
taxa577310,9.609773595473194e-07,ranksums_on_loads
taxa61170,0.304352862781439,ranksums_on_loads
taxa644652,0.13361440253771614,ranksums_on_loads
taxa674963,0.05500883362926572,ranksums_on_loads
taxa724,1.277988023229087e-05,ranksums_on_loads
taxa816,0.3085915583569999,ranksums_on_loads
taxa830,0.6101936416725682,ranksums_on_loads
taxa836,0.31731050786291415,ranksums_on_loads
taxa838,0.01833190669317273,ranksums_on_loads
taxa841,0.880318831396654,ranksums_on_loads
taxa84108,0.15729920705028516,ranksums_on_loads
taxa84111,0.006578413612826374,ranksums_on_loads
taxa846,0.0002149515493233202,ranksums_on_loads
taxa872,0.0003792846815829458,ranksums_on_loads
taxa904,0.6985353583033387,ranksums_on_loads
taxa906,0.8814974521910136,ranksums_on_loads
taxa946234,0.1283014167170425,ranksums_on_loads
