,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.0022123723387418217,,0.03586557411632204,,,,,,,,,,0.0016356827383502278,0.12778373410778518,0.003994512667503166,,,0.03925166128200512,0.005329782746700159,0.052742397839411606,0.010959053805910005,0.0005986685094715231,0.0008249280267756517,0.10828207403256596,,0.00023848143403549092,,0.05463176237882457,,0.034202160978665366,,,0.014347092370062797,,0.0018364713703654671,,,0.009991160164932195,,,,,,0.21740324940710865,0.2390380961252724,,0.038831083559190585,,,,,,,Control
1,,,,,,,,0.00013159087549481852,,,,,,,,0.17824285244099547,0.018313795133934812,,,,,,,,0.006796377769737815,0.003554280776747555,0.00048256793519317837,,,0.0025068623263388382,,0.07683702495591858,0.004641513378779999,0.04436256114024464,,,,,,0.0028820341397162294,,,,,,0.6484918807715208,,,0.012756658355377443,,,,,,,Control
2,,,,,0.02058525642879088,,,,,,,,,,,0.03424306334592296,0.003840123875768945,,,0.00022652591412774943,,0.00789262879683122,0.0004603322754496872,,,0.036859344048348834,,,0.01763209903405107,0.00029641820719195864,,0.09160508275060286,,,,,,,0.0016813672763035794,,,0.0014047102829244185,,,,0.3686454436777325,,0.2734223946971719,0.12850613336073555,,,,0.012699076028045946,,,Control
3,,,,,,,,0.010015569989822632,0.0012725221678256723,,,,,,,0.19353451207311173,0.015033937602478363,,,0.0007339622183493964,,0.01878088644821068,,,,0.04771346243391382,,,,,,0.03497369592558183,0.028587111194122522,,,,,,0.0239866315959049,0.006728538701987266,0.00873913576425258,,,,,0.26399468441630797,0.3304083847233945,,0.01549696474473623,,,,,,,Control
4,,1.3622317442666318e-05,0.0012337212054508904,,0.042805528297009,0.00024369925248534676,,0.0004190865895596756,,,,0.0005661274866613974,,,0.02323276223436857,0.19850220616435904,0.006516475942536659,,0.0010971975387276981,0.06785797171506079,0.00020774034100066142,0.03571421059121158,,5.759435683480246e-05,0.012781940653372419,0.08201486495325293,8.924621206923303e-05,,0.0,0.11168597513306049,0.0018818830890648145,0.02776508754292157,0.012501881833007013,,0.002177066688355533,0.0002578223904222287,0.0020702917589887518,,0.0001113824779135658,0.005276344234759807,0.02366877655663273,0.0001814973471037601,0.000808224113565254,,0.0003674019145566181,0.2842767305676891,,8.71427659935272e-05,0.052715764236548744,,0.00016957781934142708,0.000643153678671768,,,0.0,Control
5,,,0.0005223902371784489,,0.054349009400408294,3.199539588265538e-05,,0.00695849553221524,,,,,0.014043161587816799,0.1323522753455352,0.005153069797251818,0.09643009861222486,0.0026610510386933005,,0.001784196085494113,0.04759596858011879,,0.04837905086362415,0.0023732937046543243,,0.0014602175485691118,0.07563268883068902,0.0007265369612221839,,,9.176038064459655e-05,0.001528635376242714,0.017394327155941334,0.017714683572577734,0.037635640858724236,0.010528497534442844,0.00036643783586361926,0.0019657045577340824,,0.0009041214698161674,0.007457845059780079,,,8.01897186115608e-05,,,0.3871613946370485,0.000492910202607323,0.00015595240131482965,0.026068399717072168,,,,,,,Control
6,0.0002885236925096605,7.45033187796114e-05,,,0.05670843328101612,9.13624708611766e-05,,0.0,,,,0.034527038698013116,,,0.010745740868371514,0.0003525278986157222,0.0037001295933744133,,0.0006308553374712625,0.053041820085791884,,0.0943281673324349,0.00011326927326656368,0.0016391739661579276,,0.06480920537970494,0.00020029076484925345,,,,,0.00011649976947380971,,0.004134025615210145,,,0.007274572693685661,,0.0006240914860373411,0.042997096894392746,,,0.003397674385971005,0.00010993782405284124,,0.5427162961068785,5.7947025717475525e-05,,0.0721647423845847,0.0023780490205589787,,,,,0.0027780248322186274,Control
7,,,,,0.016528667108265255,,,0.00011510185389628977,,,,0.05052450054382048,,,,0.1726180254000965,0.01006987888749867,,,0.005713386161608728,0.014915401159605176,0.01815246191212188,0.020179010982720416,,0.0011309830475209144,0.1956312406466966,,,,0.0023873923603444465,,0.03032279630038517,0.02942416362045419,,,,,,0.012593737477817848,0.0013435023674590906,0.003788343432856571,,,,,0.14877681280308794,0.19250836175102015,0.010048207845734894,0.06322802433698878,,,,,,,Control
8,,,,,,,,,,,,,,,,0.18125643729280821,0.005708170217890614,,,,,,,,0.0034490491426333435,0.0018037919774660494,0.0010886532579769963,,,0.0024372180237779806,,0.09849647662492834,0.0036820627131521444,0.04731347171982457,,,,,,0.026410106533152372,,,,,,0.6203357168234067,,,0.008018845672982826,,,,,,,Control
9,,0.00011880259080336952,0.0055775750688279125,7.214813826565952e-05,0.16973353354777587,0.0008648707691817814,1.9649283466206157e-05,,,,0.005555003584230834,7.879866497729854e-05,1.3905646760699741e-05,3.2950336889484165e-05,0.014208951084972972,0.08220141704586424,0.0035499705462279114,1.8742393460073568e-05,2.6602106846556027e-05,0.04906113708287342,0.0034316717832057263,0.07483928397607986,0.06443080661013988,0.0002081816391855483,0.0021361290266672015,0.21205708247842153,0.000974705225480062,,,0.010030505764495174,0.0007430452116913035,0.02213970418860248,0.0783148895418049,,,7.114048270328996e-05,0.0009101145039321742,,0.002170993909125188,0.003535057243904842,,0.0003372623167250871,0.0002511077661424909,0.0,0.0006450003254727466,0.18836206192930166,,0.0,0.0028869331861887497,,0.0003786769603384755,1.1588038967249781e-05,,,,Control
