taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa2316,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
,,,,1318010778.325059,506230782.4745862,,,,,,,,,,3623923479.6896157,565789295.9308628,,55954713.03802267,31815146.02372655,,,20108321.96565622,,,301680102.49739313,1371669818.908509,47980659.76082272,,,,446399588.8230634,,1725597657.7355778,488661334.21872234,,,,,,,,1840274419.3066216,,7152327.823957983,,,,25278191.072824195,20936237996.30376,,7093369.943904749,13903005.090053309,3250215272.1046863,,,,,,,,Control
,,,,3110221778.1264377,,,,,,,,,,731681275.1326332,19206670898.128555,648376218.6824526,,,2925677175.4164476,,,3451615819.8170247,,,201431167.40553427,21007505256.08597,,,,,1296472990.6678157,100730554.06153978,2028932724.4566264,1407762637.7836614,,,,,,,,493532807.7773907,1074642214.3747568,3902273.520069559,,,,,16708816635.716764,23408551198.43465,,,1635352012.0845983,,,,,,,,Control
,,,,,19365726.552634846,,68044558.2389558,,,,,,,,14454318592.951092,754982789.0174353,,64958546.35039437,,,,,,,194659217.43821907,31846039.56689497,134109259.5000553,,,,348855608.867456,,5592462728.835731,308921813.46794164,2629121816.7484393,,,,,,,359861048.6674427,,,,,,,52626842843.702896,,,,756401552.9246441,,,,,,,,Control
,8524269.37599351,340556243.8145595,15759723.488242647,2874336904.610537,5313446170.506556,,,,,341739542.039167,94769375.00772983,,,1849419755.7477136,17653528232.81019,1675444769.0049562,10446186.874559687,60302987.866776384,5072015648.029809,,,31044620.300368942,,,,1473070624.8716216,1584164993.2201135,,2720832.223460352,,853180630.7360439,0.0,2817840067.084059,,,911674755.074758,3482062.291519896,112594217.69051026,2449502.6942510093,9443775.002758507,6474224.044189591,922362123.7530593,,,10800422.64880522,0.0,,1005260831.8578804,19146518967.2846,3067531.066338957,,,10499849825.892204,,,,,,2826349.2625973183,12059090.187081892,Control
0.0,,79595404.44885105,2026400.7370382766,870445921.1551911,15778214.285827948,773611.6773878321,,,23514331.05970627,,253629165.75374803,0.0,,2205809367.534577,975501232.300164,400384455.59851444,,2563310.334031324,2865249817.0715003,,,3182557615.6729183,151356547.35878202,20044624.95440711,464328656.63394445,647518747.1950884,2978982.280090458,,,,314086341.0194598,338518614.29338,4192068895.670782,3778452216.456052,4214330437.6708374,908803204.6220922,16880899.58717926,448787144.4285113,,3077127.0451321974,,1166756513.2591498,,5120847.446589605,138037725.42047063,3204137.917539155,,,27312937592.324715,,,,1936719514.6760185,,0.0,8065190.3978418,,,,57761080.83780044,Control
,,52369496.011556365,,1489407616.1058419,68661563.18955518,,,,,231948769.07960862,,191802063.59553158,,38624466.884112455,3762472639.8189797,225306273.37067246,,114669074.29069467,1904507495.754648,,,595917140.3743234,,,410458360.96930736,2335293539.2566514,107342132.23337148,,,1351721695.7606466,9324440752.858936,13711367.831621602,386113763.80181557,4293685.28933486,,23039286.918382175,,,,,,691949077.2113981,557760191.487743,,,,,691926.6363475167,4371816897.082425,,,6867465369.348609,1738018726.6174948,,,,,,,,Control
,,,,,,,410290075.88370836,,,,,,,,8431759317.177339,1746085019.533814,,,125415147.00484726,,,116047160.22876781,,,338381801.0833496,1648781993.1244314,,,,,367954609.51236695,,3640825627.133689,,3330857876.533187,,,,,,,940030143.429656,452984594.0130181,,,,,,49849114022.859695,,,3879554244.84641,2894724234.3429947,,,,,,,,Control
,,,,8312373026.374069,,,,,,5232932179.066846,,,,,5204680050.120089,5980245494.229097,,,,2451613928.1397476,,77932360.36188461,447056150.1131629,,,8139085610.02794,,,,,,,1042452460.3525486,1603885228.1795688,,,,,,519211164.38646024,,,,,,,211709652.38748854,,34406609638.788216,,,,5719168790.385635,,,,,,,,Control
3209629.599819414,,,0.0,174619988.0326333,5083407.774015664,,,,,,56392654.14207853,,,403633335.7918152,14715882751.797728,608637219.6730183,,38210730.040308215,6066325459.900025,,,6342407398.159353,15608841.154429048,364301925.0253131,745423026.3893446,2025679722.54748,57172647.92750951,,,2447566.706007542,341924172.2846727,,4309824282.338518,4848773091.733893,3569708799.8684287,,91806165.0898067,125292105.18848133,2725495.5261036362,29451489.484376464,,4510201996.181993,10928878.4418432,49032023.1324368,143823681.67682415,,,35099720.34439387,35317132405.27549,68128422.70678136,,,3644668892.282088,,40236920.79326685,,,,,0.0,Control
,,5731538.211335649,573153.8211335648,26938171.100519784,114630346.42130037,573153.8211335648,,1146303.4642130034,,,131251899.1513645,26938171.100519784,,21779820.1347507,17767718.318490997,,,,134690855.5025989,,,2292611.1064801333,,573153.8211335648,12609367.352721922,,11463034.642130036,,,,5158392.746310336,2292611.1064801333,84253386.09171122,72790476.79120497,299759089.14019954,22352965.599776022,,13182512.817747233,,,,1719457.285346568,21206632.889184132,,,,,4585205.500743762,147873451.88142866,,1719457.285346568,37950143019.19062,16621427.38844037,,,,573153.8211335648,5158392.746310336,,,Control
