,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,,,0.007753093539547226,,,0.0005952474959001591,,,,,,0.12981530719386455,,0.2596622006122633,0.009427571004049659,,,0.0041517544874090685,,0.006489338885036841,,,0.006179488211460603,0.09316856192504792,,,,0.0010662898056479227,,0.07319180327284233,0.013073436443676412,0.0007165997327397838,,,,,,0.01717567188229954,,,,,,,0.3267737575533107,,,0.05075987795490405,,,,,,,Control
1,,0.00011303647786790052,0.002229928878615733,,0.015266668451629753,0.0014037459664699384,,0.00040574358173241953,0.0005219003897997009,,,0.00126886717720637,,,0.003263664076926809,0.08693159410825291,0.003679875863199088,,0.0002164099976990081,0.03630604842792732,,0.004748437972767771,0.000505996771364146,0.00018369685851194874,0.012202101572586029,0.034930284777438925,0.0002700595459657855,,,0.017820306424478047,0.000722306113250271,0.02024107872432044,,0.09640703036564433,1.2078697545991153e-05,0.0001501784728218233,0.0007906514101980041,,,0.0033687487455769326,0.007974456775676242,,4.660364136494919e-05,,,0.0030457442420345525,0.05990118014914374,0.03252340297977442,0.5241711849383474,0.028376987423861424,,,,,,0.0,Control
2,,,,,,,,,,,,,,,,0.07296782703217297,0.05126274873725127,,,,,,,,,0.20803679196320804,,,,,,,,,,,,,,,,,,,,,0.006390193609806391,0.23973376026623974,0.3731266268733732,0.04848205151794848,,,,,,,Control
3,,,,,,,,0.01050866490717079,0.0033452291456649314,,,,,,,0.19919165576606898,0.018164275707891905,,0.004222304896002445,0.0007622067795476696,,0.012625566077768931,,,0.011441118260506162,0.03957294058341835,,,,0.001466926333126133,,0.030730666861314544,0.025581393631702233,,,,,,0.024551686659387766,0.00529346595970388,0.005508542021632707,,,,,,0.1785816941474945,0.4096434241417026,,0.01880823811989557,,,,,,,Control
4,0.0001383008673052428,,0.0016091547133407968,,0.011408916968521376,,,,,,0.002359859057746944,,,,0.004769470244357329,0.10318289998223996,0.006035888069972197,0.0,0.00017337863088774986,0.020613663864365445,,0.0017486616928609107,0.002029082782818489,,0.0014118548568580998,0.028069045501889926,0.00044957832809327825,,0.0822617780124336,0.012040417222357743,0.0008064870343439446,0.0073108491904424035,3.407267007011431e-05,0.010790482930346115,0.005373531445305374,0.0,0.00029067304378398406,0.0034796337399037097,0.21789120727108766,0.009066747556592543,0.0010351458084132963,2.392122559494751e-05,0.00025428865863536644,,,1.2362650202430857e-05,0.02187254348863736,0.01146670984548396,0.4003237205184714,0.03158405853342986,,,,8.161359320629152e-05,,,Control
5,,,,,0.0728349488408631,0.04179301866083035,,0.000459259425169533,,,,0.0004661431794170405,,,0.00020918393504366198,0.19900522559141468,0.026644135899281836,,0.004773626714144707,0.003823154914985121,0.018706859024103517,0.01084160471202225,0.0006391617190111106,,0.012168011687176315,0.024013103380324034,0.0027471316577590546,,,0.09300928043089425,,0.04151818220393358,0.032589439231912744,0.007293183511333177,,,,,,0.011891736833869633,,,,,,0.0006137842966359708,0.3157269845529582,0.04954700273634369,,0.02868583686057243,,,,,,,Control
6,,,0.0013959404925611516,,0.043991413392623614,0.000278916291032214,,0.0007338801960442813,,,,0.00017228412579501078,,,0.0015022590337829516,0.17479834498516247,0.007011378488361518,,,0.03980955077123281,0.001559234063247928,0.03327247633549992,,,0.020118457881444684,0.11427309166581813,0.002552272237354,,,0.0051258709077554405,,0.022804856656052936,0.017613751953093556,,0.009923377471383377,,2.812162004785066e-05,,0.0018050107499858344,0.012839453566605482,,,,,,,0.15881501974681342,,0.29787068110981924,0.030983021023054082,,0.0007213352354281398,,,,,Control
7,0.04577015371396313,,,,0.023088008855831527,,,,,,,0.11793387545394568,,,,0.022558169155672443,0.006110124996990753,,,,,0.040566249741363775,,,,0.04812335889947755,,,0.025989931136746896,,,0.03915733852907125,0.02518308156933089,,,,,,,0.17654712715208934,0.2341528774187856,,,,,,0.16250998089247026,,,0.03230972248426097,,,,,,,Control
8,,,,,0.40510415671108646,,,,,,,0.03987044236834478,,,,0.20474710229909882,0.012073951766500567,,0.002528528182850723,,,0.0018616253104160928,,,0.005744446832316962,0.0805992515691755,,,0.0012118306351840637,0.0019791649615672805,,0.04332070107702438,,,,,,,0.0011605060435762684,0.05170160558318624,,,,,,,0.1384602305699195,,,0.009636456089752561,,,,,,,Control
9,,,0.0013903244606945809,,0.00454257852309446,0.00013624515595139775,0.0,0.000538440051326388,,,0.004204380613823672,0.0017918149867256568,,,0.0015928809591658976,0.06430187740592444,0.010687899176169618,,8.452432126970022e-05,0.0237895714697411,0.0005719479072583047,0.033709204940084336,0.0001660299167797683,,0.007702882520853359,0.18764801818641397,0.00023012752707595764,,,0.08794343068925158,0.00021412828054990723,0.005283575072892166,0.014555691867794303,,0.0015421663664040778,,0.0008436332256251983,3.813656876335284e-05,0.00020990206448642215,0.009983731080639421,0.02049815414982218,,0.0003116331225860257,,,0.00010173105809960346,0.0517421670103989,0.0002643397523517886,0.42964618119116504,0.032272693975267386,,0.00018041917623401487,0.0002472336397138731,,0.0010180149503399493,1.4288635262258842e-05,Control
