,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa816,taxa830,taxa838,taxa841,taxa906,condition
0,,0.02926833261511271,,0.0005633248251813273,,,0.07062965445368206,0.026801487323069112,,0.00013865835309450678,0.025188927059238243,0.02600642517744631,0.0002843911119591415,0.004655868563200316,0.15675367242509824,,0.016323382811053538,,0.05532963496874731,0.00940350227553315,0.08620476726013522,0.0006088031479892923,,0.08611350742570056,0.0013914345520445845,,0.37906182060438876,,,0.020011270539021214,0.005261134508304546,Control
1,0.0009382214089524935,0.04346040702456101,0.0018310295330267042,,,0.0005861085452131358,0.11348204229725126,0.005327212844923759,0.003177224278197945,0.04458880988943571,,0.013955310555976933,,0.010249650472282174,0.06582964794576843,0.004071098441823289,0.2844268145192455,0.00021064941530395714,0.011508643182170705,,,0.0005403754484695135,,,0.01628673905430565,0.014105089112911175,0.12264252016014046,,0.19318129121908553,0.04960111465095465,,Control
2,,0.06747726926631119,,0.010157352269342758,0.00013505626392990694,,0.07279298188533652,0.016676543611553317,0.00016155787043690753,0.001362284503715627,,0.0029874445581295414,9.611928821577527e-05,0.0015322005731278196,0.001557886745588451,,0.009489511785366346,,0.02990064140003503,,0.06552624138111696,0.0013846070107349853,,,0.010855159954523243,,0.7016096464216818,,,0.006297495210853917,,Control
3,,0.0877285202669347,0.001693696343077917,0.0011340602240201567,0.03450068575351657,0.0009390895446107911,0.05976045350662475,0.01415902454669317,0.0023182527690503605,0.007786031897790476,0.06514653163522506,0.012013927555859515,0.00875123639623286,0.0023367115315979926,0.25650128629257535,0.0006909450435443257,0.011690165055947355,0.00013760168444598594,0.060917692063162096,0.04836887991075188,,0.0006322126172564047,,,0.0063304116398439515,0.026771288695360877,0.10747090096695597,0.10583792975748647,0.06698485657803697,0.00939760772339796,,Control
4,0.0020104903365396267,0.038048013463392906,,,,0.0014193509155624871,0.12950421532225162,0.0037144715449826796,,0.037468275688936785,0.005685107477466853,0.05158649289050844,0.010085424011826485,0.0008365316150196046,0.11194876120596962,,0.05516917783651395,,0.0313113865675867,,,0.013624864875081095,0.0016708034442422506,,0.012304020076758761,,0.20897677309983856,0.24593659698445966,,0.03869924264306191,,Control
5,,,,,,,0.07296782703217296,0.05126274873725126,,,,,,,0.20803679196320798,,,,,,,,,,,,0.006390193609806389,0.2397337602662397,0.37312662687337317,0.04848205151794847,,Control
6,0.0018996114030938554,0.05502728964311457,0.0012025035151465339,,,0.004668810996307566,0.02051179480836315,0.012033436480737824,0.0033282422627553183,0.0418877118817773,0.001901534598951413,0.10316629904946552,0.000884163990303449,0.011539276366180132,0.1850387711223842,0.020924674592730383,0.004625994583268257,0.0007868907682448782,0.02915726873392676,0.014855777012120888,0.056350650834783404,0.01920098500018574,0.00024272756139068926,,0.0077527061643184614,,0.3527343644429834,,,0.05027851418746645,,Control
7,0.0019923742773560503,0.027420577486115667,0.0026404430313693643,,0.00018585375772654,0.010781167537704944,0.20033715411268516,0.0025802879985430825,0.0008131376832130394,0.13241695333784,,0.026960781887858477,0.00013691593394647475,0.0013647604339564268,0.06140806106032757,0.007032200318238817,0.02696166166896014,,,,,0.013223989739113005,0.0017737486735925232,0.0002021297081073258,0.005524365482624268,,0.37857420695156835,,,0.07370938036907035,0.023959848550082243,Control
8,0.0002446216923753936,0.0785740482513628,,,0.001560305690806221,0.0023647551808604387,0.32714870421442144,0.009589075755637472,9.340315948601306e-05,0.01814043058620059,0.06112101762624028,0.006338882269219118,0.0026247470134044175,0.00550522951284459,0.167221213441826,,0.04604409243933347,,,0.022771808514537428,,,,0.018042771080206355,0.0701165695076755,,0.11132533408181976,0.0005832377034740537,,0.05058975227826858,,Control
9,,0.08853927255709221,0.0049350925666853205,0.0007220842659951502,,,0.08843965678045139,0.015394540930530018,0.00030353145735070755,0.018716315919204835,0.03393431729155008,0.005763038112558957,0.006319928817917766,0.0017331271484531138,0.3280617122338582,0.0016335113718122952,0.019922218502678068,,0.0314820204452794,0.001791834878887201,0.011589884449862763,,,,0.0526000446345298,0.005879308564500227,0.22730509033495885,,,0.05493346873584353,,Control
10,0.00283520210879672,0.01394667401466471,,0.000315350451766497,0.036690485567423665,0.0016868907962151024,0.11917966944391539,0.008765480342968555,,0.03093874984209575,0.005535021357409632,0.05718887568199116,0.0983060754025528,0.001666736054623828,0.24940474802959406,,0.0021933041266019074,,0.019186601453523324,0.034190381485487926,,0.0025704420942568042,0.0013536250185896951,0.020752462008566577,0.009634577230374091,0.008026167776415917,0.10354651179953238,0.10103307301482665,0.018021799897821572,0.053031094999985234,,Control
11,,0.08518815015473127,,0.0018036065071423855,,,0.030049693381703553,0.002479686460006751,,,,0.0026218988867569713,,,0.04080292513315028,,,,0.03933907137984253,,,,,,0.017645448018970514,,0.519403380462047,,0.19483932902308576,0.06582681059256286,,Control
12,0.0008613414414374744,7.177849036100721e-05,0.0007895626189055083,,0.021892391395318143,0.0013637943063977683,0.00075367376125779,,,0.0013996798423358957,,0.00048450456080857934,,0.00032300304053905295,,0.00014355653782740238,,0.00010766768017968432,0.00048450456080857934,0.0004486157031608611,0.027580819068324398,,1.7944650271165053e-05,,3.58891898186771e-05,0.001112562337734971,0.004683544087816269,,0.9373554436967884,5.383384008984216e-05,3.58891898186771e-05,Control
13,,0.01910154845241689,,,,,0.04116544741853257,0.015309341235917118,,,0.012278768001368115,0.02645414797701331,,,0.22608053961630362,,0.011550482830801652,,0.05487485909364642,0.002983295194019419,0.08174342705603302,,,0.0771817570207636,,,0.3427668105715326,,,0.04736395438817996,0.041145621143471776,Control
14,0.0037857189803314696,0.06327149630017002,6.856898359738487e-05,0.00013104294643055775,0.0006358122493867139,0.019050292149582784,0.24648568721511488,0.005567395133390037,6.369296698601528e-05,0.055128142224465194,,0.08055088016671101,0.00028890398422364824,0.007377311549322787,0.027803960971144032,0.0008285164892152164,0.007356182144006852,0.0045987947502773505,0.0360488987262524,0.012760738639313025,0.07726028003979235,,0.001933137419049236,0.0008365415998880955,0.007287816327768273,,0.24308364979189062,,0.0,0.09779653825169,,Control
15,,0.07705105246461938,0.036776296265976276,,,0.0008611074158591117,0.1889841695404357,0.022478638600943478,0.0036283167729193734,0.004433040328274817,0.014013487101296516,0.017113678458500044,0.0007160033973578379,,0.02862785628767025,0.0026129979636318984,0.09453803096507471,,0.03824810945222721,0.03892686470943381,0.008001801008974345,,,,0.008121117853524757,,0.3424475302641139,0.04412359424086448,,0.02829630690830203,,Control
16,,0.07361376883956484,,0.011884316492856073,,,0.07143696639158216,0.009666699625730774,,0.001370843021325985,,0.005117646811070155,0.0005280804206512538,0.00266507126077245,0.002521869809824864,,0.0066980773901555634,,0.03217630304796466,,0.07159861957010283,0.0025811359565405664,,,0.006335861955405785,,0.6970791918063098,,,0.00472554760014224,,Control
17,,0.6277526915497718,,,,2.5240902272820855e-05,1.2289279095545088e-05,1.7185727575358786e-05,,3.377656996564558e-05,8.724892142302899e-07,0.00453669149727793,4.906945189663124e-05,1.4206498401201163e-07,1.2603330491732301e-05,,5.183898469916124e-07,,0.2972343739689089,0.0005867221739151743,,,,4.6459728524753054e-05,0.00047419326189579247,,0.06848209590484075,,0.00013492780660100972,0.0005988565052833883,1.2893976374598134e-06,Treat
18,,0.12053179064676402,6.787516409576257e-09,,5.4939270461433655e-06,0.0003038136115111396,6.459582360013727e-05,5.299099499462276e-07,2.2725533299437322e-05,0.0011449473191743615,,0.01021470788393864,,5.273663547493111e-07,1.1546275927614239e-05,3.288581273970304e-06,3.527609649542798e-07,9.619304936569693e-05,0.7676731410399872,0.0006294388991109591,,0.011863195252329501,0.00046815798873013766,4.479432431675429e-06,0.00023300834979204913,3.5056150713705706e-06,0.08432430183356983,,,0.0024002521122898856,,Treat
19,0.0005416806528227834,0.02019753446413839,3.70434194728323e-07,,2.54997910206949e-05,0.00023535349013298592,0.00010969121621418821,6.444396890490655e-06,1.8743727034074538e-05,0.0005895403627563966,,0.01695277801729214,,6.69576472314791e-07,5.366529959016862e-06,4.336517913469921e-05,1.0664752514011751e-06,0.00023037453311613572,0.5822764980747808,0.0006802333890049152,,0.0934801351503053,0.0004958462484982187,1.4293499575608366e-05,0.0008605912162905955,,0.2722747317239914,,,0.01095917271683513,1.913428762577842e-08,Treat
