"","taxon","mean.difference (Treat - Control)","se (Treat - Control)","W","p.val","q.val","diff.abn"
"1","taxa1017280",3.57639975330234,0,Inf,0,0,TRUE
"2","taxa102106",0.868917411100755,2.58825013265515,0.335716165967846,0.737084913981038,1,FALSE
"3","taxa1263",0.551033788716193,2.36430083940151,0.233064159828188,0.815711584898999,1,FALSE
"4","taxa1301",-2.09270137613768,2.01395777743472,-1.03909893225431,0.298758727494942,1,FALSE
"5","taxa1348911",-1.69413667740768,2.65155652347073,-0.638921577726789,0.522873950026187,1,FALSE
"6","taxa135858",0.720115618008113,3.02355181104884,0.238168770707558,0.811750197616252,1,FALSE
"7","taxa1485",2.29524667686911,2.59654394275067,0.883962192620402,0.376716622360356,1,FALSE
"8","taxa1578",-3.91599163277996,0,Inf,0,0,TRUE
"9","taxa1678",-0.349376090516996,2.18107725070382,-0.160185105962778,0.872735261612688,1,FALSE
"10","taxa1730",-0.170992752349502,1.74853755592482,-0.097791867134968,0.922097565515376,1,FALSE
"11","taxa189330",2.53311164484018,2.03260110308226,1.24624140024274,0.212675784133695,1,FALSE
"12","taxa207244",-2.06438184910122,2.39461655880085,-0.862092864727786,0.388636417524895,1,FALSE
"13","taxa216851",-0.0316513809315246,2.21899165325937,-0.0142638575882128,0.988619474163325,1,FALSE
"14","taxa2172",-0.582062223098771,2.79296826441638,-0.208402734293295,0.834914521542601,1,FALSE
"15","taxa239759",-1.14035936561391,2.11464180822554,-0.539268334324108,0.589701715071892,1,FALSE
"16","taxa239934",0.17019950463469,2.53469306790755,0.067147974162881,0.946463902188917,1,FALSE
"17","taxa244127",1.05241722109873,2.0199784612769,0.52100417963539,0.602363859745021,1,FALSE
"18","taxa283168",-2.1066107551873,2.15460474123727,-0.977724923216123,0.328210391629984,1,FALSE
"19","taxa292632",5.20152122239083,2.09550379377429,2.48222944661063,0.0130563174440453,0.470027427985631,FALSE
"20","taxa29465",-0.376743029541566,2.22736901246298,-0.169142619581014,0.865684462276205,1,FALSE
"21","taxa33024",2.58605231289834,3.37408136059845,0.766446340950016,0.443410768211701,1,FALSE
"22","taxa33042",3.3119037691233,2.07104583791662,1.59914556621061,0.109788262018955,1,FALSE
"23","taxa35832",-2.50929529683226,2.14276464116696,-1.17105502332057,0.241576660892699,1,FALSE
"24","taxa375288",-4.4574616131458,1.96859464318971,-2.26428616402379,0.0235565200048992,0.848034720176372,FALSE
"25","taxa397864",2.18565867881507,2.71267195406465,0.805721707536401,0.420403330071391,1,FALSE
"26","taxa39948",-3.44576048221023,3.17294833726267,-1.08598064511284,0.277487555378294,1,FALSE
"27","taxa40544",-0.264249630355062,2.26967968437312,-0.116425957448726,0.90731496421048,1,FALSE
"28","taxa447020",4.12953626521856,0,Inf,0,0,TRUE
"29","taxa459786",1.00380177280434,2.11345779240177,0.474957094678292,0.634817554995167,1,FALSE
"30","taxa561",4.67601868671606,2.74892339227086,1.70103637659151,0.088936156653664,1,FALSE
"31","taxa572511",3.25434914115175,1.98326896671843,1.64090155988095,0.100817851180893,1,FALSE
"32","taxa577309",0.991526135314385,3.37422713170235,0.293852813285318,0.768870376488199,1,FALSE
"33","taxa577310",-0.313627266485144,2.08152913259355,-0.150671571958433,0.880234799471858,1,FALSE
"34","taxa61170",2.24121784661173,2.30688210380651,0.971535494992819,0.331281686506447,1,FALSE
"35","taxa724",-0.878602591210164,2.26156049924749,-0.38849395870794,0.697650523943737,1,FALSE
"36","taxa816",-6.58684792548409,1.79715178546267,-3.66515949223974,0.000247184490273059,0.00889864164983011,TRUE
"37","taxa830",-1.31942259065701,3.32695901243221,-0.396585165530016,0.691673393580383,1,FALSE
"38","taxa838",-3.80691674634715,3.45237155336348,-1.10269612858971,0.270159148576784,1,FALSE
"39","taxa841",0.45668310396735,1.78045065858036,0.256498601500974,0.797565860170568,1,FALSE
"40","taxa846",4.84395737278563,0,Inf,0,0,TRUE
"41","taxa872",-3.35494844686974,0,Inf,0,0,TRUE
"42","taxa946234",7.77529456378837,0,Inf,0,0,TRUE
