item,value,type
MicrobiotaLoads_ori,0.09108013365917599,MicrobiotaLoadsFoldChange_ori
taxa577309,-4.51080423728778,TaxaFoldChange
taxa32207,-1.5080894793145134,TaxaFoldChange
taxa906,-2.48075151353712,TaxaFoldChange
taxa447020,4.583883876635936,TaxaFoldChange
taxa830,-7.888653125655937,TaxaFoldChange
taxa84108,-0.6338949484605578,TaxaFoldChange
taxa1350,9.875892168740931,TaxaFoldChange
taxa2172,-1.4135219147973217,TaxaFoldChange
taxa872,-9.301775589809411,TaxaFoldChange
taxa216851,7.6410011939614435,TaxaFoldChange
taxa841,8.652805979292783,TaxaFoldChange
taxa29521,4.131311157346803,TaxaFoldChange
taxa158846,1.9592059061860123,TaxaFoldChange
taxa135858,-0.5002515449303521,TaxaFoldChange
taxa846,-3.7066649898427655,TaxaFoldChange
taxa33024,-3.5818795743284864,TaxaFoldChange
taxa570,-0.8216228736738724,TaxaFoldChange
taxa239934,3.3791999564248134,TaxaFoldChange
taxa33042,4.2371968996704465,TaxaFoldChange
taxa816,5.149893372153951,TaxaFoldChange
taxa375288,9.044215796895749,TaxaFoldChange
taxa836,7.253428993474159,TaxaFoldChange
taxa52225,-1.439911447844441,TaxaFoldChange
taxa1301,9.202803757132733,TaxaFoldChange
taxa40544,2.869737027949672,TaxaFoldChange
changedTaxaCount,26.0,changedTaxaCount
totalTaxaCount,61.0,totalTaxaCount
MicrobiotaLoads,5.6735005504666844,MicrobiotaLoadsFoldChange
taxa100883,0.6015081344405899,ranksums_on_loads
taxa1017280,0.7121730245509772,ranksums_on_loads
taxa102106,0.8977175324239568,ranksums_on_loads
taxa117563,0.8382564863858263,ranksums_on_loads
taxa1263,0.6592009841149373,ranksums_on_loads
taxa1301,3.9382817444820097e-13,ranksums_on_loads
taxa133925,0.0789944358337224,ranksums_on_loads
taxa1348911,0.9575617389111991,ranksums_on_loads
taxa1350,0.016703403847161492,ranksums_on_loads
taxa1357,0.19854279368666194,ranksums_on_loads
taxa135858,0.2216999937648764,ranksums_on_loads
taxa1485,0.8565839457410922,ranksums_on_loads
taxa1578,0.8931709261758383,ranksums_on_loads
taxa158846,0.3173105078629141,ranksums_on_loads
taxa1678,0.11832023086653555,ranksums_on_loads
taxa1730,0.6412456197233534,ranksums_on_loads
taxa189330,0.216632599125804,ranksums_on_loads
taxa191303,0.2863205967930591,ranksums_on_loads
taxa207244,0.7977517536146518,ranksums_on_loads
taxa216851,3.599025115829423e-21,ranksums_on_loads
taxa2172,0.003722999277092411,ranksums_on_loads
taxa2316,,ranksums_on_loads
taxa239759,0.9434974026095116,ranksums_on_loads
taxa239934,0.00011705907046189755,ranksums_on_loads
taxa244127,0.8547374875630647,ranksums_on_loads
taxa283168,0.6395948867451903,ranksums_on_loads
taxa292632,0.11508831907230507,ranksums_on_loads
taxa29465,0.1980274426061408,ranksums_on_loads
taxa29521,0.6547208460185769,ranksums_on_loads
taxa32207,0.7388826803635273,ranksums_on_loads
taxa33024,2.5475409156477053e-05,ranksums_on_loads
taxa33042,6.031819125140268e-14,ranksums_on_loads
taxa35832,0.18957652626606047,ranksums_on_loads
taxa375288,8.085295052613685e-24,ranksums_on_loads
taxa397864,0.8784707566743891,ranksums_on_loads
taxa39948,0.4368391155714313,ranksums_on_loads
taxa40544,2.66030276478858e-05,ranksums_on_loads
taxa447020,0.00010954822950882808,ranksums_on_loads
taxa459786,0.3175695436890177,ranksums_on_loads
taxa52225,0.7348605992017886,ranksums_on_loads
taxa561,0.2999514655378013,ranksums_on_loads
taxa570,0.3864762307712327,ranksums_on_loads
taxa572511,0.750044799468327,ranksums_on_loads
taxa577309,2.1239374581227735e-07,ranksums_on_loads
taxa577310,0.379775474840949,ranksums_on_loads
taxa61170,0.14871620240554592,ranksums_on_loads
taxa644652,0.8501067391385259,ranksums_on_loads
taxa674963,0.12819017434510785,ranksums_on_loads
taxa724,0.2267216767145109,ranksums_on_loads
taxa816,1.745003663310634e-22,ranksums_on_loads
taxa830,0.00015812095068421284,ranksums_on_loads
taxa836,0.15729920705028516,ranksums_on_loads
taxa838,0.010513059042873757,ranksums_on_loads
taxa841,2.3231419802791417e-24,ranksums_on_loads
taxa84108,0.03300625766123251,ranksums_on_loads
taxa84111,0.19263802296319646,ranksums_on_loads
taxa846,0.006950508943083741,ranksums_on_loads
taxa872,2.2077439005804444e-07,ranksums_on_loads
taxa904,0.8919398442755283,ranksums_on_loads
taxa906,0.17223819487505745,ranksums_on_loads
taxa946234,0.7033889082314416,ranksums_on_loads
qml_loads_delta,5.470000000000001,qml_loads_delta
taxa1017280,-5.739153616422554,logged_relative_abundance_diff
taxa1017280,-0.2691536164225532,qml_logged_loads_diff
taxa1017280,0.3251952035623663,qml_diff_pvalue
taxa1017280,0.00032940093477603656,mwu_diff_pvalue
taxa1017280,0.00032940093477603656,mwu_logged_pvalue
taxa102106,-5.480223323714112,logged_relative_abundance_diff
taxa102106,-0.010223323714111388,qml_logged_loads_diff
taxa102106,0.8681274021716645,qml_diff_pvalue
taxa102106,8.657166834737334e-13,mwu_diff_pvalue
taxa102106,8.657166834737334e-13,mwu_logged_pvalue
taxa1263,-5.846934322239702,logged_relative_abundance_diff
taxa1263,-0.376934322239701,qml_logged_loads_diff
taxa1263,0.25395610628513454,qml_diff_pvalue
taxa1263,2.552433353215534e-21,mwu_diff_pvalue
taxa1263,2.552433353215534e-21,mwu_logged_pvalue
taxa1301,3.7185874190943853,logged_relative_abundance_diff
taxa1301,9.188587419094386,qml_logged_loads_diff
taxa1301,9.685484592744254e-13,qml_diff_pvalue
taxa1301,1.3271421385022755e-05,mwu_diff_pvalue
taxa1301,1.3271421385022755e-05,mwu_logged_pvalue
taxa1348911,-5.7483433095619425,logged_relative_abundance_diff
taxa1348911,-0.27834330956194187,qml_logged_loads_diff
taxa1348911,0.5547410882963892,qml_diff_pvalue
taxa1348911,5.336433272125601e-11,mwu_diff_pvalue
taxa1348911,5.336433272125601e-11,mwu_logged_pvalue
taxa1357,-6.59296398778398,logged_relative_abundance_diff
taxa1357,-1.1229639877839794,qml_logged_loads_diff
taxa1357,0.5203168005073666,qml_diff_pvalue
taxa1357,0.012419330651552265,mwu_diff_pvalue
taxa1357,0.012419330651552265,mwu_logged_pvalue
taxa135858,-6.31744424732814,logged_relative_abundance_diff
taxa135858,-0.8474442473281396,qml_logged_loads_diff
taxa135858,0.3261094520204889,qml_diff_pvalue
taxa135858,5.097028889963147e-06,mwu_diff_pvalue
taxa135858,5.097028889963147e-06,mwu_logged_pvalue
taxa1485,-5.780524964572862,logged_relative_abundance_diff
taxa1485,-0.3105249645728616,qml_logged_loads_diff
taxa1485,0.5502441077842398,qml_diff_pvalue
taxa1485,1.1333000230221305e-09,mwu_diff_pvalue
taxa1485,1.1333000230221305e-09,mwu_logged_pvalue
taxa1578,-5.182348161265592,logged_relative_abundance_diff
taxa1578,0.28765183873440847,qml_logged_loads_diff
taxa1578,0.847861995726637,qml_diff_pvalue
taxa1578,0.000267293654413864,mwu_diff_pvalue
taxa1578,0.000267293654413864,mwu_logged_pvalue
taxa1678,-6.58716753449887,logged_relative_abundance_diff
taxa1678,-1.1171675344988694,qml_logged_loads_diff
taxa1678,0.06893968495164468,qml_diff_pvalue
taxa1678,2.660962733113264e-13,mwu_diff_pvalue
taxa1678,2.660962733113264e-13,mwu_logged_pvalue
taxa1730,-5.358105914176563,logged_relative_abundance_diff
taxa1730,0.11189408582343763,qml_logged_loads_diff
taxa1730,0.7966229403995595,qml_diff_pvalue
taxa1730,9.603983230903135e-23,mwu_diff_pvalue
taxa1730,9.603983230903135e-23,mwu_logged_pvalue
taxa189330,-5.298908467529908,logged_relative_abundance_diff
taxa189330,0.17109153247009257,qml_logged_loads_diff
taxa189330,0.3147933311768779,qml_diff_pvalue
taxa189330,1.5119329470932728e-22,mwu_diff_pvalue
taxa189330,1.5119329470932728e-22,mwu_logged_pvalue
taxa191303,-4.74425173855064,logged_relative_abundance_diff
taxa191303,0.7257482614493602,qml_logged_loads_diff
taxa191303,0.755813423086601,qml_diff_pvalue
taxa191303,0.0038806884459565358,mwu_diff_pvalue
taxa191303,0.0038806884459565358,mwu_logged_pvalue
taxa207244,-5.7156795665103335,logged_relative_abundance_diff
taxa207244,-0.24567956651033285,qml_logged_loads_diff
taxa207244,0.6817967522656485,qml_diff_pvalue
taxa207244,1.986298115817823e-12,mwu_diff_pvalue
taxa207244,1.986298115817823e-12,mwu_logged_pvalue
taxa216851,1.703411531604568,logged_relative_abundance_diff
taxa216851,7.173411531604568,qml_logged_loads_diff
taxa216851,2.9177123652191464e-21,qml_diff_pvalue
taxa216851,1.0773610398400758e-05,mwu_diff_pvalue
taxa216851,1.0773610398400758e-05,mwu_logged_pvalue
taxa2172,-7.292475337080056,logged_relative_abundance_diff
taxa2172,-1.8224753370800553,qml_logged_loads_diff
taxa2172,0.022731188050020126,qml_diff_pvalue
taxa2172,5.559667542253516e-10,mwu_diff_pvalue
taxa2172,5.559667542253516e-10,mwu_logged_pvalue
taxa239759,-5.806129912916541,logged_relative_abundance_diff
taxa239759,-0.33612991291654026,qml_logged_loads_diff
taxa239759,0.5621475761625268,qml_diff_pvalue
taxa239759,1.3741785667306174e-20,mwu_diff_pvalue
taxa239759,1.3741785667306174e-20,mwu_logged_pvalue
taxa239934,-1.7012328799788126,logged_relative_abundance_diff
taxa239934,3.768767120021188,qml_logged_loads_diff
taxa239934,6.70832623636151e-05,qml_diff_pvalue
taxa239934,0.07835165419319358,mwu_diff_pvalue
taxa239934,0.07835165419319358,mwu_logged_pvalue
taxa244127,-5.814592806019226,logged_relative_abundance_diff
taxa244127,-0.34459280601922515,qml_logged_loads_diff
taxa244127,0.49558437717958825,qml_diff_pvalue
taxa244127,7.153868805928437e-09,mwu_diff_pvalue
taxa244127,7.153868805928437e-09,mwu_logged_pvalue
taxa283168,-5.65325611948743,logged_relative_abundance_diff
taxa283168,-0.18325611948742893,qml_logged_loads_diff
taxa283168,0.5729128736270647,qml_diff_pvalue
taxa283168,5.277230346032779e-19,mwu_diff_pvalue
taxa283168,5.277230346032779e-19,mwu_logged_pvalue
taxa292632,-6.034290249320305,logged_relative_abundance_diff
taxa292632,-0.5642902493203046,qml_logged_loads_diff
taxa292632,0.023604077003981747,qml_diff_pvalue
taxa292632,5.005301055618469e-22,mwu_diff_pvalue
taxa292632,5.005301055618469e-22,mwu_logged_pvalue
taxa29465,-4.804648701973921,logged_relative_abundance_diff
taxa29465,0.6653512980260796,qml_logged_loads_diff
taxa29465,0.22651132106954097,qml_diff_pvalue
taxa29465,8.92813396875e-09,mwu_diff_pvalue
taxa29465,8.92813396875e-09,mwu_logged_pvalue
taxa33024,-9.773094518023651,logged_relative_abundance_diff
taxa33024,-4.30309451802365,qml_logged_loads_diff
taxa33024,2.7691497427132128e-05,qml_diff_pvalue
taxa33024,9.95073212917881e-06,mwu_diff_pvalue
taxa33024,9.95073212917881e-06,mwu_logged_pvalue
taxa33042,-1.5123244230497264,logged_relative_abundance_diff
taxa33042,3.9576755769502743,qml_logged_loads_diff
taxa33042,2.9624634214419314e-14,qml_diff_pvalue
taxa33042,0.0002649327484484718,mwu_diff_pvalue
taxa33042,0.0002649327484484718,mwu_logged_pvalue
taxa35832,-6.3613210424424,logged_relative_abundance_diff
taxa35832,-0.8913210424423994,qml_logged_loads_diff
taxa35832,0.0818506309817947,qml_diff_pvalue
taxa35832,7.436192960888264e-11,mwu_diff_pvalue
taxa35832,7.436192960888264e-11,mwu_logged_pvalue
taxa375288,3.5626792578947875,logged_relative_abundance_diff
taxa375288,9.032679257894788,qml_logged_loads_diff
taxa375288,8.266032425552599e-24,qml_diff_pvalue
taxa375288,8.684540259091585e-21,mwu_diff_pvalue
taxa375288,8.684540259091585e-21,mwu_logged_pvalue
taxa397864,-5.513222676466589,logged_relative_abundance_diff
taxa397864,-0.043222676466588617,qml_logged_loads_diff
taxa397864,0.3778027571566671,qml_diff_pvalue
taxa397864,7.223220570537366e-19,mwu_diff_pvalue
taxa397864,7.223220570537366e-19,mwu_logged_pvalue
taxa39948,-5.2019567467604375,logged_relative_abundance_diff
taxa39948,0.26804325323956313,qml_logged_loads_diff
taxa39948,0.925929803241506,qml_diff_pvalue
taxa39948,2.2975087298215484e-09,mwu_diff_pvalue
taxa39948,2.2975087298215484e-09,mwu_logged_pvalue
taxa40544,-2.942065894246861,logged_relative_abundance_diff
taxa40544,2.5279341057531397,qml_logged_loads_diff
taxa40544,3.155297895901345e-05,qml_diff_pvalue
taxa40544,5.091678272986685e-06,mwu_diff_pvalue
taxa40544,5.091678272986685e-06,mwu_logged_pvalue
taxa447020,-2.383939654960754,logged_relative_abundance_diff
taxa447020,3.0860603450392468,qml_logged_loads_diff
taxa447020,0.0006445635245300001,qml_diff_pvalue
taxa447020,0.0033245018314460935,mwu_diff_pvalue
taxa447020,0.0033245018314460935,mwu_logged_pvalue
taxa459786,-6.302347258641829,logged_relative_abundance_diff
taxa459786,-0.8323472586418283,qml_logged_loads_diff
taxa459786,0.10184666176189369,qml_diff_pvalue
taxa459786,3.1704811338002165e-12,mwu_diff_pvalue
taxa459786,3.1704811338002165e-12,mwu_logged_pvalue
taxa52225,-4.67180002047068,logged_relative_abundance_diff
taxa52225,0.7981999795293202,qml_logged_loads_diff
