,taxa102106,taxa1263,taxa1348911,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa283168,taxa292632,taxa33042,taxa375288,taxa397864,taxa40544,taxa459786,taxa561,taxa572511,taxa577309,taxa816,taxa838,taxa841,condition
0,0.0019441410527255153,0.0017171209048891657,0.0006246801223856506,0.001240251767534597,0.12083836269241516,0.004882259096053965,0.0006563868469438003,0.043499781338897724,0.041351794871558364,0.025758773625401073,0.010894891746901012,0.046652006245878834,0.014387704524226759,0.1035513952745912,0.013399722986994824,0.006206677805142923,0.00011495128867081836,,0.02260689460996059,0.00759935244491706,0.22867581534418688,0.24394346794778746,0.05945356746193665,Control
1,0.0060551783179995005,0.016720129140605455,0.0004365356055944838,0.003834011222933569,0.038717609520151144,0.005609292261077215,2.8594984874557713e-05,0.062740876052483,0.02353900013449428,0.009503537786750345,0.007695530168959393,0.07751034882945938,0.035073542930585844,0.01941838670574576,0.00439134161254187,0.0009865813412613562,0.004593028673158997,0.002666292068740604,0.012243002573439911,0.01059340899733045,0.12988320525208327,0.4974200908798634,0.03034047493986626,Control
2,,0.010010263432906133,0.0008920525026634684,,0.09824218804183174,0.027440837818340832,,0.015263940991785246,0.0009498992613595672,,,0.15659723788405805,0.0070517562039621225,0.04589672802087743,0.005931399087048687,,,,0.029705389437633952,,0.4774135121603031,,0.12460479515722968,Control
3,,0.0833890006056788,,,0.17350684388724785,0.0018861441207974076,0.0014234362690509058,0.012457394553099901,0.00977119992196801,,0.006610459079445107,0.21902280715635924,0.08037831350121412,0.03932551300064373,0.06798314622316869,,,,0.0005689495408638929,0.01923085873841941,0.2573082646118243,,0.027137668790218804,Control
4,,0.030772581134060433,0.00036023129355951147,,0.050626502712198304,0.005334148041001188,,0.0013529655210148912,0.009694527132937121,0.0012287102488037433,0.0031772291096096084,0.03919894151947413,0.0013903510985310518,0.10259071152601719,,,,0.001757994110082106,0.006053738661297678,,0.33158718343925736,0.26482068383780066,0.15005350061435516,Control
5,,0.0009685618939668878,,,0.0898744947693186,0.1210909852555009,,0.011975288525018859,,,,0.2913609466185563,0.0225006855057172,0.010059270979649825,,,,,0.018671154545452914,0.004536053486795988,0.007960451909694617,0.4161274588101839,0.00487464770014397,Control
6,0.0011672369025155394,0.014871970118229499,0.0011207666060445317,0.0001781888238831612,0.01664226712664884,0.00842682450971993,,0.016304962321651795,0.02804519273212993,0.00034352191949089635,0.004125845777836366,0.1854291278979525,0.002621304070323784,0.020714266370479118,0.04924576390581472,0.00668624320108477,0.0008059066381185197,0.0005253988621415979,0.0004404667556662412,0.020211417720230482,0.18214354095018376,0.4321526822159862,0.007797104573867907,Control
7,0.002623740983630807,0.04085811217013058,0.00041702193300812584,0.0013290394971647373,0.17072224986872314,0.007460117721266216,,0.041686239332764906,0.03745304937383316,0.00020042832706268428,0.017243492418695515,0.12424443169535737,0.00572800280620789,0.029754784341444494,0.016594979465869606,0.011860982827824986,0.000564833862138698,0.000979320065125999,0.00935304018181184,,0.14292219640708187,0.30548890459632766,0.032515032124529705,Control
8,,0.03765055922600624,,,0.2735976620063094,0.01634650253932967,0.0001784530582435024,0.0166969991886964,,,,0.02895977159807694,0.008414618307799477,,,0.016634028985409464,0.0016382373065844905,,0.014522728026631897,,0.568867194154566,,0.01649324560234654,Control
9,,,1.1488741463156665e-05,,0.6481590796693364,0.09173302903395031,7.826567422460563e-06,0.0003519412974832686,0.0002750801768395019,,7.187248388882027e-07,2.4818128506673657e-05,0.00016932305844238706,0.002943135211045177,7.960029569790301e-05,2.604101550413147e-07,,,3.338532113504216e-05,0.00017959949984151511,9.42701972775037e-05,0.0001011903336625351,0.25583525333290213,Treat
10,0.012253436039014498,0.05037281459049317,3.3801462147120944e-06,0.000146472993011567,0.3619552671005965,0.07529818228387337,5.3006109495393545e-06,0.009302690583381696,0.005880615357993804,0.04736621884760036,4.409508395225207e-06,0.0002991055733523205,0.000558305950632325,0.003935005097693099,0.0013100158876034522,0.00013189467543712232,0.00020899886913415175,0.0002731253930509805,3.229320980292355e-05,0.0014174957887963247,2.6019566791473106e-05,6.651183033639102e-07,0.42921828680787805,Treat
11,,0.0019211356314938882,,0.00020330311256754,0.7657105207855777,0.031360767265682744,6.121560707859635e-06,0.0030555029490465526,0.0031945606343135352,0.001071436604147389,1.7798528775330962e-06,1.1425716544124316e-05,0.00017222127689524533,0.0021707837621977523,0.0024422429325601405,,6.310746092115617e-05,1.4834204588622396e-05,9.611025430690207e-05,1.6647058926909543e-06,4.230466176776113e-05,,0.18846017662791084,Treat
12,,0.21906882687039458,,,0.5958430795817862,,,0.0018388118838894689,,,,0.00018348709550536815,,0.0012936428238590606,,,,,,,7.744087503142414e-05,,0.18169471086953393,Treat
13,0.010304351339690163,0.06754579876606427,4.250953298308673e-06,0.0005213571011091085,0.6148488486916068,0.05646814187450746,1.0416695668848121e-05,0.007005110779793763,0.005499236310994972,0.005175062759532575,4.131773485869433e-06,0.0002565511272180513,0.0008958415994893896,0.0002440466147881836,0.0009414046171979093,3.3938444114533156e-07,3.4232025896432446e-05,0.00018716455779058504,2.2506833632143487e-05,0.00011266095915267061,1.48242314044464e-05,0.0014039550779259718,0.22849976592531082,Treat
14,0.005382301734324009,0.04054721602501291,,6.325554100509972e-05,0.6565233407996026,0.022135248105030342,1.2208197148794698e-06,0.0017732149346420451,0.0024038060117144862,0.06231190871375268,,5.777600956849588e-05,0.0026778681412443247,0.0016913660525790565,,4.528768706076903e-05,9.430807844871193e-05,,3.281853994041389e-05,,2.499888003697984e-05,,0.2042340639263223,Treat
15,0.016465460638399345,0.07793182136116215,1.2145275879462415e-05,0.00019072632617700205,0.7336838833736984,0.04676917682411028,4.745665662250705e-06,0.0006807435486238455,0.005937838217512323,0.01653675333069718,3.092120852223132e-06,1.2559257981029196e-05,0.00027200301968853817,0.002470349386923303,0.0018194324469969802,7.357601265485182e-05,0.0006560456446234921,,3.318706752683997e-05,,3.889695022895895e-05,,0.09640756353060151,Treat
16,,,,,0.9251742609200164,0.028852064531930906,,,,,8.078532757155764e-07,9.980468378590464e-07,0.00012042126605397753,0.004866643156792266,0.00018192818585864695,,,,5.520719651201987e-05,,7.289225533111955e-05,,0.04067477658739099,Treat
17,0.0060773440794013155,0.016166010310960505,,0.00030940085068022503,0.6914812114166575,0.040055643138759436,3.5773938318339137e-06,0.0013372313503405204,0.00011343763302919846,0.017938657719363243,4.341758990281972e-07,2.0390818950943853e-05,0.0007810752851534543,0.00047426293546832035,2.2103320839693228e-06,2.3622696571790227e-05,1.885628432695953e-05,0.014134845471606417,2.48839669947312e-05,2.030756296213558e-05,3.3743990603285715e-06,0.0006722829736228021,0.21034093920427535,Treat
