,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa946234,condition
0,,0.0018929237957761324,0.03800876184453193,,,,,,,0.0012951746284434996,0.1301243670066736,0.004430400384962396,7.858894576529537e-05,0.036307064292443875,0.004642199651102113,0.049218590317985894,0.00936185673173468,,,0.10563835568472213,,,0.0548300879218974,,0.034631185883532624,,,0.013683322962815601,,0.0019309838873116812,,0.015882990523345807,,,,,,0.21523084628465095,0.24207864058405162,,0.04073365866825271,,,Control
1,,,0.11354169482784078,,,,0.06296096809278318,,,,0.07926571601474848,0.03569249453586573,,,0.034671205728034796,0.005229660007112213,0.0032678746337314367,,0.010011999259664395,0.13290271865375375,,,0.006551346225432193,,0.023598717306176607,0.02445509427841194,,,,,,0.001803528239852099,,,,,,0.4454428808205248,,0.0024380124900439414,0.01816608888602367,,,Control
2,,0.0026315110654897,0.05203908328259613,0.005500193872800609,,0.00010891270319282094,,0.0024122525972199416,,0.00719622261265197,0.22392513193381877,0.0049643310897043505,0.0007306568377728907,0.08432228251545759,,0.01663989570585054,0.001411565955854324,,0.0008311758927873176,0.1041641502782392,0.0010736704358923863,,0.11540959160602428,,0.018331932344739003,0.01078747569424683,0.05300169142246952,0.0005492721478690574,,0.00012979446207565505,,0.013301475685239015,,,0.00023451034117927892,,0.011116568119777771,0.17329198472110366,,,0.09589466667594745,,,Control
3,,,0.36824470582496444,,0.012477275835426089,,,,,,0.0733139040092961,0.02543919592824782,0.004219595350899428,0.01547703977414772,,0.005089145797891477,,,0.005717190748836898,0.028404007989498326,,,0.025300150608837748,,0.029346184300269945,0.07646316616536308,0.05077255626490082,0.0034446654070924647,,,,0.06421182536343419,,,,,,0.19735180186183532,,,0.014727588769058029,,,Control
4,,,0.10503743102098728,,,,0.06612476979224335,,,,0.06576776812304184,0.07556802631398067,,,0.030979267659189628,0.0009847747327798766,0.005649124429453427,,,0.10284772358323034,,,,,0.013172715907902734,0.020267134726264697,,,,,0.00656089502859554,,,,,,,0.4347713793803001,,,0.0722689893020305,,,Control
5,,,0.0012736709787955036,,,,,0.0018527132815910183,,,0.06078641939864399,0.021192584866644628,,0.03223365770200965,,0.014084981928146261,,,,0.03980996590757209,,,0.0016913971030925463,,0.0239839200679345,,,,,,,0.009197848740744509,0.006242471743422076,,,,,0.09434543386379907,,0.6528823102576495,0.04042262415995458,,,Control
6,0.00011949134399989995,0.002847808712189726,0.031897732626127676,0.0007946276855705183,,2.7259603348176153e-05,,0.027849681528923514,,0.00640201007805982,0.2467660221136871,0.010687301708162579,0.0014996881029970296,0.03433101090394382,,0.02692224013681451,0.0056240865855184475,0.000654332960068063,0.007772471264432601,0.13080510418651142,0.000857550228637361,,0.074664975888061,0.0015777776434154885,0.007218875861098587,0.0177065470906061,,,0.0,0.0012789468037039035,0.0033710701208205054,0.014681653436365067,,0.0009498844490009199,9.28466189227353e-05,5.9233273440773734e-05,0.00024195459964302218,0.2041898010346147,0.13017485395872466,,0.007896369236041418,2.5312488823306432e-05,1.1477727725547852e-05,Control
7,,0.0018198953128055661,0.00549006355365321,0.006669369626639676,,,,0.00020272199797564388,0.0002332018947449385,0.01775944938168768,0.06808083841399801,0.005166649346993782,0.0004425721923514687,0.08045301718247926,,0.034175123985674044,0.0001342956525439054,0.000111384589200543,0.007203483790831811,0.1932261804720825,0.00447287371012759,,0.0849686445733101,0.0006583862265233201,0.036870856063699296,0.0026929704766401256,0.12297001841885842,,5.5538872301097195e-05,0.0025363774499495544,0.00010453172650409083,0.010484163954842295,,6.842634543173852e-05,0.0004914627650216796,,0.0019993994028394994,0.21159185249857418,,,0.09870464529991808,,0.00016160482179693108,Control
8,3.064799763755019e-05,0.0038709059516176666,0.06002942420606521,0.07852123411398822,0.0020801264229902555,,,0.00046461513085258363,0.02225576711778462,0.005435869330985072,0.05657205338923754,0.00789984064105395,,0.09555800905073682,,0.03988155825912988,,0.00044684354888914306,0.010970706154341401,0.18267377175223007,0.005616884067031852,,0.04155942971312729,0.008507266927564842,0.026140507235002566,,0.052812033595739084,,0.0002997757268922877,0.01047948685887289,0.0013312723973810858,0.010558128769477574,,0.00025103689731590577,,,0.0007403406929320717,0.2507697915031619,,,0.02405931664542767,,0.00018335590253298247,Control
9,,,0.030039770286112412,,0.0003516528321512621,,,,,,0.04942089534960677,0.005207121922133316,,0.0013207463254141048,,0.00946366399481448,0.001199450038378571,,0.003101567339548953,0.03826546735140195,,0.021571161445996447,0.0013572416117765501,,0.10014764098937766,,,,,,0.0017161296610492306,0.005909576384421558,,0.0022425981068841605,,,,0.32369084598201797,,0.2585143077482578,0.14648016263065686,,,Control
