,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
0,,,0.05701061171581182,,0.0003901575127707296,,,0.00010568669549683306,,,0.19844225323628706,0.020158544256633697,,0.001252199521861613,0.005337533457301154,,0.009579316189821023,,,0.01813811108940749,0.08967571951218026,,,0.005765965594665838,2.8629825293090222e-05,0.07163588385143843,,,,,,,,0.03781563367143601,,2.5584099198080632e-05,0.00039442152930374314,,0.4367185428271729,,,0.047525205413920274,,,,,,,Control
1,,,0.128265077757449,,,,0.016697534141400943,,,,0.04090627858729744,0.019399646334291684,,,0.005539809853633037,0.009720089519079978,0.006025793910088864,0.007890400385520125,,0.0024655523065865133,0.22910166459749084,,,0.009174991015420804,,0.03381785399242028,0.038443176620491376,,,,,0.003961076352587559,,0.008204452267381078,,,,,0.388005178384736,0.004688929364871929,0.003299178319393623,0.013442870328018818,,,,,0.03095044596184004,,Control
2,,0.005271923460651818,0.0260411286791259,0.0010830638585387965,0.0002786902046469161,,,0.005308481296363133,0.008523241669370527,0.02649815225963881,0.07829098497948912,0.007001382514052993,0.0016864200501399325,0.0004683656237252861,0.12270369195658751,,0.041432990196018864,0.0006963204386454197,0.0009728840101900157,0.0040480967443880175,0.095869936739754,0.0006086221402354527,,0.036220207389260135,,0.06608856677486166,0.017948277042367795,0.13678099041151767,0.00047910005747985463,0.0,0.0003783381557270635,,,0.007340631127994551,,,0.00023160047166696836,0.0004376813461060943,0.2766111676187907,9.438200244583059e-05,,0.02790557830040292,,,,0.002699102479816227,,,Control
3,,0.0003720618238159791,0.01817374220655921,0.024362380699996283,,,,,0.0018000763422513734,0.0014033322844230315,0.11277241619162678,0.033431933610275445,,0.001968281196261546,0.019318063393321653,,0.0011193342338116539,,,0.011896938366938075,0.07245992895173232,0.004347221948539472,,0.07165618196514867,,0.014940166404980814,0.0009738817272038238,,,,,0.002085090122657499,,0.01600769841926035,0.030930394271771508,,,,0.09669239781098042,0.2278850738303516,0.18845850611743586,0.04694489808065667,,,,,,,Control
4,3.060839932738043e-05,0.0038659046025467467,0.05995186404089112,0.07841978186839195,0.0020774388251816158,,,0.0004640148314699407,0.022227011869894744,0.005428845993201109,0.05649896027093534,0.007889633764125298,,,0.09543454468199256,,0.039830029858068425,,0.0004462662110266333,0.010956531609230215,0.1824377506992638,0.005609626851728449,,0.04150573344207817,0.008496275234127685,0.026106732763804544,,0.05274379855762169,,0.00029938840592093975,0.010465946986677483,,0.001329552345783087,0.010544487289118224,,0.00025071254865725835,,0.0007393841462520333,0.2504457879547871,,,0.024028231146979617,0.00129203580077418,,,,,0.0001831190001426266,Control
5,8.11834001501591e-05,0.006115346100144862,0.07714709445013758,0.00025019797267120987,0.004647497849042792,,,0.01856340030728824,,0.004124036148570861,0.15356756725178478,0.009885539463694,,0.00032261840034858506,0.014719577830203409,,0.12839265529951338,0.002623754826937337,0.0006376825140827013,0.014104054556856488,0.02425046871830348,2.820267002735055e-05,,0.005881465386560905,0.0069239569393576145,0.05341585703180195,0.03934121383083112,2.8807012956508063e-05,0.0234763054260527,0.0004173995164047881,0.014185540128471225,,,0.016961488649734725,,,0.0007273267152410653,,0.35365644595189955,,,0.020305720972049343,0.0,0.00012358812901271116,0.004594114223633878,,,0.0004998923262347885,Control
6,,0.0013963699445523543,0.015270536421991159,0.00027680271694071115,,0.00041252011200128676,,0.0044495049252247796,0.0,0.03869728316057049,0.017113558390586155,0.007024084165851518,,4.496904731857876e-05,0.0502660769914654,,0.0558327183849873,0.002655300706196349,0.00035164984750023746,0.00814587958950147,0.011359647248208276,5.226132526213207e-05,,0.005510126239459366,0.0059387501319193335,0.07354292690564947,0.06628670522526152,0.07393346890218198,0.015943451625560167,0.00029614750981874844,0.007873229419723059,,5.398311310991549e-05,0.020468816497725514,,8.983681299905263e-05,0.00242164396708833,,0.47916039142517247,,,0.03397654600850077,0.0,0.00014149044843255517,,,,0.0010133227892395956,Control
7,,,0.03607901895415662,0.0005113198336935277,,,,0.007524862825701981,,,0.09777473648861125,0.004511699173902689,,0.001316355058792166,0.0018913368432761186,,0.003686624097839817,,,0.008823303472268541,0.0014013726083374081,0.004392472181802338,,,5.698200046901348e-05,0.00015029888223176737,,0.07517605970580084,,,,,0.00038288260705910846,0.0018072301960474334,,3.9270010980421374e-05,0.00022468923808385426,0.00012408513778865106,0.7341396978010718,,,0.01998570288208481,,,,,,,Control
8,,,0.0682645785510411,,0.011186906309359044,,,,,,0.07011226186739968,0.021461845274383832,,,,,,,,,,,,0.010188061073854823,,0.033562622826499536,,0.05796088069931993,,,,,,0.0095193919068685,,,,,0.7126251713007554,,,0.005118280190518104,,,,,,,Control
9,,,0.08320548446409078,0.0011628559694148082,,,,,,,0.1731250032811963,0.0018819932389183397,,0.0014203036792609415,0.012429979270916162,,0.009749696211702382,,,0.006595911286144143,0.21854079849577845,,,0.08020142304978818,,0.03923896841611304,0.06783353410889371,,,,,,,0.000567697440182277,0.01918853693375134,,,0.001037867630281666,0.2567420002414961,,,0.027077946282071424,,,,,,,Control
10,,,0.10503743102098727,,,,0.06612476979224334,,,,0.06576776812304184,0.07556802631398067,,,,0.03097926765918963,0.0009847747327798768,0.005649124429453428,,,0.10284772358323033,,,,,0.013172715907902734,0.0202671347262647,,,,,,0.0065608950285955415,,,,,,0.4347713793803001,,,0.07226898930203049,,,,,,,Control
11,1.9575176295147644e-05,0.0028727075727982138,0.055894796948411644,0.00730941118979637,0.00037313918525492775,,0.005725537260389499,0.0004027037556388363,3.945306150207593e-05,0.012510353906070028,0.1793964004479688,0.011442598671249141,,0.00032188047619340716,0.04967473422914317,0.001493263061813866,0.024681875636886928,0.025296980145625182,0.0010311274564954321,0.0073394802750332425,0.10971785410459663,0.00020220955306946332,0.026930901948446447,0.15245026215096272,0.004782498097222232,0.03144318189041917,0.007754191484172713,,0.0,5.418489520873344e-05,0.002594921694754185,5.2166835796862534e-05,0.001674888408882246,0.009291650047106552,0.041952226277736836,0.0007434530873332362,0.000256999866101758,0.0005433624966462375,0.18119045526512206,,,0.042405482421643034,,8.627203985748061e-05,,,,4.6818978355404684e-05,Control
12,,,0.0019673145192195224,5.727100335767672e-05,,,,0.000635334411146008,,0.004547438875072247,0.16579298926153538,0.0068570663226500865,,0.00043049209225823294,0.06834481143900921,,0.07145522286298857,0.0001758532924968521,0.004104320900239569,0.008398131046156389,0.0228218382921403,0.0006441220254178206,2.7574927542585084e-05,0.0038522072769930763,,0.048555609134189694,0.05462754757483059,0.040217274267905875,,0.0010343123004984294,0.001411573671822808,3.070614642104712e-05,0.00033180819405638094,0.05081311693850024,0.00012312760686597517,0.0005524076143970615,0.0016203552660738092,0.00039544264223157724,0.3978920634510194,0.0007675526534655825,,0.041061794301545274,0.00045331968795282734,,,,,0.0,Control
13,,2.5087272604524947e-05,0.09298638383180352,0.00027514415238621265,,,,0.0760879641362141,0.003604408792415975,0.00134227106512503,0.10524110857598216,0.033570951956955135,0.005893979350319185,0.0011752265426607544,0.009156650539085716,,0.0261738778468063,,0.0004242400570521292,0.0013082094836213256,0.07315805624219783,0.00039986664992822086,,0.014313512790276827,0.00033225339083553767,0.06637296881050328,0.06828949366439287,0.036458333864483244,,,9.708570536385265e-05,,,0.038677435701371304,0.018094144375622147,0.000151135520324821,6.934693240275189e-05,1.9478329542537666e-05,0.2998877497522122,,,0.026413634667510524,,,,,,,Control
14,,,0.10885349615625113,,,,0.056698422039945566,,,,0.07175919163045363,0.04606529381164316,,,0.0032538660809525565,0.0315618283948736,0.010763968072976056,0.0038300868587402594,,0.013611442443604875,0.10697970143293276,,,0.007845241160428567,,0.039336552659096524,0.026861262473135795,,,,,,0.007075965929094263,0.013947527442212403,,,,,0.430250802642019,,0.0026707092150134782,0.018634641556626336,,,,,,,Control
15,,0.0024529191997112215,0.024068369003424545,0.02494341146781884,,0.0016057775286805848,0.010002894324058825,0.0010387679990777408,0.004839101336907905,0.0038755530591329215,0.16663825486976158,0.007939155421522735,,0.0016829390634408858,0.0433372905447584,,0.2004932614984995,,,0.008098792927874507,0.05287772666379688,0.00436458344830913,,0.06085040391763933,0.0023181164654743525,0.018477888059155408,0.05501147305151285,,0.004317366721078323,0.00017977104588525643,0.000328473076449809,,0.00016392993610002917,0.02439285625225097,0.011625023966066093,,,0.0007221502047897794,0.24654387864769658,0.00017936224305208927,,0.016630508056073034,,,,,,,Control
16,,,0.02794571574186733,,,,,,,,0.09748367832163991,0.03547325112088696,,,0.0019954905168940848,,,,,,0.00459623914112949,,,,,,0.0045109070033275455,,,,,,0.25396634252320116,0.0074538995413931525,0.11752137295443152,,,,0.42938440134623396,,,0.01966870178899488,,,,,,,Control
17,,,0.052153913003418,,0.0004742110307217373,,,,,,0.24090677368010904,0.022920668441812845,,,0.0018040566509692183,0.006240876709674057,0.00859863016276307,,,0.007183134568437683,0.0869658691341934,0.00170651084715827,,0.0056039090994229645,,0.040469180176183735,0.01317376627809119,,,,,,,0.007309338507514595,,,,,0.23656047007128198,,0.22446349267184448,0.043465198966403794,,,,,,,Control
18,0.00015688802442413255,0.0017605193725210625,0.04427321114628446,0.0001938745794049514,0.0004308323986776697,,,0.00019783742458146766,,0.008081765486138476,0.14847155093770065,0.0030063769291689183,,2.784152765039658e-05,0.09264359775942764,0.0006931930716460053,0.03157432458384537,0.00033003387521346017,0.00042148414851768255,0.008369833847046777,0.1886548010275759,,,0.0752554460161924,0.0002976198338978524,0.015896394562813835,0.008031467835821152,0.012479202683679394,0.0021760084475665794,,0.0013498060339703216,3.6478497906906465e-05,0.0002229354440327376,0.008496136835621382,0.04404326451463174,0.00011451606445984286,0.0001877778945180032,,0.28150731185579636,0.01412815272276931,3.6173663662559066e-05,0.005691763399040014,,8.454069709901443e-05,0.0006770368566955926,,,,Control
19,,,,0.00024718600828973477,0.0008685273279683605,,,,,,0.1844963216757574,0.009636673400166324,,0.0008291371735016601,,,,,,0.002484649094087835,0.00040648593167844224,0.0017117835698243183,,0.004452826760259038,,0.07138273561246475,0.003943107930250984,0.03355836536383817,,,,,,0.004593301259175349,,,,,0.6717341162527257,,,0.009654782640012053,,,,,,,Control
20,,0.0002175854904949814,0.08288811221421427,0.0067051506555906104,0.0002475349021196948,,,,0.002447208634435472,0.0003833122682438148,0.1327321742710032,0.009642605027963507,,0.0016156602056338662,0.00839467937647335,,0.026791658224550638,,,0.012990909047053946,0.08503854026969747,0.004239952273904054,,0.08012713826738835,0.00016602828189270637,0.021445386745395433,0.004630199137456946,0.03766580717885387,0.00046994445891664343,,,,,0.017560304848829845,,,0.00022331406922856747,0.00017336488272694825,0.4408261937152064,,,0.02237723555272544,,,,,,,Control
21,0.0009331833393502088,0.05893736563548423,0.05541767682933538,0.00031270287306243934,0.0011125892772466217,,,0.030435085597695807,,0.06352563057990979,0.1188333793550084,0.010493780262307828,,0.0009424051398962862,0.0588941908420185,0.07826007678196885,0.03602182003761027,,0.0021182895027091657,0.00046779679133737587,0.15678737619339794,,,0.04455837792720122,0.010893985447369981,0.009560177750205524,0.08817801847608699,,0.0023477865844808623,0.002099845901617011,0.01416248498182624,,0.0012310055797132963,0.029781595277180602,,,0.002918595079645442,,0.058840327143374366,,0.00010605070627988899,0.04861869479036385,0.0008279709785745085,,0.01176135866464136,,,0.000620375673099746,Control
22,,,0.035553222603149616,,,,,,,,0.3275813500706468,0.013554716745758207,,,0.009758504998735306,0.00026934259547840617,0.014135322175259405,,,,0.10607845484025859,,,,,0.011340234579174472,0.012354319576812154,0.04638525023243456,,,,,,0.025241552717535157,,,,0.0006901650867597054,0.2952247987980435,0.08294982390462112,,0.0188829410753331,,,,,,,Control
