,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,taxa946234,condition
0,,,,0.06376714487293417,6.540947972273369e-05,0.00014829060678376023,0.05281307717859976,,0.22507303694576383,0.02294627883395099,,0.0039980588999807155,0.0018505750465128016,0.008299687672464272,,,0.004306215079909856,0.2954717639615388,,0.09049112145481165,3.0138591658555088e-05,0.013511043282293555,0.005542880118073393,0.02400768140975228,0.0003343636509365785,,,0.0012529355097473229,0.005026811334818569,0.004815731995412819,0.0008567659063515334,,0.000550138495564495,0.15541139505207316,,0.019429454620344375,,,,Control
1,,0.0006123351327164458,,0.06370679525704452,3.750434749688554e-05,0.008156605889574228,,0.006040322834592736,0.113033385827626,0.0031192295050239903,0.00209139809484991,0.055791019171208156,,0.056708932179284445,0.0027819262539513718,,0.0017116370918940247,0.08865508820185168,0.0008516317398585236,0.00010755963810427548,0.0017918350676735283,0.020389273898141724,0.02076478912590929,0.04411572709430822,0.012341289090468858,0.00042953092321904767,0.002304158607064946,0.0010597926622862059,0.008741933174564929,,,9.399674514156533e-05,,0.45382265420626,0.00018280420949739806,0.030556844030387012,,,,Control
2,,0.001159212318142416,,0.016752938028742483,1.5266008694996294e-05,0.017244463335014268,0.000532100750434805,0.02244605449503106,0.06169757414082753,0.0047806711439593655,0.0010045435458378483,0.0368376824551679,,0.08466618813085902,,0.0010975456777560493,0.009209922785130626,0.04124172509513888,,0.005846981764451311,0.0035663204128330494,0.24368366379387835,0.01266958200563416,0.11416363212896245,0.014995037040660112,3.525242797331381e-05,0.00658286364411077,,0.007118881330987055,0.009120034115512064,,,,0.27821396938221177,,0.0045582092409368865,,0.000759684801111526,,Control
3,,,,0.0808659219162329,0.0033614892309340853,,,,0.06522133672467882,0.08349204703508285,,0.009011277798414735,0.041534064423499384,,0.003991742899856025,,,0.3488674912110594,,0.013795234427473742,,0.027191396812474688,,0.01471372383498928,,,,,0.0008385318525030549,0.0015274755937743126,,,,0.2315486950201065,,0.07403957121892021,,,,Control
4,3.170528870552269e-05,0.0016481685384267084,,0.005256291170026448,,0.0006503129504455452,0.00026042906473450114,0.00296733139725106,0.035270563614686536,0.0023491289149194143,3.160399385342837e-05,0.03025353088530687,,0.025300719092155012,0.012545266137029647,0.000145155523051163,0.00974648937366354,0.011692160892691273,6.928567883251605e-05,0.02111562098302602,0.0004849997518276123,0.032102364525732445,0.01604662399452197,,0.024293949557189557,,0.002059628227633843,,0.0031333536598336527,0.005611127036912858,3.504801882463532e-05,0.0003988991275474388,,0.24755145018775,0.4966294137965614,0.01128971644532053,1.752400941231766e-05,0.000837911016524229,0.0001742271456022333,Control
5,,,,,,0.003682592385183544,,,0.09070664851571303,0.015516598223380086,,,,,,,,0.028637808852433378,,,,0.04556313476471403,,0.058722576171255945,,,,,,0.006379340454860615,,,,0.6673340231185081,0.05277814904110584,0.030679128472845596,,,,Control
6,,,,,,,0.2539282858455324,,0.07023106705975855,0.10044388921160448,,,0.04778383510880916,,,,,0.20332054083351359,,0.017446085567969977,,,,,,,,,0.000656881498026844,,,,,0.0010519177812506836,0.2979817988409785,0.007155698252555868,,,,Control
7,,0.0010277806011072365,,0.0009664211925236143,4.602006760519819e-05,,0.0010584608733629158,0.006274058311935742,0.0598720248044525,0.003282763005019759,,0.12091042020952446,,0.01592298064982836,1.534002253506607e-05,0.00024543990618996217,0.0019788656332500915,,6.136009014026428e-05,0.003712280001032849,0.0005369007887273122,0.04427130685368504,0.007225147887789548,0.062249748744086994,1.534002253506607e-05,,0.00912730432094241,1.534002253506607e-05,0.004249187605326585,0.00013805952125895226,0.001457304412686751,3.068004507013214e-05,,0.1953091432891642,0.4314832869262893,0.02179811249971545,,0.006718921691679229,,Control
8,,,,0.40556772320135864,,,0.04990285659685204,,0.2059766976572129,0.007260930740594324,0.001522360885504847,,,0.0013946474432435004,,,,0.07627094651377689,,0.0009382306182100839,,0.03356417512000588,,,,,,0.004118264104737096,0.05372884739607174,,,,,0.151566815988349,,0.008187503734082916,,,,Control
9,,0.0013625071206220453,,0.014227183769427281,0.0017860742860510248,0.002950392913598295,0.00040888653631232936,0.005219273805105344,0.21035170445205584,0.011639361041125406,,0.0763887926836707,,0.02863384339904122,,0.0014980444781708354,0.004148311572574517,0.12041320801727767,0.0017523708699099835,0.1124598221162644,0.00021131835151008886,0.003966974787570264,0.00826901942702125,0.0837857620642205,,,0.00023954237791040897,0.0007419920786633599,0.014929165964512166,,0.002057252385860693,,0.0030732139515601267,0.21982174407941604,0.0008530272594470367,0.06881121021110126,,,,Control
