,taxa,genus,family,order,class
0,100175,Papillibacter,Ruminococcaceae,Clostridiales,Clostridia
1,1004301,Flavihumibacter,Chitinophagaceae,Chitinophagales,Chitinophagia
2,100883,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
3,101,Flectobacillus,Cytophagaceae,Cytophagales,Cytophagia
4,1011,Sporocytophaga,Cytophagaceae,Cytophagales,Cytophagia
5,1016,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
6,1017280,Pseudoflavonifractor,unclassified Clostridiales,Clostridiales,Clostridia
7,1021,Beggiatoa,Thiotrichaceae,Thiotrichales,Gammaproteobacteria
8,102106,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia
9,104204,Streptomonospora,Nocardiopsaceae,Streptosporangiales,Actinobacteria
10,104264,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
11,1048757,Candidatus Moranella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
12,1051,Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
13,1054211,Sulfuritalea,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria
14,1055688,Sandaracinus,Sandaracinaceae,Sorangiineae,Myxococcales
15,1060,Rhodobacter,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria
16,106589,Cupriavidus,Burkholderiaceae,Burkholderiales,Betaproteobacteria
17,106633,Thioalkalivibrio,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
18,1068,Rhodomicrobium,Hyphomicrobiaceae,Rhizobiales,Alphaproteobacteria
19,107,Spirosoma,Cytophagaceae,Cytophagales,Cytophagia
20,1070,Rhodopila,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria
21,1073,Rhodopseudomonas,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria
22,1077265,Chthonomonas,Chthonomonadaceae,Chthonomonadales,Chthonomonadetes
23,1081,Rhodospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria
24,1082702,Lonsdalea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
25,1082930,Pelagibacterium,Hyphomicrobiaceae,Rhizobiales,Alphaproteobacteria
26,1091,Chlorobium,Chlorobium/Pelodictyon group,Chlorobiaceae,Chlorobiales
27,1096776,Flexivirga,Dermacoccaceae,Micrococcales,Actinobacteria
28,1111,Porphyrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria
29,1115103,Wandonia,Crocinitomicaceae,Flavobacteriales,Flavobacteriia
30,1121829,Fodinicurvata,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria
31,1123044,Ponticaulis,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria
32,1129,Synechococcus,Chroococcales,Oscillatoriophycideae,Cyanobacteria
33,113286,Pseudoramibacter,Eubacteriaceae,Clostridiales,Clostridia
34,1134403,Melioribacter,Melioribacteraceae,Ignavibacteriales,Ignavibacteria
35,114248,Tepidimonas,Burkholderiales Genera incertae sedis,unclassified Burkholderiales,Burkholderiales
36,1143004,Methyloferula,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria
37,114627,Alkaliphilus,Clostridiaceae,Clostridiales,Clostridia
38,1156392,Pseudokineococcus,Kineosporiaceae,Kineosporiales,Actinobacteria
39,1164863,Enteractinococcus,Micrococcaceae,Micrococcales,Actinobacteria
40,1164882,Lachnoanaerobaculum,Lachnospiraceae,Clostridiales,Clostridia
41,117563,Granulicatella,Carnobacteriaceae,Lactobacillales,Bacilli
42,118747,Bulleidia,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
43,118966,Anaerorhabdus,Bacteroidaceae,Bacteroidales,Bacteroidia
44,1190,Fischerella,Stigonematales,Cyanobacteria,Cyanobacteria/Melainabacteria group
45,1195526,Gryllotalpicola,Microbacteriaceae,Micrococcales,Actinobacteria
46,119977,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia
47,1200657,Saccharofermentans,Ruminococcaceae,Clostridiales,Clostridia
48,1203,Scytonema,Scytonemataceae,Nostocales,Cyanobacteria
49,120652,Methylocella,Beijerinckiaceae,Rhizobiales,Alphaproteobacteria
50,120831,Dyadobacter,Cytophagaceae,Cytophagales,Cytophagia
51,120961,Roseiflexus,Roseiflexaceae,Roseiflexineae,Chloroflexales
52,1210119,Ohtaekwangia,Cytophagaceae,Cytophagales,Cytophagia
53,1213720,Stomatobaculum,Lachnospiraceae,Clostridiales,Clostridia
54,1217416,Halioglobus,Halieaceae,Cellvibrionales,Gammaproteobacteria
55,1227,Nitrosococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria
56,123375,Solobacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
57,1234,Nitrospira,Nitrospiraceae,Nitrospirales,Nitrospira
58,1236988,Geofilum,Marinilabiliaceae,Bacteroidales,Bacteroidia
59,1243,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli
60,125287,Ornithinimicrobium,Intrasporangiaceae,Micrococcales,Actinobacteria
61,1253,Pediococcus,Lactobacillaceae,Lactobacillales,Bacilli
62,1257,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia
63,1263,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia
64,1269,Micrococcus,Micrococcaceae,Micrococcales,Actinobacteria
65,1274351,Kroppenstedtia,Thermoactinomycetaceae,Bacillales,Bacilli
66,1279,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli
67,1279384,Eggerthia,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
68,1279388,Kandleria,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
69,1283313,Alloprevotella,Prevotellaceae,Bacteroidales,Bacteroidia
70,12916,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria
71,129337,Geobacillus,Bacillaceae,Bacillales,Bacilli
72,129577,Oceanimonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
73,12960,Azoarcus,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria
74,1298,Deinococcus,Deinococcaceae,Deinococcales,Deinococci
75,1301,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli
76,133,Methylocystis,Methylocystaceae,Rhizobiales,Alphaproteobacteria
77,13334,Anaerobiospirillum,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria
78,1335483,Shimwellia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
79,133925,Olsenella,Atopobiaceae,Coriobacteriales,Coriobacteriia
80,1348911,Coprobacter,Porphyromonadaceae,Bacteroidales,Bacteroidia
81,1350,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli
82,1354333,Cosenzaea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
83,135575,Idiomarina,Idiomarinaceae,Alteromonadales,Gammaproteobacteria
84,1357,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli
85,135858,Catenibacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
86,136099,Knoellia,Intrasporangiaceae,Micrococcales,Actinobacteria
87,13687,Sphingomonas,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria
88,1372,Planococcus,Planococcaceae,Bacillales,Bacilli
89,1375,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli
90,1378,Gemella,Bacillales Family XI. Incertae Sedis,Bacillales incertae sedis,Bacillales
91,1380,Atopobium,Atopobiaceae,Coriobacteriales,Coriobacteriia
92,1386,Bacillus,Bacillaceae,Bacillales,Bacilli
93,1397107,Aliifodinibius,Balneolaceae,Balneolales,Balneolia
94,140458,Thermacetogenium,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia
95,140625,Lachnobacterium,Lachnospiraceae,Clostridiales,Clostridia
96,1408818,Youngiibacter,Clostridiaceae,Clostridiales,Clostridia
97,142577,Prauserella,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
98,1433993,Chryseolinea,unclassified Cytophagales,Cytophagales,Cytophagia
99,146,Spirochaeta,Spirochaetaceae,Spirochaetales,Spirochaetia
100,146918,Salinibacter,Rhodothermaceae,Bacteroidetes Order II. Incertae sedis,Bacteroidetes
101,1471399,Draconibacterium,Prolixibacteraceae,Bacteroidales,Bacteroidia
102,1472344,Basilea,Alcaligenaceae,Burkholderiales,Betaproteobacteria
103,1485,Clostridium,Clostridiaceae,Clostridiales,Clostridia
104,1485594,Methyloligella,unclassified Rhizobiales,Rhizobiales,Alphaproteobacteria
105,1486726,Pseudobacteroides,Ruminococcaceae,Clostridiales,Clostridia
106,150022,Finegoldia,Peptoniphilaceae,Tissierellales,Tissierellia
107,1501226,Romboutsia,Peptostreptococcaceae,Clostridiales,Clostridia
108,150247,Anoxybacillus,Bacillaceae,Bacillales,Bacilli
109,1502725,Effusibacillus,Alicyclobacillaceae,Bacillales,Bacilli
110,150333,Thermobrachium,Clostridiaceae,Clostridiales,Clostridia
111,1505652,Terrisporobacter,Peptostreptococcaceae,Clostridiales,Clostridia
112,1505657,Intestinibacter,Peptostreptococcaceae,Clostridiales,Clostridia
113,1505663,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
114,1505664,Gottschalkia,unclassified Clostridiales,Clostridiales,Clostridia
115,1506553,Lachnoclostridium,Lachnospiraceae,Clostridiales,Clostridia
116,1506577,Tyzzerella,Lachnospiraceae,Clostridiales,Clostridia
117,150818,Heliophilum,Heliobacteriaceae,Clostridiales,Clostridia
118,1508657,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia
119,151037,Anaerosinus,Sporomusaceae,Selenomonadales,Negativicutes
120,1518147,Wenyingzhuangia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
121,1524214,Vulgatibacter,Vulgatibacteraceae,Cystobacterineae,Myxococcales
122,1524217,Labilithrix,Labilitrichaceae,Sorangiineae,Myxococcales
123,153265,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
124,1543705,Nitrospirillum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria
125,1548510,Microbacter,Porphyromonadaceae,Bacteroidales,Bacteroidia
126,1551504,Candidatus Babela,unclassified Deltaproteobacteria,Deltaproteobacteria,delta/epsilon subdivisions
127,155493,Gallibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
128,1562,Desulfotomaculum,Peptococcaceae,Clostridiales,Clostridia
129,156454,Anaeroglobus,Veillonellaceae,Veillonellales,Negativicutes
130,1565532,Rouxiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
131,156973,Dysgonomonas,Porphyromonadaceae,Bacteroidales,Bacteroidia
132,156993,Reichenbachiella,Flammeovirgaceae,Cytophagales,Cytophagia
133,157,Treponema,Spirochaetaceae,Spirochaetales,Spirochaetia
134,157226,Jeotgalibacillus,Planococcaceae,Bacillales,Bacilli
135,1573,Clavibacter,Microbacteriaceae,Micrococcales,Actinobacteria
136,1573534,Faecalitalea,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
137,1573535,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
138,1573536,Faecalicoccus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
139,1573806,Mariniphaga,Prolixibacteraceae,Bacteroidales,Bacteroidia
