i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
1.0,4.991672125256006,4.91,1.0,0.0,True
2.0,3.822231856789223,4.279999999999999,1.0,0.0,True
3.0,1.9742313954719108,1.9299999999999997,1.0,0.0,True
4.0,4.224388231915427,3.8599999999999994,1.0,0.0,True
5.0,7.186511455988772,7.059999999999999,1.0,0.0,True
6.0,2.046941699713976,2.289999999999999,1.0,0.0,True
7.0,4.797171966228682,4.699999999999999,1.0,0.0,True
8.0,4.994564111240114,5.01,1.0,0.0,True
9.0,5.324777174752839,5.789999999999999,1.0,0.0,True
10.0,3.0594612601972706,3.01,1.0,0.0,True
11.0,4.523762107100783,4.529999999999999,1.0,0.0,True
12.0,4.28646673844041,4.66,1.0,0.0,True
13.0,5.0370580350619365,5.130000000000001,1.0,0.0,True
14.0,3.924669765972944,3.9800000000000004,1.0,0.0,True
15.0,5.803117344886235,5.74,1.0,0.0,True
16.0,2.3160843020501503,1.9600000000000009,1.0,0.0,True
17.0,5.939642827350973,5.91,1.0,0.0,True
18.0,6.102152179079133,6.140000000000001,1.0,0.0,True
19.0,5.55293462513464,5.34,1.0,0.0,True
20.0,6.195848149030319,6.100000000000001,1.0,0.0,True
21.0,6.347244338494399,6.52,1.0,0.0,True
22.0,4.064260629769255,3.8499999999999996,1.0,0.0,True
23.0,5.0308521478331985,4.99,1.0,0.0,True
24.0,0.3133551976122533,0.40000000000000036,1.0,0.0,True
25.0,3.598023017089112,3.4700000000000006,1.0,0.0,True
26.0,4.111589592438307,4.0,1.0,0.0,True
27.0,6.540068233763415,6.48,1.0,0.0,True
28.0,5.952398812288981,6.149999999999999,1.0,0.0,True
29.0,4.2273945549920455,4.380000000000001,1.0,0.0,True
30.0,6.923827977032694,6.960000000000001,1.0,0.0,True
31.0,4.437853775721873,4.529999999999999,1.0,0.0,True
32.0,5.0472616546502485,5.029999999999999,1.0,0.0,True
33.0,4.2202169395402365,4.16,1.0,0.0,True
34.0,6.5532961553158975,6.43,1.0,0.0,True
35.0,3.4073775298373903,3.4499999999999993,1.0,0.0,True
36.0,6.420308198963032,6.149999999999999,1.0,0.0,True
37.0,1.3431889875310823,1.3000000000000007,1.0,0.0,True
38.0,5.706465569576531,6.010000000000002,1.0,0.0,True
39.0,3.958332513798158,3.9700000000000006,1.0,0.0,True
40.0,3.6442853869125713,2.99,1.0,0.0,True
41.0,6.70456890948542,7.109999999999999,1.0,0.0,True
42.0,1.692447221570106,1.5500000000000007,1.0,0.0,True
43.0,1.9711953645992004,1.8200000000000003,1.0,0.0,True
44.0,2.1435711916381663,2.24,1.0,0.0,True
45.0,6.751708885809477,6.68,1.0,0.0,True
46.0,6.746933542028124,6.649999999999999,1.0,0.0,True
47.0,4.484872763289727,4.279999999999999,1.0,0.0,True
48.0,5.556441886425752,5.470000000000001,1.0,0.0,True
49.0,3.4618335126511006,3.66,1.0,0.0,True
50.0,6.661141442398044,6.48,1.0,0.0,True
51.0,6.291228716737635,5.880000000000001,1.0,0.0,True
52.0,5.956095562299041,5.369999999999999,1.0,0.0,True
53.0,6.776782382394639,6.48,1.0,0.0,True
54.0,2.4344571832290534,2.369999999999999,1.0,0.0,True
55.0,3.529250669740456,3.49,1.0,0.0,True
56.0,4.989942854190151,5.18,1.0,0.0,True
