i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
1.0,4.212690351118162,3.8900000000000006,1.0,0.0,True
2.0,0.8434413443709374,1.8800000000000008,1.0,0.0,True
3.0,3.0002980697064032,2.7799999999999994,1.0,0.0,True
4.0,0.8750832471585781,0.7400000000000002,0.996,0.0040000000000000036,True
5.0,3.3398793817232995,3.2799999999999994,1.0,0.0,True
6.0,2.0113003060087,1.7200000000000006,1.0,0.0,True
7.0,4.217975768763991,3.8900000000000006,1.0,0.0,True
8.0,0.8795994568768606,0.6899999999999995,0.99,0.010000000000000009,True
9.0,5.91830357605761,6.07,1.0,0.0,True
10.0,-0.04610248793868976,-0.05000000000000071,0.318,0.318,False
11.0,7.064050992170322,7.43,1.0,0.0,True
12.0,2.3906284396188724,2.9800000000000004,1.0,0.0,True
13.0,3.0409633480663985,2.24,1.0,0.0,True
14.0,3.953331876312703,3.91,1.0,0.0,True
15.0,2.5199647797518523,2.76,1.0,0.0,True
16.0,2.0964331994347987,2.17,1.0,0.0,True
17.0,2.780110744073625,2.5700000000000003,1.0,0.0,True
18.0,6.111811153248218,5.77,1.0,0.0,True
19.0,1.668634287018314,2.1799999999999997,1.0,0.0,True
20.0,1.4547139171463783,2.1999999999999993,1.0,0.0,True
21.0,7.630430647767582,6.920000000000002,1.0,0.0,True
22.0,1.2949673490021354,1.67,1.0,0.0,True
23.0,2.334280682513956,2.3000000000000007,1.0,0.0,True
24.0,1.62763159853386,1.0600000000000005,0.976,0.02400000000000002,True
25.0,2.9088087819065223,2.6400000000000006,1.0,0.0,True
26.0,0.9244636375957144,1.0,1.0,0.0,True
27.0,4.439073189084724,4.25,1.0,0.0,True
28.0,3.926143964009235,3.869999999999999,1.0,0.0,True
29.0,4.071672186891711,3.619999999999999,1.0,0.0,True
30.0,4.0252136218978265,4.24,1.0,0.0,True
31.0,4.313745409510815,4.24,1.0,0.0,True
32.0,8.040817334437492,7.510000000000002,1.0,0.0,True
33.0,3.6369325792677434,3.5999999999999996,1.0,0.0,True
34.0,5.92126172090304,5.9,1.0,0.0,True
35.0,3.497529954935011,3.2300000000000004,1.0,0.0,True
36.0,3.3986492926245266,4.24,1.0,0.0,True
37.0,4.9219300056961615,4.640000000000001,1.0,0.0,True
38.0,3.5901186423368614,3.6999999999999993,1.0,0.0,True
39.0,4.099942952662353,3.9800000000000004,1.0,0.0,True
40.0,3.0342739836161456,3.58,1.0,0.0,True
41.0,2.3515170361658453,1.8100000000000005,1.0,0.0,True
42.0,0.05408765499915802,-0.3100000000000005,0.006,0.006,True
43.0,3.9223717223743653,4.17,1.0,0.0,True
44.0,1.996297323872895,1.7400000000000002,1.0,0.0,True
45.0,4.491213226362632,5.470000000000001,1.0,0.0,True
46.0,5.258583826347356,5.98,1.0,0.0,True
47.0,1.5132645012424746,2.1899999999999995,1.0,0.0,True
48.0,4.9420209917246325,4.85,1.0,0.0,True
49.0,3.2618082391852634,3.2200000000000006,1.0,0.0,True
50.0,6.828914964236006,6.420000000000002,1.0,0.0,True
51.0,6.589498684809655,6.190000000000001,1.0,0.0,True
52.0,6.0715231466826785,5.75,1.0,0.0,True
53.0,3.8832517233123203,3.6799999999999997,1.0,0.0,True
54.0,0.034134402296096766,0.16999999999999993,0.816,0.18400000000000005,False
55.0,1.276640395767224,1.5399999999999991,1.0,0.0,True
56.0,1.8999339517921925,2.869999999999999,1.0,0.0,True
57.0,2.8272883723162114,2.5500000000000007,1.0,0.0,True
58.0,0.27363824271829884,-0.35999999999999943,0.16,0.16,False
59.0,2.596735926561124,2.2699999999999996,1.0,0.0,True
60.0,4.03040591694446,4.0,1.0,0.0,True
61.0,-0.014380775983028116,-0.11999999999999922,0.136,0.136,False
62.0,5.625622571311425,5.99,1.0,0.0,True
63.0,4.6892107972584185,4.470000000000001,1.0,0.0,True
64.0,3.5917114636499363,3.66,1.0,0.0,True
65.0,5.070688105525264,4.08,1.0,0.0,True
66.0,3.5000717817042144,3.369999999999999,1.0,0.0,True
67.0,2.7184428461420183,2.33,1.0,0.0,True
68.0,3.714684430823162,3.289999999999999,1.0,0.0,True
69.0,5.366790811547247,4.51,1.0,0.0,True
70.0,2.9312338364211072,3.09,1.0,0.0,True
71.0,2.5775412196059198,2.4800000000000004,1.0,0.0,True
72.0,4.205599818104332,4.050000000000001,1.0,0.0,True
73.0,1.0439426643327394,1.2100000000000009,1.0,0.0,True
74.0,0.8046851728234969,1.0199999999999996,1.0,0.0,True
75.0,5.8593533866029635,3.960000000000001,1.0,0.0,True
76.0,6.9179939113981135,6.620000000000001,1.0,0.0,True
77.0,3.3058905711565103,2.84,1.0,0.0,True
78.0,6.1626327257509175,6.59,1.0,0.0,True
79.0,0.5978027764937295,0.6699999999999999,1.0,0.0,True
80.0,2.0617741201817807,2.08,1.0,0.0,True
81.0,3.4220725906142206,5.1,1.0,0.0,True
82.0,-0.5621157214095192,-0.3800000000000008,0.0,0.0,True
83.0,4.812361247288777,4.859999999999999,1.0,0.0,True
84.0,3.796609348613835,4.1,1.0,0.0,True
85.0,0.550590466488444,0.5199999999999996,1.0,0.0,True
86.0,5.026772640004992,5.16,1.0,0.0,True
87.0,6.8240906767604494,6.550000000000001,1.0,0.0,True
88.0,1.985486602354733,1.9499999999999993,1.0,0.0,True
89.0,3.4663923791320315,3.84,1.0,0.0,True
90.0,7.04881822833088,7.09,1.0,0.0,True
91.0,2.3580613820561003,2.5999999999999996,1.0,0.0,True
92.0,4.4415996968846665,3.9800000000000004,1.0,0.0,True
93.0,3.487607689336216,3.3100000000000005,1.0,0.0,True
94.0,5.508979034128643,4.76,1.0,0.0,True
95.0,6.603563233412046,5.380000000000001,1.0,0.0,True
96.0,0.5915168736579446,0.2599999999999998,0.916,0.08399999999999996,False
97.0,4.1318151463017685,3.8900000000000006,1.0,0.0,True
98.0,0.6400530248460825,1.0099999999999998,1.0,0.0,True
99.0,0.17451567547962554,0.27999999999999936,0.99,0.010000000000000009,True
100.0,4.577352362864623,4.58,1.0,0.0,True
101.0,2.903018985643193,2.8100000000000005,1.0,0.0,True
102.0,5.234563646113855,5.140000000000001,1.0,0.0,True
103.0,0.7391643348204442,0.8399999999999999,1.0,0.0,True
104.0,0.4285558709971369,0.16000000000000014,0.876,0.124,False
105.0,6.082210669263019,8.530000000000001,1.0,0.0,True
106.0,1.313770262485022,1.3399999999999999,1.0,0.0,True
107.0,1.86801913076264,1.9800000000000004,1.0,0.0,True
108.0,3.26137044618136,2.9499999999999993,1.0,0.0,True
109.0,4.217721732756338,4.0600000000000005,1.0,0.0,True
110.0,5.639337499417017,6.25,1.0,0.0,True
111.0,3.648140756412893,3.6999999999999993,1.0,0.0,True
112.0,4.424368891537007,4.09,1.0,0.0,True
113.0,5.288937601566887,5.08,0.998,0.0020000000000000018,True
114.0,4.072876388631961,3.7699999999999996,1.0,0.0,True
115.0,1.3935758107445508,0.9900000000000002,1.0,0.0,True
116.0,4.30446189857372,4.609999999999999,1.0,0.0,True
117.0,1.993212199325633,1.6999999999999993,0.982,0.018000000000000016,True
118.0,7.5024666665113315,7.890000000000001,1.0,0.0,True
