i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test,r,,,0.499316499
3,0.214092393,0.3,0.95,0.05,FALSE,0,,,
16,-0.021203967,-0.03,0.42,0.42,FALSE,0,,,0.365979133
24,0.308696243,0.38,0.946,0.054,FALSE,0,,,
54,-0.265468959,0.01,0.56,0.44,FALSE,0,,,
61,-0.152540634,-0.09,0.278,0.278,FALSE,0,,,
80,-0.254381148,0.2,0.806,0.194,FALSE,0,,,
84,0.197781334,0.27,0.868,0.132,FALSE,0,,,
85,-0.090894833,0.08,0.74,0.26,FALSE,0,,,
91,0.188056926,0.41,1,0,TRUE,0.41,,,
98,0.294488064,-0.03,0.404,0.404,FALSE,0,,,
102,0.431360651,0.42,0.94,0.06,FALSE,0,,,
104,-0.060408163,-0.12,0.19,0.19,FALSE,0,,,
106,0.053482833,0.33,0.98,0.02,TRUE,0.33,,,
109,0.153527014,0.6,0.998,0.002,TRUE,0.6,,,
115,0.432185491,0.22,0.876,0.124,FALSE,0,,,
123,-0.003339547,0.14,0.842,0.158,FALSE,0,,,
133,-0.074955525,-0.14,0.17,0.17,FALSE,0,,,
149,-0.240703566,-0.38,0.05,0.05,TRUE,-0.38,,,
159,0.490318486,0.55,0.992,0.008,TRUE,0.55,,,
184,0.117798722,0.13,0.842,0.158,FALSE,0,,,
185,-0.214378901,-0.01,0.468,0.468,FALSE,0,,,
193,0.245700274,0.06,0.608,0.392,FALSE,0,,,
201,0.231955047,0.42,1,0,TRUE,0.42,,,
207,0.165303002,0.39,0.978,0.022,TRUE,0.39,,,
213,0.170251577,-0.28,0.054,0.054,FALSE,0,,,
230,0.184663593,0.13,0.732,0.268,FALSE,0,,,
232,-0.257981353,-0.28,0.03,0.03,TRUE,-0.28,,,
237,0.325602195,0.26,0.726,0.274,FALSE,0,,,
248,0.345727103,0.27,0.926,0.074,FALSE,0,,,
261,-0.146581131,0.02,0.494,0.494,FALSE,0,,,
296,0.270325157,0.06,0.578,0.422,FALSE,0,,,
311,-0.044357847,-0.09,0.284,0.284,FALSE,0,,,
316,0.358004157,-0.09,0.216,0.216,FALSE,0,,,
319,0.302643679,0.83,0.99,0.01,TRUE,0.83,,,
332,0.182938338,0.23,0.974,0.026,TRUE,0.23,,,
352,-0.139856103,-0.27,0.002,0.002,TRUE,-0.27,,,
385,0.331106009,0.67,0.998,0.002,TRUE,0.67,,,
388,0.407042568,0.32,0.952,0.048,TRUE,0.32,,,
398,0.094406114,-0.02,0.446,0.446,FALSE,0,,,
400,-0.233988234,-0.19,0.024,0.024,TRUE,-0.19,,,
442,0.019156911,-0.09,0.208,0.208,FALSE,0,,,
444,0.219716931,0.26,0.97,0.03,TRUE,0.26,,,
453,-0.088576212,-0.11,0.242,0.242,FALSE,0,,,
455,-0.103203945,0.73,0.972,0.028,TRUE,0.73,,,
467,-0.076858591,0.59,1,0,TRUE,0.59,,,
477,-0.012671655,0.16,0.86,0.14,FALSE,0,,,
494,-0.434316577,0.05,0.68,0.32,FALSE,0,,,
