,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
0,taxa100175,130,70,0.3044496487119438,0.18041237113402062,0.0005646600745155623
1,taxa1004301,0,2,0.0,0.005154639175257732,0
2,taxa100883,143,246,0.33489461358313816,0.634020618556701,7.256805666378799e-05
3,taxa101,1,27,0.00234192037470726,0.06958762886597938,0
4,taxa1011,0,5,0.0,0.01288659793814433,0
5,taxa1016,64,40,0.14988290398126464,0.10309278350515463,1.8601650438602745e-05
6,taxa1017280,76,112,0.17798594847775176,0.28865979381443296,3.784728718453205e-05
7,taxa1021,0,4,0.0,0.010309278350515464,0
8,taxa102106,381,301,0.892271662763466,0.7757731958762887,0.004381220057187657
9,taxa104204,0,1,0.0,0.002577319587628866,0
10,taxa104264,0,6,0.0,0.015463917525773196,0
11,taxa1048757,0,0,0.0,0.0,0
12,taxa1051,0,16,0.0,0.041237113402061855,0
13,taxa1054211,0,24,0.0,0.061855670103092786,0
14,taxa1055688,0,24,0.0,0.061855670103092786,0
15,taxa1060,0,15,0.0,0.03865979381443299,0
16,taxa106589,1,60,0.00234192037470726,0.15463917525773196,0
17,taxa106633,0,10,0.0,0.02577319587628866,0
18,taxa1068,0,1,0.0,0.002577319587628866,0
19,taxa107,0,13,0.0,0.03350515463917526,0
20,taxa1070,0,0,0.0,0.0,0
21,taxa1073,12,27,0.02810304449648712,0.06958762886597938,1.3540928644894146e-05
22,taxa1077265,6,24,0.01405152224824356,0.061855670103092786,4.883087516998548e-06
23,taxa1081,0,2,0.0,0.005154639175257732,0
24,taxa1082702,0,14,0.0,0.03608247422680412,0
25,taxa1082930,0,2,0.0,0.005154639175257732,0
26,taxa1091,0,17,0.0,0.04381443298969072,0
27,taxa1096776,0,4,0.0,0.010309278350515464,0
28,taxa1111,0,3,0.0,0.007731958762886598,0
29,taxa1115103,1,8,0.00234192037470726,0.020618556701030927,0
30,taxa1121829,2,6,0.00468384074941452,0.015463917525773196,1.227291288657881e-05
31,taxa1123044,12,0,0.02810304449648712,0.0,2.680035073616719e-05
32,taxa1129,26,56,0.06088992974238876,0.14432989690721648,2.2935874170954475e-05
33,taxa113286,1,5,0.00234192037470726,0.01288659793814433,0
34,taxa1134403,9,14,0.02107728337236534,0.03608247422680412,5.171788074068457e-06
35,taxa114248,0,17,0.0,0.04381443298969072,0
36,taxa1143004,0,0,0.0,0.0,0
37,taxa114627,90,64,0.2107728337236534,0.16494845360824742,3.3674328616855525e-05
38,taxa1156392,0,0,0.0,0.0,0
39,taxa1164863,0,8,0.0,0.020618556701030927,0
40,taxa1164882,35,33,0.08196721311475409,0.08505154639175258,2.1272073818233416e-05
41,taxa117563,137,227,0.32084309133489464,0.5850515463917526,3.760210350137727e-05
42,taxa118747,3,41,0.00702576112412178,0.1056701030927835,6.127951776864221e-06
43,taxa118966,72,20,0.1686182669789227,0.05154639175257732,2.4478451400882634e-05
44,taxa1190,0,2,0.0,0.005154639175257732,0
45,taxa1195526,0,0,0.0,0.0,0
46,taxa119977,46,23,0.10772833723653395,0.059278350515463915,5.85184584525056e-05
47,taxa1200657,0,52,0.0,0.13402061855670103,0
48,taxa1203,0,8,0.0,0.020618556701030927,0
49,taxa120652,0,0,0.0,0.0,0
50,taxa120831,1,6,0.00234192037470726,0.015463917525773196,0
51,taxa120961,13,41,0.03044496487119438,0.1056701030927835,5.049796153382804e-06
52,taxa1210119,5,25,0.0117096018735363,0.06443298969072164,9.5035372257764e-06
53,taxa1213720,1,4,0.00234192037470726,0.010309278350515464,0
54,taxa1217416,0,53,0.0,0.13659793814432988,0
55,taxa1227,0,14,0.0,0.03608247422680412,0
56,taxa123375,77,109,0.18032786885245902,0.2809278350515464,1.942443841233292e-05
57,taxa1234,1,47,0.00234192037470726,0.1211340206185567,0
58,taxa1236988,70,24,0.16393442622950818,0.061855670103092786,3.250149656758816e-05
59,taxa1243,63,105,0.14754098360655737,0.2706185567010309,2.8282394202074816e-05
60,taxa125287,2,4,0.00468384074941452,0.010309278350515464,6.9600201404259695e-06
61,taxa1253,43,57,0.10070257611241218,0.14690721649484537,3.983167737870034e-05
62,taxa1257,27,71,0.06323185011709602,0.18298969072164947,9.66407839572468e-06
63,taxa1263,408,355,0.955503512880562,0.9149484536082474,0.030020269367458503
64,taxa1269,13,55,0.03044496487119438,0.14175257731958762,6.974862878830457e-06
65,taxa1274351,0,6,0.0,0.015463917525773196,0
66,taxa1279,62,81,0.1451990632318501,0.20876288659793815,2.1439310531994225e-05
67,taxa1279384,0,6,0.0,0.015463917525773196,0
68,taxa1279388,3,94,0.00702576112412178,0.2422680412371134,3.337680323752273e-05
69,taxa1283313,4,50,0.00936768149882904,0.12886597938144329,8.437096042375204e-05
70,taxa12916,4,59,0.00936768149882904,0.15206185567010308,2.810920505913638e-05
71,taxa129337,28,40,0.06557377049180328,0.10309278350515463,7.397364175748545e-06
72,taxa129577,0,7,0.0,0.01804123711340206,0
73,taxa12960,0,6,0.0,0.015463917525773196,0
74,taxa1298,4,53,0.00936768149882904,0.13659793814432988,4.358596263805999e-05
75,taxa1301,336,376,0.7868852459016393,0.9690721649484536,0.0015731972938730929
76,taxa133,0,8,0.0,0.020618556701030927,0
77,taxa13334,14,61,0.03278688524590164,0.15721649484536082,5.890523728378861e-06
78,taxa1335483,13,1,0.03044496487119438,0.002577319587628866,4.7454132968945476e-06
79,taxa133925,76,142,0.17798594847775176,0.36597938144329895,1.8498362147977234e-05
80,taxa1348911,37,52,0.08665105386416862,0.13402061855670103,0.0008897165151428785
81,taxa1350,177,156,0.41451990632318503,0.4020618556701031,9.148873061077383e-05
82,taxa1354333,0,2,0.0,0.005154639175257732,0
83,taxa135575,1,22,0.00234192037470726,0.05670103092783505,0
84,taxa1357,203,111,0.47540983606557374,0.2860824742268041,0.00014890434255624845
85,taxa135858,10,21,0.0234192037470726,0.05412371134020619,0.003023294046105042
86,taxa136099,0,1,0.0,0.002577319587628866,0
87,taxa13687,7,53,0.01639344262295082,0.13659793814432988,1.9151090508777207e-05
88,taxa1372,3,60,0.00702576112412178,0.15463917525773196,1.0941520617950076e-05
89,taxa1375,48,28,0.11241217798594848,0.07216494845360824,2.2786442438786913e-05
90,taxa1378,149,154,0.34894613583138173,0.39690721649484534,3.517523718956414e-05
91,taxa1380,82,99,0.1920374707259953,0.2551546391752577,1.8731383494632474e-05
92,taxa1386,185,117,0.4332552693208431,0.3015463917525773,7.334064126478773e-05
93,taxa1397107,0,3,0.0,0.007731958762886598,0
94,taxa140458,1,24,0.00234192037470726,0.061855670103092786,0
95,taxa140625,12,11,0.02810304449648712,0.028350515463917526,1.020376051001307e-05
96,taxa1408818,0,10,0.0,0.02577319587628866,0
97,taxa142577,0,2,0.0,0.005154639175257732,0
98,taxa1433993,3,25,0.00702576112412178,0.06443298969072164,4.640006433468291e-06
99,taxa146,0,14,0.0,0.03608247422680412,0
100,taxa146918,0,66,0.0,0.17010309278350516,0
101,taxa1471399,0,6,0.0,0.015463917525773196,0
102,taxa1472344,0,5,0.0,0.01288659793814433,0
103,taxa1485,304,378,0.711943793911007,0.9742268041237113,0.0026700351330684324
104,taxa1485594,0,23,0.0,0.059278350515463915,0
105,taxa1486726,127,51,0.297423887587822,0.13144329896907217,4.494857836670351e-05
106,taxa150022,34,37,0.07962529274004684,0.09536082474226804,1.2794354126071244e-05
107,taxa1501226,103,9,0.24121779859484777,0.023195876288659795,3.0222429885724707e-05
108,taxa150247,9,52,0.02107728337236534,0.13402061855670103,7.895024396926024e-06
109,taxa1502725,16,14,0.03747072599531616,0.03608247422680412,1.037699498066788e-05
110,taxa150333,57,50,0.13348946135831383,0.12886597938144329,2.188301483643912e-05
111,taxa1505652,66,54,0.15456674473067916,0.13917525773195877,3.13892166291249e-05
112,taxa1505657,126,77,0.29508196721311475,0.19845360824742267,7.113738410708942e-05
113,taxa1505663,203,126,0.47540983606557374,0.3247422680412371,0.0012649196039655043
