item,value,type
qml_loads_delta,-0.009999999999999787,qml_loads_delta
taxa100175,-3.450996520126024,logged_relative_abundance_diff
taxa100175,-3.4609965201260238,qml_logged_loads_diff
taxa100175,2.032517788669652e-12,qml_diff_pvalue
taxa100175,2.187316702845251e-12,mwu_diff_pvalue
taxa100175,2.187316702845251e-12,mwu_logged_pvalue
taxa100883,1.5680119453770889,logged_relative_abundance_diff
taxa100883,1.558011945377089,qml_logged_loads_diff
taxa100883,2.501593056020194e-05,qml_diff_pvalue
taxa100883,2.2831671167095248e-05,mwu_diff_pvalue
taxa100883,2.2831671167095248e-05,mwu_logged_pvalue
taxa1017280,-0.2778465216919592,logged_relative_abundance_diff
taxa1017280,-0.287846521691959,qml_logged_loads_diff
taxa1017280,0.5272177557589744,qml_diff_pvalue
taxa1017280,0.5415904306140342,mwu_diff_pvalue
taxa1017280,0.5415904306140342,mwu_logged_pvalue
taxa102106,-0.778324826699972,logged_relative_abundance_diff
taxa102106,-0.7883248266999718,qml_logged_loads_diff
taxa102106,0.000545525204072346,qml_diff_pvalue
taxa102106,0.000659997448685149,mwu_diff_pvalue
taxa102106,0.000659997448685149,mwu_logged_pvalue
taxa114627,-1.4541019093363676,logged_relative_abundance_diff
taxa114627,-1.4641019093363674,qml_logged_loads_diff
taxa114627,3.05831629289183e-07,qml_diff_pvalue
taxa114627,3.7121530705810893e-07,mwu_diff_pvalue
taxa114627,3.7121530705810893e-07,mwu_logged_pvalue
taxa117563,0.30512167495915676,logged_relative_abundance_diff
taxa117563,0.295121674959157,qml_logged_loads_diff
taxa117563,0.051243202230551774,qml_diff_pvalue
taxa117563,0.04675548158325507,mwu_diff_pvalue
taxa117563,0.04675548158325507,mwu_logged_pvalue
taxa123375,1.8017261336595354,logged_relative_abundance_diff
taxa123375,1.7917261336595356,qml_logged_loads_diff
taxa123375,7.526595980498834e-08,qml_diff_pvalue
taxa123375,6.969734053797115e-08,mwu_diff_pvalue
taxa123375,6.969734053797115e-08,mwu_logged_pvalue
taxa1243,1.3028066053503018,logged_relative_abundance_diff
taxa1243,1.292806605350302,qml_logged_loads_diff
taxa1243,0.005632101477079194,qml_diff_pvalue
taxa1243,0.005355305762405776,mwu_diff_pvalue
taxa1243,0.005355305762405776,mwu_logged_pvalue
taxa1263,-1.2740920594325207,logged_relative_abundance_diff
taxa1263,-1.2840920594325205,qml_logged_loads_diff
taxa1263,7.019234429471668e-07,qml_diff_pvalue
taxa1263,9.287397035290268e-07,mwu_diff_pvalue
taxa1263,9.287397035290268e-07,mwu_logged_pvalue
taxa1279,2.012636927148927,logged_relative_abundance_diff
taxa1279,2.0026369271489273,qml_logged_loads_diff
taxa1279,2.2748836662771647e-06,qml_diff_pvalue
taxa1279,1.8979770548148832e-06,mwu_diff_pvalue
taxa1279,1.8979770548148832e-06,mwu_logged_pvalue
taxa1301,0.602437338832944,logged_relative_abundance_diff
taxa1301,0.5924373388329442,qml_logged_loads_diff
taxa1301,0.0004734627478395861,qml_diff_pvalue
taxa1301,0.0003782221101807083,mwu_diff_pvalue
taxa1301,0.0003782221101807083,mwu_logged_pvalue
taxa133925,2.460138977418959,logged_relative_abundance_diff
taxa133925,2.450138977418959,qml_logged_loads_diff
taxa133925,3.2989879645721926e-11,qml_diff_pvalue
taxa133925,2.78802846641548e-11,mwu_diff_pvalue
taxa133925,2.78802846641548e-11,mwu_logged_pvalue
taxa1350,0.3902280665139273,logged_relative_abundance_diff
taxa1350,0.3802280665139275,qml_logged_loads_diff
taxa1350,0.035777786187104886,qml_diff_pvalue
taxa1350,0.03343499738625999,mwu_diff_pvalue
taxa1350,0.03343499738625999,mwu_logged_pvalue
taxa1357,-0.1309940320447538,logged_relative_abundance_diff
taxa1357,-0.14099403204475358,qml_logged_loads_diff
taxa1357,0.9626655439573492,qml_diff_pvalue
taxa1357,0.9450588010417507,mwu_diff_pvalue
taxa1357,0.9450588010417507,mwu_logged_pvalue
taxa1378,-0.08171632071465851,logged_relative_abundance_diff
taxa1378,-0.0917163207146583,qml_logged_loads_diff
taxa1378,0.9430141310019283,qml_diff_pvalue
taxa1378,0.9159127852972236,mwu_diff_pvalue
taxa1378,0.9159127852972236,mwu_logged_pvalue
taxa1380,0.8098289136000538,logged_relative_abundance_diff
taxa1380,0.799828913600054,qml_logged_loads_diff
taxa1380,0.027496111115612357,qml_diff_pvalue
taxa1380,0.02593385190621371,mwu_diff_pvalue
taxa1380,0.02593385190621371,mwu_logged_pvalue
taxa1386,2.667026347483917,logged_relative_abundance_diff
taxa1386,2.6570263474839173,qml_logged_loads_diff
taxa1386,3.878652309651441e-22,qml_diff_pvalue
taxa1386,2.937047189971966e-22,mwu_diff_pvalue
taxa1386,2.937047189971966e-22,mwu_logged_pvalue
