,taxa100175,taxa100883,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa150022,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1573535,taxa1578,taxa162289,taxa1654,taxa1663,taxa1678,taxa1716,taxa1730,taxa189330,taxa2005359,taxa2039240,taxa2048137,taxa2057233,taxa207244,taxa2147,taxa216851,taxa239759,taxa239934,taxa244127,taxa253238,taxa264995,taxa283168,taxa28453,taxa286,taxa29465,taxa32207,taxa33042,taxa346096,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa44748,taxa459786,taxa469,taxa52784,taxa55080,taxa561,taxa572511,taxa577309,taxa577310,taxa590,taxa61170,taxa620,taxa644652,taxa698776,taxa724,taxa79206,taxa795750,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84111,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,condition
2632,,,,0.0035871043317477615,,,,0.006649217287518328,,0.00030806157913832935,,,,,,,,,,,,,,,,,,0.014606818996754986,,0.0819181145312764,0.0051110361545407875,,,,,,,0.039371163054218415,0.18454664437252208,0.004888789450916657,4.444934072482626e-05,,,0.021586109857502644,,,0.0006440900879671595,,0.000631542187953931,,0.017748579216168844,0.05972460124262492,,,,,,,0.014609902802690441,,,,0.0006695049024007324,0.006135178739518782,,9.804376112031056e-05,,,,,,,,,0.5083760422732372,,,,0.028745005829456605,,,,,,,,H2029
2633,,,,0.0012344612026830909,,,,0.005467233777675348,,,,,,,,,,,,,,,,,,,,0.005802226191408337,,0.02815524442257945,0.00032071122299685373,,,,,,,0.05056551053040834,0.23271938986813534,0.1105607928129169,,,,0.015122180511296176,,,0.0084765022704631,,0.025505344858746715,,0.0004949171272350679,0.14124959434031487,0.012135195600605326,,,,,,0.004310211100621823,,,,0.0005288965120900129,0.003043247877642698,,6.623517772449416e-05,,,,,,,,,0.32838613188039456,,,,0.019808134664734273,,,,0.006047838049327232,,,,H2029
2634,,,,,,,,0.0005756414851591909,,,,,,,,,,,,,,,,,,,,0.0006952201896268697,,0.002989883537620552,0.0002465400941677098,,,,,,,0.016525257050022474,0.15681967229819976,,0.00029936268709778005,,,0.0018242511227660489,,,,,,,,0.03442161392361956,,0.03371942697468893,,,,,0.008135823107534424,,,,0.00037651694684996933,0.0021897460325085625,,0.010427159048099441,,0.0005721061147662335,,,,,,,0.7276894472417197,,,,0.0019332237160548551,0.0005591084294980076,,,,,,,H2029
2635,,0.0007112105254538836,,,,,,0.0008627954699196264,,,,,,,,0.025982856204674113,,,,,,,,,,,,0.004360796522196278,,0.020811752074215317,0.001644024802824099,,,,,,,0.019175915377809726,0.12482873210741284,,3.285740139735285e-05,,,0.005435328026040698,,,,,,,,0.02501340539986723,,0.06417753830249216,,,,,0.014076194739204613,,,,0.0004033167289732576,0.02225884242010193,,0.007834338230940712,,0.0008675193774687665,,,,,,,0.649902603523909,,,,0.01054838058150672,0.0010715921835916227,,,,,,,H2029
2636,,,,,,,,0.0007151177454946143,,,,,,,,0.0016223873823275397,,,,,,,,,,,,0.002931859318482091,,0.00892323346783966,0.0020145089079065775,,,,,,,0.018443392752293997,0.16168223837614784,,,,,0.006523803587027321,,,8.085192001708383e-05,,,,,0.015993353272692336,,0.0634539446479115,,,,,0.012423216392243322,,,,0.002707304940114033,0.008297196845417302,,0.006140116994579837,,0.00042977012955645834,,,,,,,0.6859894526304442,,,,0.000907475366909305,0.0007207753225950465,,,,,,,H2029
2637,,,,0.005755794587701826,,,,0.007738803991963462,,,,,,,,,,,,,,,,,,,,0.027722944421009674,,0.07244774528114703,0.0008135856300846285,,,,,,,0.049091925829817924,0.2130051634817276,,,,,0.017423119254649712,,,0.00591704782261964,,0.002943209358272932,,0.014882817769656059,0.06683361030903641,0.015652824487790134,,0.020976095559207524,,,,0.02771292239733112,,,,0.018025116317408524,0.0676055313463001,0.03790396919432614,0.0012789903925953235,,0.001203881518510002,,,,,,,0.28135761710959883,,,,0.04143127110114564,,,,0.002276012838099725,,,,H2029
2638,,,,0.0020513930538093813,,,,0.0027902970689866915,,,,,,,,7.136440947029331e-05,,,,,,,,,,,,0.004829060162558884,,0.002412938500924349,0.00020290082462345266,,,,,,,0.01398413841286375,0.18424544920969313,,,,,0.008685613386854247,,,,,,,0.011922169050888269,0.030511930280976575,0.019649240333562388,,0.05766644747353562,,,,0.012282379624157031,,,,,0.018153154799775088,,0.00025978698699257856,,0.0005368246513822927,,,,0.00027724302959682303,,,0.5631781415845241,,,,0.02806192336016909,,,,,0.030507822976834395,0.00771978081782176,,H2029
2639,,,0.00010576908476773338,0.0004671727913241479,,,,0.002431024932591709,,,,,,,,0.0028123968439420317,,,,,,,,,,,,,,0.04274755841895915,0.001011306371958151,,,,,,,0.01097720858225122,0.03760813770906036,,0.003127728077979168,,,,,,,,,,,0.45388457504020163,,0.012971637037109456,,,,,0.018876921601707952,,,,0.0012731810577449286,0.00956061005361671,,,,0.004501166163960178,,,,,,,0.39461540717561605,,,,0.003028199057209531,,,,,,,,H2029
2640,,,,,,,,0.0025153307249280014,,0.0023871952083002338,,,,,,,,,,,,,,,,,,0.005308305950552325,,0.07394630121617135,0.003615274638001372,,,,,,,0.03715940511006967,0.07712347241564509,,,,,,,,0.005159744558636319,,0.014422141985734105,,0.0035513648117129126,0.04772168839442829,0.011557781484617894,0.04857304729948344,,,,,0.004459789821954805,,,,,0.009996781345321847,,0.014161027703698882,,,,,,0.02776518708575088,,,0.5649123261418458,,,,0.045663834103146665,,,,,,,,H2029
2641,,,,0.005282971779909177,,,,0.01318690724737968,,,,,,,,6.816671247208491e-05,,,,,,,,,,,,0.011086629991394084,,0.016425290159707076,0.00046767933594690634,,,,,,,0.017509048074032557,0.3749107309977554,,6.775420589131587e-05,,,0.0241237973499546,,,7.68293506682349e-05,,,,0.005810567696712786,0.08009423712837668,,,0.0034204014410917395,,,,0.032408476391474934,,,,0.0011137677680764253,0.002184944231688446,0.009630481761279347,,,9.37421204797658e-05,,,,,,,0.3872188961014519,,,,0.014818680154256834,,,,,,,,H2029
2642,,,,0.0072188745694534324,,,,0.04965252744268478,,2.30597276978648e-05,,,,,,0.0016989120313217602,,,,,,,,,,,,0.06014792118163623,,0.036115287484016385,0.0017395615047984612,,,,,,,0.009124680622771384,0.05310301348811737,0.07656087006604949,0.0019024811623475615,,,0.0009431964901163863,,,0.0003752836614643206,,0.0011389360391796572,,0.007370317990427318,0.05206221535983794,0.054950151303990065,0.19585967415639471,,,,,0.05619526934512734,,,,0.0004150750985615664,0.0013600949159842952,,,,0.0016195436662221323,,0.0002766094778269456,,,,,0.32516361144938,,,4.0327709834405415e-05,0.004942504054758166,,,,,,,,H2029
