,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa100883,143,341,0.33489461358313816,0.3326829268292683,7.256805666378799e-05,-11.661542479171041,-13.35224380477263,1.69070132560159,1.2332864361066473,2.145055391104111,0
1,taxa1016,64,143,0.14988290398126464,0.13951219512195123,1.8601650438602745e-05,-13.305996310810558,-15.636826410505288,2.3308300996947278,1.825102885193749,2.855224084606989,1
2,taxa1017280,76,155,0.17798594847775176,0.15121951219512195,3.784728718453205e-05,-13.864427391237205,-14.559600321925583,0.6951729306883803,0.19836586924448865,1.19067072466664,2
3,taxa102106,381,515,0.892271662763466,0.5024390243902439,0.004381220057187657,-9.579740450985513,-8.296058680601421,-1.283681770384093,-1.6060044123219621,-0.9588679779663264,3
4,taxa114627,90,104,0.2107728337236534,0.10146341463414635,3.3674328616855525e-05,-15.726308484902539,-14.810647050329168,-0.9156614345733715,-1.3762141928171632,-0.4552454633459827,4
5,taxa117563,137,680,0.32084309133489464,0.6634146341463415,3.760210350137727e-05,-11.608567683917325,-14.253729320007917,2.6451616360905907,2.2964583464304704,3.0047056456440004,5
6,taxa118966,72,54,0.1686182669789227,0.05268292682926829,2.4478451400882634e-05,-13.03026632042013,-15.31980195666801,2.2895356362478805,1.5908310147825129,2.958829823288414,6
7,taxa123375,77,193,0.18032786885245902,0.18829268292682927,1.942443841233292e-05,-12.393016866424064,-15.581753139584961,3.1887362731608975,2.7081790488942987,3.6869300069547126,7
8,taxa1236988,70,76,0.16393442622950818,0.07414634146341463,3.250149656758816e-05,-12.0360637372233,-14.930407263303831,2.89434352608053,2.167734757253729,3.600268175948801,8
9,taxa1243,63,180,0.14754098360655737,0.17560975609756097,2.8282394202074816e-05,-13.825438649371415,-14.851511800673542,1.0260731513021248,0.49208748976535227,1.5727327960809525,9
10,taxa1263,408,660,0.955503512880562,0.6439024390243903,0.030020269367458503,-8.528104684147321,-5.20602950395088,-3.3220751801964403,-3.6397718779023385,-2.9797241051479237,10
11,taxa1279,62,333,0.1451990632318501,0.3248780487804878,2.1439310531994225e-05,-12.811316029346406,-15.523206932468664,2.7118909031222587,2.2308002087180245,3.1628350551649516,11
12,taxa1301,336,961,0.7868852459016393,0.937560975609756,0.0015731972938730929,-6.993056776365662,-9.305213340676683,2.3121565643110236,2.036370111858436,2.5558609991119416,12
13,taxa133925,76,161,0.17798594847775176,0.15707317073170732,1.8498362147977234e-05,-13.81551201007589,-15.353608633560354,1.5380966234844615,0.9545796379771606,2.104203581967381,13
14,taxa1350,177,517,0.41451990632318503,0.504390243902439,9.148873061077383e-05,-11.965735110281068,-12.567319306788551,0.6015841965074846,0.111261369718474,1.071602564484112,14
15,taxa1357,203,458,0.47540983606557374,0.44682926829268294,0.00014890434255624845,-11.854195121657266,-12.290460250973668,0.43626512931640277,0.04551432589035294,0.8191916422323979,15
16,taxa1378,149,547,0.34894613583138173,0.5336585365853659,3.517523718956414e-05,-11.718636462901427,-14.50014192255308,2.7815054596516537,2.4790361744169473,3.074368013737631,16
17,taxa1380,82,429,0.1920374707259953,0.41853658536585364,1.8731383494632474e-05,-12.366364764570783,-15.616690654629538,3.2503258900587553,2.9529533802826804,3.5677188402843387,17
18,taxa1386,185,409,0.4332552693208431,0.39902439024390246,7.334064126478773e-05,-12.07820809936501,-13.558392028120396,1.4801839287553844,1.1831539318760675,1.7664705376520713,18
19,taxa1485,304,977,0.711943793911007,0.953170731707317,0.0026700351330684324,-6.397179179733493,-8.659611904099668,2.2624327243661737,2.013456254214455,2.5143927488437203,19
20,taxa1505652,66,265,0.15456674473067916,0.25853658536585367,3.13892166291249e-05,-13.202096111759868,-14.99049369889517,1.788397587135304,1.3744621265120667,2.1713426856536393,20
21,taxa1505657,126,469,0.29508196721311475,0.4575609756097561,7.113738410708942e-05,-9.961627104119103,-13.248331614456985,3.2867045103378842,2.881048241744848,3.6895024952963005,21
