,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa100175,130,54,0.3044496487119438,0.10953346855983773,0.0005646600745155623,-14.320768094692143,-12.064700741175361,-2.2560673535167797,-2.9230992492028687,-1.55997982149348,0
1,taxa100883,143,155,0.33489461358313816,0.3144016227180527,7.256805666378799e-05,-10.842657567856193,-13.30734538571391,2.464687817857719,1.9068032369723493,3.026770933339622,1
2,taxa1017280,76,143,0.17798594847775176,0.29006085192697767,3.784728718453205e-05,-13.996536359518647,-14.51365111968155,0.5171147601629029,0.04333251916495958,1.0229771361832893,2
3,taxa102106,381,354,0.892271662763466,0.718052738336714,0.004381220057187657,-7.582976064424187,-8.272408848707153,0.6894327842829653,0.3939692284197231,0.9716209939664215,3
4,taxa117563,137,139,0.32084309133489464,0.281947261663286,3.760210350137727e-05,-12.555208134451151,-14.225466426997285,1.6702582925461338,1.181045304112044,2.1176712228225107,4
5,taxa123375,77,117,0.18032786885245902,0.23732251521298176,1.942443841233292e-05,-11.4643725936831,-15.562793698778703,4.098421105095602,3.5722681457743204,4.609676368356153,5
6,taxa1243,63,56,0.14754098360655737,0.11359026369168357,2.8282394202074816e-05,-13.807739779682178,-14.797612995975502,0.9898732162933214,0.2848595709438394,1.7038525972513994,6
7,taxa1263,408,419,0.955503512880562,0.8498985801217038,0.030020269367458503,-5.372432237488684,-5.184106730716118,-0.1883255067725654,-0.4569438236921789,0.08031463205075048,7
8,taxa1279,62,55,0.1451990632318501,0.11156186612576065,2.1439310531994225e-05,-14.283781455480796,-15.460245212350932,1.1764637568701397,0.380921592961629,1.9571568848536158,8
9,taxa1301,336,350,0.7868852459016393,0.7099391480730223,0.0015731972938730929,-8.260398176372732,-9.278545837758669,1.0181476613859382,0.7217831060612752,1.3180304499141808,9
10,taxa133925,76,95,0.17798594847775176,0.1926977687626775,1.8498362147977234e-05,-12.750050927674746,-15.336503433132384,2.586452505457638,1.9746164699283235,3.2009550677493537,10
11,taxa1350,177,94,0.41451990632318503,0.19066937119675456,9.148873061077383e-05,-11.07426246908639,-12.52634960548627,1.4520871363998793,0.8075429783729825,2.105074233565514,11
12,taxa1357,203,148,0.47540983606557374,0.3002028397565923,0.00014890434255624845,-11.793160283047516,-12.248386032283118,0.45522574923560183,-0.02501897983175611,0.9227808934870221,12
13,taxa1378,149,143,0.34894613583138173,0.29006085192697767,3.517523718956414e-05,-11.41586971322697,-14.446553468094466,3.030683754867496,2.616178154624766,3.476746488908308,13
14,taxa1380,82,68,0.1920374707259953,0.13793103448275862,1.8731383494632474e-05,-14.116522619599369,-15.569349767548635,1.452827147949266,0.9534697980141501,1.9586323077786563,14
15,taxa1386,185,69,0.4332552693208431,0.13995943204868155,7.334064126478773e-05,-11.395815380620785,-13.51705454310563,2.1212391624848417,1.7555975870214622,2.5085826350493523,15
16,taxa1485,304,351,0.711943793911007,0.7119675456389453,0.0026700351330684324,-8.047023465046564,-8.630270688006421,0.5832472229598584,0.32415329316150027,0.8423430327500968,16
17,taxa1505657,126,65,0.29508196721311475,0.13184584178498987,7.113738410708942e-05,-10.935149258621266,-13.215257881263339,2.2801086226420724,1.5205101302047144,3.0622772793490425,17
18,taxa1505663,203,71,0.47540983606557374,0.1440162271805274,0.0012649196039655043,-8.127413907414768,-9.934264021105465,1.806850113690695,1.2014248788251352,2.3409574942815556,18
19,taxa1506553,205,71,0.48009367681498827,0.1440162271805274,0.001857412869186636,-6.3271859259689425,-9.098494251073376,2.7713083251044326,2.278677894042592,3.2415980644814284,19
20,taxa1506577,77,63,0.18032786885245902,0.12778904665314403,3.329787182575071e-05,-13.672571962054128,-13.314982618852659,-0.3575893432014673,-1.2304181730493602,0.6197633091693435,20
21,taxa1508657,205,71,0.48009367681498827,0.1440162271805274,0.03435303867395901,-6.267987491833731,-4.845584196967047,-1.422403294866684,-1.7750560040729733,-1.0419723092510749,21
22,taxa1573535,147,59,0.3442622950819672,0.11967545638945233,0.00010548525758982052,-12.094527878903977,-11.9303104411241,-0.164217437779877,-1.287660356061611,0.9016556670448559,22
