item,logged_relative_abundance_diff,ancomP,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,qml_logged_loads_diff,taxa,genus,family,order,class,taxaName
taxa1263,-4.1500979646366165,1.0,2.62934444665592e-34,2.62934444665592e-34,2.501630795788893e-26,-3.300097964636617,1263,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Ruminococcus
taxa33042,-4.066493308469599,1.0,8.799349561714661e-33,8.799349561714661e-33,2.1915335455820666e-24,-3.216493308469598,33042,Coprococcus,Lachnospiraceae,Clostridiales,Clostridia,Coprococcus
taxa397864,-3.454175433146922,1.0,3.3165299614313555e-22,3.3165299614313555e-22,1.727206146114954e-16,-2.6041754331469225,397864,Barnesiella,Porphyromonadaceae,Bacteroidales,Bacteroidia,Barnesiella
taxa572511,-3.422966332968985,1.0,6.7962305093266974e-40,6.7962305093266974e-40,9.122935045364186e-27,-2.572966332968985,572511,Blautia,Lachnospiraceae,Clostridiales,Clostridia,Blautia
taxa1301,-3.1154486266969776,1.0,6.6811885287968935e-15,6.6811885287968935e-15,1.8417937160831213e-09,-2.265448626696978,1301,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Streptococcus
taxa189330,-2.9848468082570316,1.0,3.3282508864395024e-27,3.3282508864395024e-27,1.2605121092165822e-16,-2.1348468082570324,189330,Dorea,Lachnospiraceae,Clostridiales,Clostridia,Dorea
taxa1730,-2.5330609924841063,1.0,1.9838969304394373e-18,1.9838969304394373e-18,2.1177224170867142e-08,-1.683060992484107,1730,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Eubacterium
taxa816,-1.6932226083800939,1.0,1.2051738455336807e-15,1.2051738455336807e-15,0.0016188052449327966,-0.8432226083800944,816,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroides
taxa1485,-1.5081152770783175,0.0,1.5361273094183154e-07,1.5361273094183154e-07,0.011841180086264272,-0.6581152770783181,1485,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Clostridium
taxa1678,-1.496854743848644,1.0,1.516805857833861e-07,1.516805857833861e-07,0.0020891236797910334,-0.6468547438486443,1678,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Bifidobacterium
taxa84111,-1.4811216487316017,1.0,1.0916261511370315e-05,1.0916261511370315e-05,0.05559128085660781,-0.631121648731602,84111,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Eggerthella
taxa375288,-1.398224188038668,1.0,6.721786057115022e-14,6.721786057115022e-14,0.0007466111072015589,-0.5482241880386685,375288,Parabacteroides,Porphyromonadaceae,Bacteroidales,Bacteroidia,Parabacteroides
taxa459786,-0.9006367887770796,1.0,0.0004231773190736218,0.0004231773190736218,0.5705943890148212,-0.05063678877708,459786,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Oscillibacter
taxa239759,-0.8846435821616554,1.0,0.0415438836896305,0.0415438836896305,0.11193639779995516,-0.03464358216165575,239759,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Alistipes
taxa102106,-0.5791594670330769,1.0,0.002768510075311488,0.002768510075311488,0.7002260556519938,0.2708405329669228,102106,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Collinsella
taxa841,-0.4753893695287603,1.0,0.09314340846102344,0.09314340846102344,0.013889177529032272,0.3746106304712393,841,Roseburia,Lachnospiraceae,Clostridiales,Clostridia,Roseburia
taxa61170,-0.3931183919216004,1.0,0.16258406901897626,0.16258406901897626,0.018066213025328688,0.4568816080783993,61170,Holdemania,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Holdemania
taxa1654,-0.3257701880314272,1.0,0.29998966567171403,0.29998966567171403,0.25634528471568285,0.5242298119685724,1654,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinomyces
taxa577310,-0.2717587154449337,0.0,0.832182783872222,0.832182783872222,0.017478652899738545,0.578241284555066,577310,Parasutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Parasutterella
taxa724,0.001294265515165094,1.0,0.9308133823775538,0.9308133823775538,0.06574545400583326,0.8512942655151647,724,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Haemophilus
taxa872,0.19923136207247796,1.0,0.5380367212733181,0.5380367212733181,0.009629646387973529,1.0492313620724776,872,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Desulfovibrio
taxa29465,0.2619624497510671,1.0,0.3708594870209975,0.3708594870209975,0.0007586071504702942,1.1119624497510667,29465,Veillonella,Veillonellaceae,Veillonellales,Negativicutes,Veillonella
taxa283168,0.3296390108627332,1.0,0.5657464802654109,0.5657464802654109,0.004640632948833942,1.1796390108627328,283168,Odoribacter,Odoribacteraceae,Bacteroidales,Bacteroidia,Odoribacter
taxa292632,1.5615570511145576,1.0,0.6050257078550948,0.6050257078550948,0.021407657491237936,2.4115570511145568,292632,Subdoligranulum,Ruminococcaceae,Clostridiales,Clostridia,Subdoligranulum
taxa216851,1.693563234178026,1.0,1.4845706063109903e-25,1.4845706063109903e-25,7.19243982103635e-36,2.5435632341780257,216851,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Faecalibacterium
taxa838,2.2452280306653343,1.0,1.5255973675843313e-06,1.5255973675843313e-06,1.384640125708762e-09,3.095228030665334,838,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Prevotella
taxa577309,3.085361427917558,1.0,4.316398143062809e-06,4.316398143062809e-06,5.207508629730233e-09,3.9353614279175577,577309,Paraprevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Paraprevotella
taxa561,3.136751658705495,1.0,6.253668094572777e-16,6.253668094572777e-16,1.0668517414664714e-22,3.9867516587054954,561,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Escherichia
taxa35832,3.9190395011406425,1.0,1.2187780856961919e-27,1.2187780856961919e-27,1.8051976716697423e-35,4.769039501140641,35832,Bilophila,Desulfovibrionaceae,Desulfovibrionales,Deltaproteobacteria,Bilophila
taxa570,4.459630752590106,1.0,1.799496311416526e-13,1.799496311416526e-13,3.443608226598905e-17,5.309630752590107,570,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Klebsiella
taxa40544,5.062181459375796,1.0,5.261254608342711e-15,5.261254608342711e-15,1.0995256082846287e-16,5.912181459375796,40544,Sutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Sutterella
