,taxa102106,taxa1263,taxa1301,taxa1485,taxa1654,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa459786,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa872,condition
2632,0.0034213161189396465,0.006341904829133998,0.0002938236384717682,,,0.013931723378584405,0.07813203624954056,0.004874815105111172,0.037551512953393096,0.17601729715519487,0.020588446493467923,0.05092307480098697,0.0006143216355621332,0.0006023536723796449,0.01692827822796252,0.05696425919930675,,,0.013934664657671625,0.0006385618321775121,,0.00585162403231918,,9.351239029029006e-05,,,0.484879999870178,,0.027416473759327913,,,H2029
2633,0.001127400152508783,0.004993077288581832,,,,0.0052990168333087095,0.025713426057414092,0.0002928969180498035,0.04618011822466463,0.21253634788912956,0.01381067997734181,0.18769913898425372,0.007741361115027647,0.02329334419019568,0.0004519944762227294,0.12899944838684071,0.011082747145969704,,0.003936399654865114,0.0004830269327992153,,0.0027793162830223005,,6.0490803036773226e-05,,,0.2999062055243619,,0.018090235637538206,,0.005523327524867004,H2029
2634,,0.0005739321192567909,,,,0.0006931557350706115,0.002981005086183123,0.0002458079939952766,0.01647618534192296,0.1563539966866202,0.0018188340137718826,0.036887268369249014,,,,0.03431939903003812,,,0.00811166380184413,0.0003753988807494292,,0.0021832435873245593,,0.010396195626255735,0.000570407247137078,,0.7255285753088928,,0.0019274830132265642,0.0005574481584616628,,H2029
2635,,0.0008783137402080682,,0.02645018478891831,,0.004439229964957216,0.021186072993973733,0.0016735942919331493,0.019520814080035014,0.12707390616330672,0.005533088030995637,0.04810325267822107,,,,0.02546329740714175,,,0.014329369682990614,0.00041057079813595297,,0.022659190758758774,,0.00797524691954351,0.0008831226121279322,,0.6615917750764503,,0.010738104133236101,0.0010908658790660614,,H2029
2636,,0.0007424775553264327,,0.0016844585734477123,,0.0030440298161556367,0.009264628954531368,0.002091582342277454,0.019149021610667925,0.1678680662667626,0.006773398883250531,0.027622471950432572,8.394524719312083e-05,,,0.016605245659464675,,,0.01289851831298676,0.0028108841741421725,,0.008614640691913894,,0.0063750327610745255,0.00044621277706470596,,0.71223483821743,,0.0009421946192591758,0.0007483515866185723,,H2029
2637,0.0052172933155075285,0.007014776104686377,,,,0.02512923809389658,0.06566967104533883,0.0007374680949356712,0.044498977955981366,0.1930768026323069,0.015793045119573947,0.09355811156723555,0.005363460002282323,0.0026678482487659015,0.013490409444327743,0.06058078393930244,0.014188375788019108,0.019013611670634194,0.025120153711827478,0.01633872047397202,,0.06128048550204072,0.03435774541560232,0.0011593304667514679,0.0010912486370875103,,0.25503432977776747,,0.03755503961709227,,0.0020630733750643306,H2029
2638,0.00210355053385834,0.0028612414759769007,,7.317887781717619e-05,,0.004951840927861841,0.0024742884170155734,0.00020805965836941033,0.014339690664986464,0.18892996265455486,0.008906448543771919,0.013774160085481353,,,0.01222529491614227,0.03128770818074572,0.020148830043477728,0.059132639716904085,0.012594663985757601,,,0.018614705943051462,,0.0002663921739243968,0.0005504736305441685,0.0002842920433185263,0.5774971686618352,,0.028775408864604963,,,H2029
2639,0.00045900212814722246,0.0023885072897242487,,0.0027632091605870857,,,0.04199992091103135,0.0009936190325252874,0.010785221643769185,0.036950386590761705,,0.03341130851676814,,,,0.4459463173917971,,,0.018546771877475048,0.0012509136359702354,,0.009393398850471473,,,0.0044224425882038705,,0.3877137433023446,,0.0029752370804235696,,,H2029
2640,,0.0025802106376392794,0.002448770020393277,,,0.0054452272799438905,0.0758536565872486,0.003708526273110922,0.03811788700513472,0.0791127790737033,,0.024032140201020985,0.0052928339266701775,0.014794143688679498,0.0036429679701788565,0.04895261160734055,0.011855900474071854,,0.004574824704442218,,,0.010254636224861308,,0.014526294279665456,,0.028481356493090894,0.5794835560983587,,0.046841677454445625,,,H2029
2641,0.0051340914072319265,0.012815284655542936,,6.624569415515543e-05,,0.010774195688577891,0.01596240611977923,0.00045449958092833574,0.01701562245847292,0.36434530462846937,0.023443960301891952,0.02536328146492581,7.466420899484236e-05,,0.005646819049134762,0.0778370871056715,,0.003324010496284478,0.03149516732149016,0.001082380479388319,0.002883742214251804,0.00212336992748151,0.009359083432192421,,9.110035701518351e-05,,0.3763066111298579,,0.01440107227826158,,,H2029
