item,value,type
qml_loads_delta,-0.2400000000000002,qml_loads_delta
taxa100175,-2.153749432826576,logged_relative_abundance_diff
taxa100175,-2.393749432826576,qml_logged_loads_diff
taxa100175,2.4334979696126243e-11,qml_diff_pvalue
taxa100175,1.502260160553744e-09,mwu_diff_pvalue
taxa100175,1.502260160553744e-09,mwu_logged_pvalue
taxa100883,0.7586197242068238,logged_relative_abundance_diff
taxa100883,0.5186197242068236,qml_logged_loads_diff
taxa100883,0.07796219802147061,qml_diff_pvalue
taxa100883,0.01090758483237655,mwu_diff_pvalue
taxa100883,0.01090758483237655,mwu_logged_pvalue
taxa1017280,0.6424719502816423,logged_relative_abundance_diff
taxa1017280,0.40247195028164207,qml_logged_loads_diff
taxa1017280,0.12773605480797504,qml_diff_pvalue
taxa1017280,0.017774733798737008,mwu_diff_pvalue
taxa1017280,0.017774733798737008,mwu_logged_pvalue
taxa102106,-0.06327141388385193,logged_relative_abundance_diff
taxa102106,-0.30327141388385215,qml_logged_loads_diff
taxa102106,0.21229798652163767,qml_diff_pvalue
taxa102106,0.8670347775029503,mwu_diff_pvalue
taxa102106,0.8670347775029503,mwu_logged_pvalue
taxa114627,-0.6023123125157603,logged_relative_abundance_diff
taxa114627,-0.8423123125157606,qml_logged_loads_diff
taxa114627,4.192471471060585e-05,qml_diff_pvalue
taxa114627,0.002606490192390034,mwu_diff_pvalue
taxa114627,0.002606490192390034,mwu_logged_pvalue
taxa117563,1.1924089475429174,logged_relative_abundance_diff
taxa117563,0.9524089475429172,qml_logged_loads_diff
taxa117563,3.7408705086599765e-06,qml_diff_pvalue
taxa117563,1.3892076620647923e-08,mwu_diff_pvalue
taxa117563,1.3892076620647923e-08,mwu_logged_pvalue
taxa118966,-0.008335695225168749,logged_relative_abundance_diff
taxa118966,-0.24833569522516896,qml_logged_loads_diff
taxa118966,0.16898541429248748,qml_diff_pvalue
taxa118966,0.5539547740520779,mwu_diff_pvalue
taxa118966,0.5539547740520779,mwu_logged_pvalue
taxa1236988,-0.41579064522731635,logged_relative_abundance_diff
taxa1236988,-0.6557906452273166,qml_logged_loads_diff
taxa1236988,0.023967003032604583,qml_diff_pvalue
taxa1236988,0.13702467607037924,mwu_diff_pvalue
taxa1236988,0.13702467607037924,mwu_logged_pvalue
taxa1243,0.5309441463374984,logged_relative_abundance_diff
taxa1243,0.2909441463374982,qml_logged_loads_diff
taxa1243,0.29781001375786686,qml_diff_pvalue
taxa1243,0.08806405456482828,mwu_diff_pvalue
taxa1243,0.08806405456482828,mwu_logged_pvalue
taxa1263,-1.20516772084956,logged_relative_abundance_diff
taxa1263,-1.4451677208495601,qml_logged_loads_diff
taxa1263,4.249472140641925e-17,qml_diff_pvalue
taxa1263,1.1303196494520784e-11,mwu_diff_pvalue
taxa1263,1.1303196494520784e-11,mwu_logged_pvalue
taxa1279,1.5864618125990084,logged_relative_abundance_diff
taxa1279,1.3464618125990082,qml_logged_loads_diff
taxa1279,1.5979457890850305e-05,qml_diff_pvalue
taxa1279,9.43068981331792e-07,mwu_diff_pvalue
taxa1279,9.43068981331792e-07,mwu_logged_pvalue
taxa1301,2.1302118673902637,logged_relative_abundance_diff
taxa1301,1.8902118673902635,qml_logged_loads_diff
taxa1301,2.659627460666643e-23,qml_diff_pvalue
taxa1301,2.179122273919527e-28,mwu_diff_pvalue
taxa1301,2.179122273919527e-28,mwu_logged_pvalue
taxa133925,1.765671445679752,logged_relative_abundance_diff
taxa133925,1.5256714456797518,qml_logged_loads_diff
taxa133925,1.8522092335526743e-07,qml_diff_pvalue
taxa133925,3.634409618211223e-09,mwu_diff_pvalue
taxa133925,3.634409618211223e-09,mwu_logged_pvalue
taxa1350,0.23465428615314643,logged_relative_abundance_diff
taxa1350,-0.0053457138468537835,qml_logged_loads_diff
taxa1350,0.5760007627067214,qml_diff_pvalue
taxa1350,0.19905052758071173,mwu_diff_pvalue
taxa1350,0.19905052758071173,mwu_logged_pvalue
taxa1357,0.1002781699669626,logged_relative_abundance_diff
taxa1357,-0.13972183003303762,qml_logged_loads_diff
taxa1357,0.29647200951692376,qml_diff_pvalue
taxa1357,0.9149171685056068,mwu_diff_pvalue
taxa1357,0.9149171685056068,mwu_logged_pvalue
taxa1378,1.0387393548438943,logged_relative_abundance_diff
taxa1378,0.7987393548438941,qml_logged_loads_diff
