item,value,type
qml_loads_delta,-0.6799999999999997,qml_loads_delta
taxa100175,-1.3338485438939713,logged_relative_abundance_diff
taxa100175,-2.013848543893971,qml_logged_loads_diff
taxa100175,1.4421403802562468e-07,qml_diff_pvalue
taxa100175,0.00017122390174958686,mwu_diff_pvalue
taxa100175,0.00017122390174958686,mwu_logged_pvalue
taxa100883,1.8376138758331972,logged_relative_abundance_diff
taxa100883,1.1576138758331975,qml_logged_loads_diff
taxa100883,0.0001805230690582788,qml_diff_pvalue
taxa100883,1.2002710602884288e-08,mwu_diff_pvalue
taxa100883,1.2002710602884288e-08,mwu_logged_pvalue
taxa1017280,2.125484715883564,logged_relative_abundance_diff
taxa1017280,1.4454847158835644,qml_logged_loads_diff
taxa1017280,1.3727642339094791e-08,qml_diff_pvalue
taxa1017280,3.998840947922778e-15,mwu_diff_pvalue
taxa1017280,3.998840947922778e-15,mwu_logged_pvalue
taxa102106,-3.909015798279002,logged_relative_abundance_diff
taxa102106,-4.589015798279002,qml_logged_loads_diff
taxa102106,1.9674032775032086e-67,qml_diff_pvalue
taxa102106,2.317681859926531e-57,mwu_diff_pvalue
taxa102106,2.317681859926531e-57,mwu_logged_pvalue
taxa114627,1.0437474892381946,logged_relative_abundance_diff
taxa114627,0.3637474892381949,qml_logged_loads_diff
taxa114627,0.07012886456794035,qml_diff_pvalue
taxa114627,4.3583807528725663e-07,mwu_diff_pvalue
taxa114627,4.3583807528725663e-07,mwu_logged_pvalue
taxa117563,2.6351048811885516,logged_relative_abundance_diff
taxa117563,1.9551048811885519,qml_logged_loads_diff
taxa117563,1.2914130232732224e-10,qml_diff_pvalue
taxa117563,3.465247707412598e-17,mwu_diff_pvalue
taxa117563,3.465247707412598e-17,mwu_logged_pvalue
taxa118966,1.2967971581327333,logged_relative_abundance_diff
taxa118966,0.6167971581327336,qml_logged_loads_diff
taxa118966,0.01672587964035954,qml_diff_pvalue
taxa118966,2.2426935886918427e-06,mwu_diff_pvalue
taxa118966,2.2426935886918427e-06,mwu_logged_pvalue
taxa1236988,0.9498449920025465,logged_relative_abundance_diff
taxa1236988,0.26984499200254675,qml_logged_loads_diff
taxa1236988,0.7187978842776989,qml_diff_pvalue
taxa1236988,0.018421914489211964,mwu_diff_pvalue
taxa1236988,0.018421914489211964,mwu_logged_pvalue
taxa1243,1.7499363199449967,logged_relative_abundance_diff
taxa1243,1.069936319944997,qml_logged_loads_diff
taxa1243,0.003021282285625147,qml_diff_pvalue
taxa1243,7.874874189052523e-06,mwu_diff_pvalue
taxa1243,7.874874189052523e-06,mwu_logged_pvalue
taxa1263,-2.275380447542248,logged_relative_abundance_diff
taxa1263,-2.9553804475422476,qml_logged_loads_diff
taxa1263,5.867375931797236e-67,qml_diff_pvalue
taxa1263,5.862503809157654e-45,mwu_diff_pvalue
taxa1263,5.862503809157654e-45,mwu_logged_pvalue
taxa1279,3.247335669635083,logged_relative_abundance_diff
taxa1279,2.5673356696350833,qml_logged_loads_diff
taxa1279,6.608599307039477e-14,qml_diff_pvalue
taxa1279,1.130996557903068e-19,mwu_diff_pvalue
taxa1279,1.130996557903068e-19,mwu_logged_pvalue
taxa1301,0.15690673927525012,logged_relative_abundance_diff
taxa1301,-0.5230932607247496,qml_logged_loads_diff
taxa1301,0.0004808804401581946,qml_diff_pvalue
taxa1301,0.4345308516856675,mwu_diff_pvalue
taxa1301,0.4345308516856675,mwu_logged_pvalue
taxa133925,2.732139205922687,logged_relative_abundance_diff
taxa133925,2.0521392059226873,qml_logged_loads_diff
taxa133925,4.026558009679102e-13,qml_diff_pvalue
taxa133925,3.920942063535356e-18,mwu_diff_pvalue
taxa133925,3.920942063535356e-18,mwu_logged_pvalue
taxa1350,1.6014738942819289,logged_relative_abundance_diff
taxa1350,0.9214738942819292,qml_logged_loads_diff
taxa1350,0.0003490505937293257,qml_diff_pvalue
taxa1350,4.187574221864414e-08,mwu_diff_pvalue
taxa1350,4.187574221864414e-08,mwu_logged_pvalue
