,taxa100883,taxa102106,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1386,taxa1485,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1578,taxa162289,taxa1654,taxa1678,taxa1716,taxa1730,taxa189330,taxa2005359,taxa2039240,taxa2048137,taxa207244,taxa216851,taxa239759,taxa239934,taxa244127,taxa283168,taxa28453,taxa286,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa44249,taxa44748,taxa459786,taxa52784,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84111,taxa872,taxa904,taxa990721,condition
2632,,0.003587104331747761,0.0066492172875183275,,0.0003080615791383293,,,,,,,,,,,,,0.014606818996754985,,0.08191811453127638,0.005111036154540787,,,,,0.03937116305421841,0.18454664437252205,0.004888789450916656,4.444934072482626e-05,0.02158610985750264,,,0.0006440900879671594,,0.000631542187953931,0.017748579216168844,0.059724601242624915,,,,,0.01460990280269044,,0.0006695049024007323,0.006135178739518782,,9.804376112031055e-05,,,0.5083760422732371,,,,0.0287450058294566,,,,,H2029
2633,,0.0012344612026830909,0.005467233777675348,,,,,,,,,,,,,,,0.005802226191408337,,0.02815524442257945,0.00032071122299685373,,,,,0.05056551053040834,0.23271938986813534,0.1105607928129169,,0.015122180511296176,,,0.0084765022704631,,0.025505344858746715,0.0004949171272350679,0.14124959434031487,0.012135195600605326,,,,0.004310211100621823,,0.0005288965120900129,0.003043247877642698,,6.623517772449416e-05,,,0.32838613188039456,,,,0.019808134664734273,,0.006047838049327232,,,H2029
2634,,,0.0005756414851591909,,,,,,,,,,,,,,,0.0006952201896268697,,0.002989883537620552,0.0002465400941677098,,,,,0.016525257050022474,0.15681967229819976,,0.00029936268709778005,0.0018242511227660489,,,,,,,0.03442161392361956,,0.03371942697468893,,,0.008135823107534424,,0.00037651694684996933,0.0021897460325085625,,0.010427159048099441,0.0005721061147662335,,0.7276894472417197,,,,0.0019332237160548551,0.0005591084294980076,,,,H2029
2635,0.0007112105254538836,,0.0008627954699196264,,,,,,0.025982856204674113,,,,,,,,,0.004360796522196278,,0.020811752074215317,0.001644024802824099,,,,,0.019175915377809726,0.12482873210741284,,3.285740139735285e-05,0.005435328026040698,,,,,,,0.02501340539986723,,0.06417753830249216,,,0.014076194739204613,,0.0004033167289732576,0.02225884242010193,,0.007834338230940712,0.0008675193774687665,,0.649902603523909,,,,0.01054838058150672,0.0010715921835916227,,,,H2029
2636,,,0.0007151177454946142,,,,,,0.0016223873823275395,,,,,,,,,0.0029318593184820907,,0.008923233467839659,0.0020145089079065775,,,,,0.018443392752293994,0.1616822383761478,,,0.006523803587027321,,,8.085192001708381e-05,,,,0.015993353272692336,,0.06345394464791149,,,0.01242321639224332,,0.0027073049401140324,0.008297196845417302,,0.006140116994579836,0.0004297701295564583,,0.6859894526304442,,,,0.0009074753669093048,0.0007207753225950464,,,,H2029
2637,,0.005879115475724234,0.007904611886247845,,,,,,,,,,,,,,,0.02831692290173927,,0.07399997584586904,0.0008310171247037524,,,,,0.05014374583413128,0.21756890972278536,,,0.017796418632496622,,,0.006043823644938876,,0.003006269147180896,0.015201689869009848,0.0682655551165638,0.015988194380944,,,,0.028306686150998975,,0.018411313794941778,0.06905401496290903,0.03871608141782449,0.0013063934259356707,0.001229675305219075,,0.2873858501650245,,,,0.04231895759972349,,0.0023247775950881997,,,H2029
2638,,0.0021949099359611017,0.002985508188998247,,,,,,7.635711309905725e-05,,,,,,,,,0.005166904563936063,,0.002581749353546398,0.00021709590717084479,,,,,0.01496247844422217,0.19713538874230277,,,0.009293264929079075,,,,,,0.01275625227423344,0.032646566105264264,0.021023914828089924,,,,0.01314166342927156,,,0.019423162111754294,,0.00027796186495052496,0.000574381276664563,0.00029663914441360376,0.6025784753363228,,,,0.030025154999446267,,,0.03264217145127295,,H2029
2639,,0.00046722220898957586,0.0024312820870728705,,,,,,0.0028126943400481096,,,,,,,,,,,0.042752080267360944,0.0010114133482223141,,,,,0.01097836975437238,0.03761211590813614,,0.0031280589299092837,,,,,,,,0.45393258707448275,,0.01297300918041715,,,0.01887891840762933,,0.0012733157351848593,0.00956162137755871,,,0.0045016422985460465,,0.3946571497011369,,,,0.0030285193809326534,,,,,H2029
2640,,,0.002515330724928002,,0.002387195208300234,,,,,,,,,,,,,0.005308305950552326,,0.07394630121617136,0.0036152746380013726,,,,,0.037159405110069675,0.07712347241564509,,,,,,0.0051597445586363195,,0.014422141985734107,0.003551364811712913,0.047721688394428294,0.011557781484617896,0.048573047299483446,,,0.004459789821954805,,,0.009996781345321849,,0.014161027703698884,,0.027765187085750882,0.5649123261418459,,,,0.04566383410314667,,,,,H2029
2641,,0.005301103682584466,0.013232166568980989,,,,,,6.840067022308758e-05,,,,,,,,,0.011124680865859354,,0.016481664067234236,0.0004692844772491714,,,,,0.017569141591250014,0.37619747739156056,,6.798674786167708e-05,0.024206593617648327,,,7.709303981270842e-05,,,0.005830510382828513,0.08036913182268228,,,,,0.032519706843626754,,0.0011175903758083906,0.0021924432678011446,0.009663534930080233,,9.406385663053953e-05,,0.3885478858501468,,,,0.014869539950130631,,,,,H2029
2642,,0.0072208719310677405,0.04966626560247869,,2.306610800195472e-05,,,,0.0016993820965161058,,,,,,,,,0.06016456327006604,,0.03612528007887536,0.001740042817133505,,,,,0.009127205294261849,0.053117706349133965,0.07658205338784803,0.0019030075522728964,0.0009434574593915804,,,0.0003753874972039049,,0.0011392511668500333,0.007372357254317788,0.05207662024657134,0.05496535524220218,0.19591386578850953,,,0.05621081779008448,,0.00041518994403518493,0.0013604712352222686,,,0.0016199917713000756,,0.32525357967221447,,,4.0338867947604534e-05,0.004943871576493383,,,,,H2029
2643,,0.0057290502163543575,0.07678587301457378,,0.001523591908851006,,,,0.00042548565748591247,,,,,,,,,0.001641056393435372,,0.03586587049296455,0.003937214227792356,,,,,0.034467353848261446,0.07498441585184654,0.3375854615155187,0.0028220196223129102,0.0005929228078836763,,,,,0.0027935868986604597,0.005355547619283532,0.02048290539930242,0.010824251734719242,,,,0.016713271921522235,,,0.02679324685477354,0.014802248253002987,,0.0013817154898175667,,0.13967618574150603,,,0.14000948044654307,0.03653662429185645,,0.008270619791731734,,,H2029
2644,,,0.04297388288805574,,,,,,0.020484838776106507,,,,,,,,,0.02440770193064869,,0.013546010938233507,,,,,,0.049019082783692505,0.20734372115585362,0.20436733108571647,0.01501868419387579,0.0022056330077867194,,,,,,0.014896168774587507,0.05857338969832533,0.06771702113592411,,,,0.022076828305659144,,0.003997272906295609,0.004011846790795087,,0.0008937464291020803,,,0.15450805793628583,,,,0.07795748549069084,,0.016001295772364928,,,H2029
