,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,taxa100175,130,18,0.3044496487119438,0.45,0.0005646600745155623,-14.717852387569838,-12.015971502937086,-2.701880884632753,-3.444944216143218,-1.9772037674328884,0
1,taxa102106,381,26,0.892271662763466,0.65,0.004381220057187657,-11.792561374772959,-8.176615013187297,-3.615946361585663,-4.635789473110034,-2.5704564799822256,1
2,taxa117563,137,25,0.32084309133489464,0.625,3.760210350137727e-05,-12.150175215626609,-14.213797541205317,2.0636223255787103,1.098336468382482,3.0730371146400577,2
3,taxa1236988,70,16,0.16393442622950818,0.4,3.250149656758816e-05,-13.612232673946258,-14.871982676318654,1.259750002372395,0.07421707866226164,2.627655617956789,3
4,taxa1257,27,23,0.06323185011709602,0.575,9.66407839572468e-06,-12.87087049934622,-15.984670597754018,3.113800098407799,2.2283300592778716,4.084047896893257,4
5,taxa1263,408,40,0.955503512880562,1.0,0.030020269367458503,-9.630467403173165,-5.091953374538452,-4.538514028634714,-5.040489880561239,-4.050837159344606,5
6,taxa1279,62,22,0.1451990632318501,0.55,2.1439310531994225e-05,-14.11969048625576,-15.480338821913618,1.3606483356578587,0.6628905665700329,2.095447877184911,6
7,taxa1301,336,40,0.7868852459016393,1.0,0.0015731972938730929,-8.251784855764397,-9.207099048324944,0.9553141925605481,0.3716984231808965,1.4910134441635825,7
8,taxa1350,177,35,0.41451990632318503,0.875,9.148873061077383e-05,-9.534116342044118,-12.50324672591149,2.969130383867371,1.9200120797440785,3.9662889618083597,8
9,taxa1357,203,16,0.47540983606557374,0.4,0.00014890434255624845,-14.55581069899701,-12.222706870661685,-2.3331038283353265,-3.2310070969744373,-1.397533558545326,9
10,taxa1386,185,36,0.4332552693208431,0.9,7.334064126478773e-05,-13.220894438634332,-13.50705074971962,0.2861563110852874,-0.1270085677050042,0.7344651009802966,10
11,taxa1485,304,40,0.711943793911007,1.0,0.0026700351330684324,-7.849386981778412,-8.571535200200342,0.7221482184219284,-0.012347910117464864,1.472750562697506,11
12,taxa150022,34,20,0.07962529274004684,0.5,1.2794354126071244e-05,-14.125258339089815,-16.07391136230228,1.9486530232124615,1.1662832929689095,2.7383583131533915,12
13,taxa1501226,103,25,0.24121779859484777,0.625,3.0222429885724707e-05,-12.443565065578651,-15.019391007881643,2.575825942302992,1.8167117796038545,3.4332401684251255,13
14,taxa1505652,66,33,0.15456674473067916,0.825,3.13892166291249e-05,-10.916059720520586,-14.924364309713484,4.008304589192898,2.9496983889342636,5.004832338945592,14
15,taxa1505657,126,40,0.29508196721311475,1.0,7.113738410708942e-05,-10.59303716072517,-13.188112307399527,2.595075146674356,1.7510637689600754,3.3819854076880316,15
16,taxa1505663,203,38,0.47540983606557374,0.95,0.0012649196039655043,-9.859927032738616,-9.927160125502068,0.06723309276345386,-0.6684211798984359,0.7800246966833244,16
17,taxa1506553,205,40,0.48009367681498827,1.0,0.001857412869186636,-8.367244356495858,-9.090630472383603,0.7233861158877457,-0.04049260151689027,1.4985695470446845,17
18,taxa1508657,205,40,0.48009367681498827,1.0,0.03435303867395901,-8.69440780485356,-4.837720418277275,-3.8566873865762865,-4.413364696036163,-3.2365848293754764,18
19,taxa1573,187,30,0.4379391100702576,0.75,0.0015605822661363044,-12.39837610102397,-9.56846796707579,-2.8299081339481793,-3.866337262212966,-1.7651985577970668,19
20,taxa1573535,147,32,0.3442622950819672,0.8,0.00010548525758982052,-13.433121405255205,-11.928335651510272,-1.5047857537449367,-2.6292444626128866,-0.45230152591208256,20
21,taxa1578,240,36,0.5620608899297423,0.9,0.0004994517762783282,-11.19308281127529,-10.861353824169072,-0.3317289871062193,-1.0705416100036569,0.39823914610741284,21
22,taxa158846,41,16,0.09601873536299765,0.4,9.280012866936582e-06,-14.215960364131162,-15.237501712771111,1.021541348639951,-0.40232918263936585,2.4730659048996126,22
23,taxa162289,186,40,0.43559718969555034,1.0,7.008415586207016e-05,-8.86941750271141,-13.560775428207782,4.691357925496371,3.990444281921275,5.357517967350618,23
24,taxa1649459,71,18,0.16627634660421545,0.45,1.7725476197995204e-05,-13.255432788594462,-15.791246566020877,2.535813777426415,1.7519715475236486,3.3192794300586685,24
25,taxa1654,203,32,0.47540983606557374,0.8,0.0001504447989791494,-11.941474777731182,-12.583829892590934,0.6423551148597527,0.0875965683433112,1.2065052260639466,25
26,taxa166484,89,22,0.20843091334894615,0.55,3.561442884004383e-05,-12.685076322827776,-14.36991621314908,1.684839890321306,0.8849134641453158,2.49053424369342,26
27,taxa1678,353,31,0.8266978922716628,0.775,0.017071967785042247,-10.513654569882675,-6.894505881108542,-3.6191486887741333,-4.59516007849427,-2.7167240853854686,27
28,taxa1716,99,21,0.23185011709601874,0.525,2.3561537095604435e-05,-13.787756236055465,-15.260569295006635,1.4728130589511683,0.8311395630784008,2.1742448498845324,28
29,taxa1730,427,40,1.0,1.0,0.026706728631412328,-9.477750340519327,-5.120057177829197,-4.357693162690129,-5.0795480545707825,-3.6284049423456697,29
30,taxa1870884,84,28,0.19672131147540983,0.7,2.829741106923397e-05,-10.146855486382691,-15.117786751629632,4.970931265246942,3.850698738519308,6.13631402965658,30
31,taxa189330,423,37,0.990632318501171,0.925,0.0026492520591222504,-10.95278266069758,-8.580658174317705,-2.3721244863798736,-3.1866221510428634,-1.548379555830877,31
32,taxa195950,26,18,0.06088992974238876,0.45,5.931248216419396e-06,-13.107870565756771,-16.924159962736603,3.81628939697983,2.9336748800856873,4.685264674422834,32
33,taxa2039240,205,23,0.48009367681498827,0.575,0.000589826426691949,-12.011001752826814,-11.070743442181715,-0.9402583106450993,-1.9718490761245278,0.2253116605884688,33
34,taxa204475,201,33,0.4707259953161593,0.825,0.000255605621984468,-12.386216004131416,-11.887607887434147,-0.4986081166972699,-1.3011975441515227,0.3447745427298251,34
35,taxa2048137,204,35,0.477751756440281,0.875,0.0010938006041688528,-9.822009833963639,-9.938957631518772,0.11694779755513283,-0.7204557745721902,0.9491416334340284,35
36,taxa2057233,162,39,0.3793911007025761,0.975,0.00012537644759178066,-9.635235993822592,-13.050235492922965,3.4149994991003734,2.724675818952561,4.083363966345545,36
37,taxa207244,305,31,0.7142857142857143,0.775,0.00016575231958938953,-12.071312474844325,-12.287912346283283,0.21659987143895904,-0.5708282748775274,0.9559672417885104,37
38,taxa2147,141,37,0.33021077283372363,0.925,6.652766450986695e-05,-11.409879272557449,-13.811976781227688,2.4020975086702374,1.8008144188698416,2.9479865770092477,38
39,taxa216851,426,39,0.9976580796252927,0.975,0.020570469360163476,-8.924718120336928,-5.637765077277536,-3.2869530430593907,-3.9751118923394033,-2.6140394419105646,39
40,taxa237,195,25,0.4566744730679157,0.625,0.00011536214217210186,-14.363790104275534,-13.119452971522252,-1.244337132753281,-2.01404131157931,-0.3702496569194503,40
41,taxa239759,415,40,0.9718969555035128,1.0,0.03695048341948711,-7.06658297291007,-4.874265337322507,-2.1923176355875635,-2.8580142347348314,-1.4933258150711104,41
42,taxa239934,297,37,0.6955503512880562,0.925,0.024044730110172233,-12.175937271758993,-6.921273310302502,-5.254663961456491,-6.223148932941417,-4.256560514540449,42
43,taxa241189,195,37,0.4566744730679157,0.925,0.00018885765719535324,-7.453035631930904,-12.520723415645953,5.067687783715048,4.380705279973413,5.715716345016203,43
44,taxa244127,247,25,0.5784543325526932,0.625,0.002076792977774286,-13.284832695633424,-8.377077164672402,-4.907755530961021,-5.795226683175788,-4.081932698406092,44
45,taxa253238,140,18,0.32786885245901637,0.45,0.00030022163884166407,-15.426276196300241,-11.949955087301106,-3.4763211089991346,-4.267533016762031,-2.707627803689252,45
46,taxa2723,22,24,0.05152224824355972,0.6,2.3147441192569864e-05,-11.730438830556016,-15.532755355784065,3.8023165252280497,2.6592788722047884,4.91905567405397,46
47,taxa283168,276,30,0.6463700234192038,0.75,0.0015253979945221339,-13.647893295535734,-9.996588129096477,-3.6513051664392577,-4.2804494102788775,-3.0595870749445586,47
48,taxa286,73,29,0.17096018735362997,0.725,3.1372513770270804e-05,-12.40664369637976,-14.173738570648762,1.7670948742689998,1.0425927536716897,2.5739860390109155,48
49,taxa29465,270,40,0.6323185011709602,1.0,0.00025016951014555564,-4.946379394340174,-11.850703066420119,6.904323672079947,6.065832236474184,7.731613879559838,49
50,taxa33042,400,37,0.936768149882904,0.925,0.007116410098313602,-11.837164940964476,-7.036819851835436,-4.800345089129039,-5.471699938690495,-4.09811138916938,50
51,taxa346096,48,20,0.11241217798594848,0.5,9.767002237764674e-06,-15.050505993974799,-16.340182254425912,1.2896762604511114,0.813864529675524,1.698675251485152,51
