,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1505663,taxa1506553,taxa1508657,taxa1573535,taxa1578,taxa1654,taxa1678,taxa1716,taxa1730,taxa189330,taxa2039240,taxa2048137,taxa207244,taxa2147,taxa216851,taxa2172,taxa237,taxa239759,taxa239934,taxa244127,taxa283168,taxa286,taxa292632,taxa29465,taxa32207,taxa32636,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa44249,taxa447020,taxa44748,taxa459786,taxa52225,taxa52784,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa79206,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,condition
2632,,,0.0034027381081954316,,0.006307467796144788,,0.0002922281534237146,,,,,,,,,,,,,,0.01385607304473189,,0.07770777325879381,0.004848344482622512,,,,,0.03734760533806117,0.0007503918651429109,,0.17506150963833414,0.004637520581809408,4.2164780162620885e-05,0.02047664963902207,,0.05064655857217546,0.0006109858216387433,,,0.0005990828454205872,0.016836356369862596,0.056654938872669126,,,,,,,0.01385899835244652,,,0.0006350943921145003,0.005819849261919646,,9.300461078932167e-05,,,,,0.4822470640249995,,,,0.027267600189519594,,,,,,,H2029
2633,,,0.0010177146495390444,,0.0045072975123895374,,,,,,,,,,,,,,,,0.00478347199741953,,0.023211749909946414,0.0002644007840878838,,,,,0.041687224123663644,,,0.19185854669698463,0.09114854178146449,,0.012467029831208773,,0.16943776619601975,0.006988198996251397,,,0.02102711940065367,0.00040801963609723334,0.11644900713699423,0.010004499380713482,,,,0.0011618409886579677,,0.0035534247412348607,,,0.0004360329245457002,0.0025089147723103265,,5.460561299012724e-05,,,,,0.27072813337004836,,,,0.016330224704127403,,,0.0049802754985122,0.004985959354139425,,,H2029
2634,,,,,0.0005551042214192016,,,,,,,,,,,,,,,,0.000670416695160546,,0.002883212930398794,0.00023774423933976282,,,,,0.015935682512472293,,,0.15122478893305075,,0.0002886822712185479,0.0017591669907114295,,0.035677178016990434,,,,,,0.033193547876034464,,0.032516412975882036,,,,,0.007845559898212173,,,0.0003630838847107892,0.0021116220734947555,,0.010055147438528924,0.0005516949830651097,,,,0.7017275412913914,,,,0.001864251749390498,,0.0005391610185280071,,,,,H2029
2635,0.0006791198366343403,,,,0.000823865082995962,,,,,,,,,0.02481047795201114,,,,,,,0.004164032049243857,,0.019872700364910383,0.001569844392845816,,,,,0.018310674621106263,,,0.11919630703153161,,3.137483525705513e-05,0.005190079377330809,,0.04512122314143696,,,,,,0.023884769953292594,,0.0612817692760773,,,,,0.01344105961539464,,,0.0003851185848485808,0.021254496224394428,,0.007480843307456946,0.0008283758420584779,,,,0.6205782031301059,,,,0.010072424747507755,,0.0010232406335591653,,,,,H2029
2636,,,,,0.0006965853689818311,,,,,,,,,0.001580342986130817,,,,,,,0.0028558797736939227,,0.008691986622995815,0.0019623026274655036,,,,,0.017965429646480922,,,0.15749222052818646,,,0.006354738303538077,,0.025915140030492643,7.87566311881069e-05,,,,,0.015578883283073375,,0.061809526786873736,,,,,0.012101266999809223,,,0.0026371447534857327,0.00808217382730775,,0.005980995002861692,0.0004186325764680797,,,,0.6682119399060852,,,,0.0008839580157016275,,0.0007020963291794722,,,,,H2029
2637,,,0.005211028082602858,,0.007006352348648098,,,,,,,,,,,,,,,,0.02509906142567913,,0.06559081103901154,0.0007365824998396849,,,,,0.04444554096402897,0.0009564867838748684,,0.19284494464314897,,,0.01577407990141111,,0.09344576148000781,0.0053570192438167595,,,0.002664644539558456,0.013474209366617551,0.060508034968145476,0.014171337551240908,,0.018990779006593357,,0.00024437207641740135,,0.025089987952670725,,,0.01631909997672501,0.06120689628806258,0.034316486612600325,0.0011579382744884626,0.0010899382014928818,,,,0.2547280695431751,,,,0.03750994131501946,,,,0.0020605959151224515,,,H2029
2638,,,0.002024202687757769,,0.002753312835976054,,,,,,,,,7.041850375371153e-05,,,,,,,0.004765052968393238,,0.0023809559995805287,0.00020021145815443743,,,,,0.013798784444907147,,,0.1818033520221003,,,0.008570489175561437,,0.01325458619503494,,,,,0.011764145633571492,0.03010750727109047,0.019388797783894227,,0.056902102574936185,,,,0.0121195817647485,,,,0.017912542244769656,,0.000256343617981137,0.0005297092627689265,,0.0002735682879640593,,0.5557134483637324,,,,0.027689974178193265,,,,,0.030103454407565074,0.007617458317565163,H2029
2639,,0.00010229058492110047,0.00045180856191306127,,0.0023510741617804557,,,,,,,,,0.0027199036356306775,,,,,,,,,0.04134169038359874,0.0009780468513006695,,,,,0.010616193655690494,,,0.03637129329899107,,0.0030248643568507134,,,0.032887680311043846,,,,,,0.43895736423816545,,0.012545029985122103,,,,,0.01825610343881434,,,0.0012313090861397365,0.009246183766594812,,,0.004353133250132968,,,,0.38163742181861193,,,,0.002928608614697819,,,,,,,H2029
2640,,,,,0.002457750912037517,,0.0023325486156813157,,,,,,,,,,,,,,0.005186790612482022,,0.07225355594582826,0.0035325154067238265,,,,,0.03630876882110979,,,0.07535799677971876,,,,,0.022891547548735538,0.005041630020732967,,,0.014091996836713059,0.0034700685752626806,0.0466292650954413,0.01129320598020487,0.04746113507764034,,,,,0.00435769833118816,,,,0.009767939549821102,,0.013836859864680699,,,0.027129598985377878,,0.5519806087671031,,,,0.04461851827351692,,,,,,,H2029
2641,,,0.005148599632759761,,0.012851498860791425,,,,,,,,,6.64328952380378e-05,,,,,,,0.010804642061369524,,0.016007513650904682,0.0004557839332897148,,,,,0.017063706231928193,,,0.36537489359178843,,6.603088074340521e-05,0.023510209660609314,,0.025434954557286563,7.48751996253225e-05,,,,0.00566277617139486,0.07805704384671588,,,0.0033334036858698934,,,,0.03158416826718688,,,0.001085439135508031,0.002129370274445245,0.00938553089531643,,9.135779390525927e-05,,,,0.37737000107538876,,,,0.014441767697934347,,,,,,,H2029
