,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
0,taxa100175,130,34,0.3044496487119438,0.033170731707317075,0.0005646600745155623
1,taxa1004301,0,1,0.0,0.000975609756097561,0
2,taxa100883,143,341,0.33489461358313816,0.3326829268292683,7.256805666378799e-05
3,taxa101,1,32,0.00234192037470726,0.03121951219512195,0
4,taxa1011,0,4,0.0,0.003902439024390244,0
5,taxa1016,64,143,0.14988290398126464,0.13951219512195123,1.8601650438602745e-05
6,taxa1017280,76,155,0.17798594847775176,0.15121951219512195,3.784728718453205e-05
7,taxa1021,0,5,0.0,0.004878048780487805,0
8,taxa102106,381,515,0.892271662763466,0.5024390243902439,0.004381220057187657
9,taxa104204,0,0,0.0,0.0,0
10,taxa104264,0,18,0.0,0.0175609756097561,0
11,taxa1048757,0,5,0.0,0.004878048780487805,0
12,taxa1051,0,30,0.0,0.02926829268292683,0
13,taxa1054211,0,21,0.0,0.02048780487804878,0
14,taxa1055688,0,12,0.0,0.011707317073170732,0
15,taxa1060,0,26,0.0,0.025365853658536587,0
16,taxa106589,1,45,0.00234192037470726,0.04390243902439024,0
17,taxa106633,0,9,0.0,0.00878048780487805,0
18,taxa1068,0,0,0.0,0.0,0
19,taxa107,0,38,0.0,0.037073170731707315,0
20,taxa1070,0,5,0.0,0.004878048780487805,0
21,taxa1073,12,36,0.02810304449648712,0.0351219512195122,1.3540928644894146e-05
22,taxa1077265,6,24,0.01405152224824356,0.023414634146341463,4.883087516998548e-06
23,taxa1081,0,10,0.0,0.00975609756097561,0
24,taxa1082702,0,9,0.0,0.00878048780487805,0
25,taxa1082930,0,18,0.0,0.0175609756097561,0
26,taxa1091,0,54,0.0,0.05268292682926829,0
27,taxa1096776,0,0,0.0,0.0,0
28,taxa1111,0,28,0.0,0.027317073170731707,0
29,taxa1115103,1,6,0.00234192037470726,0.005853658536585366,0
30,taxa1121829,2,10,0.00468384074941452,0.00975609756097561,1.227291288657881e-05
31,taxa1123044,12,80,0.02810304449648712,0.07804878048780488,2.680035073616719e-05
32,taxa1129,26,204,0.06088992974238876,0.19902439024390245,2.2935874170954475e-05
33,taxa113286,1,23,0.00234192037470726,0.0224390243902439,0
34,taxa1134403,9,34,0.02107728337236534,0.033170731707317075,5.171788074068457e-06
35,taxa114248,0,16,0.0,0.015609756097560976,0
36,taxa1143004,0,0,0.0,0.0,0
37,taxa114627,90,104,0.2107728337236534,0.10146341463414635,3.3674328616855525e-05
38,taxa1156392,0,0,0.0,0.0,0
39,taxa1164863,0,8,0.0,0.007804878048780488,0
40,taxa1164882,35,293,0.08196721311475409,0.28585365853658534,2.1272073818233416e-05
41,taxa117563,137,680,0.32084309133489464,0.6634146341463415,3.760210350137727e-05
42,taxa118747,3,42,0.00702576112412178,0.04097560975609756,6.127951776864221e-06
43,taxa118966,72,54,0.1686182669789227,0.05268292682926829,2.4478451400882634e-05
44,taxa1190,0,18,0.0,0.0175609756097561,0
45,taxa1195526,0,0,0.0,0.0,0
46,taxa119977,46,17,0.10772833723653395,0.016585365853658537,5.85184584525056e-05
47,taxa1200657,0,15,0.0,0.014634146341463415,0
48,taxa1203,0,0,0.0,0.0,0
49,taxa120652,0,0,0.0,0.0,0
50,taxa120831,1,10,0.00234192037470726,0.00975609756097561,0
51,taxa120961,13,72,0.03044496487119438,0.0702439024390244,5.049796153382804e-06
52,taxa1210119,5,10,0.0117096018735363,0.00975609756097561,9.5035372257764e-06
53,taxa1213720,1,15,0.00234192037470726,0.014634146341463415,0
54,taxa1217416,0,1,0.0,0.000975609756097561,0
55,taxa1227,0,1,0.0,0.000975609756097561,0
56,taxa123375,77,193,0.18032786885245902,0.18829268292682927,1.942443841233292e-05
57,taxa1234,1,57,0.00234192037470726,0.055609756097560976,0
