item,logged_relative_abundance_diff,ancomP,mwu_diff_pvalue,mwu_logged_pvalue,qml_diff_pvalue,qml_logged_loads_diff,taxa,genus,family,order,class,taxaName
taxa990721,-2.392792675340233,1.0,1.1816347934319975e-07,1.1816347934319975e-07,1.4669498687265082e-10,-3.082792675340233,990721,Christensenella,Christensenellaceae,Clostridiales,Clostridia,Christensenella
taxa100175,-2.280796043119232,1.0,2.2302857853977667e-06,2.2302857853977667e-06,9.104214386115162e-09,-2.9707960431192313,100175,Papillibacter,Ruminococcaceae,Clostridiales,Clostridia,Papillibacter
taxa1508657,-1.4091797954429408,1.0,2.059029842814256e-08,2.059029842814256e-08,1.3549089721003484e-15,-2.0991797954429403,1508657,Ruminiclostridium,Ruminococcaceae,Clostridiales,Clostridia,Ruminiclostridium
taxa397864,-1.29445518876501,1.0,2.5751842189093522e-11,2.5751842189093522e-11,1.8790421441367015e-23,-1.9844551887650093,397864,Barnesiella,Porphyromonadaceae,Bacteroidales,Bacteroidia,Barnesiella
taxa846,-1.2537394769399717,0.0,0.0042704435319619975,0.0042704435319619975,3.0906957322351124e-05,-1.943739476939971,846,Oxalobacter,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Oxalobacter
taxa2172,-1.2087394146797459,1.0,4.9603125550396705e-05,4.9603125550396705e-05,1.4289565679621899e-08,-1.8987394146797456,2172,Methanobrevibacter,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Methanobrevibacter
taxa244127,-1.194617505707745,1.0,3.2392578156502915e-05,3.2392578156502915e-05,2.072057794552769e-11,-1.8846175057077448,244127,Anaerotruncus,Ruminococcaceae,Clostridiales,Clostridia,Anaerotruncus
taxa44249,-1.0354585353220127,0.0,0.0012640405032702134,0.0012640405032702134,1.1699924406264177e-07,-1.7254585353220122,44249,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Paenibacillus
taxa44748,-0.9497867473985496,1.0,0.015406184658600096,0.015406184658600096,5.353445059534582e-05,-1.6397867473985492,44748,Sporobacter,Ruminococcaceae,Clostridiales,Clostridia,Sporobacter
taxa577310,-0.8260587330915161,1.0,0.06838915559527024,0.06838915559527024,2.933974360140285e-05,-1.5160587330915156,577310,Parasutterella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Parasutterella
taxa2147,-0.4846159326916091,0.0,0.023520997513457417,0.023520997513457417,9.209478670810601e-05,-1.1746159326916086,2147,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Acholeplasma
taxa816,-0.4482206647634799,0.0,1.412318723993924e-11,1.412318723993924e-11,4.835265904119825e-44,-1.1382206647634794,816,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroides
taxa724,-0.37128902595301305,1.0,0.2672134641062289,0.2672134641062289,0.0027303007356041693,-1.0612890259530126,724,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Haemophilus
taxa1506577,-0.3560768212057237,0.0,0.7822059919692044,0.7822059919692044,0.4310181779160174,-1.0460768212057232,1506577,Tyzzerella,Lachnospiraceae,Clostridiales,Clostridia,Tyzzerella
taxa84111,-0.2826088107940645,1.0,0.4227240866637644,0.4227240866637644,0.0001364170694872739,-0.9726088107940641,84111,Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Eggerthella
taxa239759,-0.2446567711186649,1.0,0.0798872551737325,0.0798872551737325,2.254121180758769e-13,-0.9346567711186644,239759,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Alistipes
taxa1263,-0.1802711720599106,1.0,0.6845074902253923,0.6845074902253923,2.09930579839004e-05,-0.8702711720599101,1263,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Ruminococcus
taxa61170,-0.1514532993718607,1.0,0.548891287608855,0.548891287608855,6.4648118169786475e-06,-0.8414532993718602,61170,Holdemania,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Holdemania
taxa239934,-0.12960355303351268,0.0,0.23018926833105305,0.23018926833105305,0.0003613852743054973,-0.8196035530335122,239934,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Akkermansia
taxa1573535,-0.11436880620015445,0.0,0.3096075297709976,0.3096075297709976,0.0335728719268999,-0.8043688062001539,1573535,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Holdemanella
taxa420345,0.039868845977890637,0.0,0.7924255081869584,0.7924255081869584,0.029454126392472694,-0.6501311540221089,420345,Lactonifactor,Clostridiaceae,Clostridiales,Clostridia,Lactonifactor
taxa1578,0.09243820972717742,1.0,0.8920786930173309,0.8920786930173309,0.09745136013467476,-0.5975617902728221,1578,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Lactobacillus
taxa459786,0.1148108076304375,0.0,0.7347285206400099,0.7347285206400099,0.0004564448315897129,-0.575189192369562,459786,Oscillibacter,Oscillospiraceae,Clostridiales,Clostridia,Oscillibacter
