,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
0,taxa100175,130,14,0.3044496487119438,0.04713804713804714,0.0005646600745155623
1,taxa1004301,0,2,0.0,0.006734006734006734,0
2,taxa100883,143,97,0.33489461358313816,0.3265993265993266,7.256805666378799e-05
3,taxa101,1,9,0.00234192037470726,0.030303030303030304,0
4,taxa1011,0,3,0.0,0.010101010101010102,0
5,taxa1016,64,24,0.14988290398126464,0.08080808080808081,1.8601650438602745e-05
6,taxa1017280,76,23,0.17798594847775176,0.07744107744107744,3.784728718453205e-05
7,taxa1021,0,1,0.0,0.003367003367003367,0
8,taxa102106,381,169,0.892271662763466,0.569023569023569,0.004381220057187657
9,taxa104204,0,1,0.0,0.003367003367003367,0
10,taxa104264,0,5,0.0,0.016835016835016835,0
11,taxa1048757,0,1,0.0,0.003367003367003367,0
12,taxa1051,0,2,0.0,0.006734006734006734,0
13,taxa1054211,0,2,0.0,0.006734006734006734,0
14,taxa1055688,0,3,0.0,0.010101010101010102,0
15,taxa1060,0,3,0.0,0.010101010101010102,0
16,taxa106589,1,3,0.00234192037470726,0.010101010101010102,0
17,taxa106633,0,1,0.0,0.003367003367003367,0
18,taxa1068,0,2,0.0,0.006734006734006734,0
19,taxa107,0,1,0.0,0.003367003367003367,0
20,taxa1070,0,2,0.0,0.006734006734006734,0
21,taxa1073,12,8,0.02810304449648712,0.026936026936026935,1.3540928644894146e-05
22,taxa1077265,6,1,0.01405152224824356,0.003367003367003367,4.883087516998548e-06
23,taxa1081,0,1,0.0,0.003367003367003367,0
24,taxa1082702,0,1,0.0,0.003367003367003367,0
25,taxa1082930,0,1,0.0,0.003367003367003367,0
26,taxa1091,0,1,0.0,0.003367003367003367,0
27,taxa1096776,0,7,0.0,0.02356902356902357,0
28,taxa1111,0,5,0.0,0.016835016835016835,0
29,taxa1115103,1,4,0.00234192037470726,0.013468013468013467,0
30,taxa1121829,2,3,0.00468384074941452,0.010101010101010102,1.227291288657881e-05
31,taxa1123044,12,1,0.02810304449648712,0.003367003367003367,2.680035073616719e-05
32,taxa1129,26,20,0.06088992974238876,0.06734006734006734,2.2935874170954475e-05
33,taxa113286,1,6,0.00234192037470726,0.020202020202020204,0
34,taxa1134403,9,3,0.02107728337236534,0.010101010101010102,5.171788074068457e-06
35,taxa114248,0,1,0.0,0.003367003367003367,0
36,taxa1143004,0,1,0.0,0.003367003367003367,0
37,taxa114627,90,19,0.2107728337236534,0.06397306397306397,3.3674328616855525e-05
38,taxa1156392,0,1,0.0,0.003367003367003367,0
39,taxa1164863,0,11,0.0,0.037037037037037035,0
40,taxa1164882,35,15,0.08196721311475409,0.050505050505050504,2.1272073818233416e-05
41,taxa117563,137,83,0.32084309133489464,0.27946127946127947,3.760210350137727e-05
42,taxa118747,3,7,0.00702576112412178,0.02356902356902357,6.127951776864221e-06
43,taxa118966,72,11,0.1686182669789227,0.037037037037037035,2.4478451400882634e-05
44,taxa1190,0,2,0.0,0.006734006734006734,0
45,taxa1195526,0,2,0.0,0.006734006734006734,0
