item,value,type
qml_loads_delta,0.8499999999999996,qml_loads_delta
taxa102106,-0.5791594670330769,logged_relative_abundance_diff
taxa102106,0.2708405329669228,qml_logged_loads_diff
taxa102106,0.7002260556519938,qml_diff_pvalue
taxa102106,0.0027685100753114876,mwu_diff_pvalue
taxa102106,0.0027685100753114876,mwu_logged_pvalue
taxa1263,-4.1500979646366165,logged_relative_abundance_diff
taxa1263,-3.300097964636617,qml_logged_loads_diff
taxa1263,2.5016307957888933e-26,qml_diff_pvalue
taxa1263,2.62934444665592e-34,mwu_diff_pvalue
taxa1263,2.62934444665592e-34,mwu_logged_pvalue
taxa1301,-3.1154486266969776,logged_relative_abundance_diff
taxa1301,-2.265448626696978,qml_logged_loads_diff
taxa1301,1.8417937160831215e-09,qml_diff_pvalue
taxa1301,6.681188528796894e-15,mwu_diff_pvalue
taxa1301,6.681188528796894e-15,mwu_logged_pvalue
taxa1485,-1.5081152770783177,logged_relative_abundance_diff
taxa1485,-0.6581152770783181,qml_logged_loads_diff
taxa1485,0.011841180086264273,qml_diff_pvalue
taxa1485,1.5361273094183156e-07,mwu_diff_pvalue
taxa1485,1.5361273094183156e-07,mwu_logged_pvalue
taxa1654,-0.3257701880314272,logged_relative_abundance_diff
taxa1654,0.5242298119685724,qml_logged_loads_diff
taxa1654,0.25634528471568285,qml_diff_pvalue
taxa1654,0.29998966567171403,mwu_diff_pvalue
taxa1654,0.29998966567171403,mwu_logged_pvalue
taxa1678,-1.496854743848644,logged_relative_abundance_diff
taxa1678,-0.6468547438486443,qml_logged_loads_diff
taxa1678,0.0020891236797910334,qml_diff_pvalue
taxa1678,1.516805857833861e-07,mwu_diff_pvalue
taxa1678,1.516805857833861e-07,mwu_logged_pvalue
taxa1730,-2.5330609924841063,logged_relative_abundance_diff
taxa1730,-1.6830609924841067,qml_logged_loads_diff
taxa1730,2.117722417086714e-08,qml_diff_pvalue
taxa1730,1.9838969304394377e-18,mwu_diff_pvalue
taxa1730,1.9838969304394377e-18,mwu_logged_pvalue
taxa189330,-2.984846808257032,logged_relative_abundance_diff
taxa189330,-2.1348468082570324,qml_logged_loads_diff
taxa189330,1.2605121092165822e-16,qml_diff_pvalue
taxa189330,3.328250886439503e-27,mwu_diff_pvalue
taxa189330,3.328250886439503e-27,mwu_logged_pvalue
taxa216851,1.693563234178026,logged_relative_abundance_diff
taxa216851,2.5435632341780257,qml_logged_loads_diff
taxa216851,7.19243982103635e-36,qml_diff_pvalue
taxa216851,1.4845706063109903e-25,mwu_diff_pvalue
taxa216851,1.4845706063109903e-25,mwu_logged_pvalue
taxa239759,-0.8846435821616554,logged_relative_abundance_diff
taxa239759,-0.03464358216165575,qml_logged_loads_diff
taxa239759,0.11193639779995515,qml_diff_pvalue
taxa239759,0.0415438836896305,mwu_diff_pvalue
taxa239759,0.0415438836896305,mwu_logged_pvalue
taxa283168,0.3296390108627332,logged_relative_abundance_diff
taxa283168,1.1796390108627328,qml_logged_loads_diff
taxa283168,0.0046406329488339415,qml_diff_pvalue
taxa283168,0.5657464802654109,mwu_diff_pvalue
taxa283168,0.5657464802654109,mwu_logged_pvalue
taxa292632,1.5615570511145576,logged_relative_abundance_diff
taxa292632,2.411557051114557,qml_logged_loads_diff
taxa292632,0.021407657491237936,qml_diff_pvalue
taxa292632,0.6050257078550948,mwu_diff_pvalue
taxa292632,0.6050257078550948,mwu_logged_pvalue
taxa29465,0.2619624497510671,logged_relative_abundance_diff
taxa29465,1.1119624497510667,qml_logged_loads_diff
taxa29465,0.0007586071504702942,qml_diff_pvalue
taxa29465,0.37085948702099747,mwu_diff_pvalue
taxa29465,0.37085948702099747,mwu_logged_pvalue
taxa33042,-4.066493308469598,logged_relative_abundance_diff
taxa33042,-3.216493308469598,qml_logged_loads_diff
taxa33042,2.191533545582067e-24,qml_diff_pvalue
taxa33042,8.799349561714661e-33,mwu_diff_pvalue
taxa33042,8.799349561714661e-33,mwu_logged_pvalue
taxa35832,3.9190395011406425,logged_relative_abundance_diff
taxa35832,4.769039501140642,qml_logged_loads_diff
taxa35832,1.8051976716697426e-35,qml_diff_pvalue
taxa35832,1.2187780856961919e-27,mwu_diff_pvalue
taxa35832,1.2187780856961919e-27,mwu_logged_pvalue
taxa375288,-1.398224188038668,logged_relative_abundance_diff
taxa375288,-0.5482241880386685,qml_logged_loads_diff
taxa375288,0.0007466111072015589,qml_diff_pvalue
taxa375288,6.721786057115022e-14,mwu_diff_pvalue
taxa375288,6.721786057115022e-14,mwu_logged_pvalue
taxa397864,-3.454175433146922,logged_relative_abundance_diff
taxa397864,-2.6041754331469225,qml_logged_loads_diff
taxa397864,1.727206146114954e-16,qml_diff_pvalue
taxa397864,3.3165299614313555e-22,mwu_diff_pvalue
taxa397864,3.3165299614313555e-22,mwu_logged_pvalue
taxa40544,5.062181459375796,logged_relative_abundance_diff
taxa40544,5.9121814593757955,qml_logged_loads_diff
taxa40544,1.0995256082846288e-16,qml_diff_pvalue
taxa40544,5.261254608342712e-15,mwu_diff_pvalue
taxa40544,5.261254608342712e-15,mwu_logged_pvalue
taxa459786,-0.9006367887770796,logged_relative_abundance_diff
taxa459786,-0.05063678877708,qml_logged_loads_diff
taxa459786,0.5705943890148212,qml_diff_pvalue
taxa459786,0.00042317731907362186,mwu_diff_pvalue
taxa459786,0.00042317731907362186,mwu_logged_pvalue
taxa561,3.136751658705495,logged_relative_abundance_diff
taxa561,3.9867516587054945,qml_logged_loads_diff
taxa561,1.0668517414664714e-22,qml_diff_pvalue
