,taxa,genus,family,order,class
585,53634,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia
820,121038,Ferrimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia
536,467975,Iamia,Iamiaceae,Acidimicrobiales,Acidimicrobiia
640,643949,Ferrithrix,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia
659,682522,Ilumatobacter,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia
46,119977,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia
1283,119979,Thermithiobacillus,Thermithiobacillaceae,Acidithiobacillales,Acidithiobacillia
428,33973,Acidobacterium,Acidobacteriaceae,Acidobacteriales,Acidobacteriia
1431,388463,Edaphobacter,Acidobacteriaceae,Acidobacteriales,Acidobacteriia
473,392733,Terriglobus,Acidobacteriaceae,Acidobacteriales,Acidobacteriia
649,658061,Candidatus Koribacter,Acidobacteriaceae,Acidobacteriales,Acidobacteriia
757,940557,Granulicella,Acidobacteriaceae,Acidobacteriales,Acidobacteriia
787,1078830,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia
64,1269,Micrococcus,Micrococcaceae,Micrococcales,Actinobacteria
135,1573,Clavibacter,Microbacteriaceae,Micrococcales,Actinobacteria
888,1645,Renibacterium,Micrococcaceae,Micrococcales,Actinobacteria
164,1654,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria
170,1663,Arthrobacter,Micrococcaceae,Micrococcales,Actinobacteria
174,1678,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria
179,1696,Brevibacterium,Brevibacteriaceae,Micrococcales,Actinobacteria
180,1707,Cellulomonas,Cellulomonadaceae,Micrococcales,Actinobacteria
182,1716,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria
188,1743,Propionibacterium,Propionibacteriaceae,Propionibacteriales,Actinobacteria
190,1763,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria
196,1813,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
197,1817,Nocardia,Nocardiaceae,Corynebacteriales,Actinobacteria
200,1827,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria
202,1835,Saccharopolyspora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
203,1839,Nocardioides,Nocardioidaceae,Propionibacteriales,Actinobacteria
205,1847,Pseudonocardia,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
1421,1849,Actinopolyspora,Actinopolysporaceae,Actinopolysporales,Actinobacteria
208,1851,Saccharomonospora,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
923,1854,Frankia,Frankiaceae,Frankiales,Actinobacteria
925,1860,Geodermatophilus,Geodermatophilaceae,Geodermatophilales,Actinobacteria
1479,1862,Dermatophilus,Dermatophilaceae,Micrococcales,Actinobacteria
209,1865,Actinoplanes,Micromonosporaceae,Micromonosporales,Actinobacteria
216,1873,Micromonospora,Micromonosporaceae,Micromonosporales,Actinobacteria
219,1883,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria
239,1988,Actinomadura,Thermomonosporaceae,Streptosporangiales,Actinobacteria
241,2000,Streptosporangium,Streptosporangiaceae,Streptosporangiales,Actinobacteria
1484,2005,Microbispora,Streptosporangiaceae,Streptosporangiales,Actinobacteria
246,2013,Nocardiopsis,Nocardiopsaceae,Streptosporangiales,Actinobacteria
936,2019,Thermomonospora,Thermomonosporaceae,Streptosporangiales,Actinobacteria
1485,2029,Kibdelosporangium,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
250,2034,Curtobacterium,Microbacteriaceae,Micrococcales,Actinobacteria
940,2038,Tropheryma,unclassified Micrococcales,Micrococcales,Actinobacteria
942,2040,Aeromicrobium,Nocardioidaceae,Propionibacteriales,Actinobacteria
257,2044,Pimelobacter,Nocardioidaceae,Propionibacteriales,Actinobacteria
260,2050,Mobiluncus,Actinomycetaceae,Actinomycetales,Actinobacteria
261,2053,Gordonia,Gordoniaceae,Corynebacteriales,Actinobacteria
264,2060,Tsukamurella,Tsukamurellaceae,Corynebacteriales,Actinobacteria
265,2063,Kitasatospora,Streptomycetaceae,Streptomycetales,Actinobacteria
949,2071,Saccharothrix,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
344,2701,Gardnerella,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria
837,13242,Rarobacter,Rarobacteraceae,Micrococcales,Actinobacteria
1014,28048,Acidothermus,Acidothermaceae,Acidothermales,Actinobacteria
1023,28263,Arcanobacterium,Actinomycetaceae,Actinomycetales,Actinobacteria
1040,29404,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinobacteria
405,32207,Rothia,Micrococcaceae,Micrococcales,Actinobacteria
423,33877,Agromyces,Microbacteriaceae,Micrococcales,Actinobacteria
424,33882,Microbacterium,Microbacteriaceae,Micrococcales,Actinobacteria
425,33886,Rathayibacter,Microbacteriaceae,Micrococcales,Actinobacteria
429,33981,Kineococcus,Kineosporiaceae,Kineosporiales,Actinobacteria
1067,33983,Luteococcus,Propionibacteriaceae,Propionibacteriales,Actinobacteria
1076,35750,Sporichthya,Sporichthyaceae,Frankiales,Actinobacteria
1077,35753,Dactylosporangium,Micromonosporaceae,Micromonosporales,Actinobacteria
457,36739,Dermabacter,Dermabacteraceae,Micrococcales,Actinobacteria
466,37914,Dietzia,Dietziaceae,Corynebacteriales,Actinobacteria
467,37924,Thermocrispum,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
1094,38501,Blastococcus,Geodermatophilaceae,Geodermatophilales,Actinobacteria
507,43668,Brachybacterium,Dermabacteraceae,Micrococcales,Actinobacteria
1115,43673,Jonesia,Jonesiaceae,Micrococcales,Actinobacteria
1116,43676,Promicromonospora,Promicromonosporaceae,Micrococcales,Actinobacteria
535,46352,Agrococcus,Microbacteriaceae,Micrococcales,Actinobacteria
554,49184,Kineosporia,Kineosporiaceae,Kineosporiales,Actinobacteria
1164,53357,Intrasporangium,Intrasporangiaceae,Micrococcales,Actinobacteria
1373,53365,Catellatospora,Micromonosporaceae,Micromonosporales,Actinobacteria
1374,53387,Friedmanniella,Nocardioidaceae,Propionibacteriales,Actinobacteria
1376,53456,Propioniferax,Propionibacteriaceae,Propionibacteriales,Actinobacteria
582,53457,Janibacter,Intrasporangiaceae,Micrococcales,Actinobacteria
583,53460,Nakamurella,Nakamurellaceae,Nakamurellales,Actinobacteria
597,55968,Leucobacter,Microbacteriaceae,Micrococcales,Actinobacteria
1174,56433,Couchioplanes,Micromonosporaceae,Micromonosporales,Actinobacteria
604,57493,Kocuria,Micrococcaceae,Micrococcales,Actinobacteria
605,57494,Nesterenkonia,Micrococcaceae,Micrococcales,Actinobacteria
1179,57499,Kytococcus,Dermacoccaceae,Micrococcales,Actinobacteria
612,58108,Actinocorallia,Thermomonosporaceae,Streptosporangiales,Actinobacteria
613,58113,Glycomyces,Glycomycetaceae,Glycomycetales,Actinobacteria
1530,58122,Spirillospora,Thermomonosporaceae,Streptosporangiales,Actinobacteria
1185,59613,Skermania,Gordoniaceae,Corynebacteriales,Actinobacteria
628,60919,Sanguibacter,Sanguibacteraceae,Micrococcales,Actinobacteria
1535,63958,Demetria,Dermacoccaceae,Micrococcales,Actinobacteria
1206,65496,Actinoalloteichus,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
646,65502,Cryptosporangium,Cryptosporangiaceae,Frankiales,Actinobacteria
1549,69578,Cryobacterium,Microbacteriaceae,Micrococcales,Actinobacteria
1225,72763,Tessaracoccus,Propionibacteriaceae,Propionibacteriales,Actinobacteria
687,76634,Mycetocola,Microbacteriaceae,Micrococcales,Actinobacteria
690,76833,Actinobaculum,Actinomycetaceae,Actinomycetales,Actinobacteria
1241,83677,Thermobifida,Nocardiopsaceae,Streptosporangiales,Actinobacteria
712,83681,Nonomuraea,Streptosporangiaceae,Streptosporangiales,Actinobacteria
1542,84593,Verrucosispora,Micromonosporaceae,Micromonosporales,Actinobacteria
1245,84756,Beutenbergia,Beutenbergiaceae,Micrococcales,Actinobacteria
1406,85043,Williamsia,Williamsiaceae,Corynebacteriales,Actinobacteria
738,86795,Marmoricola,Nocardioidaceae,Propionibacteriales,Actinobacteria
1255,88138,Modestobacter,Geodermatophilaceae,Geodermatophilales,Actinobacteria
1410,99479,Tetrasphaera,Intrasporangiaceae,Micrococcales,Actinobacteria
9,104204,Streptomonospora,Nocardiopsaceae,Streptosporangiales,Actinobacteria
795,110932,Leifsonia,Microbacteriaceae,Micrococcales,Actinobacteria
1550,110934,Agreia,Microbacteriaceae,Micrococcales,Actinobacteria
1457,116071,Micropruina,Nocardioidaceae,Propionibacteriales,Actinobacteria
1416,117156,Actinopolymorpha,Nocardioidaceae,Propionibacteriales,Actinobacteria
60,125287,Ornithinimicrobium,Intrasporangiaceae,Micrococcales,Actinobacteria
1289,130795,Crossiella,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
86,136099,Knoellia,Intrasporangiaceae,Micrococcales,Actinobacteria
97,142577,Prauserella,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria
1294,144193,Turicella,Corynebacteriaceae,Corynebacteriales,Actinobacteria
865,147067,Thermobispora,Actinobacteria incertae sedis,Actinobacteria,Actinobacteria
1301,154116,Georgenia,Bogoriellaceae,Micrococcales,Actinobacteria
1304,157920,Cellulosimicrobium,Promicromonosporaceae,Micrococcales,Actinobacteria
