accession_id,ncbi_taxon_id_644652,ncbi_taxon_id_1654,ncbi_taxon_id_1279384,ncbi_taxon_id_1716,ncbi_taxon_id_416916,ncbi_taxon_id_1283313,ncbi_taxon_id_836,ncbi_taxon_id_544,ncbi_taxon_id_248744,ncbi_taxon_id_1263,ncbi_taxon_id_29465,ncbi_taxon_id_1301,ncbi_taxon_id_570,ncbi_taxon_id_906,ncbi_taxon_id_620,ncbi_taxon_id_674963,ncbi_taxon_id_724,ncbi_taxon_id_150022,ncbi_taxon_id_580024,ncbi_taxon_id_117563,ncbi_taxon_id_561,ncbi_taxon_id_196081,ncbi_taxon_id_40544,ncbi_taxon_id_-1,ncbi_taxon_id_841,ncbi_taxon_id_846,ncbi_taxon_id_46123,ncbi_taxon_id_2172,ncbi_taxon_id_1678,ncbi_taxon_id_61170,ncbi_taxon_id_713,ncbi_taxon_id_574697,ncbi_taxon_id_1243,ncbi_taxon_id_1253,ncbi_taxon_id_1378,ncbi_taxon_id_543311,ncbi_taxon_id_419014,ncbi_taxon_id_191303,ncbi_taxon_id_52225,ncbi_taxon_id_1578,ncbi_taxon_id_459786,ncbi_taxon_id_2038,ncbi_taxon_id_397864,ncbi_taxon_id_46255,ncbi_taxon_id_28196,ncbi_taxon_id_1298,ncbi_taxon_id_577309,ncbi_taxon_id_207244,ncbi_taxon_id_940557,ncbi_taxon_id_158846,ncbi_taxon_id_84111,ncbi_taxon_id_162289,ncbi_taxon_id_1380,ncbi_taxon_id_239934,ncbi_taxon_id_286,ncbi_taxon_id_292632,ncbi_taxon_id_33024,ncbi_taxon_id_568,ncbi_taxon_id_375288,ncbi_taxon_id_838,ncbi_taxon_id_482,ncbi_taxon_id_194,ncbi_taxon_id_946234,ncbi_taxon_id_248038,ncbi_taxon_id_904,ncbi_taxon_id_1743,ncbi_taxon_id_123375,ncbi_taxon_id_216851,ncbi_taxon_id_2316,ncbi_taxon_id_872,ncbi_taxon_id_1164882,ncbi_taxon_id_100883,ncbi_taxon_id_2753,ncbi_taxon_id_35832,ncbi_taxon_id_970,ncbi_taxon_id_583,ncbi_taxon_id_469,ncbi_taxon_id_1279,ncbi_taxon_id_135858,ncbi_taxon_id_1348911,ncbi_taxon_id_39948,ncbi_taxon_id_174708,ncbi_taxon_id_209,ncbi_taxon_id_830,ncbi_taxon_id_1730,ncbi_taxon_id_239759,ncbi_taxon_id_84108,ncbi_taxon_id_264995,ncbi_taxon_id_29521,ncbi_taxon_id_547,ncbi_taxon_id_1213720,ncbi_taxon_id_160674,ncbi_taxon_id_1017280,ncbi_taxon_id_283168,ncbi_taxon_id_156973,ncbi_taxon_id_244127,ncbi_taxon_id_577310,ncbi_taxon_id_1357,ncbi_taxon_id_816,ncbi_taxon_id_32207,ncbi_taxon_id_1350,ncbi_taxon_id_447020,ncbi_taxon_id_1485,ncbi_taxon_id_580596,ncbi_taxon_id_848,ncbi_taxon_id_118747,ncbi_taxon_id_1257,ncbi_taxon_id_189330,ncbi_taxon_id_102106,ncbi_taxon_id_133925,ncbi_taxon_id_33042,ncbi_taxon_id_2701,ncbi_taxon_id_572511,ncbi_taxon_id_265975,ncbi_taxon_id_157,ncbi_taxon_id_283,ncbi_taxon_id_53335,group
ERR321546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13625,0.00025,0.001599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011189,0.0,0.0118242,0.019487400000000002,0.0454377,6.27e-05,0.0,0.0,0.101414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43e-05,0.0,3.3999999999999996e-06,0.008758700000000001,0.0,0.023753900000000005,0.0,0.0,0.0,0.0,0.00025069999999999997,0.0,0.0,0.0,0.0,0.0,0.003242,0.0,0.0793329,0.0,0.0,0.0197697,1.37e-05,0.0,0.0,0.00023490000000000002,0.0,0.0,0.0,0.0,0.189391,0.0,0.0,0.0,0.0,0.0,0.0001935,0.0,0.0,0.0,0.0,0.0,0.0033655,0.0,0.0,0.0,0.0,0.113855,0.07303760000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00041510000000000006,0.0020224,0.0,0.0001403,0.0,7.599999999999999e-06,0.07066489999999999,7.58e-05,0.0,0.0005597000000000001,0.0008576,0.0,0.0,0.0,0.0,0.007104399999999999,0.015290999999999999,0.0,0.044955300000000004,0.0,0.025196099999999996,0.0,0.0,0.0,0.0,Obesity
ERR321436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089146,0.0,0.0,0.0,0.0100247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037732,0.0058399,0.0,0.0,0.0005825,0.0004668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095214,0.0004168,0.0,0.0,0.0007754999999999999,0.0,0.0,0.0,0.0062253000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0004923,0.0,0.048206,0.0030068,0.0,0.0056461,0.542168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138897,0.0,0.0,0.0,0.0,0.0,0.00028649999999999997,0.0,0.0,0.0,0.0,0.003985,0.0005162000000000001,0.0,0.0,0.0,0.190959,0.0922236,0.0011474,0.0,0.0,0.0001315,0.0,0.0,0.0,0.0,0.0007622000000000001,0.0,0.0,0.0,0.0,0.0439981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00223,0.0003617,0.0,0.0009592,0.0,0.0024901,0.0,0.0,0.0,0.0,Obesity
ERR321522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03406,0.0,0.0032906999999999997,2.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003866,0.0144523,0.016929299999999998,0.0,0.0,0.0,0.00014819999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0430953,0.0,0.0,0.0,0.0,0.0009362000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19050899999999998,0.0,0.0,0.0609825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004220100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287162,0.0058007,0.018694699999999998,0.0,0.0,0.0,0.061949,0.006845899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021564200000000002,0.0,0.0,8.159999999999999e-05,0.0010096,0.296845,0.0,0.0,0.0,0.156777,0.0,0.0,0.0,0.0,0.008782700000000001,0.0,0.0,0.0086813,0.0,0.0152149,0.0,0.0,0.0,0.0,Obesity
ERR321440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07117889999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128112,0.009574899999999999,0.0007030000000000001,0.0,0.0428127,0.0128928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033889999999999994,0.0,0.0032464,0.0,0.0,0.0,0.0125318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07177660000000001,0.08269730000000002,0.0,0.0062835,0.0207051,0.0,0.0,0.0,0.0,0.005055500000000001,0.0,0.0,0.0263538,0.0006450000000000001,0.0003991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008288999999999999,0.0,0.0,0.0,0.0,0.458947,0.0562225,0.0034016999999999997,0.0,0.0,0.0013382,0.0,0.0,0.0,0.0,0.0009258999999999999,0.0,0.0008345,0.0,0.0,0.0330424,0.0,0.0,0.0,0.044787600000000004,0.0,0.0,0.0,0.0,0.007141,0.0017445,0.0,0.006203800000000001,0.0,0.004575,0.0,0.0,0.0,0.0,Health
ERR321312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32282299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0940197,0.0162523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405029,0.0,0.0,0.019731900000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009075100000000001,0.0,0.0,0.0,0.0,0.146274,0.0,0.0,0.0,0.048399199999999996,0.0,0.0,0.0,0.0,0.0351381,0.0,0.0,0.0005777,0.0,0.0418208,0.0,0.0,0.0,0.0,Obesity
ERR321594,4.9199999999999997e-05,0.0,0.0,0.0,0.0,0.0,1.65e-05,0.0,0.0,0.0297159,4.02e-05,0.00024160000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033668000000000005,0.015323400000000001,0.0566589,4.19e-05,0.0,0.0,0.0063266,0.0003726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017025,0.0,0.0095606,0.0,0.0,0.0,0.0,0.0004781000000000001,0.0,0.0044241,0.0,0.0,0.0,0.00046080000000000003,0.0,0.107166,0.08034469999999999,0.0,0.0381542,0.35212499999999997,0.0,0.0,1.5100000000000001e-05,0.0,0.0,0.0,0.0,0.027567400000000002,0.0,0.0007518999999999999,0.0,0.0,0.0,0.0023686999999999996,0.0,0.0,0.0,0.0,0.0,6.15e-05,0.0,0.0,0.0,6.25e-05,0.10058199999999999,0.07672330000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.7499999999999998e-05,0.0056998000000000005,0.0,0.0006397,1.87e-05,0.0,0.0418503,0.0,0.0,0.0,0.0025538,0.0,0.0,0.0,0.0,0.0042977,0.0036525999999999998,0.0,0.0104846,0.0,0.0160744,0.0,0.0,0.0,0.0,Health
ERR321455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149261,0.0,2.96e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172822,0.0096755,0.0048204,0.0,0.0,0.0,0.026235300000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004208,0.0,0.0096049,0.0,0.012619400000000001,0.0,0.0,0.0,0.0095424,0.0005742000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037019,0.0,0.0,0.24808599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418904,0.0,0.0011154000000000001,0.0,0.0,0.0,0.005344100000000001,0.0,0.0,0.0,0.0,0.0,0.015691200000000002,0.10994999999999999,0.0,0.0,0.0,0.05606409999999999,0.08851200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009442,0.0,0.0,0.0,0.0,0.26555999999999996,0.0,0.0,0.00015719999999999997,0.000516,0.0,0.0,0.0,0.0,0.0028088,0.0015245,0.0,0.0052372,0.0,0.0053515,0.0,0.0,0.0,0.0,Obesity
ERR321401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024933999999999998,0.0063945,0.002401,0.0,0.021787099999999997,0.0,0.0,0.018100900000000003,0.0,0.0,0.0,0.0001838,0.0,0.0120248,0.046319,0.0670252,0.0,0.0,0.0,0.0098035,3.2600000000000006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.329999999999999e-05,0.0,4.58e-05,0.0016129000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0007393999999999999,0.0,0.0,0.0,0.0,0.0,0.0001245,0.0,0.055839400000000004,0.021785400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039689,0.0,0.0,0.120409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18217,0.0245159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001241,0.0,0.0,0.0,0.00033639999999999994,0.344244,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.0,0.0023463,0.0018117,0.0,0.0245167,0.0,0.0050234,0.0,0.0,0.0,0.0,Obesity
ERR321458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04726690000000001,0.0042433,0.0018991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0388332,0.0510237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047512,0.0,0.0,0.0,0.0,0.0,0.0,0.0077185000000000005,0.0079925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0538561,0.0179692,0.0,0.011680900000000001,0.144962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009835299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017194400000000002,0.0,0.0,0.0,0.0,0.0,0.14757,0.0035883000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027439,0.0,0.0,0.0,0.0,0.135107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008882399999999999,0.0,0.0,0.253396,0.0,0.029487299999999998,0.0,0.0,0.0,0.0,Obesity
ERR321174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000001e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806168,0.0,0.0,0.0,0.0069868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overweight
