accession_id,ncbi_taxon_id_644652,ncbi_taxon_id_1654,ncbi_taxon_id_1716,ncbi_taxon_id_416916,ncbi_taxon_id_1283313,ncbi_taxon_id_836,ncbi_taxon_id_544,ncbi_taxon_id_156454,ncbi_taxon_id_1263,ncbi_taxon_id_29465,ncbi_taxon_id_1301,ncbi_taxon_id_570,ncbi_taxon_id_47670,ncbi_taxon_id_581,ncbi_taxon_id_698776,ncbi_taxon_id_906,ncbi_taxon_id_620,ncbi_taxon_id_724,ncbi_taxon_id_150022,ncbi_taxon_id_580024,ncbi_taxon_id_117563,ncbi_taxon_id_561,ncbi_taxon_id_44249,ncbi_taxon_id_196081,ncbi_taxon_id_40544,ncbi_taxon_id_-1,ncbi_taxon_id_48736,ncbi_taxon_id_538,ncbi_taxon_id_841,ncbi_taxon_id_846,ncbi_taxon_id_46123,ncbi_taxon_id_2172,ncbi_taxon_id_1678,ncbi_taxon_id_61170,ncbi_taxon_id_713,ncbi_taxon_id_574697,ncbi_taxon_id_1243,ncbi_taxon_id_1378,ncbi_taxon_id_1253,ncbi_taxon_id_543311,ncbi_taxon_id_76833,ncbi_taxon_id_419014,ncbi_taxon_id_590,ncbi_taxon_id_191303,ncbi_taxon_id_52225,ncbi_taxon_id_1578,ncbi_taxon_id_459786,ncbi_taxon_id_84162,ncbi_taxon_id_397864,ncbi_taxon_id_46255,ncbi_taxon_id_165779,ncbi_taxon_id_1298,ncbi_taxon_id_577309,ncbi_taxon_id_207244,ncbi_taxon_id_177971,ncbi_taxon_id_158846,ncbi_taxon_id_201096,ncbi_taxon_id_84111,ncbi_taxon_id_162289,ncbi_taxon_id_1380,ncbi_taxon_id_239934,ncbi_taxon_id_286,ncbi_taxon_id_292632,ncbi_taxon_id_33024,ncbi_taxon_id_44471,ncbi_taxon_id_568,ncbi_taxon_id_375288,ncbi_taxon_id_838,ncbi_taxon_id_194,ncbi_taxon_id_482,ncbi_taxon_id_946234,ncbi_taxon_id_1743,ncbi_taxon_id_904,ncbi_taxon_id_123375,ncbi_taxon_id_216851,ncbi_taxon_id_613,ncbi_taxon_id_872,ncbi_taxon_id_1164882,ncbi_taxon_id_100883,ncbi_taxon_id_113286,ncbi_taxon_id_35832,ncbi_taxon_id_970,ncbi_taxon_id_583,ncbi_taxon_id_1279,ncbi_taxon_id_135858,ncbi_taxon_id_1348911,ncbi_taxon_id_39948,ncbi_taxon_id_830,ncbi_taxon_id_1730,ncbi_taxon_id_239759,ncbi_taxon_id_2129,ncbi_taxon_id_84108,ncbi_taxon_id_40323,ncbi_taxon_id_586,ncbi_taxon_id_264995,ncbi_taxon_id_57493,ncbi_taxon_id_1213720,ncbi_taxon_id_547,ncbi_taxon_id_160674,ncbi_taxon_id_1017280,ncbi_taxon_id_283168,ncbi_taxon_id_156973,ncbi_taxon_id_244127,ncbi_taxon_id_1357,ncbi_taxon_id_577310,ncbi_taxon_id_816,ncbi_taxon_id_2717,ncbi_taxon_id_32207,ncbi_taxon_id_1350,ncbi_taxon_id_447020,ncbi_taxon_id_1485,ncbi_taxon_id_580596,ncbi_taxon_id_848,ncbi_taxon_id_1257,ncbi_taxon_id_189330,ncbi_taxon_id_102106,ncbi_taxon_id_133925,ncbi_taxon_id_33042,ncbi_taxon_id_2701,ncbi_taxon_id_572511,ncbi_taxon_id_265975,ncbi_taxon_id_629,ncbi_taxon_id_53335,group
SRR5650140,0.0004397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385059,0.0010842,0.035579900000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0021143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818701,0.0,0.0,0.0077014,0.0,0.0,0.0,0.13658099999999998,0.0002905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017957000000000001,0.0011498,0.0,0.0,0.0,0.0,0.0,0.0,0.0010327000000000001,0.0,0.0,0.0,0.0003391,0.0,0.0,0.0,0.0,0.10203799999999999,0.0,0.0,0.0,0.0062417,0.0,0.0,0.0,3.54e-05,0.0,0.0,0.0,0.0716827,0.0,0.0,0.0,0.0,0.0,0.0005616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298898,0.0261557,0.0,0.0019532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71e-05,0.0,0.0002468,0.0,0.0003043,0.11774000000000001,0.0,7.049999999999999e-05,0.0,0.0008897000000000001,0.0022619,0.0,0.0,0.0,0.0063354,0.0283174,0.0,0.008204399999999999,0.0,0.019511599999999997,0.0,0.0,0.0,Inflammatory Bowel Diseases
SRR5650131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011910999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060202,0.0,0.0,0.0399095,0.0,0.0,0.0,0.11433299999999999,5.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025689999999999996,0.0065435,0.0,0.0,0.0,0.0,0.0,0.0,0.0005679,0.0,0.0,0.0,0.0027775,0.0,0.0,0.0033074000000000003,0.0,0.010954600000000002,0.0,0.0,0.0,0.16715699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112981,0.0,0.0,0.0,0.0058728999999999995,0.0,0.0017292000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0894483,0.062261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34954,0.0,0.0,0.0,0.0,0.0041152,0.0,0.0,0.0,0.0017285999999999998,0.0,0.0,0.0,0.0,0.019245400000000003,0.0,0.0,0.0,Inflammatory Bowel Diseases
SRR5650127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709203,9.15e-05,0.0012745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005249199999999999,0.0,0.0,0.0133215,0.0,0.0,0.0,0.0125194,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021189000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0003798,0.0,0.0,0.0,0.0018724000000000002,0.0,0.0,0.000145,0.0,0.039963,0.0,0.0,0.0,0.087482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105115,0.0,0.0,0.0,0.005281899999999999,0.0,0.005507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319993,0.081623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209461,0.0,0.0,0.0,0.0,0.0149359,0.0,0.0,0.0,0.0010762,0.0,0.0,0.0,0.0,0.021457900000000002,0.0,0.0,0.0,Inflammatory Bowel Diseases
SRR5651409,0.0,0.0,0.0,0.0005997,0.0,0.0,0.030956099999999997,0.0,0.0,0.209753,0.0272022,0.0,0.0,0.0,0.0,0.0010052,0.0,0.030343,0.0,0.0,0.0,0.0008322000000000001,0.0,0.0,0.0,0.0047647,0.0,0.0,0.0,0.0,0.0,0.0,0.0235765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020569999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015780000000000001,0.0,0.0,0.0029358,0.0,0.0,0.0,0.0,0.0,0.0007825,0.0,0.0,0.0,0.0,0.0,0.06067,0.0,0.0,0.0,0.0171515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06571060000000001,0.0,0.0,0.0,0.0,0.126764,0.0,0.0,0.0,Inflammatory Bowel Diseases
SRR5650097,0.0010676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0994563,0.0,0.011490400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000433,0.0,0.0,0.0,0.0292917,0.0,0.0,0.0042502,0.0,0.0,0.0,0.0,0.00026910000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018775999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0008376,0.0,0.0,0.0,0.0019946,0.0,0.0,0.0,0.0,0.0678707,0.0,0.0,0.0,0.0191714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149733,0.040018000000000005,0.0,0.0,0.0,0.0,8.25e-05,0.0,0.0,0.0,0.0,0.0,0.0085432,0.0,0.0,0.0,0.0,0.281651,0.0,0.0,0.0,0.0064088999999999995,0.0007446,0.0,0.0,0.0,0.010744700000000001,0.0030825999999999996,0.0,0.023078699999999997,0.0,0.0684951,0.0,0.0,0.0,Inflammatory Bowel Diseases
SRR5651452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051376,0.0,0.0,0.0,0.0054001,0.0,0.0,0.0104901,0.0,0.0,0.0,0.17347200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094257,0.0,0.0,0.0,0.0078037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013592899999999998,0.0,0.0,0.0,0.0227975,0.0,0.0,0.0,0.0,0.0,0.0192155,0.0,0.224034,0.0,0.0,0.0,0.0,0.0,0.0030768,0.0,0.0,0.0,0.0,0.0,0.0274127,0.0,0.025988599999999997,0.124764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008250799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Health
SRR5650056,0.0007078999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067722,0.0,0.0015944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431961,0.0,0.0,0.032642199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002143,0.0,0.0,0.0032024999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.022110599999999998,0.0,0.0,0.0,0.0192377,0.0,0.0,0.0,0.0,0.0055081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036568,0.0,0.0,0.0,0.048251800000000004,0.0,0.0,0.0,0.0032646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011978,0.0,0.47178600000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008776000000000001,0.0004873,0.0,0.0625639,0.0,0.0,0.0,0.024034200000000002,0.0003914,0.0,0.0,0.0,0.0476789,0.0,0.0,0.06381,0.0,0.0758641,0.0,0.0,0.0,Inflammatory Bowel Diseases
SRR5651436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031711,0.0,0.0,0.0031453,0.0,0.0,0.0,0.0009212999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056557000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046295,0.0,0.0006027000000000001,0.0,0.0,0.0,0.0405654,0.0,0.0,0.0,0.0015695000000000001,0.0,0.0,0.0,0.012738399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011637100000000001,0.0,0.0,0.0518749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026700000000000004,0.0,0.0,0.0,0.0,0.0,Health
SRR5651449,0.000124,0.0,0.0,0.0,0.0,8.93e-05,0.0,0.0,0.0966185,0.0003438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008252000000000001,0.0,0.0,0.0,0.005012300000000001,0.0,0.0,0.0,0.0105335,0.0,0.0,0.002411,0.0,0.0,0.0,0.0512245,0.0027449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054585,0.0,0.0,0.0,0.0,0.0,0.0,0.000601,0.0,0.0,0.0,0.0010624000000000002,0.0,0.0,0.08671229999999999,0.0,0.0497667,0.0,0.0,0.0,0.062363499999999995,0.0,0.0,0.0,0.0006441000000000001,0.0,0.0,0.0,0.11500400000000001,0.0,0.0,0.0,0.0,0.0,0.014223099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237196,0.12478600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081588,0.0,0.0010585,0.0,0.0,0.25360099999999997,0.0,0.0,0.0,0.0029701,0.0164393,0.0,0.0,0.0,0.0134399,0.0012737999999999998,0.0,0.015155299999999998,0.0,0.033634800000000006,0.0,0.0,0.0,Health
SRR5651420,0.00023819999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38840600000000003,0.0,0.0017413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05e-05,0.0,0.0,0.0,0.0077172,0.0,0.0,0.014061999999999998,0.0,0.0,0.0,0.0705115,4.3100000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.520000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0156047,0.0,0.0,0.0,0.0024107,0.0,0.0,0.0,0.0,0.0699902,0.0,0.0,0.0,0.0024173000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15642699999999998,0.0,0.0,0.0,0.0004702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0642124,0.0,0.010659499999999999,0.0128633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0739947,0.0,0.0,0.0,0.0008959,0.0019627,0.0,0.0,0.0,0.015061200000000002,0.013674299999999999,0.0,0.0,0.0,0.0765013,0.0,0.0,0.0,Health
