accession_id,ncbi_taxon_id_1654,ncbi_taxon_id_416916,ncbi_taxon_id_1283313,ncbi_taxon_id_836,ncbi_taxon_id_544,ncbi_taxon_id_156454,ncbi_taxon_id_1263,ncbi_taxon_id_29465,ncbi_taxon_id_1301,ncbi_taxon_id_570,ncbi_taxon_id_581,ncbi_taxon_id_906,ncbi_taxon_id_620,ncbi_taxon_id_724,ncbi_taxon_id_117563,ncbi_taxon_id_642,ncbi_taxon_id_561,ncbi_taxon_id_196081,ncbi_taxon_id_40544,ncbi_taxon_id_-1,ncbi_taxon_id_538,ncbi_taxon_id_35823,ncbi_taxon_id_841,ncbi_taxon_id_846,ncbi_taxon_id_2172,ncbi_taxon_id_1678,ncbi_taxon_id_61170,ncbi_taxon_id_713,ncbi_taxon_id_574697,ncbi_taxon_id_1243,ncbi_taxon_id_1253,ncbi_taxon_id_543311,ncbi_taxon_id_419014,ncbi_taxon_id_191303,ncbi_taxon_id_52225,ncbi_taxon_id_1578,ncbi_taxon_id_459786,ncbi_taxon_id_397864,ncbi_taxon_id_46255,ncbi_taxon_id_1298,ncbi_taxon_id_577309,ncbi_taxon_id_207244,ncbi_taxon_id_158846,ncbi_taxon_id_84111,ncbi_taxon_id_162289,ncbi_taxon_id_1380,ncbi_taxon_id_239934,ncbi_taxon_id_286,ncbi_taxon_id_292632,ncbi_taxon_id_33024,ncbi_taxon_id_568,ncbi_taxon_id_375288,ncbi_taxon_id_838,ncbi_taxon_id_194,ncbi_taxon_id_482,ncbi_taxon_id_946234,ncbi_taxon_id_904,ncbi_taxon_id_1743,ncbi_taxon_id_216851,ncbi_taxon_id_872,ncbi_taxon_id_100883,ncbi_taxon_id_35832,ncbi_taxon_id_583,ncbi_taxon_id_469,ncbi_taxon_id_1279,ncbi_taxon_id_135858,ncbi_taxon_id_1348911,ncbi_taxon_id_39948,ncbi_taxon_id_32008,ncbi_taxon_id_830,ncbi_taxon_id_1730,ncbi_taxon_id_239759,ncbi_taxon_id_84108,ncbi_taxon_id_586,ncbi_taxon_id_547,ncbi_taxon_id_1017280,ncbi_taxon_id_283168,ncbi_taxon_id_156973,ncbi_taxon_id_244127,ncbi_taxon_id_582472,ncbi_taxon_id_577310,ncbi_taxon_id_1357,ncbi_taxon_id_816,ncbi_taxon_id_32207,ncbi_taxon_id_1350,ncbi_taxon_id_447020,ncbi_taxon_id_1485,ncbi_taxon_id_580596,ncbi_taxon_id_848,ncbi_taxon_id_1257,ncbi_taxon_id_189330,ncbi_taxon_id_102106,ncbi_taxon_id_133925,ncbi_taxon_id_33042,ncbi_taxon_id_2701,ncbi_taxon_id_572511,ncbi_taxon_id_53335,group
SRR5983267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0036254000000000004,0.0,0.0,0.0011002,0.0,0.0,6.529999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8599999999999995e-05,0.0,0.0,0.0015646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054730000000000004,0.0,0.0,0.0330757,0.0021279999999999997,0.0,0.0,0.0009523,0.0,0.0,0.008648600000000001,0.0,0.0,0.0025036999999999998,0.0,0.0,0.0,0.0,0.0,0.011466399999999998,0.0,0.0,0.0,0.09582460000000001,0.0,0.0,0.0,0.0,0.0040913,0.0,0.0,0.0,0.0004704,0.0,0.827724,0.0,0.0,0.0,0.0007587999999999999,0.0,0.0,0.0,0.0002607,0.0,0.0,0.0,0.0,0.00014439999999999999,0.0,nonIBD
SRR5983304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046919999999999997,0.0,0.009068799999999998,0.0074026000000000005,0.0,0.0,0.0317856,0.0,0.0,0.0,0.0010249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464351,0.0,0.025180700000000004,0.0,0.0,0.10384499999999999,0.178993,0.0,0.0,0.0022370000000000003,0.0,0.0,0.0163331,0.0043019,0.0,0.0028494999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019859599999999998,0.0,0.0,0.0,0.0,0.000949,0.0,0.0015056,0.0,0.0,0.0,0.5010370000000001,0.0,0.0,0.0,0.024396,0.0,0.0,0.0,0.0021644000000000004,0.0028260000000000004,0.0,0.0,0.0,0.0081487,0.0,Crohn Disease
SRR5983280,0.0,0.0,0.0,0.0,0.0,0.0,0.057778800000000005,0.0015919,0.0,0.0,0.0,0.0,0.0,0.0006733,0.0,0.0,0.0001217,0.0,0.0,0.005700800000000001,0.0,0.0,0.0038433,0.0,0.0,0.0002374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004267,0.0,0.0,0.0,0.0,0.002232,0.0,0.0,0.0,0.0,0.0010487,0.0,0.0163455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129311,0.0,0.0,0.0006607000000000001,0.0,0.0,0.0,0.0,0.0,0.0022093,0.0,0.0,0.20540299999999997,0.0109398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004081,0.0,0.5380590000000001,0.0,0.0,0.0,0.0015970000000000001,0.0,0.0,0.0,0.011053600000000002,0.0,0.0,0.0,0.0,0.010357499999999999,0.0,nonIBD
SRR5983453,0.0,0.0,0.0,0.0,0.0,0.0,6.13e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0016838,0.0,0.0,0.0,0.0,0.0,0.0042136000000000005,0.0,0.0,0.0031039,0.0,0.0,0.0017401,0.00048389999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034615,0.0,0.012384299999999999,0.0,0.0,0.0132759,0.572986,0.0,0.0,5.43e-05,0.0,0.0,0.20727399999999999,0.0,0.0,0.0023266,0.0,0.0,0.0,0.0,0.0,0.005881300000000001,0.0,0.0,0.022972700000000002,0.049534400000000006,0.0,0.0,0.0,0.0,0.0010632,0.0,0.0,0.0,7.83e-05,0.0,0.083144,0.0,0.0,0.0,0.0085587,0.0,0.0,0.0,0.00014800000000000002,0.0,0.0,0.0,0.0,0.0002395,0.0,
SRR5947815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003735,5.8e-06,0.0,0.0,0.0,0.0,4.5e-06,0.0,0.0,0.0,0.0,0.0,0.0063566000000000004,0.0,0.0,0.0005068000000000001,0.0,0.0,0.020611900000000002,0.0006884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005215,0.0,0.0,0.0,0.0,4.2999999999999995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0010674000000000002,0.0,0.0,0.08348239999999998,0.0,0.0,0.0,0.0015342999999999997,0.0,0.0,0.264004,0.0,0.0,0.000457,0.0,0.0,0.0,0.0,0.0,0.0086031,0.0,0.0,0.052110199999999995,0.043000800000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509061,0.0,0.0,0.0,0.00044239999999999997,0.0,0.0,0.0,9.97e-05,0.0008512,0.0,0.0,0.0,0.0015203,0.0,Crohn Disease
SRR5983331,0.0,0.0,0.0,0.0,0.0,0.0,0.00027380000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0005847000000000001,0.0,0.0,0.0013779,0.0,0.0023244,0.007803899999999999,0.0,0.0,0.014987700000000001,0.0,0.0,0.0035688000000000004,2.7199999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004388100000000001,0.0163909,0.0,0.0,0.013451600000000001,0.0,0.0005305,0.0,0.0,0.0,1.87e-05,0.0,0.0092256,0.0,0.0,0.060869099999999995,0.0099021,0.0,0.0,0.0,0.0054342,0.0,0.16798300000000002,0.0,0.0,0.0005873,0.0,0.0,0.0,0.0,0.001758,0.0064431,0.0,0.0,0.0496882,0.0365685,0.0,0.0,0.0,0.0,0.0007947,0.0,0.0,0.0,0.00031969999999999996,0.0,0.572981,0.0033419,0.0,0.0,0.00012749999999999998,0.0,0.0,0.0,0.0030767,0.0014053,0.0,0.0027852,0.0,0.0009806,0.0,Crohn Disease
SRR5947846,0.0,0.0,0.0,0.0,0.0,0.0,0.003758,0.0070173,0.0055695,0.0,0.0,0.0,0.0,0.0012082000000000002,7.63e-05,0.0,0.013498299999999998,0.0,0.0,0.019201,0.0,0.0,0.0094308,0.0,0.0,0.0142656,0.0008466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024499,0.0,0.0,0.0,0.0,5.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.023690900000000004,0.0,0.0,0.102734,0.0007112,0.0,0.0,0.0027821,0.0,0.0,0.249678,0.0,0.0,0.0007779,0.0,0.0,0.0,0.0,0.0,0.009983299999999999,0.0,0.0,0.0845144,0.0042955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016512000000000002,0.0,0.435028,0.0,0.0,0.0,0.0003875,0.0,0.0,0.0,0.0021719,0.0011124000000000002,0.0,0.0015003,0.0,0.0016544,0.0,"Colitis, Ulcerative"
SRR5947831,0.0,9.42e-05,0.0,0.0,0.0,0.0,8.81e-05,0.0835665,0.0003063,0.0,0.0,0.0,0.0,0.0132051,0.0,0.0,0.046956899999999996,1.1099999999999999e-05,0.0031605,0.0061878,4.58e-05,0.0,0.005754700000000001,0.0,0.0,0.0064886,0.0,0.00040780000000000005,0.0,0.0,7.099999999999999e-06,0.00018800000000000002,0.0,0.0,0.0,0.0,0.0016189000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005667999999999999,3.45e-05,0.0,0.0,0.0,0.0017804000000000001,0.0,0.0,0.0005034,0.0,0.0,0.0,0.0034094999999999998,0.0006418999999999999,0.0,0.136759,0.0,0.0,0.0,0.0029748,5.48e-05,0.0,0.0,0.0,0.053922099999999994,0.0,0.0,0.116858,2.51e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002e-05,0.0,0.001722,0.0,0.464256,0.0,0.0,0.0,0.0438183,0.0,0.0,0.0021982,0.0017935000000000002,0.0,0.0,7.890000000000001e-05,0.0,0.0004978,0.0,nonIBD
SRR5947834,0.0,0.0,0.0,0.00012240000000000002,0.0,0.0,0.0029276999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097106,0.0,0.0,0.011666399999999999,0.0005252999999999999,0.0,0.0005691,0.0,0.0,0.0016985999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082965,0.0,0.0,0.0,8.08e-05,0.0,0.0,0.0,0.0018332,0.0,0.0480333,0.0,0.058665,0.0,0.0,0.014269,0.015864,0.0,0.0,8.59e-05,0.08575680000000001,0.0,0.03525,0.0,0.0,0.0100957,0.0,0.0,0.0,0.0,0.0,0.023835099999999998,0.0,0.0,0.016760700000000003,0.117596,0.00016209999999999998,0.0,0.0,0.0,0.004693,0.0,0.000264,0.0,0.000989,0.0,0.502771,0.0,0.0,2.8800000000000002e-05,0.021244,0.0,0.0,0.0,0.0019262,0.0002857,0.0,0.0,0.0,0.003994500000000001,0.0,"Colitis, Ulcerative"
SRR5983358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022325,0.0,0.0,0.0,0.0,0.0005683999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0082626,0.0,0.0,8.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.035925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002401,0.103949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776119,0.0,0.0,4.8700000000000005e-05,0.0694912,0.0,0.0,0.0,0.0003705,0.00015110000000000001,0.0,0.0,0.0,0.0010933,0.0,
