group,Blautia,Anaerostipes,Fibrobacter,Methylobacterium,Desulfonatronum,Methylocapsa,Parvibacter,Oxalobacter,Dorea,Acetivibrio,Anaerofustis,Catabacter,Clostridium_XI,Anaerovorax,Campylobacter,Enterorhabdus,Acetatifactor,Delftia,Anaerococcus,Anaerobacterium,Paraeggerthella,Ralstonia,Pedobacter,Flavonifractor,Mucilaginibacter,Burkholderia,Pyramidobacter,Ruminococcus2,Ezakiella,Treponema,Paracoccus,Pantoea,Achromobacter,Megamonas,Murdochiella,Odoribacter,Mobiluncus,Streptomyces,Butyrivibrio,Parasutterella,Rubrivivax,Kocuria,Ethanoligenens,Aeromonas,Undibacterium,Proteus,Psychrobacter,Stenotrophomonas,Bacillus,Intestinimonas,Mesorhizobium,Enhydrobacter,Brachyspira,Flavobacterium,Methylophilus,Microbacterium,Ureibacillus,Hyphomicrobium,Serratia,Varibaculum,Pelomonas,Mycobacterium,Rhizobium,Cupriavidus,Bosea,Glycocaulis,Bilophila,Anaerobiospirillum,Zoogloea,Gallicola,Acetobacter,Cloacibacillus,Roseburia,Facklamia,Clostridium_IV,Fluviicola,Cellulosibacter,Caryophanon,Tessaracoccus,Senegalimassilia,Tetragenococcus,Cetobacterium,Corynebacterium,Alkalibaculum,Helicobacter,Veillonella,Dialister,Turicibacter,Anaerofilum,Faecalibacterium,Collinsella,Bradyrhizobium,Saccharofermentans,Weissella,Fusobacterium,Sutterella,Slackia,Klebsiella,Fusicatenibacter,Akkermansia,Adlercreutzia,Gordonibacter,Streptococcus,Haemophilus,Erysipelotrichaceae_incertae_sedis,Lactococcus,Alistipes,Eggerthella,Clostridium_sensu_stricto,Olsenella,Oscillibacter,Butyricimonas,Lachnospiracea_incertae_sedis,Clostridium_III,Megasphaera,Alloprevotella,Sphingomonas,Mitsuokella,Granulicatella,Enterococcus,Howardella,Clostridium_XVIII,Clostridium_XlVb,Buttiauxella,Bifidobacterium,Ruminococcus,Selenomonas,Coprobacillus,Barnesiella,Paraprevotella,Escherichia/Shigella,Coprobacter,Acetanaerobacterium,Salmonella,Actinomyces,Gemella,Parasporobacterium,Pseudoflavonifractor,Peptostreptococcus,Bacteroides,Abiotrophia,Phascolarctobacterium,Allisonella,Faecalitalea,Elusimicrobium,Parabacteroides,Enterobacter,Holdemania,Parvimonas,Acinetobacter,Mogibacterium,Propionibacterium,Faecalicoccus,Finegoldia,Solobacterium,Holdemanella,Peptoniphilus,Lactobacillus,Atopobium,Acidaminococcus,Coprococcus,Citrobacter,Porphyromonas,Gemmiger,Christensenella,Anaerotruncus,Catenibacterium,Pediococcus,Brevundimonas,Rothia,Eubacterium,Hydrogenoanaerobacterium,Piscicoccus,Prevotella,Sneathia,Victivallis,Erysipelothrix,Desulfovibrio,Staphylococcus,Succinivibrio,Peptococcus,Gardnerella,Raoultella,Clostridium_XlVa,Pseudomonas,Aggregatibacter,Scardovia
obesity,18.93445018,11.75611181,0,0,0,0,0,0,1.938248758,0.009739944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058439661,0,0,0,4.821272037,0,0,0,0,0,0,0,0.048699718,0,0,0.301938249,0.438297458,0,0,0,0,0,0,0,0,0,0.097399435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038959774,0,0,0,0,0.019479887,0,0,0.107139379,0,0,0,0,0.087659492,0,0,0,0,0,0,0.058439661,0.048699718,0,3.88623746,0.126619266,0.077919548,0.019479887,0,0,0,0,0.029219831,5.863445992,0.009739944,0,0.077919548,0.973994351,0,0,0,0.866854972,0.087659492,0.662316159,0.370117853,0.009739944,0.009739944,8.91204831,0.048699718,0.029219831,0,0.058439661,0,0,0.009739944,0,0.009739944,0,0.019479887,17.931236,1.100613616,0,0,0.282458362,2.016168306,0.116879322,0.009739944,1.324632317,0.009739944,0.019479887,0,0,0,0.048699718,11.3275543,0,0.038959774,0,0,0,0.214278757,0.029219831,0,0,0.009739944,0,0.009739944,0,0,0,0,0.038959774,1.334372261,0.009739944,0,0.185058927,0.029219831,0.009739944,0.857115029,0,0.009739944,0,0,0,0,0.574656667,0.029219831,0,0.38959774,0.224018701,0,0,0,0,0,0,0.16557904,0.097399435,0.486997175,0.146099153,0,0
obesity,7.665415365,0.521534802,0,0,0,0,0,0,1.541679801,0,0,0,0,0,0,0,0.011462303,0,0.028655758,0,0,0,0,0.120354185,0,0,0,0.879731782,0,0,0,0,0,0,0,0.008596728,0.002865576,0,0.134682064,0.020059031,0,0,0,0,0,0,0,0,0,0.057311517,0,0.002865576,0.002865576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011462303,0.002865576,0,0,0,0.017193455,0.002865576,0,0.209187036,0,0,0,0,0.031521334,0,0,0,0,0,0.002865576,8.740006304,0.008596728,0.028655758,7.90325816,0.292288735,0.108891882,0.014327879,0.002865576,0,0.008596728,0.011462303,0.017193455,0.799495659,0,0.002865576,0.017193455,0.111757458,0.031521334,0,0,0.573115167,0.002865576,13.63727541,0.005731152,0.005731152,0.005731152,6.077886351,0.005731152,0,0,0.037252486,0,0,0,0.005731152,0.005731152,0,0.002865576,0.372524859,0.532997106,0.002865576,0,0.13754764,0.312347766,3.579104221,0,0.091698427,0.002865576,0.002865576,0.011462303,0.005731152,0,0,19.95587013,0.022924607,0.022924607,0,0,0.002865576,0.065908244,0,0,0.014327879,0,0,0.008596728,0,0,0,0.005731152,0.008596728,0.56451844,0,0.005731152,1.842565263,0,0,5.582141731,0.011462303,0,0.002865576,0,0.005731152,0,0.10316073,0.008596728,0,16.44840531,0,0,0,0.005731152,0.005731152,0.042983638,0,0,0,0.469954437,0,0,0
obesity,5.789678194,4.087039457,0,0.010597337,0,0,0,0,1.886325903,0.003532446,0,0,0,0.003532446,0,0,0,0,0.007064891,0,0,0,0,0.035324455,0,0,0,0.79480024,0,0,0,0,0,0,0,0,0,0,1.17277191,2.65286658,0,0,0,0,0,0,0,0,0,0.007064891,0.007064891,0.010597337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51926949,0,0,0,0,0,0,0,0,0,0,0.010597337,5.927443569,0,0.007064891,13.07711329,0.063584019,0.007064891,0,0,0,0,0.017662228,0,1.903988131,0,0.095376029,0.134232929,0.120103147,0.003532446,0.003532446,0.003532446,6.665724681,0.113038256,0.423893461,0.148362712,0.261400968,0,9.806068741,0.007064891,0.017662228,0.113038256,0.07064891,0,0.007064891,0,0,0,0,0,1.035006535,0.805397577,0,0,0.024727119,0.017662228,0.134232929,0.003532446,0.017662228,0,0.007064891,0.021194673,0,0,0.007064891,27.39411495,0,0.014129782,0,0,0,7.234448409,0.003532446,0,0,0,0,0.003532446,0,0,0,0.003532446,0.007064891,0.695891766,0.010597337,0,2.112402416,0,0.003532446,2.363206048,0,0,0,0,0.021194673,0,0.561658836,0,0,1.077395881,0.109505811,0,0,0,0,0,0,0.067116465,0,0.24373874,0.003532446,0,0
obesity,42.99266343,2.517184532,0,0,0,0,0,0,3.880378301,0.001928138,0.001928138,0,0,0,0,0,0.000964069,0,0.014461037,0,0,0,0,0.029886143,0,0,0,1.502019725,0,0,0,0,0,0,0,0.001928138,0,0,0.002892207,0.008676622,0,0,0,0,0,0,0,0,0,0.027958005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006748484,0,0,0.000964069,0,0.002892207,0.002892207,0,0.092550638,0,0,0,0,0.013496968,0,0,0,0,0,0.002892207,0.77607566,0,0.000964069,0.498423747,10.48328786,0.007712553,0.023137659,0.000964069,0,0,0.005784415,0.009640691,7.043489159,0.002892207,0.002892207,0.127257127,0.456968774,0.000964069,0,0.000964069,0.509028508,0.007712553,0.336460131,0.002892207,0.003856277,0.000964069,8.761460372,0.024101729,0,0,0.006748484,0.000964069,0,0.007712553,0.001928138,0.001928138,0.025065798,0.000964069,15.43956733,0.885015473,0,0,0.080017739,0.013496968,0.085802154,0.001928138,0.068448909,0,0.007712553,0,0.001928138,0.000964069,0.001928138,0.312358402,0,0.010604761,0,0,0,0.014461037,0,0,0,0,0.000964069,0,0,0.000964069,0,0,0.008676622,0.007712553,0.006748484,0.000964069,0.14653851,0.000964069,0,1.303421481,0.007712553,0.003856277,0.002892207,0,0.037598697,0.000964069,0.23619694,0,0,0.047239388,0,0,0,0.154251063,0,0.030850213,0,0.003856277,0,0.833919809,0,0,0.000964069
obesity,1.001888057,0.228393934,0,0.003045252,0,0,0,0,0.526828674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.431268652,0,0,0,0.039588282,0,0,0.003045252,0,0,0.021316767,0,0.325842012,0,0,2.902125586,0,0,0,0,0,0,0,0,0,0,0.490285645,0,0,0,0,0,0,0,0,0,0.003045252,0,0,0,0,0,0,0.216212924,0,0,0,0.003045252,0.021316767,0,0,1.446494914,0,0,0,0,0,0,0,0,0,0,0.015226262,0.018271515,0,0.481149887,1.970278336,0.234484439,0.009135757,0.545100189,0.003045252,0.003045252,0.118764846,0.015226262,0,0.009135757,0,0,0,0.837444424,0.009135757,0.003045252,0.006090505,2.226079542,0.02436202,0.14921737,0.003045252,0.16139838,0.325842012,1.933735307,0.100493331,0,0,0.003045252,0,0,0,0,0.030452525,0,0,0.054814544,10.15591693,0,0.006090505,1.58962178,6.264084293,7.594859614,0,0.475059382,0,0.01218101,0.018271515,0,0.042633534,0,21.53907059,0,1.635300566,0,0,0,5.837748949,0,0.015226262,0.006090505,0,0,0.003045252,0,0,0,1.519580973,0,0.048724039,0,0,0.033497777,0,0.01218101,0.916620988,0.006090505,0,0.511602412,0,0,0.003045252,1.422132895,0.003045252,0,22.32170047,0.006090505,0,0,0,0.003045252,0,0,0,0,0.039588282,0.003045252,0,0
obesity,2.344571605,0.134034437,0.022682751,0.01237241,0,0,0,0,0.48458604,0.002062068,0,0.002062068,0,0,0,0,0,0,0.002062068,0,0,0,0,1.765130426,0,0,0,0.515517064,0,0,0,0,0,0,0,0.193834416,0,0,0,0.746468708,0,0,0,0.002062068,0,0,0,0,0,0.078358594,0,0,0.002062068,0,0,0,0,0.002062068,0,0,0,0,0,0,0,0,0.03505516,0.004124137,0,0,0,0.032993092,0,0,0.455717084,0,0,0,0,0.443344675,0,0,0,0,0,0.004124137,0.17733787,0.008248273,0.008248273,0.92174451,0.680482524,0.202082689,0.637179091,0.002062068,0,0,0,0.010310341,0.255696464,0.002062068,0.002062068,0.008248273,0.197958552,0,0,0.002062068,1.938344159,0.030931024,1.418702959,0.01237241,0.08248273,0.039179297,1.567171873,0.006186205,0,0,0.057737911,0,0.002062068,0,1.375399526,0.004124137,0,0,1.895040726,0.169089597,0,0,0.565006702,0.284565419,0.154655119,0.09485514,1.73626147,0.002062068,0.020620683,0.008248273,0.002062068,0.004124137,0,2.771419734,0.002062068,0.010310341,0.032993092,0,0,0.369110218,0,0,0.016496546,0,0.002062068,0,0,0,0,0.006186205,0.002062068,0.055675843,0.030931024,0,0.228889576,0.002062068,0.002062068,0.659861841,0,0.028868956,0.010310341,0,0.008248273,0.041241365,0.131972368,0.008248273,0.002062068,3.138467883,0,0,0,0.022682751,0,70.44437571,0,0.006186205,0,0.086606867,0,0,0.006186205
obesity,0.503843038,0.079034202,0,0.00790342,0,0,0,0,0.169923534,0,0,0,0,0,0,0,0,0.000987928,0.000987928,0,0,0,0,0.037541246,0,0,0,0.240066389,0,0,0,0,0,0.005927565,0,0.022722333,0,0,0,0.001975855,0,0,0,0,0,0,0,0,0,0.012843058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002963783,0,0,0,0,0.001975855,0,0,0.00790342,0,0,0,0,0.002963783,0,0,0,0,0,0.053348086,1.551046215,0.002963783,0.000987928,1.166742408,0.082985912,0.000987928,0.01185513,0.021734406,0,0.542372212,0.00395171,0,0.014818913,0,0,0,0.351702199,0.066191144,0,0,0.01580684,0.001975855,0.101756535,0,0.002963783,0.00790342,2.113176977,0.001975855,0,0,0,0,0.001975855,0,0,0.047420521,0,0.006915493,0.112623738,0.101756535,0,0,0.008891348,0.061251507,0.036553318,0,0.000987928,0,0.00395171,0.000987928,0,0.002963783,0.000987928,1.872122661,0,0.013830985,0,0,0,0.194621723,0.000987928,0.000987928,0,0,0,0,0,0,0.001975855,0.123490941,0,0.066191144,0.000987928,0,0.102744463,0.01185513,0,0.072118709,0,0,0.293414475,0,0.000987928,0.000987928,0.072118709,0,0,89.52500445,0,0,0,0.000987928,0,0.00790342,0,0,0.008891348,0.022722333,0.000987928,0,0
obesity,33.15048455,2.687877126,0,0,0,0,0,0,5.686597184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146279027,0,0,0,2.63302249,0,0,0,0.036569757,0,0,0,0,0,0,0,0.018284878,0,0,0,0,0,0,0,0,0,0.073139514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146279027,0,0,0,0,0,0,0,0.45712196,0,0,0,0,0,0,0,0,0,0,0,1.6090693,0,0.018284878,2.779301518,9.032729932,0,0,0.10970927,0,0,0,0,3.912963979,0,0,0.10970927,0.182848784,0,0,0.018284878,0.091424392,0,0.621685866,0.255988298,0,0,19.60138965,0.073139514,0,0,0,0,0,0,0,0.274273176,0.036569757,0,7.56993966,2.102761017,0,0,0.45712196,0.146279027,0.091424392,0,0.10970927,0,0,0,0,0,0,0.585116109,0,0.018284878,0,0,0,0.073139514,0,0,0,0,0,0,0,0,0,0.018284878,0,0.091424392,0,0,0.091424392,0,0,3.602121046,0,0,0,0,0.018284878,0,0,0,0,0.018284878,0,0,0,0.530261474,0,0,0,0,0,0.713110258,0,0,0
obesity,16.19827483,1.423063163,0,0,0,0.003975037,0,0,4.368565409,0,0.019875184,0,0,0.007950074,0,0,0,0.003975037,0.027825257,0,0,0,0,0.103350956,0,0,0,4.694518424,0,0,0.003975037,0,0.003975037,1.506538935,0,0,0,0,0.079500735,0.170926581,0,0,0,0,0,0,0,0,0,0.127201177,0,0,0,0,0,0,0,0.003975037,0,0,0,0,0,0,0.003975037,0,0.071550662,0,0,0,0,0.015900147,0,0,0.266327464,0,0,0,0,0,0,0,0,0,0,0.186826728,10.23969472,0.282227611,0.019875184,7.178916405,0.031800294,0.003975037,0.027825257,0,0,0.003975037,0,0,2.508248201,0.007950074,0.536629964,0.083475772,3.75243471,0.095400882,0.051675478,0.047700441,1.486663752,0.170926581,1.768891362,0.926183567,0.107325993,0.075525699,14.05573002,0.242477243,0,0,0.007950074,0,0.059625552,0.015900147,0,2.758675518,0,0,11.56338196,2.643399451,0,0,0.345828199,0.015900147,0.043725404,0.007950074,0.023850221,0,0.214651986,0.015900147,0,0.015900147,0.01192511,1.307787097,0.003975037,0.119251103,0,0,0,0.500854633,0,0.047700441,0.007950074,0.031800294,0,0,0,0,0.015900147,0.003975037,0,0.035775331,0,0,1.395237906,0,0.015900147,3.390706364,0,0.003975037,0.003975037,0,0.047700441,0.015900147,1.474738641,0.007950074,0,0.365703383,0,0,0,0.003975037,0.007950074,0.01192511,0,0,0,0.429303971,0,0,0.007950074
obesity,11.92753058,1.354735883,0,0,0,0,0,0,1.745055946,0,0,0,0,0,0,0,0,0.001626334,0.004879001,0,0,0,0,0.042284673,0,0,0,0.512295082,0.001626334,0,0,0.056921676,0,0,0.003252667,0.003252667,0,0,0.006505334,0.260213375,0,0,0,0,0,0.001626334,0.001626334,0,0,0.013010669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043911007,0,0,0,0,0.02276867,0.008131668,0,0.356167057,0,0,0,0,0.003252667,0,0,0.001626334,0,0,0.333398387,0.743234452,0.953031486,0.001626334,14.81102004,7.494145199,0.01788967,0.001626334,0,0,0,0.003252667,0.008131668,5.461228207,0.004879001,0,0.026021337,0.915625813,0.471636742,0.001626334,0.489526412,0.484647411,0.053669009,4.348816029,0.004879001,0.003252667,0,8.43579235,0.021142337,0,0.001626334,0.006505334,0,0.014637002,0.216302368,0.004879001,0.113843352,0.061800677,0.008131668,5.885701275,0.408209732,0,0.001626334,0.011384335,0,0.430978402,0,0.056921676,1.351483216,0.030900338,0.035779339,0.001626334,0,0.006505334,2.52081707,0.008131668,0.021142337,0,0,0,0.29436638,0.053669009,0.001626334,0,0,0,0.009758002,0,0,0.004879001,0.001626334,0.006505334,0.027647671,0.003252667,0,1.22625553,0.177270362,0.004879001,23.90385116,0.004879001,0.014637002,0.009758002,0,0.019516003,0.08131668,0.736729118,0,0.004879001,0.026021337,0,0,0,0.006505334,0.003252667,0.021142337,0,0.001626334,0.003252667,0.533437419,0,0.156128025,0
