group,Escherichia/Shigella,Veillonella,Bacillus,Arthrobacter,Plesiomonas,Paracoccus,Ralstonia,Prevotella,Victivallis,Acetanaerobacterium,Erysipelotrichaceae_incertae_sedis,Gardnerella,Coprobacillus,Pseudoflavonifractor,Delftia,Bilophila,Paraprevotella,Stenotrophomonas,Alteromonas,Enhydrobacter,Campylobacter,Dorea,Pseudocitrobacter,Anaerostipes,Marinobacter,Terrisporobacter,Rothia,Lautropia,Flavonifractor,Slackia,Psychrobacter,Weissella,Methylophaga,Clostridium_XlVb,Mycoplasma,Anaerococcus,Clostridium_III,Enterobacter,Barnesiella,Lactobacillus,Limnohabitans,Sphingopyxis,Atopobium,Clostridium_XVIII,Sphingobium,Coprococcus,Senegalimassilia,Holdemania,Polaromonas,Klebsiella,Vulcaniibacterium,Paraeggerthella,Gordonibacter,Shinella,Negativicoccus,Howardella,Micrococcus,Devosia,Lachnospira,Actinomyces,Treponema,Luteimonas,Robinsoniella,Alloprevotella,Catonella,Kocuria,Desulfovibrio,Cloacibacillus,Comamonas,Pelomonas,Rummeliibacillus,Cellulosilyticum,Adlercreutzia,Eikenella,Methylobacterium,Tepidimonas,Flavobacterium,Coprobacter,Ruminococcus2,Oribacterium,Rhodococcus,Leptotrichia,Aggregatibacter,Abiotrophia,Peptoniphilus,Brachybacterium,Faecalibacterium,Dialister,Anaerosporobacter,Selenomonas,Alcanivorax,Cronobacter,Lachnoanaerobaculum,Ottowia,Bacteroides,Stomatobaculum,Porphyrobacter,Romboutsia,Acinetobacter,Helicobacter,Vibrio,Enterococcus,Mobilitalea,Succinivibrio,Hydrogenoanaerobacterium,Hyphomicrobium,Chitinimonas,Lacihabitans,Cloacibacterium,Hydrogenophaga,Paenibacillus,Moryella,Intestinibacter,Xenophilus,Parvimonas,Zoogloea,Megamonas,Ramlibacter,Sutterella,Roseovarius,Phascolarctobacterium,Blastococcus,Rhodoluna,Butyrivibrio,Moraxella,Roseburia,Tsukamurella,Cellvibrio,Cetobacterium,Haemophilus,Roseomonas,Faecalitalea,Odoribacter,Serratia,Oxalobacter,Pantoea,Elizabethkingia,Leuconostoc,Propionispira,Buttiauxella,Raoultella,Methyloversatilis,Leifsonia,Microbacterium,Terrimonas,Obesumbacterium,Algoriphagus,Pyramidobacter,Arcobacter,Filifactor,Christensenella,Catenibacterium,Finegoldia,Neisseria,Ezakiella,Acidaminococcus,Shuttleworthia,Acetatifactor,Isoptericola,Hydrogenophilus,Aquabacterium,Mitsuokella,Catabacter,Thiothrix,Fretibacterium,Cardiobacterium,Massilia,Brevibacterium,Salinihabitans,Herpetosiphon,Burkholderia,Sphingorhabdus,Lawsonia,Anaeroglobus,Gordonia,Phyllobacterium,Porphyromonas,Caulobacter,Gemella,Melaminivora,Faecalicoccus,Clostridium_sensu_stricto,Pseudorhodobacter,Pseudobutyrivibrio,Lysobacter,Peptococcus,Lachnospiracea_incertae_sedis,Chryseobacterium,Undibacterium,Oceanobacillus,Clostridium_IV,Lactococcus,Tannerella,Thiopseudomonas,Pseudoxanthomonas,Holdemanella,Phocaeicola,Murdochiella,Thalassospira,Pelagibius,Novosphingobium,Parabacteroides,Butyricicoccus,Collinsella,Marivita,Leucobacter,Granulicatella,Eisenbergiella,Succinatimonas,Oscillibacter,Lactonifactor,Rhizobium,Schwartzia,Alistipes,Diplorickettsia,Coprothermobacter,Akkermansia,Erysipelothrix,Saccharopolyspora,Sphingobacterium,Cnuella,Butyricimonas,Capnocytophaga,Megasphaera,Corynebacterium,Nocardioides,Ruminococcus,Scardovia,Bulleidia,Alloscardovia,Halobacteriovorax,Geodermatophilus,Dermacoccus,Bosea,Nitrosospira,Intestinimonas,Azoarcus,Pseudoramibacter,Gemmiger,Brevibacillus,Skermanella,Thermicanus,Bdellovibrio,Brevundimonas,Centipeda,Aquihabitans,Sphingomonas,Bradyrhizobium,Phenylobacterium,Clostridium_XlVa,Shewanella,Gemmobacter,Hyphomonas,Luteolibacter,Actinobacillus,Allisonella,Allobaculum,Schlegelella,Youngiibacter,Sandaracinobacter,Pseudonocardia,Anaerofilum,Olsenella,Bifidobacterium,Mucispirillum,Tepidimicrobium,Turicibacter,Exiguobacterium,Aureimonas,Piscicoccus,Fusicatenibacter,Blautia,Rhodobacter,Kinneretia,Acidovorax,Chitinilyticum,Fusobacterium,Pasteurella,Parasutterella,Streptomyces,Aestuariibacter,Mucilaginibacter,Citrobacter,Alkanindiges,Geobacillus,Flavisolibacter,Eggerthella,Peptostreptococcus,Anaerotruncus,Methanobrevibacter,Eubacterium,Proteus,Propionibacterium,Solobacterium,Hungatella,Staphylococcus,Streptococcus,Morganella,Clostridium_XI,Elusimicrobium,Sneathia,Aeromonas,Pseudomonas
yCRC(huadong cohort),0.108349476,0.068949667,0,0,0,0,0,29.03109302,0,0,0.003283317,0,0,0.019699905,0,0.627113636,0.876645763,0.003283317,0,0,0,0.101782841,0,0.016416587,0,0.019699905,0.019699905,0.006566635,0.21998227,0.003283317,0,0,0,1.234527366,0,0,0,0.003283317,0.971861969,0.009849952,0,0,0,0.124766064,0,1.037528319,0.006566635,0.003283317,0,0.361164921,0,0,0,0,0,0,0,0,0,0.009849952,0,0,0,0.009849952,0,0,0.019699905,0,0,0,0,0,0,0,0,0,0,0,0.331615064,0,0,0,0,0,0,0,21.69944512,0.02626654,0,0,0,0,0,0,5.355090784,0,0,0.105066159,0,0.003283317,0,0,0,0,0,0,0,0,0,0,0,0,0.02626654,0,0,0,2.357421939,0,1.034245001,0,3.490166464,0,0,0,0,3.480316512,0,0,0,0.160882556,0,0,0.459664445,0,0,0,0,0,0,0.003283317,0,0,0,0,0,0,0,0,0,0,0.006566635,0,0,0,0,0.003283317,0,0,0,0,0,1.040811636,0,0,0.003283317,0,0,0,0,0,0,0,0,0,0,0,0.003283317,0,0,0,0,0.108349476,0,0,0,0,7.131365532,0,0,0,0.091932889,0,0,0,0,0.065666349,0,0,0,0,0,0.87992908,0.003283317,0.052533079,0,0,0,0.006566635,0,3.066618511,0,0,0,0.814262731,0,0.009849952,0.114916111,0,0,0,0,0.216698953,0,0.006566635,0,0,2.915585908,0,0,0,0,0,0,0,0,0.151032603,0,0,2.843352924,0,0,0,0,0,0,0,0,0,0,3.703582099,0,0,0,0,0,0,0,0,0,0,0,0.003283317,0,0.01313327,0,0.006566635,0,0,0,0,0.124766064,0.916045572,0,0,0,0,0.929178842,0,0.459664445,0,0,0,0.01313327,0,0,0,0,0,0.101782841,0,0.374298191,0,0,0,0,0,0.364448239,0,0,0,0,0,0.003283317
yCRC(huadong cohort),2.62187628,0,0,0,0,0,0,0.061450225,0,0,0,0,0,0.010241704,0,0.002560426,0,0,0,0,0,1.036972552,0,0.017922982,0,0.025604261,0,0,0.038406391,0,0,0,0,0.038406391,0,0,0.058889799,0.104977468,1.259729619,0.007681278,0,0,0,0.09729619,0,1.697562474,0,0.005120852,0,1.528574355,0,0,0.092175338,0,0,0,0,0,0,0.033285539,0,0,0,0.002560426,0,0,0.015362556,0,0,0,0,0,0,0,0,0,0,0,0.568414584,0.002560426,0,0,0,0,0,0,7.271609996,0.033285539,0,0,0,0,0,0,9.245698484,0,0,1.490167964,0,0.002560426,0,0.104977468,0,0,0.010241704,0,0,0,0,0,0,0,0.312371979,0,0.005120852,0,0.007681278,0,0.002560426,0,0.030725113,0,0,0,0,2.125153626,0,0,0,0.002560426,0,0,0.348217943,0,0,0,0,0.002560426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002560426,0,0,0,0,0,0,0,0,0,0.007681278,0.002560426,0,0,0,0,0,0,0,0.002560426,0,0,0,0,0,0,0,0.002560426,0,0,0.202273658,0,0.002560426,0,0,4.4909873,0,0,0,0.622183531,0,0,0,0,0.005120852,0,0,0,0,0,0.151065137,0,2.145637034,0,0,0,0,0,0.698996313,0,0,0,2.87535846,0,0,0.01280213,0,0,0,0,0.025604261,0,0.005120852,0,0,43.13037689,0,0,0,0,0,0,0,0,0.005120852,0,0,12.33357231,0,0,0,0,0,0,0,0,0,0,0.371261778,0,0,0,0,0,0,0,0,0,0,0,0.017922982,0,0.005120852,0,0,0.038406391,0,0,0,0.08449406,1.95360508,0,0,0,0,0.010241704,0,0.056329373,0,0,0,0,0,0,0,0.135702581,0,0.005120852,0,0.192031954,0,0,0.002560426,0.002560426,0,0.076812782,0,0,0,0,0,0
yCRC(huadong cohort),1.655776656,0.007425007,0,0,0,0,0,0.089100089,0,0.003712504,0.003712504,0,0.014850015,0.059400059,0,0.497475497,0.504900505,0,0,0,0.014850015,0.245025245,0,0.02970003,0,0.007425007,0.007425007,0,0.382387882,0,0,0,0,0.501188001,0,0,0,0.003712504,0.798188298,0.018562519,0,0,0,0.022275022,0,0.341550342,0,0.007425007,0,0.118800119,0,0,0,0,0,0,0,0,0,0.003712504,0,0,0,0.003712504,0,0,0.315562816,0,0,0,0,0,0,0,0,0,0,0.248737749,0.38981289,0,0,0,0,0,0,0,14.12978913,9.726759727,0,0,0,0,0,0,21.19097119,0,0,0.144787645,0,0.003712504,0,0,0,0,0.003712504,0,0,0,0,0,0,0,0.089100089,0,0,0,0.014850015,0,0.64968815,0,0.051975052,0,0,0,0,4.503267003,0,0,0,0.003712504,0,0,0.204187704,0,0.022275022,0,0,0.007425007,0,0,0,0,0,0,0,0,0,0,0,0,0.003712504,0,0,0,0,1.562964063,0,0,0,0,0,3.686516187,0,0,0,0,0,0,0,0,0.007425007,0,0,0,0,0,0.003712504,0,0.003712504,0,0,0.048262548,0,0,0,0,6.767894268,0,0,0,0.311850312,0,0,0,0,0,0,0,0,0,0,1.002376002,0,0.311850312,0,0,0,0,0,2.899465399,0,0,0,3.218740719,0,0.007425007,0.081675082,0,0,0,0,0.181912682,0,0.007425007,0,0,9.437184437,0,0,0,0,0,0,0,0,0.092812593,0,0,7.673745174,0,0,0,0,0,0,0.003712504,0,0,0,3.33011583,0,0,0,0,0,0.003712504,0,0,0,0,0,0.044550045,0.219037719,0.586575587,0,0,0.003712504,0,0,0,0.41951292,0.723938224,0,0,0,0,0.014850015,0,0.063112563,0,0,0,0.003712504,0,0,0,0,0.003712504,0.085387585,0,0.040837541,0,0,0,0.003712504,0,0.089100089,0.003712504,0.003712504,0,0,0,0
yCRC(huadong cohort),0.061146052,0,0,0,0,0,0,68.46610762,0,0,0,0,0,0.052410901,0,0.026205451,0.139762404,0,0,0,0,0.096086653,0,0.244584207,0,0,0,0.0174703,0.165967855,0,0,0,0,0.0174703,0,0,0,0,0.00873515,0.00873515,0,0,0,0.026205451,0,0.078616352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00873515,0,0,0,0,0,0,0,0,0,0,0,0.262054507,0,0,0,0,0,0,0,10.6918239,0.034940601,0,0,0,0,0.00873515,0,2.51572327,0.00873515,0,2.603074773,0,0,0,0.0174703,0,0,0,0,0,0,0,0,0,0,0.026205451,0,0,0,0,0,0,0,0.969601677,0,0,0,0,2.271139064,0,0,0,0.384346611,0,0,0.026205451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174703,0,0,0,0,0,0,0,0,0,0,0.480433263,0,0,0,0,4.900419287,0,0,0,0.026205451,0,0,0,0,0,0,0,0,0,0,0.157232704,0,0.00873515,0,0,0.00873515,0,0,0.165967855,0,0,0,0.174703005,0,0,0.043675751,0,0,0,0,0.043675751,0,0,0,0,0.122292103,0,0,0,0,0,0,0,0,0.043675751,0,0,0.244584207,0,0,0,0,0,0,0,0,0,0,2.638015374,0,0,0,0,0.00873515,0,0,0,0,0,0,0.00873515,0,0.061146052,0,0,0,0,0,0,0.00873515,0.69881202,0,0,0,0,0.026205451,0,0.419287212,0,0,0,0,0,0,0,0,0.00873515,0,0,0.36687631,0.00873515,0,0,0,0,0.069881202,0,0,0,0,0,0
yCRC(huadong cohort),1.267156361,0.166808112,0,0.002926458,0,0,0,0.687717655,0.002926458,0,0.020485207,0,0.014632291,0.017558749,0,0.242896023,0,0.026338123,0,0,0,0.637967867,0,0.005852916,0,0,0.005852916,0,0.055602704,0,0,0,0,1.831962775,0,0,0,0,3.224956835,0.538468292,0,0,0.014632291,0.073161453,0,0.576512247,0.038043955,0.017558749,0,7.436130052,0,0,0.014632291,0,0.002926458,0.005852916,0,0,0,0.058529162,0,0,0,0,0,0,0.725761611,0,0,0,0,0,0.002926458,0,0,0,0,0,3.491264523,0.017558749,0,0,0,0,0,0,3.821954289,8.656463083,0,0,0,0,0,0,1.044745544,0.005852916,0,0.251675397,0,0.002926458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020485207,0,1.512978842,0,0,0,0.623335577,0,0,0,0,7.34540985,0,0,0,0,0,0,0.023411665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008779374,0,0,0,0,0.043896872,0.002926458,0,0,0,0,0,0.002926458,0,0,0,0,0,0,0,0.002926458,0,0,0,0,0,0.002926458,0,0.023411665,0,0,0.026338123,0,0,0,0,20.90076381,0,0,0,1.311053232,0,0,0,0,0,0,0,0,0,0,1.09742179,0,0.002926458,0,0,0.029264581,0.026338123,0,1.106201165,0,0,0,7.816569606,0,0,0.038043955,0,0,0,0,0.210704984,0,0.389218928,0,0,2.358725235,0,0,0,0,0,0,0,0,0.020485207,0,0,5.077404817,0,0,0,0,0,0,0,0.002926458,0,0,1.875859647,0,0,0,0,0,0.114131866,0,0,0,0,0,0,0.002926458,1.477861344,0,0,0,0,0,0,0.33946914,2.645518129,0,0,0,0,0.005852916,0,0.357027889,0,0,0,0.002926458,0,0,0,0,0,0.119984782,0,1.682713412,0,0,0.011705832,0.040970414,0,6.283105557,0,0.002926458,0,0,0,0
yCRC(huadong cohort),4.771694234,0.030176722,0,0,0,0,0,0.011316271,0,0,0.00377209,0,0,0,0,1.161803814,1.129741046,0.005658135,0,0,0.001886045,0.601648403,0.001886045,0.973199298,0,0,0,0,0.990173705,0,0,0,0,1.601252334,0,0,0,0.005658135,0.562041455,0.007544181,0,0,0,0.271590502,0,0.331943947,0,0.022632542,0,0.016974406,0,0,0,0,0,0,0,0,0,0.018860452,0,0,0,0,0,0,0,0,0,0,0,0,0.005658135,0,0,0,0,0.071669716,5.792044662,0,0,0.001886045,0,0,0,0,11.98015881,0.001886045,0,0,0,0,0,0,46.50987345,0,0,0.018860452,0,0.001886045,0,0,0,0,0,0,0,0,0,0,0,0,0.001886045,0,0.005658135,0,0.007544181,0,0.001886045,0,2.840383999,0,0,0,0,0.976971389,0,0,0,0,0,0,0.74310179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011316271,0,0,0,0,0,0,0,0,0,0,0,0.001886045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001886045,0,0.007544181,0,0,0.005658135,0,0,0,0,2.92148394,0,0,0,0.064125535,0,0,0,0,0.00377209,0,0,0,0,0,1.853982384,0,0.135795251,0,0,0.001886045,0,0,1.395673412,0,0,0,1.557873295,0,0,0.001886045,0,0,0,0,0.473397333,0,0.001886045,0,0,0.00377209,0,0,0,0,0,0,0,0,0.037720903,0,0,2.180268196,0,0,0,0,0,0.001886045,0,0,0,0,1.027894608,0,0,0,0,0,0.001886045,0,0,0,0,0,0,0,0.071669716,0,0,0,0,0,0,0.141453386,1.280624658,0,0,0,0,0.818543596,0,1.946398597,0,0,0,0.001886045,0,0,0,0.06601158,0.084872032,0,0,2.142547293,0.001886045,0,0,0.060353445,0,0.052809264,0.150883612,0,0,0,0.00377209,0
yCRC(huadong cohort),8.006645409,0,0,0,0,0,0,0.024116402,0.0053592,0,0.018757201,0,0,0.018757201,0,0.777084059,0.0026796,0.008038801,0,0,0.0053592,0.621667247,0,0.436774833,0,0,0.0026796,0,0.699375653,0,0,0,0,0.881588467,0,0.251882419,0,0,0,0,0,0,0,0.155416812,0,0,0,0.008038801,0,0.053592004,0,0,0.0053592,0,0,0.048232804,0,0,0,0.024116402,0,0,0,0,0,0,0.045553203,0,0,0,0,0,0.029475602,0,0,0,0,0,4.024759506,0.096465607,0,0,0,0,0,0,16.96990809,1.063801281,0,0,0,0,0,0,13.03893459,0.0026796,0,0.018757201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144698411,0.010718401,0,0.817278062,0,0.010718401,0,0.0026796,0,1.567566119,0,0,0,0,3.341461454,0,0,0,0,0,0,0.061630805,0,0.013398001,0,0,0,0,0,0,0,0,0,0,0,0,0.0026796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32616094,0,0.251882419,0,0,0.013398001,0,0,0,0,3.255714247,0,0,0,0.088426807,0,0,0,0,0,0,0,0,0,0,1.152228088,0,0.511803639,0,0,0,0.873549666,0,1.082558482,0.008038801,0,0,2.312494976,0,0.0026796,0.066990005,0,0,0,0,0.13130041,0,0.010718401,0,0,1.3183633,0,0,0,0,0,0,0,0,0.219727217,0,0,6.70971891,0,0,0,0,0,0,0,0,0,0,4.440097537,0,0,0,0,0,0.061630805,0,0,0,0,0,0.096465607,0,0.460891235,0,0,0,0,0,0,0.182212814,5.273453201,0,0,0,0,2.350009379,0,0.423376832,0,0,0,0,0,0,0,0.0053592,2.143680163,0.034834803,0,0.415338032,0,0,0.179533214,0.230445618,0,0.048232804,0,0,0,0,0,0
oCRC(huadong cohort),1.49372154,0.01034911,0,0,0,0,0,0.068994067,0,0,0.006899407,0,0.013798813,0.151786946,0,0.762384435,0,0.006899407,0,0,0.013798813,0.075893473,0,0.048295847,0,0,0,0,1.500620947,0,0,0.003449703,0,7.275424314,0,0,0,0.003449703,0.006899407,0.003449703,0,0,0,0.1034911,0,0.834828205,0,0.013798813,0,0.017248517,0,0,0.003449703,0,0,0.013798813,0,0,0,0,0,0,0,0.013798813,0,0,0.389816476,0,0,0,0,0,0,0.006899407,0,0,0,0,1.103905064,0.003449703,0,0,0.065544363,0,0,0,5.036566855,0.065544363,0,0,0,0,0,0,47.47826687,0,0,0.027597627,0,0.01034911,0,0,0,0,0.01034911,0,0,0,0,0,0,0,0.055195253,0,0.993514558,0,0.006899407,0,0,0,4.764040293,0,0,0,0,1.30743756,0,0,0,0,0,0,1.162550021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006899407,0,0,0,0,1.386780737,0,0.02069822,0,0,0,0.003449703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003449703,0,0,0,0,0.027597627,0,0,0,0,2.697668001,0,0,0,0.224230716,0,0,0,0,0.006899407,0,0,0,0,0,0.641644819,0,0.21733131,0,0,0.037946737,0.017248517,0,6.247412723,0,0,0,2.459638471,0,0,0.993514558,0,0,0,0,1.048709811,0,0.006899407,0,0,3.377259556,0,0,0,0,0,0,0,0,0.068994067,0,0,1.152200911,0,0,0,0,0,0,0,0,0,0,0.631295709,0,0,0,0,0,0,0,0,0,0,0,0.006899407,0,0.037946737,0,0,0.006899407,0,0,0,0.048295847,1.031461294,0,0,0,0,0.520905202,0,1.828342763,0,0,0,0,0,0,0,0.006899407,0.006899407,0.065544363,0,0.12418932,0,0,0.003449703,0.07244377,0,0.027597627,0,0,0,0,0,0
yCRC(huadong cohort),17.35076484,0.036499983,0,0,0,0,0,0.013272721,0.096227229,0,0.291999867,0,0.00331818,0.381590736,0,0.298636228,0.009954541,0.006636361,0,0,0,0.033181803,0,0.026545442,0,0.00331818,0.00331818,0,0.567408833,0.00331818,0,0,0,2.7806351,0,0,0.009954541,0.00331818,1.848226433,0.023227262,0,0,0,0.043136344,0,1.051863158,0,0.013272721,0,0.036499983,0,0,0,0,0,0,0,0,0,0.013272721,0,0,0,0.00331818,0,0,0.295318048,0.00331818,0,0,0,0,0.026545442,0,0,0,0,0,0.673590603,0,0,0,0,0,0,0,5.839997345,0.036499983,0,0,0,0,0,0,13.6841756,0,0,0.053090885,0,0.00331818,0,0,0,0,0.016590902,0,0,0,0,0,0,0,0.700136045,0,0.046454524,0,0.013272721,0,0,0,1.380363009,0,0,0,0,0.076318147,0,0,0,0.009954541,0,0,3.188771278,0,0,0,0,0,0,0,0.00331818,0,0,0,0,0,0,0.006636361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331818,0,0,0,0,0,0.023227262,0,0.006636361,0,0,0.185818097,0,0,0,0,0.411454358,0,0,0,0.2189999,0,0,0,0,0,0,0,0,0,0,7.857450974,0.006636361,0.066363606,0,0,0,0.126090852,0,15.19394764,0,0,0,7.027905896,0,0.006636361,10.17354083,0,0,0,0,0.451272522,0,0.023227262,0,0,0.912499585,0,0,0,0,0,0,0,0,0.232272622,0,0,0.132727212,0,0,0,0,0,0,0,0,0,0,2.767362378,0,0,0,0,0,0,0,0,0,0,0,0.069681787,0,0.733317848,0,0,0.016590902,0,0,0,0.019909082,0.454590702,0,0,0,0,0.009954541,0,0.033181803,0,0,0,0.099545409,0,0,0,0.049772705,0.411454358,0,0,1.144772207,0,0,0,0.029863623,0,0.079636327,0,0,0,0,0,0.009954541
yCRC(huadong cohort),18.95677746,0.622992687,0.00386952,0.00386952,0,0,0,0.019347599,0,0,0.011608559,0,0,0,0,0.00386952,0,0.058042797,0,0,0,0.019347599,0,6.15640599,0,0,0.046434238,0,0.023217119,0.143172232,0,0,0,7.692605348,0,0,0,0,0.00386952,0.077390396,0,0,0.201215029,0.123824633,0,0.00773904,0,0,0,0.011608559,0,0,0,0,0,0,0,0,0,0.251518787,0,0,0,0,0,0,0.019347599,0,0,0,0,0,0,0,0,0,0,0,0.023217119,0.030956158,0,0,0,0,0,0,0.18573695,0.019347599,0,0,0,0,0,0,10.00270866,0.011608559,0,0.011608559,0,0.00386952,0,0.027086639,0,0,0,0,0,0,0,0,0,0,0.112216074,0,0,0,0.00773904,0,1.261463452,0,4.728553187,0,0,0.00386952,0,0.038695198,0,0,0,0,0,0,0.00386952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017683705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410169098,0,0,0.530124212,0,0,0,0,0.944162829,0,0,0,0.069651356,0,0,0,0,0,0,0,0,0,0,4.001083466,0,2.9911388,0,0,0.00773904,0,0,0.034825678,0,0,0,0.019347599,0,0,0.088998955,0,0,0,0,0.00386952,0,0.027086639,0,0,0.019347599,0,0,0,0,0,0,0,0,0,0,0,0.046434238,0,0,0,0,0,0,0.00386952,0,0,0,8.9540688,0,0,0,0,0,0.603645088,0,0,0,0,0,0,0,19.01095074,0,0,0,0,0,0,0.00386952,0.174128391,0,0,0,0,1.420113764,0,0.00386952,0,0,0,0,0,0,0,0.00386952,0.00386952,0.00386952,0,0.030956158,0,0,0.015478079,3.068529196,0,5.552760902,0,0.00386952,0,0,0,0
