,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,Escherichia/Shigella,53,146,0.9814814814814815,1.0,0.001112461420061656,-6.368932842121265,-8.903303135293232,2.5343702931719676,1.5819219304340748,3.404136585294563,0
1,Veillonella,49,136,0.9074074074074074,0.9315068493150684,0.00022877225498499584,-10.11912271619488,-11.160519812063573,1.0413970958686924,0.27220188744217966,1.7930584244289358,1
2,Bacillus,42,46,0.7777777777777778,0.3150684931506849,0.00020501277998749258,-12.673045150331285,-12.095832194685984,-0.5772129556452985,-1.2451533690650909,0.08668933397190759,2
3,Arthrobacter,11,57,0.2037037037037037,0.3904109589041096,0.0,-13.393913796562254,-13.446558847471373,0.05264505090911929,-0.9857757089568774,1.0137241144561642,3
4,Paracoccus,10,27,0.18518518518518517,0.18493150684931506,0.0,-13.523587021773302,-14.155893206772697,0.6323061849993955,-0.47696797187109025,1.698297185202242,4
5,Ralstonia,18,46,0.3333333333333333,0.3150684931506849,0.0,-13.49826105681806,-14.005341511881578,0.5070804550635163,-0.23020858794288643,1.2747990336791741,5
6,Prevotella,54,146,1.0,1.0,0.001066103115140531,-7.778290503895487,-8.45357586259018,0.6752853586946944,-0.27521545307474155,1.631072325504568,6
7,Victivallis,13,21,0.24074074074074073,0.14383561643835616,0.0,-12.568620714951733,-12.557787162988257,-0.010833551963475088,-1.4196427838961414,1.3339792276798264,7
8,Erysipelotrichaceae_incertae_sedis,26,92,0.48148148148148145,0.6301369863013698,0.0,-12.53916604720806,-13.226620457392096,0.6874544101840373,-0.07723006430506166,1.4354700919827827,8
9,Gardnerella,7,23,0.12962962962962962,0.15753424657534246,0.0,-12.745311741599176,-13.608881337884277,0.8635695962851,-0.5572808802879655,2.288253763629838,9
10,Pseudoflavonifractor,46,116,0.8518518518518519,0.7945205479452054,7.36426299956057e-05,-12.343075547351587,-13.174841277023198,0.831765729671608,0.3595319669220895,1.314693565877993,10
11,Delftia,42,29,0.7777777777777778,0.19863013698630136,7.334710499560569e-05,-13.489177469174624,-13.173650635699538,-0.31552683347508625,-0.8649200464664092,0.2494463674566588,11
12,Bilophila,47,134,0.8703703703703703,0.9178082191780822,0.0011768132099656834,-9.780444809548875,-9.783910782110235,0.0034659725613609992,-0.6124899775891484,0.627359114526454,12
13,Paraprevotella,30,87,0.5555555555555556,0.5958904109589042,0.00012559265500017853,-10.769981323415003,-9.517005944897592,-1.2529753785174114,-2.280488598716618,-0.21662685636411164,13
14,Stenotrophomonas,11,95,0.2037037037037037,0.6506849315068494,0.0,-12.911604751262354,-12.769536301346065,-0.14206844991628817,-0.9485141035752748,0.6365162223172736,14
15,Enhydrobacter,12,22,0.2222222222222222,0.1506849315068493,0.0,-13.65518741638213,-14.296604185866608,0.6414167694844782,-0.17329430419083763,1.5314559106049885,15
16,Campylobacter,13,56,0.24074074074074073,0.3835616438356164,0.0,-12.625596265894185,-13.549876325622838,0.9242800597286543,0.0017016362283260268,1.8393521974564835,16
17,Dorea,54,142,1.0,0.9726027397260274,0.0024338676497924804,-9.072856347022682,-9.291917949948338,0.21906160292565802,-0.4469065516182195,0.9782516879130418,17
18,Anaerostipes,52,133,0.9629629629629629,0.910958904109589,0.000380200300012087,-10.936959398386465,-10.770054393634023,-0.16690500475244113,-0.8656725497347324,0.5520584196094311,18
19,Marinobacter,8,12,0.14814814814814814,0.0821917808219178,0.0,-12.002692712648761,-14.219918115972737,2.2172254033239787,1.4124859054060208,3.062662322192007,19
20,Terrisporobacter,21,55,0.3888888888888889,0.3767123287671233,0.0,-13.457822761900848,-14.301927147512334,0.8441043856114853,0.23384439960686054,1.4386443513222458,20
21,Rothia,42,84,0.7777777777777778,0.5753424657534246,8.49921950049879e-05,-12.734185374161369,-12.51491432315793,-0.21927105100344246,-0.8307322121880338,0.40446428238175625,21
22,Lautropia,7,22,0.12962962962962962,0.1506849315068493,0.0,-13.374963732669515,-13.998494245393879,0.6235305127243626,-0.45899528054559585,1.6826110917817663,22
23,Flavonifractor,54,143,1.0,0.9794520547945206,0.0006510635250429254,-9.28460075004716,-10.498162530358087,1.2135617803109284,0.6465724008490866,1.8084900908938413,23
24,Slackia,6,34,0.1111111111111111,0.2328767123287671,0.0,-12.968962469054022,-13.63757977985394,0.6686173107999184,-1.0831774005536903,2.237062389805435,24
25,Weissella,11,18,0.2037037037037037,0.1232876712328767,0.0,-14.02970336306494,-13.468493195912263,-0.5612101671526775,-1.8380742855884333,0.6308409045192274,25
26,Clostridium_XlVb,53,143,0.9814814814814815,0.9794520547945206,0.001211632810084972,-8.615034061260307,-9.878085962316488,1.263051901056182,0.71262575823438,1.851244933428972,26
27,Mycoplasma,24,8,0.4444444444444444,0.0547945205479452,0.0,-13.17389322041387,-12.966009320393473,-0.20788390002039484,-1.8933897535760287,1.988417585876384,27
28,Anaerococcus,8,37,0.14814814814814814,0.2534246575342466,0.0,-13.342448966121843,-13.941042844093957,0.5985938779721134,-0.812304012772627,1.891121966301407,28
29,Clostridium_III,11,30,0.2037037037037037,0.2054794520547945,0.0,-13.026577708729306,-12.64912679220222,-0.37745091652708695,-2.070261518540111,1.233764651568635,29
30,Enterobacter,33,84,0.6111111111111112,0.5753424657534246,4.3652619999776774e-05,-12.396187533495509,-11.974891965078768,-0.4212955684167421,-1.5120685732267412,0.5825198120204249,30
31,Barnesiella,49,127,0.9074074074074074,0.8698630136986302,0.00015165136500294523,-10.829286410009221,-11.328256120664944,0.49896971065572265,-0.37538226069018643,1.3395790622818853,31
32,Lactobacillus,49,121,0.9074074074074074,0.8287671232876712,0.00019066968000203347,-11.716726976575764,-11.765441034491799,0.04871405791603412,-0.5271166356914682,0.6037741453634657,32
33,Limnohabitans,40,18,0.7407407407407407,0.1232876712328767,5.427552499952429e-05,-12.27546263343949,-13.211466135876359,0.9360035024368686,0.1387472977746019,1.7304529220698461,33
34,Atopobium,26,75,0.48148148148148145,0.5136986301369864,0.0,-13.433424888768666,-14.199796953476511,0.7663720647078426,0.26067268585902625,1.2047365052981367,34
35,Clostridium_XVIII,53,141,0.9814814814814815,0.9657534246575342,0.0033074035898609114,-10.217132047745952,-8.26311509479313,-1.9540169529528233,-2.4682407382795533,-1.4706815909600341,35
36,Sphingobium,14,15,0.25925925925925924,0.10273972602739725,0.0,-12.685568532695529,-14.44276776885938,1.7571992361638527,0.8108105594469636,2.6075519109146734,36
37,Coprococcus,54,131,1.0,0.8972602739726028,0.005156675610323586,-9.58022987415428,-8.440056268361682,-1.1401736057926,-1.9264168471866496,-0.30008766297836437,37
38,Senegalimassilia,14,32,0.25925925925925924,0.2191780821917808,0.0,-11.52998107169444,-11.273103588217731,-0.2568774834767087,-1.6313415716983226,1.1188757645878296,38
39,Holdemania,24,70,0.4444444444444444,0.4794520547945205,0.0,-13.134014267707444,-13.206055886098646,0.0720416183912025,-0.4648496110071457,0.6977091524340928,39
40,Polaromonas,32,16,0.5925925925925926,0.1095890410958904,6.729556499912233e-05,-11.73325537493795,-12.567400416139167,0.834145041201218,0.1992636296386633,1.4167405297259172,40
