group,Dialister,Acidaminococcus,Clostridium_XI,Catenibacterium,Rothia,Anaerostipes,Paraeggerthella,Anaerotruncus,Coprobacillus,Treponema,Serratia,Senegalimassilia,Alloscardovia,Parabacteroides,Holdemania,Ruminococcus2,Comamonas,Erysipelotrichaceae_incertae_sedis,Roseburia,Coprococcus,Pseudomonas,Bulleidia,Sphingobium,Lactococcus,Corynebacterium,Lactobacillus,Catonella,Novosphingobium,Oceanobacillus,Lachnoanaerobaculum,Sphingomonas,Olsenella,Fusobacterium,Vibrionimonas,Collinsella,Enterococcus,Anaerosporobacter,Atopobium,Enterobacter,Dorea,Pseudobutyrivibrio,Gardnerella,Vagococcus,Herbaspirillum,Adlercreutzia,Schlegelella,Methanobrevibacter,Leptotrichia,Aggregatibacter,Burkholderia,Propionibacterium,Peptostreptococcus,Clostridium_III,Haemophilus,Eikenella,Kluyvera,Clostridium_XVIII,Clostridium_XlVb,Leuconostoc,Succinivibrio,Pseudoflavonifractor,Weissella,Mobilitalea,Howardella,Parvimonas,Holdemanella,Ruminococcus,Hydrogenophaga,Asaccharobacter,Gemella,Vogesella,Abiotrophia,Akkermansia,Parasutterella,Arthrobacter,Rhodopseudomonas,Aeromonas,Alistipes,Neisseria,Acinetobacter,Rummeliibacillus,Hungatella,Acetatifactor,Allobaculum,Cetobacterium,Lachnospiracea_incertae_sedis,Pelomonas,Helicobacter,Actinomyces,Staphylococcus,Oscillibacter,Microbacterium,Citrobacter,Arcanobacterium,Gordonibacter,Obesumbacterium,Caulobacter,Eubacterium,Plesiomonas,Acetanaerobacterium,Veillonella,Stenotrophomonas,Enterorhabdus,Clostridium_sensu_stricto,Campylobacter,Anaerosalibacter,Blautia,Finegoldia,Buttiauxella,Solibacillus,Peptococcus,Delftia,Escherichia/Shigella,Devosia,Enhydrobacter,Mucispirillum,Negativicoccus,Scardovia,Alloprevotella,Paracoccus,Methyloversatilis,Porphyromonas,Lautropia,Ezakiella,Sphingosinicella,Bifidobacterium,Flavisolibacter,Intestinimonas,Lacibacterium,Phyllobacterium,Dolosigranulum,Pediococcus,Robinsoniella,Bacillus,Intestinibacter,Faecalitalea,Oribacterium,Shinella,Flavonifractor,Shewanella,Deinococcus,Megamonas,Rikenella,Butyricicoccus,Varibaculum,Rhodococcus,Brachybacterium,Psychrobacter,Terrisporobacter,Diaphorobacter,Streptobacillus,Sphaerotilus,Succiniclasticum,Sneathia,Pseudochrobactrum,Vulcaniibacterium,Ramlibacter,Stomatobaculum,Micrococcus,Gemmiger,Limnohabitans,Undibacterium,Tepidimonas,Turicibacter,Propionispira,Barnesiella,Shuttleworthia,Murdochiella,Faecalicoccus,Eisenbergiella,Ornatilinea,Flavobacterium,Sporobacter,Christensenella,Odoribacter,Sphingobacterium,Brevibacterium,Cloacibacillus,Mogibacterium,Morganella,Succinatimonas,Empedobacter,Coprothermobacter,Curvibacter,Catabacter,Parvibacter,Cellvibrio,Hydrogenoanaerobacterium,Gemmatimonas,Bilophila,Cronobacter,Allisonella,Rhizobacter,Sphingopyxis,Massilia,Actinotignum,Pseudoruegeria,Dietzia,Eggerthella,Thauera,Filifactor,Gluconacetobacter,Tepidimicrobium,Nitrospira,Thermomonas,Roseomonas,Eggerthia,Selenomonas,Pseudocitrobacter,Tsukamurella,Granulicatella,Thiothrix,Yaniella,Bosea,Klebsiella,Photobacterium,Acidovorax,Streptococcus,Proteus,Porphyrobacter,Exiguobacterium,Carnobacterium,Brevundimonas,Providencia,Schwartzia,Mobiluncus,Ethanoligenens,Pedobacter,Anaerofilum,Anoxybacillus,Blastococcus,Murimonas,Fretibacterium,Chryseobacterium,Parascardovia,Limnobacter,Anaeroglobus,Victivallis,Methylophaga,Aeromicrobium,Desulfovibrio,Celeribacter,Cellulosilyticum,Paraprevotella,Luteolibacter,Faecalibacterium,Clostridium_XlVa,Sandaracinobacter,Methylophilus,Sphingorhabdus,Kocuria,Achromobacter,Lysinibacillus,Actinobacillus,Mitsuokella,Gluconobacter,Anaerococcus,Bacteroides,Clostridium_IV,Methylobacterium,Prevotella,Phascolarctobacterium,Solobacterium,Sutterella,Fusicatenibacter,Tissierella,Sediminibacterium,Ralstonia,Peptostreptococcaceae_incertae_sedis,Megasphaera,Oxalobacter,Raoultella,Romboutsia,Bradyrhizobium,Mycoplasma,Butyrivibrio,Coprobacter,Cloacibacterium,Butyricimonas,Pyramidobacter,Slackia,Lactonifactor,Peptoniphilus
oControl(Fudan cohort),0.018147174,0,0,0,0,1.583340895,0,0.163324562,0,0,0,0,0,0.871064332,0.086199074,1.283912531,0,0.009073587,8.651665003,0.099809455,0,0,0,0,0,0.018147174,0,0,0.009073587,0.004536793,0,0,0.009073587,0,0.009073587,0,0,0.004536793,0.031757554,0.957263406,0,0,0,0,0.063515108,0,0,0,0,0,0,0,0,0.058978314,0,0,0.090735868,0.476363306,0,0,0,0.01361038,0,0,0,0,4.228291444,0,0,0,0,0.004536793,0.235913257,0.077125488,0,0,0,1.306596498,0,0,0,0.063515108,0,0,0,9.568097269,0,0,0.018147174,0,1.288449324,0,4.663823609,0,0.031757554,0,0,0.852917158,0,0,0.004536793,0,0,1.420016332,0,0,2.436258053,0,0.009073587,0,0,0.018147174,8.506487615,0,0,0,0,0,0,0,0,0,0,0,0,0.077125488,0,0.716813356,0,0,0,0,0,0,0.104346248,0,0.004536793,0,0.381090645,0,0,0.036294347,0,0,0,0,0,0,0.009073587,0,0,0,0,0,0,0,0,0,0,4.400689593,0,0,0,0.090735868,0,0.004536793,0,0,0,0.049904727,0,0,0,0.018147174,0.045367934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077125488,0.009073587,0,0,0,0,0,0,0,0.018147174,0.004536793,0,0,0,0,0,0,0,0,0.018147174,0,0,0,0,0,4.064966881,0,0,0.131567008,0,0,0,0,0,0,0,0,0,0,0.122493422,0,0,0,0,0,0,0,0,0,0,0,0.009073587,0,0,0.893748299,0,27.66536612,2.309227838,0,0,0,0,0,0,0,0,0,0,6.387805099,0.635151075,0,0.02722076,0.322112331,0,0,0.535341621,0,0,0,0,0.01361038,0,0.081662281,1.292986117,0,0.004536793,0,0.086199074,0,0.040831141,0.02722076,0,0.036294347,0
oControl(Fudan cohort),0.00747105,0,0,0,0.003735525,0.295106462,0,0.022413149,0,0,0,0,0,1.542771759,0.00747105,0.164363093,0,0.003735525,1.886440045,0.119536795,0.014942099,0,0,0.014942099,0,0.033619724,0,0,0,0,0,0,0.011206575,0,0.029884199,0,0,0,0,0.141949944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033619724,0,0,0.197982817,0.059768397,0,0,0.033619724,0,0,0,0,0,0.056032873,0,0,0.00747105,0,0.00747105,20.56779978,0.130743369,0.003735525,0,0,1.143070601,0,0,0,0.003735525,0,0,0,9.42099365,0,0,0.00747105,0,0.36234591,0,0,0,0.00747105,0,0,0.145685469,0,0,0.444527456,0,0,0,0,0,0.743369443,0,0,0.00747105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698543145,0,0.022413149,0,0.003735525,0,0,0,0.003735525,0.059768397,0,0,0,0.295106462,0,0,0.003735525,0,0,0,0,0,0,0.003735525,0,0,0,0,0.011206575,0,0,0,0,0,0.003735525,0,0,0,0,0,0.003735525,0,0,0,0.00747105,0,0,0,0,0.265222264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410907733,0,0,0,0,0,0,0,0,0.026148674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00747105,0,0,0.321255136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.453119163,2.528950318,0,0,0,0,0,0,0,0,0,0,47.26559582,0.201718341,0,0.056032873,6.69779604,0,1.214045573,0.254015689,0,0,0,0,0,0,0,0.12327232,0,0,0,0,0,0.369816959,0,0,0,0.003735525
oControl(Fudan cohort),0.035967242,0.002766711,0.022133687,0,0.005533422,0.013833555,0,0.005533422,0.002766711,0,0.002766711,0,0,0.005533422,0,0.35690571,0.002766711,0.055334219,2.750110668,0.943448429,0.011066844,0,0,0.002766711,0.105135015,0.027667109,0,0,0,0.002766711,0.002766711,0,0.019366977,0,0.005533422,0.008300133,0,0,0.315405046,0.008300133,0,0.019366977,0,0,0,0.016600266,0,0,0.008300133,0.008300133,0.011066844,0.002766711,0,0.077467906,0,0,0.398406375,0.016600266,0,0,0,0,0,0,0,0,1.524457725,0.005533422,0,0.038733953,0,0.011066844,0.038733953,2.260402833,0.005533422,0,0.002766711,0.03043382,0.002766711,0.005533422,0,0.002766711,0,0,0,1.098384241,0.002766711,0,0.08853475,0.022133687,0.022133687,0,0,0,0.124501992,0,0,10.57160248,0,0,0.055334219,0.005533422,0.002766711,0.03043382,0,0,2.689243028,0,0,0,0,0.002766711,1.148185038,0.008300133,0,0,0,0,0,0.005533422,0.002766711,0,0,0,0,0.096834883,0.008300133,0.066401062,0,0,0,0,0,0,0.213036742,0,0,0,0.03043382,0,0,0.019366977,0,0,0,0.008300133,0.013833555,0,0.002766711,0,0,0,0,0,0,0.002766711,0,0,0,8.26416556,0,0,0.005533422,0.005533422,0,0.044267375,0,0,0,0.047034086,0,0,0,0,0.008300133,0,0,0,0.002766711,0,0,0,0,0,0,0,0.002766711,0,0,0.215803453,0,1.33355467,0,0,0,0,0,0,0.365205843,0,0,0,0,0,0,0.005533422,0,0,0,0,0.03043382,0,0,0,0.022133687,0,0,0.437140328,0,0,0,0,0.066401062,0,0,0,0,0,0,0,0.002766711,0,0,0,0,0,0,0,0,0,0.096834883,0,0,0,0,39.59163347,4.269034971,0,0,0,0,0,0,0,0.002766711,0,0,0.110668437,0.320938468,0,0.022133687,0.498007968,0,0,0.071934484,0,0,0.011066844,0,0.002766711,0,0.066401062,18.48162904,0,0,0,0,0,0,0,0.002766711,0.035967242,0.011066844
oControl(Fudan cohort),0.046747176,0,0,0,0,2.987923646,0,0.023373588,0,0,0,0,0,0.580444098,0.062329568,3.334631866,0.003895598,0.007791196,0.599922088,1.88546942,0,0,0,0,0,0.027269186,0,0,0,0.011686794,0,0,0.003895598,0,3.303467082,0,0,0,0,3.38527464,0,0,0,0,0.023373588,0,0,0,0,0,0.003895598,0,0,0.011686794,0,0,0.938839112,0.074016362,0,0,0.011686794,0,0,0,0.003895598,0,1.686793923,0,0.120763537,0.007791196,0,0,0.420724581,0.023373588,0,0,0,1.659524737,0,0,0,0.011686794,0,0.003895598,0,4.199454616,0,0,0.011686794,0,7.03934554,0,0.003895598,0,0.023373588,0,0,6.400467472,0,2.278924815,0.003895598,0,0.031164784,0.444098169,0,0,7.740553175,0,0,0,0,0.003895598,0.077911959,0,0,0,0,0,0.003895598,0,0,0,0,0,0,0.070120764,0,0.599922088,0,0,0,0,0,0,0.284378652,0,0,0,0.027269186,0,0,0.315543436,0,0,0,0,0,0,0.5765485,0,0,0,0,0,0,0,0,0,0,28.70666147,0,0,0,0,0,0.190884301,0,0,0,0.011686794,0,0,0.007791196,0.046747176,0.070120764,0,0,0.007791196,0.03895598,0,0,0,0,0,0.003895598,0.003895598,0,0.007791196,0,0.081807557,0,0,0,0,0,0,0,0,0.035060382,0,0,0,0,0,0,0,0,0,0,0,0.003895598,0,0,0,0.003895598,0,0,0.151928321,0,0,0,0,0,0,0,0,0,0,0.373977406,0,0,0,0,0.003895598,0,0,0,0,0,0,1.203739774,0,0,2.232177639,0,2.871055707,0.860927152,0,0,0,0,0,0,0,0.003895598,0,0,7.058823529,1.527074406,0,0.740163615,0.206466693,0,0,0.190884301,0,0,0,0,0.003895598,0,0,1.184261784,0,0,0,0.432411375,0,0.32723023,0,0,0.003895598,0
oControl(Fudan cohort),0.013702009,0,0,0.005480803,0.005480803,0.169904908,0,0.008221205,0,0,0,0.052067633,0,0.413800663,0.002740402,0.405579458,0,0.002740402,3.132279192,0.537118742,0,0,0,0,0.002740402,0.397358253,0,0,0,0,0,0,0,0,1.822367159,0,0,0,0.005480803,0.838562933,0,0,0,0,0.013702009,0,0.024663616,0,0,0.002740402,0,0.002740402,0,0.035625223,0,0,0.043846428,0.106875668,0.008221205,0,0,0,0,0,0,0,1.038612261,0,0,0.002740402,0,0,0.019182812,0.010961607,0,0,0,0.065769642,0,0,0,0,0,0,0,16.05875421,0,0,0.060288838,0,0.605628785,0,0.002740402,0,0,0,0,1.992272067,0,0,0.01644241,0,0,0.208270532,0,0,0.726206462,0,0,0,0,0.002740402,2.545833219,0,0,0,0,0,0.024663616,0,0,0,0,0,0.002740402,0.131539284,0,0.090433258,0,0,0,0,0,0,0.032884821,0,0,0,0.013702009,0,0,0.01644241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.586692609,0,0,0,0.019182812,0,0.01644241,0,0,0,0,0,0,0,0.005480803,0.010961607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142500891,0,0.008221205,0,0,0,0,0,0,0.002740402,0,0,0,0.002740402,0,0,0,0,0,0,0,0.008221205,0,0,0,0.013702009,0,0,0.145241292,0,0,0,0,0.002740402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802937711,0,0,0.019182812,0,35.44161574,0.84952454,0,0,0,0,0,0,0,9.240634677,0,0,0.180866515,0.049327231,0,2.458140363,11.18083911,0,0.005480803,0,0,0,0,0,5.560275136,0,0,0.520676331,0,0,0,0,0,0.002740402,0,0,0,0
oControl(Fudan cohort),0.11012987,0,0.002077922,0,0.018701299,7.698701299,0,0,0.002077922,0,0,0.002077922,0,0.018701299,0,11.75480519,0,0.002077922,0.197402597,0.696103896,0,0,0,0.016623377,0,0.012467532,0,0,0,0,0.002077922,0.002077922,0.01038961,0,1.404675325,0.002077922,0,0.014545455,0.363636364,2.040519481,0,0,0,0,0,0,0,0,0,0.018701299,0,0,0,0.268051948,0,0,1.435844156,0.679480519,0.174545455,0,0,0.008311688,0,0,0,0,0.012467532,0,0,0.022857143,0,0.022857143,6.021818182,0.002077922,0,0,0,0.008311688,0,0,0,0.01038961,0,0,0,2.904935065,0,0,0.187012987,0,0.01038961,0,0.124675325,0,0,0,0,0.324155844,0,0,0.037402597,0,0,0.937142857,0,0,1.776623377,0,0.051948052,0,0,0.002077922,29.8161039,0.008311688,0,0,0,0,0,0,0,0,0,0,0,0.964155844,0,0.006233766,0,0,0,0,0,0,2.044675325,0,0.008311688,0,0.002077922,0,0,0.002077922,0,0.006233766,0,0,0,0,0.004155844,0,0,0,0,0,0,0,0,0.002077922,0,4.442597403,0,0,0,0.06025974,0,0.002077922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004155844,0,0,0.002077922,0,0,0,0.045714286,0.027012987,0,0,0,0,0,0,0,0.012467532,0,0,0,0,0,0,0,0,0,0.004155844,0,0.020779221,0,0,0,6.306493506,0,0,0.517402597,0,0,0,0,0,0,0,0,0,0,0.002077922,0,0,0,0,0,0,0,0,0,0,0,0.006233766,0,0,0,0,8.367792208,0.627532468,0,0,0,0,0,0,0,0.004155844,0,0,0.901818182,0.347012987,0,0.012467532,0.216103896,0.002077922,0,0.991168831,0,0,0.004155844,0,0.004155844,0,0.162077922,4.617142857,0.002077922,0.004155844,0,0,0,0,0,0.004155844,0,0
oControl(Fudan cohort),14.58061307,0.003108873,0.003108873,0,0.015544364,0.211403345,0,0.021762109,0,0,0,0.0683952,0,0.540943854,0.015544364,2.645650687,0.003108873,0,0.904681962,1.277746689,0,0,0,0,0,0.618665672,0,0,0,0.046633091,0,0,0,0,0.009326618,0,0,0.006217745,0.003108873,0.556488217,0,0,0,0,0.003108873,0,0,0,0.003108873,0.003108873,0,0,0,0.680843126,0,0,1.066343344,0.453895418,0,0,0,0,0,0,0,0.003108873,1.224895853,0,0,0.031088727,0,0,0.052850836,0.111919418,0,0,0,0.519181745,0.009326618,0,0,0.009326618,0,0.003108873,0,6.003233228,0,0,0.338867127,0,0.242492072,0,0,0,0.021762109,0,0,0.957532799,0,0,0.074612945,0,0,0.345084872,0,0,1.035254617,0,0,0,0,0.003108873,0.62799229,0,0,0,0,0,0,0,0,0,0,0,0,1.377230616,0,0.0341976,0,0,0,0,0,0,0.003108873,0,0.037306473,0,0.024870982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015544364,0,3.634272213,0,0,0,0.009326618,0,0.006217745,0,0,0,0,0,0,0,0,0.099483927,0,0,0,0,0,0,0,0.003108873,0,0,0.009326618,0,0,0,0.009326618,0,0,0,0,0,0,0,0,0.009326618,0,0,0,0,0,0,0,0,0,0,0,0.006217745,0,0,0,0.006217745,0,0,0.357520363,0,0,0,0,0.003108873,0,0,0,0,0,0.1025928,0,0,0,0,0,0,0,0,0,0,0,0.003108873,0,0,1.106758689,0,45.84654604,8.204315115,0,0,0,0,0,0,0,0,0,0,0.808306908,0.158552509,0,0.739911708,0.090157309,0,0,0.065286327,0,0,0,0,0.006217745,0,0,1.737859852,0,0,0,0,0,0,0.124354909,0,0.003108873,0
oControl(Fudan cohort),0.015776603,0,0.015776603,0.003944151,0,0.244537351,0,0.015776603,0,0,0,0,0,0.224816597,0.011832452,0.437800742,0,0.003944151,0.662617338,0.327364518,0,0,0,0,0,0.007888302,0,0,0,0,0,0,0.003944151,0,0.236649049,0.003944151,0,0,0,0.398359233,0,0,0,0,0,0,0,0,0,0.003944151,0,0,0.003944151,0.015776603,0,0,0.003944151,0.153821882,0,0,0.003944151,0,0,0,0,0.153821882,21.22741974,0,0,0.011832452,0,0.003944151,0.003944151,0,0,0,0,0.709947148,0,0,0,0,0,0,0,3.309142542,0,0.003944151,0.003944151,0,0.157766033,0,0,0,0.003944151,0,0,0.836159975,0,0.003944151,0.015776603,0,0.003944151,0.023664905,0,0,1.344955431,0,0,0,0,0,0.181430938,0,0,0,0,0,0.007888302,0,0,0,0,0,0,2.812179538,0,0,0,0,0,0,0,0,0.04732981,0,0,0,0.457521496,0,0,0.003944151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003944151,0,2.252110121,0,0,0,0.003944151,0,0.351029423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003944151,0,0,0,0,0,0.003944151,0,0,0,0.256369804,0,0.003944151,0,0,0,0,0,0,0.011832452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067050564,0,0,0.04732981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003944151,0,0,0,0,36.72793248,1.522442218,0,0,0,0,0,0,0,0,0,0,22.51321291,0.212984145,0,0.015776603,1.155636192,0,0.303699613,0.074938866,0.003944151,0,0,0,0,0,0,0.082827167,0,0,0,0.19326339,0,0.051273961,0,0,0.003944151,0
oControl(Fudan cohort),48.15869786,0,0,0.00508647,0.00508647,0.757884028,0,1.856561546,0,0,0,0.747711089,0,1.210579858,0.07629705,1.042726348,0,0.02543235,0.518819939,0.13733469,0,0,0,0,0,0.03051882,0,0,0,0,0,0,0,0,4.476093591,0,0,0.01017294,0.00508647,0.518819939,0,0.00508647,0,0,0.01525941,0,0.16785351,0,0,0.01525941,0,0,0,0,0,0,0.310274669,0.11698881,0.00508647,0,0.01017294,0.09664293,0,0,0,0,3.316378433,0,0,0,0,0,0.1017294,0.0508647,0,0,0,1.414038657,0,0,0,0.13733469,0,0.00508647,0,0.381485249,0,0,0.05595117,0,2.115971516,0,0,0,0.00508647,0,0,1.012207528,0,0.00508647,0,0,0,0.376398779,0,0,0.778229908,0,0,0,0,0,1.637843337,0,0,0,0,0,0.00508647,0,0,0,0,0,0,13.43845371,0,0.432349949,0,0,0,0,0,0,0.00508647,0,0,0,0.310274669,0,0,0.01525941,0,0,0,0,0,0,0.01017294,0,0,0,0,0,0,0,0,0,0,1.648016277,0,0,0,0.00508647,0,0.16276704,0,0,0,0.417090539,0,0,0.01017294,0.08646999,0,0,0,0,0.01017294,0,0,0,0.00508647,0,0.00508647,0,0,0.03560529,0,0.269582909,0,0.01017294,0,0,0,0,0,0,0,0,0,0,0,0.01017294,0,0,0,0,0,0,0,0,0,0,0.03560529,0,0,0.768056968,0,0,0,0,0.00508647,0,0,0,0,0,0.0508647,0.01017294,0,0,0,0,0,0,0,0,0,0,0.350966429,0,0,0.0508647,0,0.493387589,0.493387589,0,0,0,0,0,0,0,0,0,0,3.280773143,1.027466938,0,0.05595117,4.369277721,0,0,0.06103764,0,0,0,0,0.01017294,0.04069176,0.00508647,0.13733469,0,0,0,0,0,0.10681587,0,0,0.03560529,0
oControl(Fudan cohort),0.022255853,0,0,0,0.013353512,0.062316389,0,0.008902341,0,0,0,0,0,0.60981038,0.008902341,0.565298674,0,0.013353512,2.590581323,3.676666963,0,0,0,0,0,0.008902341,0,0,0,0,0.004451171,0.06676756,0.008902341,0,1.032671593,0.004451171,0,0.057865219,0.013353512,2.225585329,0,0.017804683,0,0,0,0,0,0,0,0.004451171,0,0.026707024,0.369447165,0,0,0,0.783406036,0.761150182,0,0,0,0,0,0,0.06676756,0.823466572,1.330900027,0,0.244814386,0.008902341,0,0,0.057865219,0,0,0,0,0.952550521,0,0,0,0.115730437,0,0.004451171,0,0.774503694,0,0,0.026707024,0,2.359120449,0,0.008902341,0,0.022255853,0,0,8.964657705,0,0.592005697,0.022255853,0,0,0.525238138,0,0,7.384492121,0,0,0,0,0,33.11670969,0,0,0,0,0,0.080121072,0,0,0,0,0,0,0.022255853,0,0.351642482,0,0,0,0,0,0,0.102376925,0,0.017804683,0,0.008902341,0,0,0.129083949,0,0,0,0,0,0,0.146888632,0,0,0,0,0,0,0,0,0,0.004451171,16.97231372,0,0,0,0.115730437,0,0,0,0,0,0.004451171,0,0,0.044511707,0,0,0,0,0,0.004451171,0,0,0,0,0,0,0,0,0.022255853,0,0.373898335,0,0.316033117,0,0,0,0,0,0,0.017804683,0,0,0,0,0,0,0,0,0,0,0,0.017804683,0,0,0,0.071218731,0,0,0.485177602,0,0,0,0,0,0,0,0,0,0,0.017804683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.393305439,0.583103356,0,0,0,0,0,0,0,0.004451171,0,0,1.299741832,0.364995994,0,0.67657794,1.402118757,0,0.004451171,0.445117066,0,0,0,0,0.004451171,0.026707024,0,0.649870916,0,0.004451171,0,0,0,0.048962877,0,0.396154189,0,0.008902341
