,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
0,Dialister,107,82,0.722972972972973,0.5694444444444444,0.0003163602549876718,-8.783899108687638,-9.04500759199544,0.26110848330780084,-0.4656658684163631,0.983429400177166,0
1,Acidaminococcus,28,18,0.1891891891891892,0.125,0.0,-9.694972180343703,-11.757835499854629,2.062863319510928,0.6754805889893033,3.537576299161372,1
2,Clostridium_XI,39,15,0.2635135135135135,0.10416666666666667,0.0,-10.095590689874003,-12.905265424598921,2.809674734724917,1.2862864254382786,4.350938664037388,2
3,Catenibacterium,25,21,0.16891891891891891,0.14583333333333334,0.0,-8.196870477082273,-8.745351096098739,0.548480619016466,-1.7818750687301963,2.771837680913201,3
4,Rothia,97,77,0.6554054054054054,0.5347222222222222,7.748869499799153e-05,-11.787466231705467,-11.894717039815765,0.10725080811029493,-0.3748534722450865,0.5572742031871498,4
5,Anaerostipes,134,119,0.9054054054054054,0.8263888888888888,0.0008932709249353325,-9.859577634114283,-9.339621436781549,-0.5199561973327337,-1.0445479507827722,0.0035820707373278335,5
6,Anaerotruncus,67,66,0.4527027027027027,0.4583333333333333,0.0,-11.525385256924743,-12.84325937034765,1.3178741134229077,0.8302610635986443,1.8087210595607621,6
7,Coprobacillus,35,17,0.23648648648648649,0.11805555555555555,0.0,-12.49043434560232,-12.833642507473138,0.34320816187081765,-0.7195653253023879,1.5208518650702598,7
8,Senegalimassilia,29,29,0.19594594594594594,0.2013888888888889,0.0,-9.639129017300435,-10.693862746321873,1.0547337290214378,0.09212922809446941,2.096374639854471,8
9,Parabacteroides,135,126,0.9121621621621622,0.875,0.003279104414868594,-7.914908061842099,-8.60691138597218,0.6920033241300816,0.18897180741917338,1.1907214640464572,9
10,Holdemania,79,75,0.5337837837837838,0.5208333333333334,3.0713969997636875e-05,-11.818562572654168,-12.535031027053748,0.7164684543995821,0.2667989453186612,1.1665788864006263,10
11,Ruminococcus2,143,125,0.9662162162162162,0.8680555555555556,0.005493726980108505,-7.487090053062679,-7.4328066953950165,-0.054283357667662034,-0.5375124956032824,0.4150196438306014,11
12,Comamonas,15,6,0.10135135135135136,0.041666666666666664,0.0,-11.997616683903708,-13.91866821138634,1.9210515274826316,0.7254596012113208,3.0198638120863257,12
